calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Mariposa (MC),SBUS,Gas,RUNEX,CO,1.6469205929778385e-05
2018,July,Mariposa (MC),SBUS,Gas,RUNEX,NOx,1.0427197688968555e-05
2018,July,Mariposa (MC),SBUS,Gas,RUNEX,SOx,7.224297543922584e-07
2018,July,Mariposa (MC),SBUS,Gas,RUNEX,PM,2.790236581977951e-08
2018,July,Mariposa (MC),SBUS,Gas,RUNEX,TOG,1.437312803981661e-06
2018,July,Mariposa (MC),SBUS,Gas,RUNEX,PM10,2.4944715042882877e-08
2018,July,Mariposa (MC),SBUS,Gas,RUNEX,PM2_5,2.293574470385876e-08
2018,July,Mariposa (MC),SBUS,Gas,IDLEX,CO,0.0001260655732411822
2018,July,Mariposa (MC),SBUS,Gas,IDLEX,NOx,1.420261911044106e-06
2018,July,Mariposa (MC),SBUS,Gas,IDLEX,SOx,4.10968318170118e-08
2018,July,Mariposa (MC),SBUS,Gas,IDLEX,TOG,2.3802714055067194e-05
2018,July,Mariposa (MC),SBUS,Gas,STREX,CO,3.2310012513512444e-05
2018,July,Mariposa (MC),SBUS,Gas,STREX,NOx,3.852680057846036e-06
2018,July,Mariposa (MC),SBUS,Gas,STREX,SOx,2.7190947050672508e-09
2018,July,Mariposa (MC),SBUS,Gas,STREX,PM,7.824238466252616e-10
2018,July,Mariposa (MC),SBUS,Gas,STREX,TOG,1.5934312135598713e-06
2018,July,Mariposa (MC),SBUS,Gas,STREX,PM10,6.994869188829837e-10
2018,July,Mariposa (MC),SBUS,Gas,STREX,PM2_5,6.431524019259649e-10
2018,July,Mariposa (MC),SBUS,Gas,HOTSOAK,TOG,2.715644867873853e-07
2018,July,Mariposa (MC),SBUS,Gas,RUNLOSS,TOG,2.24750964715629e-06
2018,July,Mariposa (MC),SBUS,Gas,RESTLOSS,TOG,2.7345749060851315e-08
2018,July,Mariposa (MC),SBUS,Gas,DIURN,TOG,7.263476086221502e-08
2018,July,Mariposa (MC),SBUS,Gas,PMTW,PM,6.425182604412567e-07
2018,July,Mariposa (MC),SBUS,Gas,PMTW,PM10,6.425182604412567e-07
2018,July,Mariposa (MC),SBUS,Gas,PMTW,PM2_5,1.6062956511031417e-07
2018,July,Mariposa (MC),SBUS,Gas,PMBW,PM,6.103923393877159e-05
2018,July,Mariposa (MC),SBUS,Gas,PMBW,PM10,5.9818449259996144e-05
2018,July,Mariposa (MC),SBUS,Gas,PMBW,PM2_5,2.5636478254284045e-05
2018,July,Mariposa (MC),T6 Public,Dsl,RUNEX,CO,0.00014405516920641968
2018,July,Mariposa (MC),T6 Public,Dsl,RUNEX,NOx,0.0038375199408051657
2018,July,Mariposa (MC),T6 Public,Dsl,RUNEX,PM,3.500632685940351e-05
2018,July,Mariposa (MC),T6 Public,Dsl,RUNEX,PM10,3.4796288898247105e-05
2018,July,Mariposa (MC),T6 Public,Dsl,RUNEX,PM2_5,3.3291016843292715e-05
2018,July,Mariposa (MC),T6 Public,Dsl,IDLEX,CO,8.316465187999446e-05
2018,July,Mariposa (MC),T6 Public,Dsl,IDLEX,NOx,0.0011078232328669846
2018,July,Mariposa (MC),T6 Public,Dsl,IDLEX,PM,6.289095643536214e-06
