calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Mendocino (NC),SBUS,Gas,RUNEX,CO,0.005468008291153851
2018,July,Mendocino (NC),SBUS,Gas,RUNEX,NOx,0.0009347142067509908
2018,July,Mendocino (NC),SBUS,Gas,RUNEX,SOx,5.646292815828069e-06
2018,July,Mendocino (NC),SBUS,Gas,RUNEX,PM,2.897420286618469e-06
2018,July,Mendocino (NC),SBUS,Gas,RUNEX,TOG,0.0003399655683519233
2018,July,Mendocino (NC),SBUS,Gas,RUNEX,PM10,2.590293736236912e-06
2018,July,Mendocino (NC),SBUS,Gas,RUNEX,PM2_5,2.3816794756003805e-06
2018,July,Mendocino (NC),SBUS,Gas,IDLEX,CO,0.0010146451005467773
2018,July,Mendocino (NC),SBUS,Gas,IDLEX,NOx,1.1437425816883928e-05
2018,July,Mendocino (NC),SBUS,Gas,IDLEX,SOx,3.3697711195754363e-07
2018,July,Mendocino (NC),SBUS,Gas,IDLEX,TOG,0.000189683698456696
2018,July,Mendocino (NC),SBUS,Gas,STREX,CO,0.0006993178203756385
2018,July,Mendocino (NC),SBUS,Gas,STREX,NOx,2.742171260264644e-05
2018,July,Mendocino (NC),SBUS,Gas,STREX,SOx,2.9662330337127475e-08
2018,July,Mendocino (NC),SBUS,Gas,STREX,PM,7.678206772925165e-08
2018,July,Mendocino (NC),SBUS,Gas,STREX,TOG,3.0448264114376617e-05
2018,July,Mendocino (NC),SBUS,Gas,STREX,PM10,6.864316854995098e-08
2018,July,Mendocino (NC),SBUS,Gas,STREX,PM2_5,6.311485967344486e-08
2018,July,Mendocino (NC),SBUS,Gas,HOTSOAK,TOG,1.5631063472002122e-05
2018,July,Mendocino (NC),SBUS,Gas,RUNLOSS,TOG,0.0001862421853086529
2018,July,Mendocino (NC),SBUS,Gas,RESTLOSS,TOG,7.620030820606044e-07
2018,July,Mendocino (NC),SBUS,Gas,DIURN,TOG,3.5040343911406203e-06
2018,July,Mendocino (NC),SBUS,Gas,PMTW,PM,5.010324169715915e-06
2018,July,Mendocino (NC),SBUS,Gas,PMTW,PM10,5.010324169715915e-06
2018,July,Mendocino (NC),SBUS,Gas,PMTW,PM2_5,1.2525810424289787e-06
2018,July,Mendocino (NC),SBUS,Gas,PMBW,PM,0.00047598078986010655
2018,July,Mendocino (NC),SBUS,Gas,PMBW,PM10,0.00046646117406290416
2018,July,Mendocino (NC),SBUS,Gas,PMBW,PM2_5,0.0001999119317412447
2018,July,Mendocino (NC),T6 Ag,Dsl,RUNEX,CO,0.0003229899092233747
