calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Merced (SJV),SBUS,Gas,RUNEX,CO,0.013961689769714025
2018,July,Merced (SJV),SBUS,Gas,RUNEX,NOx,0.002316592099565012
2018,July,Merced (SJV),SBUS,Gas,RUNEX,SOx,1.902331948341362e-05
2018,July,Merced (SJV),SBUS,Gas,RUNEX,PM,9.302963514748008e-06
2018,July,Merced (SJV),SBUS,Gas,RUNEX,TOG,0.0009095903586205926
2018,July,Merced (SJV),SBUS,Gas,RUNEX,PM10,8.316849382184719e-06
2018,July,Merced (SJV),SBUS,Gas,RUNEX,PM2_5,7.64703600912286e-06
2018,July,Merced (SJV),SBUS,Gas,IDLEX,CO,0.0019318495048573595
2018,July,Merced (SJV),SBUS,Gas,IDLEX,NOx,2.177564754257429e-05
2018,July,Merced (SJV),SBUS,Gas,IDLEX,SOx,6.432336033691335e-07
2018,July,Merced (SJV),SBUS,Gas,IDLEX,TOG,0.00036078192757090123
2018,July,Merced (SJV),SBUS,Gas,STREX,CO,0.0008811163707710795
2018,July,Merced (SJV),SBUS,Gas,STREX,NOx,5.530240435389592e-05
2018,July,Merced (SJV),SBUS,Gas,STREX,SOx,4.90194113206493e-08
2018,July,Merced (SJV),SBUS,Gas,STREX,PM,1.3764503088594055e-07
2018,July,Merced (SJV),SBUS,Gas,STREX,TOG,4.197008091020166e-05
2018,July,Merced (SJV),SBUS,Gas,STREX,PM10,1.2305465761203082e-07
2018,July,Merced (SJV),SBUS,Gas,STREX,PM2_5,1.1314421538824307e-07
2018,July,Merced (SJV),SBUS,Gas,HOTSOAK,TOG,3.250608857634221e-05
2018,July,Merced (SJV),SBUS,Gas,RUNLOSS,TOG,0.0002995998991578898
2018,July,Merced (SJV),SBUS,Gas,RESTLOSS,TOG,2.5750169644612785e-06
2018,July,Merced (SJV),SBUS,Gas,DIURN,TOG,1.182820439898342e-05
2018,July,Merced (SJV),SBUS,Gas,PMTW,PM,1.71298023955575e-05
2018,July,Merced (SJV),SBUS,Gas,PMTW,PM10,1.71298023955575e-05
2018,July,Merced (SJV),SBUS,Gas,PMTW,PM2_5,4.282450598889375e-06
2018,July,Merced (SJV),SBUS,Gas,PMBW,PM,0.0016273312061657087
2018,July,Merced (SJV),SBUS,Gas,PMBW,PM10,0.0015947845820423942
2018,July,Merced (SJV),SBUS,Gas,PMBW,PM2_5,0.0006834791065895976
2018,July,Merced (SJV),T6 Ag,Dsl,RUNEX,CO,0.0012728251035990386
2018,July,Merced (SJV),T6 Ag,Dsl,RUNEX,NOx,0.006338508066384087
2018,July,Merced (SJV),T6 Ag,Dsl,RUNEX,PM,0.0003148502925322794
2018,July,Merced (SJV),T6 Ag,Dsl,RUNEX,PM10,0.0003129611907770858
2018,July,Merced (SJV),T6 Ag,Dsl,RUNEX,PM2_5,0.0002994226281981975
2018,July,Merced (SJV),T6 Ag,Dsl,IDLEX,CO,0.0001291744608334815
2018,July,Merced (SJV),T6 Ag,Dsl,IDLEX,NOx,0.00045240674302311746
2018,July,Merced (SJV),T6 Ag,Dsl,IDLEX,PM,7.056379394144888e-06
2018,July,Merced (SJV),T6 Ag,Dsl,IDLEX,PM10,7.014041117780008e-06
2018,July,Merced (SJV),T6 Ag,Dsl,IDLEX,PM2_5,6.710616803831779e-06
