calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Modoc (NEP),SBUS,Gas,RUNEX,CO,0.00034293394359502104
2018,July,Modoc (NEP),SBUS,Gas,RUNEX,NOx,7.590001523609834e-05
2018,July,Modoc (NEP),SBUS,Gas,RUNEX,SOx,9.144173374029601e-07
2018,July,Modoc (NEP),SBUS,Gas,RUNEX,PM,2.1176220016944889e-07
2018,July,Modoc (NEP),SBUS,Gas,RUNEX,TOG,2.215612266224563e-05
2018,July,Modoc (NEP),SBUS,Gas,RUNEX,PM10,1.8931540695148713e-07
2018,July,Modoc (NEP),SBUS,Gas,RUNEX,PM2_5,1.74068528539287e-07
2018,July,Modoc (NEP),SBUS,Gas,IDLEX,CO,0.00015853243575802932
2018,July,Modoc (NEP),SBUS,Gas,IDLEX,NOx,1.7862508223892407e-06
2018,July,Modoc (NEP),SBUS,Gas,IDLEX,SOx,5.1385101101262606e-08
2018,July,Modoc (NEP),SBUS,Gas,IDLEX,TOG,2.983847246095035e-05
2018,July,Modoc (NEP),SBUS,Gas,STREX,CO,7.734692275195247e-05
2018,July,Modoc (NEP),SBUS,Gas,STREX,NOx,4.1947261961971855e-06
2018,July,Modoc (NEP),SBUS,Gas,STREX,SOx,4.0173484801671825e-09
2018,July,Modoc (NEP),SBUS,Gas,STREX,PM,5.27384076956699e-09
2018,July,Modoc (NEP),SBUS,Gas,STREX,TOG,3.275238417762921e-06
2018,July,Modoc (NEP),SBUS,Gas,STREX,PM10,4.714813647992887e-09
2018,July,Modoc (NEP),SBUS,Gas,STREX,PM2_5,4.335097112584064e-09
2018,July,Modoc (NEP),SBUS,Gas,HOTSOAK,TOG,1.0299948293205597e-06
2018,July,Modoc (NEP),SBUS,Gas,RUNLOSS,TOG,9.45057492953761e-06
2018,July,Modoc (NEP),SBUS,Gas,RESTLOSS,TOG,6.572599627201375e-08
2018,July,Modoc (NEP),SBUS,Gas,DIURN,TOG,2.761024310896402e-07
2018,July,Modoc (NEP),SBUS,Gas,PMTW,PM,8.22330600454925e-07
2018,July,Modoc (NEP),SBUS,Gas,PMTW,PM10,8.22330600454925e-07
2018,July,Modoc (NEP),SBUS,Gas,PMTW,PM2_5,2.0558265011373124e-07
2018,July,Modoc (NEP),SBUS,Gas,PMBW,PM,7.812140601530454e-05
2018,July,Modoc (NEP),SBUS,Gas,PMBW,PM10,7.655897789499847e-05
2018,July,Modoc (NEP),SBUS,Gas,PMBW,PM2_5,3.281099052642792e-05
2018,July,Modoc (NEP),T6 Ag,Dsl,RUNEX,CO,1.8707044456044137e-05
2018,July,Modoc (NEP),T6 Ag,Dsl,RUNEX,NOx,0.0001296475407757936
2018,July,Modoc (NEP),T6 Ag,Dsl,RUNEX,PM,6.297299821445039e-06
2018,July,Modoc (NEP),T6 Ag,Dsl,RUNEX,PM10,6.25951602251637e-06
2018,July,Modoc (NEP),T6 Ag,Dsl,RUNEX,PM2_5,5.988732130194231e-06
2018,July,Modoc (NEP),T6 Ag,Dsl,IDLEX,CO,4.080527856934739e-06
2018,July,Modoc (NEP),T6 Ag,Dsl,IDLEX,NOx,1.1111102279123843e-05
2018,July,Modoc (NEP),T6 Ag,Dsl,IDLEX,PM,2.323962532349238e-07
