calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Mono (GBV),SBUS,Gas,RUNEX,CO,2.5492348037501294e-05
2018,July,Mono (GBV),SBUS,Gas,RUNEX,NOx,1.4375677848325774e-05
2018,July,Mono (GBV),SBUS,Gas,RUNEX,SOx,1.020164102829021e-06
2018,July,Mono (GBV),SBUS,Gas,RUNEX,PM,7.217247747284971e-08
2018,July,Mono (GBV),SBUS,Gas,RUNEX,TOG,2.146474296748765e-06
2018,July,Mono (GBV),SBUS,Gas,RUNEX,PM10,6.452219486072767e-08
2018,July,Mono (GBV),SBUS,Gas,RUNEX,PM2_5,5.9325776482682485e-08
2018,July,Mono (GBV),SBUS,Gas,IDLEX,CO,0.00019925079494896233
2018,July,Mono (GBV),SBUS,Gas,IDLEX,NOx,2.2447707771087644e-06
2018,July,Mono (GBV),SBUS,Gas,IDLEX,SOx,6.391491487864142e-08
2018,July,Mono (GBV),SBUS,Gas,IDLEX,TOG,3.762097435071718e-05
2018,July,Mono (GBV),SBUS,Gas,STREX,CO,7.645465800721922e-05
2018,July,Mono (GBV),SBUS,Gas,STREX,NOx,4.432159727917902e-06
2018,July,Mono (GBV),SBUS,Gas,STREX,SOx,4.663838289110071e-09
2018,July,Mono (GBV),SBUS,Gas,STREX,PM,2.4184689686319413e-09
2018,July,Mono (GBV),SBUS,Gas,STREX,TOG,3.394263055771072e-06
2018,July,Mono (GBV),SBUS,Gas,STREX,PM10,2.1621112579569556e-09
2018,July,Mono (GBV),SBUS,Gas,STREX,PM2_5,1.987981492215456e-09
2018,July,Mono (GBV),SBUS,Gas,HOTSOAK,TOG,4.667791463883585e-07
2018,July,Mono (GBV),SBUS,Gas,RUNLOSS,TOG,4.229472601675435e-06
2018,July,Mono (GBV),SBUS,Gas,RESTLOSS,TOG,3.424087471856423e-08
2018,July,Mono (GBV),SBUS,Gas,DIURN,TOG,6.886333846636925e-08
2018,July,Mono (GBV),SBUS,Gas,PMTW,PM,9.242300486162795e-07
2018,July,Mono (GBV),SBUS,Gas,PMTW,PM10,9.242300486162795e-07
2018,July,Mono (GBV),SBUS,Gas,PMTW,PM2_5,2.3105751215406987e-07
2018,July,Mono (GBV),SBUS,Gas,PMBW,PM,8.780185346325892e-05
2018,July,Mono (GBV),SBUS,Gas,PMBW,PM10,8.604581639399378e-05
2018,July,Mono (GBV),SBUS,Gas,PMBW,PM2_5,3.687677845456877e-05
2018,July,Mono (GBV),T6 Public,Dsl,RUNEX,CO,0.00012192320497550034
2018,July,Mono (GBV),T6 Public,Dsl,RUNEX,NOx,0.0034766362637055227
2018,July,Mono (GBV),T6 Public,Dsl,RUNEX,PM,2.4485408946454872e-05
2018,July,Mono (GBV),T6 Public,Dsl,RUNEX,PM10,2.4338496492776162e-05
2018,July,Mono (GBV),T6 Public,Dsl,RUNEX,PM2_5,2.3285623908078607e-05
2018,July,Mono (GBV),T6 Public,Dsl,IDLEX,CO,9.586196584655704e-05
2018,July,Mono (GBV),T6 Public,Dsl,IDLEX,NOx,0.0014204824562428697
2018,July,Mono (GBV),T6 Public,Dsl,IDLEX,PM,3.898807831964215e-06
2018,July,Mono (GBV),T6 Public,Dsl,IDLEX,PM10,3.8754149849724255e-06
2018,July,Mono (GBV),T6 Public,Dsl,IDLEX,PM2_5,3.707766248197969e-06
2018,July,Mono (GBV),T6 Public,Dsl,STREX,NOx,2.8731616869654817e-05
