calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Monterey (NCC),SBUS,Gas,RUNEX,CO,0.004324108078087019
2018,July,Monterey (NCC),SBUS,Gas,RUNEX,NOx,0.0009821207948175735
2018,July,Monterey (NCC),SBUS,Gas,RUNEX,SOx,1.8296945444653026e-05
2018,July,Monterey (NCC),SBUS,Gas,RUNEX,PM,4.898867744866411e-06
2018,July,Monterey (NCC),SBUS,Gas,RUNEX,TOG,0.0002789690346787087
2018,July,Monterey (NCC),SBUS,Gas,RUNEX,PM10,4.3795877639105724e-06
2018,July,Monterey (NCC),SBUS,Gas,RUNEX,PM2_5,4.02686928628019e-06
2018,July,Monterey (NCC),SBUS,Gas,IDLEX,CO,0.002031307602309274
2018,July,Monterey (NCC),SBUS,Gas,IDLEX,NOx,2.2891601677538557e-05
2018,July,Monterey (NCC),SBUS,Gas,IDLEX,SOx,6.592203479149079e-07
2018,July,Monterey (NCC),SBUS,Gas,IDLEX,TOG,0.0003818375992266127
2018,July,Monterey (NCC),SBUS,Gas,STREX,CO,0.0008139861756892928
2018,July,Monterey (NCC),SBUS,Gas,STREX,NOx,5.761566380181838e-05
2018,July,Monterey (NCC),SBUS,Gas,STREX,SOx,4.858624034424271e-08
2018,July,Monterey (NCC),SBUS,Gas,STREX,PM,8.517715051788012e-08
2018,July,Monterey (NCC),SBUS,Gas,STREX,TOG,3.676182536543004e-05
2018,July,Monterey (NCC),SBUS,Gas,STREX,PM10,7.614837256298483e-08
2018,July,Monterey (NCC),SBUS,Gas,STREX,PM2_5,7.001561772569746e-08
2018,July,Monterey (NCC),SBUS,Gas,HOTSOAK,TOG,1.3853340049270854e-05
2018,July,Monterey (NCC),SBUS,Gas,RUNLOSS,TOG,0.00016384421784334033
2018,July,Monterey (NCC),SBUS,Gas,RESTLOSS,TOG,8.300021473699466e-07
2018,July,Monterey (NCC),SBUS,Gas,DIURN,TOG,1.7155475156291172e-06
2018,July,Monterey (NCC),SBUS,Gas,PMTW,PM,1.671159641014974e-05
2018,July,Monterey (NCC),SBUS,Gas,PMTW,PM10,1.671159641014974e-05
2018,July,Monterey (NCC),SBUS,Gas,PMTW,PM2_5,4.177899102537435e-06
2018,July,Monterey (NCC),SBUS,Gas,PMBW,PM,0.0015876016380747303
2018,July,Monterey (NCC),SBUS,Gas,PMBW,PM10,0.0015558496053132357
2018,July,Monterey (NCC),SBUS,Gas,PMBW,PM2_5,0.0006667926879913869
2018,July,Monterey (NCC),T6 Ag,Dsl,RUNEX,CO,0.0023113215653728365
2018,July,Monterey (NCC),T6 Ag,Dsl,RUNEX,NOx,0.010687945888907346
2018,July,Monterey (NCC),T6 Ag,Dsl,RUNEX,PM,0.000568796302077679
2018,July,Monterey (NCC),T6 Ag,Dsl,RUNEX,PM10,0.0005653835242652127
2018,July,Monterey (NCC),T6 Ag,Dsl,RUNEX,PM2_5,0.0005409252832758731
2018,July,Monterey (NCC),T6 Ag,Dsl,IDLEX,CO,0.00020355269563114935
2018,July,Monterey (NCC),T6 Ag,Dsl,IDLEX,NOx,0.0007408681726095423
2018,July,Monterey (NCC),T6 Ag,Dsl,IDLEX,PM,1.0990345790780371e-05
2018,July,Monterey (NCC),T6 Ag,Dsl,IDLEX,PM10,1.0924403716035665e-05
2018,July,Monterey (NCC),T6 Ag,Dsl,IDLEX,PM2_5,1.0451818847032105e-05
2018,July,Monterey (NCC),T6 Ag,Dsl,STREX,NOx,0.00016497194163740667
2018,July,Monterey (NCC),T6 Ag,Dsl,PMTW,PM,1.513480898398244e-05
2018,July,Monterey (NCC),T6 Ag,Dsl,PMTW,PM10,1.513480898398244e-05
2018,July,Monterey (NCC),T6 Ag,Dsl,PMTW,PM2_5,3.78370224599561e-06
2018,July,Monterey (NCC),T6 Ag,Dsl,PMBW,PM,0.0001677441329058054
2018,July,Monterey (NCC),T6 Ag,Dsl,PMBW,PM10,0.00016438925024768892
2018,July,Monterey (NCC),T6 Ag,Dsl,PMBW,PM2_5,7.045253582043835e-05
2018,July,Monterey (NCC),T6 Public,Dsl,RUNEX,CO,0.0007512622890672945
2018,July,Monterey (NCC),T6 Public,Dsl,RUNEX,NOx,0.022138231693552446
2018,July,Monterey (NCC),T6 Public,Dsl,RUNEX,PM,0.0001536999365365601
2018,July,Monterey (NCC),T6 Public,Dsl,RUNEX,PM10,0.00015277773691734086
2018,July,Monterey (NCC),T6 Public,Dsl,RUNEX,PM2_5,0.00014616863964626858
2018,July,Monterey (NCC),T6 Public,Dsl,IDLEX,CO,0.0006330043529541142
2018,July,Monterey (NCC),T6 Public,Dsl,IDLEX,NOx,0.008915086201573684
2018,July,Monterey (NCC),T6 Public,Dsl,IDLEX,PM,2.1868866889011724e-05
2018,July,Monterey (NCC),T6 Public,Dsl,IDLEX,PM10,2.1737653687677764e-05
2018,July,Monterey (NCC),T6 Public,Dsl,IDLEX,PM2_5,2.079729241145018e-05
2018,July,Monterey (NCC),T6 Public,Dsl,STREX,NOx,0.00022821114204351066
2018,July,Monterey (NCC),T6 Public,Dsl,PMTW,PM,3.0395336688528714e-05
2018,July,Monterey (NCC),T6 Public,Dsl,PMTW,PM10,3.0395336688528714e-05
2018,July,Monterey (NCC),T6 Public,Dsl,PMTW,PM2_5,7.5988341721321785e-06
2018,July,Monterey (NCC),T6 Public,Dsl,PMBW,PM,0.0003368816482978603
2018,July,Monterey (NCC),T6 Public,Dsl,PMBW,PM10,0.000330144015331903
2018,July,Monterey (NCC),T6 Public,Dsl,PMBW,PM2_5,0.00014149029228510118
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,RUNEX,CO,0.0002462576028338046
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0012757307382154186
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,RUNEX,PM,5.195105511767536e-05
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,RUNEX,PM10,5.163934878696928e-05
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,4.9405453416909235e-05
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,IDLEX,CO,1.9269442686765393e-05
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,IDLEX,NOx,6.199252749127193e-05
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,IDLEX,PM,2.0196195986835687e-07
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,IDLEX,PM10,2.0075018810914667e-07
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,1.9206582383480713e-07
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,STREX,NOx,0.00012870994568974298
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,PMTW,PM,6.6222267838279495e-06
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,PMTW,PM10,6.6222267838279495e-06
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,PMTW,PM2_5,1.6555566959569874e-06
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,PMBW,PM,7.339634685409307e-05
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,PMBW,PM10,7.192841991701123e-05
2018,July,Monterey (NCC),T6 CAIRP Small,Dsl,PMBW,PM2_5,3.082646567871909e-05
