calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Napa (SF),SBUS,Gas,RUNEX,CO,5.8279264153273144e-05
2018,July,Napa (SF),SBUS,Gas,RUNEX,NOx,3.505904216043422e-05
2018,July,Napa (SF),SBUS,Gas,RUNEX,SOx,2.748797837252074e-06
2018,July,Napa (SF),SBUS,Gas,RUNEX,PM,2.1180150356297383e-07
2018,July,Napa (SF),SBUS,Gas,RUNEX,TOG,5.460036064320221e-06
2018,July,Napa (SF),SBUS,Gas,RUNEX,PM10,1.893505441852986e-07
2018,July,Napa (SF),SBUS,Gas,RUNEX,PM2_5,1.741008359287645e-07
2018,July,Napa (SF),SBUS,Gas,IDLEX,CO,0.00043378559817942045
2018,July,Napa (SF),SBUS,Gas,IDLEX,NOx,4.887053196315892e-06
2018,July,Napa (SF),SBUS,Gas,IDLEX,SOx,1.391742892146859e-07
2018,July,Napa (SF),SBUS,Gas,IDLEX,TOG,8.190399876195567e-05
2018,July,Napa (SF),SBUS,Gas,STREX,CO,0.0001509762953796754
2018,July,Napa (SF),SBUS,Gas,STREX,NOx,1.1894919228895837e-05
2018,July,Napa (SF),SBUS,Gas,STREX,SOx,9.883367517384345e-09
2018,July,Napa (SF),SBUS,Gas,STREX,PM,6.471750326075618e-09
2018,July,Napa (SF),SBUS,Gas,STREX,TOG,6.434127844214534e-06
2018,July,Napa (SF),SBUS,Gas,STREX,PM10,5.785744791511604e-09
2018,July,Napa (SF),SBUS,Gas,STREX,PM2_5,5.319778768034158e-09
2018,July,Napa (SF),SBUS,Gas,HOTSOAK,TOG,5.255490853825927e-07
2018,July,Napa (SF),SBUS,Gas,RUNLOSS,TOG,3.398527659374391e-06
2018,July,Napa (SF),SBUS,Gas,RESTLOSS,TOG,4.745748438011982e-08
2018,July,Napa (SF),SBUS,Gas,DIURN,TOG,1.0623744068024511e-07
2018,July,Napa (SF),SBUS,Gas,PMTW,PM,2.512623430607846e-06
2018,July,Napa (SF),SBUS,Gas,PMTW,PM10,2.512623430607846e-06
2018,July,Napa (SF),SBUS,Gas,PMTW,PM2_5,6.281558576519615e-07
2018,July,Napa (SF),SBUS,Gas,PMBW,PM,0.00023869922276696597
2018,July,Napa (SF),SBUS,Gas,PMBW,PM10,0.0002339252383116268
2018,July,Napa (SF),SBUS,Gas,PMBW,PM2_5,0.00010025367356212576
2018,July,Napa (SF),T6 Ag,Dsl,RUNEX,CO,0.0007653745112651124
2018,July,Napa (SF),T6 Ag,Dsl,RUNEX,NOx,0.0033723228334706437
2018,July,Napa (SF),T6 Ag,Dsl,RUNEX,PM,0.00018709073120051433
2018,July,Napa (SF),T6 Ag,Dsl,RUNEX,PM10,0.00018596818681331135
2018,July,Napa (SF),T6 Ag,Dsl,RUNEX,PM2_5,0.00017792328537168906
2018,July,Napa (SF),T6 Ag,Dsl,IDLEX,CO,9.624447118436528e-05
2018,July,Napa (SF),T6 Ag,Dsl,IDLEX,NOx,0.0003263913343470319
2018,July,Napa (SF),T6 Ag,Dsl,IDLEX,PM,5.848312122165861e-06
2018,July,Napa (SF),T6 Ag,Dsl,IDLEX,PM10,5.81322224943286e-06
2018,July,Napa (SF),T6 Ag,Dsl,IDLEX,PM2_5,5.561744828179731e-06
2018,July,Napa (SF),T6 Ag,Dsl,STREX,NOx,2.03884168016595e-05
2018,July,Napa (SF),T6 Ag,Dsl,PMTW,PM,4.070544824194981e-06
2018,July,Napa (SF),T6 Ag,Dsl,PMTW,PM10,4.070544824194981e-06
2018,July,Napa (SF),T6 Ag,Dsl,PMTW,PM2_5,1.0176362060487453e-06
2018,July,Napa (SF),T6 Ag,Dsl,PMBW,PM,4.511520513482768e-05
2018,July,Napa (SF),T6 Ag,Dsl,PMBW,PM10,4.421290103213118e-05
2018,July,Napa (SF),T6 Ag,Dsl,PMBW,PM2_5,1.8948386156627625e-05
2018,July,Napa (SF),T6 Public,Dsl,RUNEX,CO,0.00047899593825200486
2018,July,Napa (SF),T6 Public,Dsl,RUNEX,NOx,0.012788500731060191
2018,July,Napa (SF),T6 Public,Dsl,RUNEX,PM,8.587700856274961e-05
2018,July,Napa (SF),T6 Public,Dsl,RUNEX,PM10,8.536174651137332e-05
2018,July,Napa (SF),T6 Public,Dsl,RUNEX,PM2_5,8.166903514317492e-05
2018,July,Napa (SF),T6 Public,Dsl,IDLEX,CO,0.0007241969255092788
2018,July,Napa (SF),T6 Public,Dsl,IDLEX,NOx,0.005099498458135785
2018,July,Napa (SF),T6 Public,Dsl,IDLEX,PM,1.0960561284078403e-05
2018,July,Napa (SF),T6 Public,Dsl,IDLEX,PM10,1.0894797916373908e-05
2018,July,Napa (SF),T6 Public,Dsl,IDLEX,PM2_5,1.0423493781158558e-05
2018,July,Napa (SF),T6 Public,Dsl,STREX,NOx,0.0004577412255259155
2018,July,Napa (SF),T6 Public,Dsl,PMTW,PM,2.382930532516821e-05
2018,July,Napa (SF),T6 Public,Dsl,PMTW,PM10,2.382930532516821e-05
2018,July,Napa (SF),T6 Public,Dsl,PMTW,PM2_5,5.957326331292052e-06
2018,July,Napa (SF),T6 Public,Dsl,PMBW,PM,0.0002641081340206144
2018,July,Napa (SF),T6 Public,Dsl,PMBW,PM10,0.0002588259713402019
2018,July,Napa (SF),T6 Public,Dsl,PMBW,PM2_5,0.00011092541628865806
2018,July,Napa (SF),T6 CAIRP Small,Dsl,RUNEX,CO,4.083872419850289e-05
2018,July,Napa (SF),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0002065068642688566
2018,July,Napa (SF),T6 CAIRP Small,Dsl,RUNEX,PM,8.734118817607855e-06
2018,July,Napa (SF),T6 CAIRP Small,Dsl,RUNEX,PM10,8.681714104702214e-06
2018,July,Napa (SF),T6 CAIRP Small,Dsl,RUNEX,PM2_5,8.306146995545083e-06
2018,July,Napa (SF),T6 CAIRP Small,Dsl,IDLEX,CO,2.64360146369582e-06
2018,July,Napa (SF),T6 CAIRP Small,Dsl,IDLEX,NOx,9.7417626931254e-06
2018,July,Napa (SF),T6 CAIRP Small,Dsl,IDLEX,PM,3.3783355944578786e-08
2018,July,Napa (SF),T6 CAIRP Small,Dsl,IDLEX,PM10,3.358065580891127e-08
2018,July,Napa (SF),T6 CAIRP Small,Dsl,IDLEX,PM2_5,3.21279715032944e-08
2018,July,Napa (SF),T6 CAIRP Small,Dsl,STREX,NOx,1.6032687133493545e-05
2018,July,Napa (SF),T6 CAIRP Small,Dsl,PMTW,PM,9.048055715280827e-07
2018,July,Napa (SF),T6 CAIRP Small,Dsl,PMTW,PM10,9.048055715280827e-07
2018,July,Napa (SF),T6 CAIRP Small,Dsl,PMTW,PM2_5,2.2620139288202067e-07
2018,July,Napa (SF),T6 CAIRP Small,Dsl,PMBW,PM,1.002826175110291e-05
2018,July,Napa (SF),T6 CAIRP Small,Dsl,PMBW,PM10,9.827696516080849e-06
2018,July,Napa (SF),T6 CAIRP Small,Dsl,PMBW,PM2_5,4.211869935463225e-06
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.00017525602522498618
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.001294189465032726
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM,3.547520973901192e-05
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM10,3.5262358480577764e-05
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,3.373692446180028e-05
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,IDLEX,CO,6.492495970682939e-06
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,IDLEX,NOx,1.820709018426815e-05
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM,4.772273290434634e-08
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM10,4.743639650692022e-08
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,4.538431899203331e-08
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,STREX,NOx,4.8746596406347774e-05
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,PMTW,PM,8.634530252875912e-06
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,PMTW,PM10,8.634530252875912e-06
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,2.158632563218978e-06
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,PMBW,PM,9.56993769693747e-05
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,PMBW,PM10,9.37853894299872e-05
2018,July,Napa (SF),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,4.019373832713735e-05
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,RUNEX,CO,0.0057206128051110455
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.021575733732580087
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,RUNEX,PM,0.0008515430812888624
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.0008464338228011293
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.0008098174703057074
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,IDLEX,CO,0.00015847136122839646
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.0006875045574630254
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,IDLEX,PM,3.1089315305823985e-06
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,IDLEX,PM10,3.090277941398901e-06
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,2.9565938855838623e-06
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,STREX,NOx,0.00046294853100181595
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,PMTW,PM,5.059822137709631e-05
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,PMTW,PM10,5.059822137709631e-05
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,PMTW,PM2_5,1.2649555344274077e-05
2018,July,Napa (SF),T6 Instate Construction Small,Dsl,PMBW,PM,0.000560796953596151
