calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Nevada (MC),SBUS,Gas,RUNEX,CO,1.2378309789766392e-05
2018,July,Nevada (MC),SBUS,Gas,RUNEX,NOx,5.662106314108376e-06
2018,July,Nevada (MC),SBUS,Gas,RUNEX,SOx,4.793821768361345e-07
2018,July,Nevada (MC),SBUS,Gas,RUNEX,PM,1.0059218726905807e-07
2018,July,Nevada (MC),SBUS,Gas,RUNEX,TOG,1.3470162905511268e-06
2018,July,Nevada (MC),SBUS,Gas,RUNEX,PM10,8.99294154185379e-08
2018,July,Nevada (MC),SBUS,Gas,RUNEX,PM2_5,8.268677793516571e-08
2018,July,Nevada (MC),SBUS,Gas,IDLEX,CO,9.887497643900672e-05
2018,July,Nevada (MC),SBUS,Gas,IDLEX,NOx,1.11393110253062e-06
2018,July,Nevada (MC),SBUS,Gas,IDLEX,SOx,2.9767605471402484e-08
2018,July,Nevada (MC),SBUS,Gas,IDLEX,TOG,1.8668798553563883e-05
2018,July,Nevada (MC),SBUS,Gas,STREX,CO,2.7657825502715663e-05
2018,July,Nevada (MC),SBUS,Gas,STREX,NOx,2.2017111363549197e-06
2018,July,Nevada (MC),SBUS,Gas,STREX,SOx,2.0320169431134377e-09
2018,July,Nevada (MC),SBUS,Gas,STREX,PM,3.786223609692044e-09
2018,July,Nevada (MC),SBUS,Gas,STREX,TOG,1.3121422327800885e-06
2018,July,Nevada (MC),SBUS,Gas,STREX,PM10,3.3848839070646874e-09
2018,July,Nevada (MC),SBUS,Gas,STREX,PM2_5,3.11227580716686e-09
2018,July,Nevada (MC),SBUS,Gas,HOTSOAK,TOG,3.472978880634529e-08
2018,July,Nevada (MC),SBUS,Gas,RUNLOSS,TOG,1.6147064937316775e-07
2018,July,Nevada (MC),SBUS,Gas,RESTLOSS,TOG,6.1658068087090935e-09
2018,July,Nevada (MC),SBUS,Gas,DIURN,TOG,2.2966570725652072e-08
2018,July,Nevada (MC),SBUS,Gas,PMTW,PM,4.643065554447982e-07
2018,July,Nevada (MC),SBUS,Gas,PMTW,PM10,4.643065554447982e-07
2018,July,Nevada (MC),SBUS,Gas,PMTW,PM2_5,1.1607663886119954e-07
2018,July,Nevada (MC),SBUS,Gas,PMBW,PM,4.4109122186872634e-05
2018,July,Nevada (MC),SBUS,Gas,PMBW,PM10,4.322693974313517e-05
2018,July,Nevada (MC),SBUS,Gas,PMBW,PM2_5,1.8525831318486505e-05
2018,July,Nevada (MC),T6 Public,Dsl,RUNEX,CO,0.0005747318709329922
2018,July,Nevada (MC),T6 Public,Dsl,RUNEX,NOx,0.015114833721380882
2018,July,Nevada (MC),T6 Public,Dsl,RUNEX,PM,0.00010547710135928906
2018,July,Nevada (MC),T6 Public,Dsl,RUNEX,PM10,0.0001048442387511333
2018,July,Nevada (MC),T6 Public,Dsl,RUNEX,PM2_5,0.00010030872339268376
2018,July,Nevada (MC),T6 Public,Dsl,IDLEX,CO,0.0006170395656050882
2018,July,Nevada (MC),T6 Public,Dsl,IDLEX,NOx,0.005735720505003725
2018,July,Nevada (MC),T6 Public,Dsl,IDLEX,PM,1.4745405269339904e-05
