calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Orange (SC),SBUS,Gas,RUNEX,CO,0.08264291956003289
2018,July,Orange (SC),SBUS,Gas,RUNEX,NOx,0.013791820677061773
2018,July,Orange (SC),SBUS,Gas,RUNEX,SOx,0.00018566191545528322
2018,July,Orange (SC),SBUS,Gas,RUNEX,PM,4.3118228113544035e-05
2018,July,Orange (SC),SBUS,Gas,RUNEX,TOG,0.005197599485690956
2018,July,Orange (SC),SBUS,Gas,RUNEX,PM10,3.8547695933508353e-05
2018,July,Orange (SC),SBUS,Gas,RUNEX,PM2_5,3.5443183509333196e-05
2018,July,Orange (SC),SBUS,Gas,IDLEX,CO,0.038570258974587886
2018,July,Orange (SC),SBUS,Gas,IDLEX,NOx,0.00043460241070277574
2018,July,Orange (SC),SBUS,Gas,IDLEX,SOx,1.2455139113800215e-05
2018,July,Orange (SC),SBUS,Gas,IDLEX,TOG,0.007263041257545776
2018,July,Orange (SC),SBUS,Gas,STREX,CO,0.013816099786077634
2018,July,Orange (SC),SBUS,Gas,STREX,NOx,0.0009544257028954013
2018,July,Orange (SC),SBUS,Gas,STREX,SOx,8.929902672543334e-07
2018,July,Orange (SC),SBUS,Gas,STREX,PM,1.4424352047288343e-06
2018,July,Orange (SC),SBUS,Gas,STREX,TOG,0.0006873975780421131
2018,July,Orange (SC),SBUS,Gas,STREX,PM10,1.289537073027578e-06
2018,July,Orange (SC),SBUS,Gas,STREX,PM2_5,1.1856817382871016e-06
2018,July,Orange (SC),SBUS,Gas,HOTSOAK,TOG,0.0002486331470295084
2018,July,Orange (SC),SBUS,Gas,RUNLOSS,TOG,0.002039114462586007
2018,July,Orange (SC),SBUS,Gas,RESTLOSS,TOG,1.9316359648491784e-05
2018,July,Orange (SC),SBUS,Gas,DIURN,TOG,3.8275839884724196e-05
2018,July,Orange (SC),SBUS,Gas,PMTW,PM,0.0001671242066523177
2018,July,Orange (SC),SBUS,Gas,PMTW,PM10,0.0001671242066523177
2018,July,Orange (SC),SBUS,Gas,PMTW,PM2_5,4.1781051663079426e-05
2018,July,Orange (SC),SBUS,Gas,PMBW,PM,0.015876799423064924
2018,July,Orange (SC),SBUS,Gas,PMBW,PM10,0.015559263434603638
2018,July,Orange (SC),SBUS,Gas,PMBW,PM2_5,0.006668255757687268
2018,July,Orange (SC),T6 Ag,Dsl,RUNEX,CO,2.5469710522865464e-05
2018,July,Orange (SC),T6 Ag,Dsl,RUNEX,NOx,6.576543360050814e-05
2018,July,Orange (SC),T6 Ag,Dsl,RUNEX,PM,6.780763742468024e-06
2018,July,Orange (SC),T6 Ag,Dsl,RUNEX,PM10,6.7400791600132136e-06
2018,July,Orange (SC),T6 Ag,Dsl,RUNEX,PM2_5,6.4485063190870885e-06
2018,July,Orange (SC),T6 Ag,Dsl,IDLEX,CO,4.832760491501397e-06
2018,July,Orange (SC),T6 Ag,Dsl,IDLEX,NOx,5.4139380464948046e-06
2018,July,Orange (SC),T6 Ag,Dsl,IDLEX,PM,4.423958056976749e-07
2018,July,Orange (SC),T6 Ag,Dsl,IDLEX,PM10,4.3974143086348883e-07
2018,July,Orange (SC),T6 Ag,Dsl,IDLEX,PM2_5,4.2071841121848884e-07
2018,July,Orange (SC),T6 Ag,Dsl,PMTW,PM,6.523573054353746e-08
2018,July,Orange (SC),T6 Ag,Dsl,PMTW,PM10,6.523573054353746e-08
2018,July,Orange (SC),T6 Ag,Dsl,PMTW,PM2_5,1.6308932635884365e-08
2018,July,Orange (SC),T6 Ag,Dsl,PMBW,PM,7.230293468575403e-07
2018,July,Orange (SC),T6 Ag,Dsl,PMBW,PM10,7.085687599203891e-07
2018,July,Orange (SC),T6 Ag,Dsl,PMBW,PM2_5,3.036723256801668e-07
2018,July,Orange (SC),T6 Public,Dsl,RUNEX,CO,0.001671409394716496
2018,July,Orange (SC),T6 Public,Dsl,RUNEX,NOx,0.06163171563606024
2018,July,Orange (SC),T6 Public,Dsl,RUNEX,PM,0.00041147146931749134
2018,July,Orange (SC),T6 Public,Dsl,RUNEX,PM10,0.00040900264050158585
2018,July,Orange (SC),T6 Public,Dsl,RUNEX,PM2_5,0.00039130936732093366
2018,July,Orange (SC),T6 Public,Dsl,IDLEX,CO,0.0027857048914041237
2018,July,Orange (SC),T6 Public,Dsl,IDLEX,NOx,0.028682446423537063
2018,July,Orange (SC),T6 Public,Dsl,IDLEX,PM,7.055388276240598e-05
2018,July,Orange (SC),T6 Public,Dsl,IDLEX,PM10,7.013055946583181e-05
2018,July,Orange (SC),T6 Public,Dsl,IDLEX,PM2_5,6.709674250704823e-05
2018,July,Orange (SC),T6 Public,Dsl,STREX,NOx,0.0014019591615579644
2018,July,Orange (SC),T6 Public,Dsl,PMTW,PM,0.00011059899438900014
2018,July,Orange (SC),T6 Public,Dsl,PMTW,PM10,0.00011059899438900014
2018,July,Orange (SC),T6 Public,Dsl,PMTW,PM2_5,2.7649748597250035e-05
2018,July,Orange (SC),T6 Public,Dsl,PMBW,PM,0.0012258055211447532
2018,July,Orange (SC),T6 Public,Dsl,PMBW,PM10,0.001201289410721855
2018,July,Orange (SC),T6 Public,Dsl,PMBW,PM2_5,0.0005148383188807958
2018,July,Orange (SC),T6 CAIRP Small,Dsl,RUNEX,CO,0.00063081687616999
2018,July,Orange (SC),T6 CAIRP Small,Dsl,RUNEX,NOx,0.003211148326174697
2018,July,Orange (SC),T6 CAIRP Small,Dsl,RUNEX,PM,0.0001243230116576582
2018,July,Orange (SC),T6 CAIRP Small,Dsl,RUNEX,PM10,0.00012357707358771216
2018,July,Orange (SC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,0.00011823118408643301
2018,July,Orange (SC),T6 CAIRP Small,Dsl,IDLEX,CO,5.261989173371017e-05
2018,July,Orange (SC),T6 CAIRP Small,Dsl,IDLEX,NOx,0.0001690856002892757
2018,July,Orange (SC),T6 CAIRP Small,Dsl,IDLEX,PM,5.514441072315815e-07
2018,July,Orange (SC),T6 CAIRP Small,Dsl,IDLEX,PM10,5.481354425881924e-07
2018,July,Orange (SC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,5.244233459772349e-07
2018,July,Orange (SC),T6 CAIRP Small,Dsl,STREX,NOx,0.0003515466672640674
2018,July,Orange (SC),T6 CAIRP Small,Dsl,PMTW,PM,1.807587182136134e-05
2018,July,Orange (SC),T6 CAIRP Small,Dsl,PMTW,PM10,1.807587182136134e-05
2018,July,Orange (SC),T6 CAIRP Small,Dsl,PMTW,PM2_5,4.518967955340335e-06
2018,July,Orange (SC),T6 CAIRP Small,Dsl,PMBW,PM,0.00020034091268675486
2018,July,Orange (SC),T6 CAIRP Small,Dsl,PMBW,PM10,0.00019633409443301977
2018,July,Orange (SC),T6 CAIRP Small,Dsl,PMBW,PM2_5,8.414318332843705e-05
2018,July,Orange (SC),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.0025791414859307063
2018,July,Orange (SC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.018197784666360774
2018,July,Orange (SC),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.00048013418535364596
2018,July,Orange (SC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.00047725338024152443
2018,July,Orange (SC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.0004566076102713175
2018,July,Orange (SC),T6 CAIRP Heavy,Dsl,IDLEX,CO,9.93793157590939e-05
2018,July,Orange (SC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,0.0002815544764252946
