calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Placer (LT),SBUS,Gas,RUNEX,CO,0.0002009262360088352
2018,July,Placer (LT),SBUS,Gas,RUNEX,NOx,4.0478021882895026e-05
2018,July,Placer (LT),SBUS,Gas,RUNEX,SOx,5.826093795139791e-07
2018,July,Placer (LT),SBUS,Gas,RUNEX,PM,1.2506097780107085e-07
2018,July,Placer (LT),SBUS,Gas,RUNEX,TOG,1.182522623641945e-05
2018,July,Placer (LT),SBUS,Gas,RUNEX,PM10,1.1180451415415737e-07
2018,July,Placer (LT),SBUS,Gas,RUNEX,PM2_5,1.0280012375248022e-07
2018,July,Placer (LT),SBUS,Gas,IDLEX,CO,0.00010697627080672386
2018,July,Placer (LT),SBUS,Gas,IDLEX,NOx,1.2053195158928944e-06
2018,July,Placer (LT),SBUS,Gas,IDLEX,SOx,3.4223032407721326e-08
2018,July,Placer (LT),SBUS,Gas,IDLEX,TOG,2.0146379025498267e-05
2018,July,Placer (LT),SBUS,Gas,STREX,CO,6.175407632363732e-05
2018,July,Placer (LT),SBUS,Gas,STREX,NOx,2.8613477397240824e-06
2018,July,Placer (LT),SBUS,Gas,STREX,SOx,2.8401088715725073e-09
2018,July,Placer (LT),SBUS,Gas,STREX,PM,3.6571479734667857e-09
2018,July,Placer (LT),SBUS,Gas,STREX,TOG,2.3648773028591367e-06
2018,July,Placer (LT),SBUS,Gas,STREX,PM10,3.269490288279304e-09
2018,July,Placer (LT),SBUS,Gas,STREX,PM2_5,3.0061756341896986e-09
2018,July,Placer (LT),SBUS,Gas,HOTSOAK,TOG,4.863874560248944e-07
2018,July,Placer (LT),SBUS,Gas,RUNLOSS,TOG,4.634036008906036e-06
2018,July,Placer (LT),SBUS,Gas,RESTLOSS,TOG,2.3595143775322827e-08
2018,July,Placer (LT),SBUS,Gas,DIURN,TOG,1.1505190867126346e-07
2018,July,Placer (LT),SBUS,Gas,PMTW,PM,5.356889837078378e-07
2018,July,Placer (LT),SBUS,Gas,PMTW,PM10,5.356889837078378e-07
2018,July,Placer (LT),SBUS,Gas,PMTW,PM2_5,1.3392224592695944e-07
2018,July,Placer (LT),SBUS,Gas,PMBW,PM,5.089045278263335e-05
2018,July,Placer (LT),SBUS,Gas,PMBW,PM10,4.987264372698071e-05
2018,July,Placer (LT),SBUS,Gas,PMBW,PM2_5,2.1373990168705997e-05
2018,July,Placer (LT),T6 Public,Dsl,RUNEX,CO,0.00015674789200711362
2018,July,Placer (LT),T6 Public,Dsl,RUNEX,NOx,0.0035228291735049594
2018,July,Placer (LT),T6 Public,Dsl,RUNEX,PM,2.5416124106158383e-05
2018,July,Placer (LT),T6 Public,Dsl,RUNEX,PM10,2.5263627361521438e-05
2018,July,Placer (LT),T6 Public,Dsl,RUNEX,PM2_5,2.417073402495664e-05
2018,July,Placer (LT),T6 Public,Dsl,IDLEX,CO,0.00016927655177095068
2018,July,Placer (LT),T6 Public,Dsl,IDLEX,NOx,0.0017001859097520574
2018,July,Placer (LT),T6 Public,Dsl,IDLEX,PM,3.3431115159874005e-06
2018,July,Placer (LT),T6 Public,Dsl,IDLEX,PM10,3.323052846891476e-06
2018,July,Placer (LT),T6 Public,Dsl,IDLEX,PM2_5,3.1792990517040164e-06
2018,July,Placer (LT),T6 Public,Dsl,STREX,NOx,8.646013449400408e-05
2018,July,Placer (LT),T6 Public,Dsl,PMTW,PM,6.675045463307644e-06
2018,July,Placer (LT),T6 Public,Dsl,PMTW,PM10,6.675045463307644e-06
2018,July,Placer (LT),T6 Public,Dsl,PMTW,PM2_5,1.668761365826911e-06
2018,July,Placer (LT),T6 Public,Dsl,PMBW,PM,7.398175388499307e-05
2018,July,Placer (LT),T6 Public,Dsl,PMBW,PM10,7.250211880729326e-05
2018,July,Placer (LT),T6 Public,Dsl,PMBW,PM2_5,3.107233663169709e-05
2018,July,Placer (LT),T6 CAIRP Small,Dsl,RUNEX,CO,1.722997798457468e-05
2018,July,Placer (LT),T6 CAIRP Small,Dsl,RUNEX,NOx,8.963336862095725e-05
2018,July,Placer (LT),T6 CAIRP Small,Dsl,RUNEX,PM,3.6843463713053865e-06
2018,July,Placer (LT),T6 CAIRP Small,Dsl,RUNEX,PM10,3.6622402930775524e-06
2018,July,Placer (LT),T6 CAIRP Small,Dsl,RUNEX,PM2_5,3.5038133991114223e-06
2018,July,Placer (LT),T6 CAIRP Small,Dsl,IDLEX,CO,1.1419952152162343e-06
2018,July,Placer (LT),T6 CAIRP Small,Dsl,IDLEX,NOx,4.157759914975211e-06
2018,July,Placer (LT),T6 CAIRP Small,Dsl,IDLEX,PM,1.4216755646800804e-08
2018,July,Placer (LT),T6 CAIRP Small,Dsl,IDLEX,PM10,1.4131455112919991e-08
2018,July,Placer (LT),T6 CAIRP Small,Dsl,IDLEX,PM2_5,1.3520134620107562e-08
2018,July,Placer (LT),T6 CAIRP Small,Dsl,STREX,NOx,7.019325337676776e-06
2018,July,Placer (LT),T6 CAIRP Small,Dsl,PMTW,PM,3.915303224589255e-07
2018,July,Placer (LT),T6 CAIRP Small,Dsl,PMTW,PM10,3.915303224589255e-07
