calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Placer (MC),SBUS,Gas,RUNEX,CO,9.331849714488078e-06
2018,July,Placer (MC),SBUS,Gas,RUNEX,NOx,4.506549443637774e-06
2018,July,Placer (MC),SBUS,Gas,RUNEX,SOx,3.8660756734914736e-07
2018,July,Placer (MC),SBUS,Gas,RUNEX,PM,7.638168100789952e-08
2018,July,Placer (MC),SBUS,Gas,RUNEX,TOG,1.020314606066875e-06
2018,July,Placer (MC),SBUS,Gas,RUNEX,PM10,6.828522282106217e-08
2018,July,Placer (MC),SBUS,Gas,RUNEX,PM2_5,6.278574178849339e-08
2018,July,Placer (MC),SBUS,Gas,IDLEX,CO,6.740689395152939e-05
2018,July,Placer (MC),SBUS,Gas,IDLEX,NOx,7.594098972444317e-07
2018,July,Placer (MC),SBUS,Gas,IDLEX,SOx,2.029372746743029e-08
2018,July,Placer (MC),SBUS,Gas,IDLEX,TOG,1.2727241710938074e-05
2018,July,Placer (MC),SBUS,Gas,STREX,CO,2.0350331425784274e-05
2018,July,Placer (MC),SBUS,Gas,STREX,NOx,1.5135288220113879e-06
2018,July,Placer (MC),SBUS,Gas,STREX,SOx,1.4099290931273374e-09
2018,July,Placer (MC),SBUS,Gas,STREX,PM,2.581353171734682e-09
2018,July,Placer (MC),SBUS,Gas,STREX,TOG,9.332951832981674e-07
2018,July,Placer (MC),SBUS,Gas,STREX,PM10,2.3077297355308055e-09
2018,July,Placer (MC),SBUS,Gas,STREX,PM2_5,2.121872307165908e-09
2018,July,Placer (MC),SBUS,Gas,HOTSOAK,TOG,2.1633456318373257e-08
2018,July,Placer (MC),SBUS,Gas,RUNLOSS,TOG,1.0951414624571592e-07
2018,July,Placer (MC),SBUS,Gas,RESTLOSS,TOG,4.0894351608414005e-09
2018,July,Placer (MC),SBUS,Gas,DIURN,TOG,1.4658756096797407e-08
2018,July,Placer (MC),SBUS,Gas,PMTW,PM,3.783350897787008e-07
2018,July,Placer (MC),SBUS,Gas,PMTW,PM10,3.783350897787008e-07
2018,July,Placer (MC),SBUS,Gas,PMTW,PM2_5,9.45837724446752e-08
2018,July,Placer (MC),SBUS,Gas,PMBW,PM,3.594183305605771e-05
2018,July,Placer (MC),SBUS,Gas,PMBW,PM10,3.5222996394936566e-05
2018,July,Placer (MC),SBUS,Gas,PMBW,PM2_5,1.509556988354424e-05
2018,July,Placer (MC),T6 Public,Dsl,RUNEX,CO,5.372261602777557e-05
2018,July,Placer (MC),T6 Public,Dsl,RUNEX,NOx,0.0011836387081525222
2018,July,Placer (MC),T6 Public,Dsl,RUNEX,PM,6.69141052079163e-06
2018,July,Placer (MC),T6 Public,Dsl,RUNEX,PM10,6.651262057666885e-06
2018,July,Placer (MC),T6 Public,Dsl,RUNEX,PM2_5,6.363531405272848e-06
2018,July,Placer (MC),T6 Public,Dsl,IDLEX,CO,0.00010102253056446593
2018,July,Placer (MC),T6 Public,Dsl,IDLEX,NOx,0.0005674262277027929
2018,July,Placer (MC),T6 Public,Dsl,IDLEX,PM,6.824977378260024e-07
2018,July,Placer (MC),T6 Public,Dsl,IDLEX,PM10,6.784027513990467e-07
2018,July,Placer (MC),T6 Public,Dsl,IDLEX,PM2_5,6.490553486725278e-07
2018,July,Placer (MC),T6 Public,Dsl,STREX,NOx,7.242762056732066e-05
2018,July,Placer (MC),T6 Public,Dsl,PMTW,PM,3.184698616696215e-06
2018,July,Placer (MC),T6 Public,Dsl,PMTW,PM10,3.184698616696215e-06
2018,July,Placer (MC),T6 Public,Dsl,PMTW,PM2_5,7.961746541740538e-07
2018,July,Placer (MC),T6 Public,Dsl,PMBW,PM,3.529707633504971e-05
2018,July,Placer (MC),T6 Public,Dsl,PMBW,PM10,3.459113480834873e-05
2018,July,Placer (MC),T6 Public,Dsl,PMBW,PM2_5,1.4824772060720886e-05
2018,July,Placer (MC),T6 CAIRP Small,Dsl,RUNEX,CO,1.057904829325841e-05
2018,July,Placer (MC),T6 CAIRP Small,Dsl,RUNEX,NOx,5.443528179391247e-05
2018,July,Placer (MC),T6 CAIRP Small,Dsl,RUNEX,PM,2.2596304473892772e-06
2018,July,Placer (MC),T6 CAIRP Small,Dsl,RUNEX,PM10,2.246072664704943e-06
2018,July,Placer (MC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,2.1489085554672044e-06
2018,July,Placer (MC),T6 CAIRP Small,Dsl,IDLEX,CO,6.910740515678593e-07
2018,July,Placer (MC),T6 CAIRP Small,Dsl,IDLEX,NOx,2.531498178923965e-06
2018,July,Placer (MC),T6 CAIRP Small,Dsl,IDLEX,PM,8.790031485038438e-09
2018,July,Placer (MC),T6 CAIRP Small,Dsl,IDLEX,PM10,8.73729129612822e-09
2018,July,Placer (MC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,8.359319942271548e-09
2018,July,Placer (MC),T6 CAIRP Small,Dsl,STREX,NOx,4.203267268006674e-06
2018,July,Placer (MC),T6 CAIRP Small,Dsl,PMTW,PM,2.3629108413422367e-07
2018,July,Placer (MC),T6 CAIRP Small,Dsl,PMTW,PM10,2.3629108413422367e-07
2018,July,Placer (MC),T6 CAIRP Small,Dsl,PMTW,PM2_5,5.907277103355592e-08
2018,July,Placer (MC),T6 CAIRP Small,Dsl,PMBW,PM,2.6188928491543127e-06
2018,July,Placer (MC),T6 CAIRP Small,Dsl,PMBW,PM10,2.566514992171225e-06
2018,July,Placer (MC),T6 CAIRP Small,Dsl,PMBW,PM2_5,1.0999349966448108e-06
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,RUNEX,CO,4.257527181682511e-05
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.0003109164489143292
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM,8.831415338307227e-06
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,8.778426846277385e-06
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,8.39867598673018e-06
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,IDLEX,CO,1.322328805475904e-06
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,4.2204373834020925e-06
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM,1.2050153311876952e-08
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM10,1.1977852392005692e-08
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,1.1459695799594983e-08
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,STREX,NOx,9.31440641880601e-06
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,PMTW,PM,1.7235969782570323e-06
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,PMTW,PM10,1.7235969782570323e-06
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,4.308992445642581e-07
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,PMBW,PM,1.9103199842348768e-05
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,PMBW,PM10,1.8721135845501805e-05
2018,July,Placer (MC),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,8.023343933786484e-06
