calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Placer (SV),SBUS,Gas,RUNEX,CO,0.0035220886737824244
2018,July,Placer (SV),SBUS,Gas,RUNEX,NOx,0.0009056025394166187
2018,July,Placer (SV),SBUS,Gas,RUNEX,SOx,5.683880468312668e-06
2018,July,Placer (SV),SBUS,Gas,RUNEX,PM,2.8505124799941225e-06
2018,July,Placer (SV),SBUS,Gas,RUNEX,TOG,0.00024538713673763935
2018,July,Placer (SV),SBUS,Gas,RUNEX,PM10,2.548358157114746e-06
2018,July,Placer (SV),SBUS,Gas,RUNEX,PM2_5,2.343121258555169e-06
2018,July,Placer (SV),SBUS,Gas,IDLEX,CO,0.0012176349938570808
2018,July,Placer (SV),SBUS,Gas,IDLEX,NOx,1.3721397317926431e-05
2018,July,Placer (SV),SBUS,Gas,IDLEX,SOx,4.053703476495948e-07
2018,July,Placer (SV),SBUS,Gas,IDLEX,TOG,0.00022691351833778852
2018,July,Placer (SV),SBUS,Gas,STREX,CO,0.0006540380431102384
2018,July,Placer (SV),SBUS,Gas,STREX,NOx,3.350726257826882e-05
2018,July,Placer (SV),SBUS,Gas,STREX,SOx,3.253693037247126e-08
2018,July,Placer (SV),SBUS,Gas,STREX,PM,7.870696878583766e-08
2018,July,Placer (SV),SBUS,Gas,STREX,TOG,2.958007143040297e-05
2018,July,Placer (SV),SBUS,Gas,STREX,PM10,7.036403009453887e-08
2018,July,Placer (SV),SBUS,Gas,STREX,PM2_5,6.469712834195854e-08
2018,July,Placer (SV),SBUS,Gas,HOTSOAK,TOG,2.1380511891170472e-05
2018,July,Placer (SV),SBUS,Gas,RUNLOSS,TOG,0.000156885231442247
2018,July,Placer (SV),SBUS,Gas,RESTLOSS,TOG,1.3705871283562148e-06
2018,July,Placer (SV),SBUS,Gas,DIURN,TOG,7.882630383254418e-06
2018,July,Placer (SV),SBUS,Gas,PMTW,PM,5.172374959995205e-06
2018,July,Placer (SV),SBUS,Gas,PMTW,PM10,5.172374959995205e-06
2018,July,Placer (SV),SBUS,Gas,PMTW,PM2_5,1.2930937399988014e-06
2018,July,Placer (SV),SBUS,Gas,PMBW,PM,0.0004913756147340758
2018,July,Placer (SV),SBUS,Gas,PMBW,PM10,0.0004815481024393945
2018,July,Placer (SV),SBUS,Gas,PMBW,PM2_5,0.00020637775818831163
2018,July,Placer (SV),T6 Public,Dsl,RUNEX,CO,0.0015913492946507792
2018,July,Placer (SV),T6 Public,Dsl,RUNEX,NOx,0.041091806360066506
2018,July,Placer (SV),T6 Public,Dsl,RUNEX,PM,0.0002776015740271421
2018,July,Placer (SV),T6 Public,Dsl,RUNEX,PM10,0.0002759359645829795
2018,July,Placer (SV),T6 Public,Dsl,RUNEX,PM2_5,0.0002639990968998122
2018,July,Placer (SV),T6 Public,Dsl,IDLEX,CO,0.0021029445995265745
2018,July,Placer (SV),T6 Public,Dsl,IDLEX,NOx,0.017576544002358446
2018,July,Placer (SV),T6 Public,Dsl,IDLEX,PM,3.4015348985344345e-05
2018,July,Placer (SV),T6 Public,Dsl,IDLEX,PM10,3.381125689143242e-05
2018,July,Placer (SV),T6 Public,Dsl,IDLEX,PM2_5,3.234859688506263e-05
2018,July,Placer (SV),T6 Public,Dsl,STREX,NOx,0.0012571748565663463
2018,July,Placer (SV),T6 Public,Dsl,PMTW,PM,7.666490350694012e-05
2018,July,Placer (SV),T6 Public,Dsl,PMTW,PM10,7.666490350694012e-05
2018,July,Placer (SV),T6 Public,Dsl,PMTW,PM2_5,1.916622587673503e-05
2018,July,Placer (SV),T6 Public,Dsl,PMBW,PM,0.0008497026805352531
2018,July,Placer (SV),T6 Public,Dsl,PMBW,PM10,0.0008327086269245486
2018,July,Placer (SV),T6 Public,Dsl,PMBW,PM2_5,0.00035687512582480705
2018,July,Placer (SV),T6 CAIRP Small,Dsl,RUNEX,CO,0.0002974775739716407
2018,July,Placer (SV),T6 CAIRP Small,Dsl,RUNEX,NOx,0.001582278983440951
2018,July,Placer (SV),T6 CAIRP Small,Dsl,RUNEX,PM,6.241104302275648e-05
2018,July,Placer (SV),T6 CAIRP Small,Dsl,RUNEX,PM10,6.203657676461994e-05
2018,July,Placer (SV),T6 CAIRP Small,Dsl,RUNEX,PM2_5,5.9352901914641384e-05
2018,July,Placer (SV),T6 CAIRP Small,Dsl,IDLEX,CO,2.5193770376754408e-05
2018,July,Placer (SV),T6 CAIRP Small,Dsl,IDLEX,NOx,7.684682049158505e-05
2018,July,Placer (SV),T6 CAIRP Small,Dsl,IDLEX,PM,2.41453326297581e-07
2018,July,Placer (SV),T6 CAIRP Small,Dsl,IDLEX,PM10,2.400046063397954e-07
2018,July,Placer (SV),T6 CAIRP Small,Dsl,IDLEX,PM2_5,2.296221133089995e-07
2018,July,Placer (SV),T6 CAIRP Small,Dsl,STREX,NOx,0.0001741228331976385
2018,July,Placer (SV),T6 CAIRP Small,Dsl,PMTW,PM,8.684747697636786e-06
2018,July,Placer (SV),T6 CAIRP Small,Dsl,PMTW,PM10,8.684747697636786e-06
2018,July,Placer (SV),T6 CAIRP Small,Dsl,PMTW,PM2_5,2.1711869244091966e-06
2018,July,Placer (SV),T6 CAIRP Small,Dsl,PMBW,PM,9.625595364880782e-05
2018,July,Placer (SV),T6 CAIRP Small,Dsl,PMBW,PM10,9.433083457583163e-05
2018,July,Placer (SV),T6 CAIRP Small,Dsl,PMBW,PM2_5,4.042750053249925e-05
2018,July,Placer (SV),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.001191901041626201
2018,July,Placer (SV),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.008811901663029885
2018,July,Placer (SV),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.0002417506229936384
2018,July,Placer (SV),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.0002403001192556767
2018,July,Placer (SV),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.00022990484246695006
2018,July,Placer (SV),T6 CAIRP Heavy,Dsl,IDLEX,CO,4.333296199588329e-05
2018,July,Placer (SV),T6 CAIRP Heavy,Dsl,IDLEX,NOx,0.00012310637980978768
2018,July,Placer (SV),T6 CAIRP Heavy,Dsl,IDLEX,PM,3.2813008067193264e-07
2018,July,Placer (SV),T6 CAIRP Heavy,Dsl,IDLEX,PM10,3.261613001879012e-07
