calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Plumas (MC),SBUS,Gas,RUNEX,CO,5.4386064144838574e-05
2018,July,Plumas (MC),SBUS,Gas,RUNEX,NOx,3.120830048867071e-05
2018,July,Plumas (MC),SBUS,Gas,RUNEX,SOx,2.4581223141698175e-06
2018,July,Plumas (MC),SBUS,Gas,RUNEX,PM,1.3073842988723664e-07
2018,July,Plumas (MC),SBUS,Gas,RUNEX,TOG,4.881150133746138e-06
2018,July,Plumas (MC),SBUS,Gas,RUNEX,PM10,1.1688015631918959e-07
2018,July,Plumas (MC),SBUS,Gas,RUNEX,PM2_5,1.0746698936730859e-07
2018,July,Plumas (MC),SBUS,Gas,IDLEX,CO,0.0004459072796720375
2018,July,Plumas (MC),SBUS,Gas,IDLEX,NOx,5.023616748752492e-06
2018,July,Plumas (MC),SBUS,Gas,IDLEX,SOx,1.453825092537025e-07
2018,July,Plumas (MC),SBUS,Gas,IDLEX,TOG,8.419271971103965e-05
2018,July,Plumas (MC),SBUS,Gas,STREX,CO,0.0001299110207127947
2018,July,Plumas (MC),SBUS,Gas,STREX,NOx,1.1738067987725531e-05
2018,July,Plumas (MC),SBUS,Gas,STREX,SOx,9.872315732018264e-09
2018,July,Plumas (MC),SBUS,Gas,STREX,PM,4.076069067229886e-09
2018,July,Plumas (MC),SBUS,Gas,STREX,TOG,5.9136182462972e-06
2018,July,Plumas (MC),SBUS,Gas,STREX,PM10,3.644005746103519e-09
2018,July,Plumas (MC),SBUS,Gas,STREX,PM2_5,3.3505287732629675e-09
2018,July,Plumas (MC),SBUS,Gas,HOTSOAK,TOG,6.144648266149014e-07
2018,July,Plumas (MC),SBUS,Gas,RUNLOSS,TOG,4.0538920471718375e-06
2018,July,Plumas (MC),SBUS,Gas,RESTLOSS,TOG,6.268589550289552e-08
2018,July,Plumas (MC),SBUS,Gas,DIURN,TOG,1.8286568628255332e-07
2018,July,Plumas (MC),SBUS,Gas,PMTW,PM,2.1865358933806132e-06
2018,July,Plumas (MC),SBUS,Gas,PMTW,PM10,2.1865358933806132e-06
2018,July,Plumas (MC),SBUS,Gas,PMTW,PM2_5,5.466339733451533e-07
2018,July,Plumas (MC),SBUS,Gas,PMBW,PM,0.00020772090713798853
2018,July,Plumas (MC),SBUS,Gas,PMBW,PM10,0.00020356648899522877
2018,July,Plumas (MC),SBUS,Gas,PMBW,PM2_5,8.724278099795521e-05
2018,July,Plumas (MC),T6 Public,Dsl,RUNEX,CO,0.00029440299590832004
2018,July,Plumas (MC),T6 Public,Dsl,RUNEX,NOx,0.008856351617514446
2018,July,Plumas (MC),T6 Public,Dsl,RUNEX,PM,6.842988397173638e-05
2018,July,Plumas (MC),T6 Public,Dsl,RUNEX,PM10,6.801930466790602e-05
2018,July,Plumas (MC),T6 Public,Dsl,RUNEX,PM2_5,6.507681965712132e-05
2018,July,Plumas (MC),T6 Public,Dsl,IDLEX,CO,0.00021206654937344085
2018,July,Plumas (MC),T6 Public,Dsl,IDLEX,NOx,0.003190793858154679
2018,July,Plumas (MC),T6 Public,Dsl,IDLEX,PM,1.0652924890911775e-05
2018,July,Plumas (MC),T6 Public,Dsl,IDLEX,PM10,1.058900734156631e-05
