calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNEX,CO,0.0006690788620822563
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNEX,NOx,0.00012668849242705352
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNEX,SOx,1.8701323649607255e-06
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNEX,PM,4.302693450040338e-07
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNEX,TOG,4.33342899867431e-05
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNEX,PM10,3.846607944336061e-07
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNEX,PM2_5,3.536814015933154e-07
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,CO,0.000335746878486261
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,NOx,3.782986519862079e-06
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,SOx,1.0860387935580852e-07
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,IDLEX,TOG,6.31989354684118e-05
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,STREX,CO,0.00010901082545022627
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,STREX,NOx,8.393765141353861e-06
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,STREX,SOx,7.592960112778549e-09
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,STREX,PM,1.1217607607223964e-08
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,STREX,TOG,5.515091990040075e-06
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,STREX,PM10,1.002854120085822e-08
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,STREX,PM2_5,9.220873453138099e-09
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,HOTSOAK,TOG,3.214418047464564e-06
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,RUNLOSS,TOG,2.1901590142190208e-05
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,RESTLOSS,TOG,3.1344594674484917e-07
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,DIURN,TOG,1.1191371674147696e-06
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,PMTW,PM,1.6904406048594168e-06
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,PMTW,PM10,1.6904406048594168e-06
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,PMTW,PM2_5,4.226101512148542e-07
2018,July,Riverside (MD/MDAQMD),SBUS,Gas,PMBW,PM,0.0001605918553485938
