calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,RUNEX,CO,0.0009226097630840114
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,RUNEX,NOx,0.0001732214163956754
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,RUNEX,SOx,2.360394585242103e-06
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,RUNEX,PM,5.478335877608224e-07
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,RUNEX,TOG,5.949142992075281e-05
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,RUNEX,PM10,4.897632274581755e-07
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,RUNEX,PM2_5,4.503192091393965e-07
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,IDLEX,CO,0.00044609087032842473
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,IDLEX,NOx,5.026308850100475e-06
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,IDLEX,SOx,1.4489133697029167e-07
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,IDLEX,TOG,8.395406782979078e-05
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,STREX,CO,0.00014643925574799545
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,STREX,NOx,1.1224394833670647e-05
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,STREX,SOx,1.0149899605059549e-08
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,STREX,PM,1.477463519077748e-08
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,STREX,TOG,7.421970272927762e-06
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,STREX,PM10,1.3208523860555078e-08
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,STREX,PM2_5,1.2144750126819097e-08
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,HOTSOAK,TOG,4.378897190322358e-06
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,RUNLOSS,TOG,3.030104695858806e-05
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,RESTLOSS,TOG,4.2335978375725096e-07
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,DIURN,TOG,1.475838857192852e-06
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,PMTW,PM,2.1183549901552335e-06
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,PMTW,PM10,2.1183549901552335e-06
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,PMTW,PM2_5,5.295887475388084e-07
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,PMBW,PM,0.00020124372141680356
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,PMBW,PM10,0.0001972188469884674
2018,July,Riverside (MD/SCAQMD),SBUS,Gas,PMBW,PM2_5,8.452236299505749e-05
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,RUNEX,CO,6.837933728068328e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,RUNEX,NOx,3.355528800504903e-05
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,RUNEX,PM,1.753553629848037e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,RUNEX,PM10,1.7430323080689482e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,RUNEX,PM2_5,1.667629501985481e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,IDLEX,CO,4.942611926616568e-07
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,IDLEX,NOx,1.8171518079224512e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,IDLEX,PM,6.3676173954497795e-09
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,IDLEX,PM10,6.3294116910770775e-09
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,IDLEX,PM2_5,6.055604143072733e-09
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,STREX,NOx,2.9982141378700615e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,PMTW,PM,1.6806458418359756e-07
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,PMTW,PM10,1.6806458418359756e-07
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,PMTW,PM2_5,4.201614604589939e-08
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,PMBW,PM,1.8627158080348725e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,PMBW,PM10,1.8254614918741754e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Small,Dsl,PMBW,PM2_5,7.823406393746466e-07
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,RUNEX,CO,2.672297874266655e-05
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.0002010902492422871
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,RUNEX,PM,6.78019394327527e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,RUNEX,PM10,6.739512779615622e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,6.4479644400547815e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,IDLEX,CO,9.790579128068587e-07
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,IDLEX,NOx,3.0762123071426765e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,IDLEX,PM,9.013463592134247e-09
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,IDLEX,PM10,8.95938281058145e-09
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,8.57180387611968e-09
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,STREX,NOx,6.902623528680812e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,PMTW,PM,1.2722557213683662e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,PMTW,PM10,1.2722557213683662e-06
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,3.1806393034209156e-07
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,PMBW,PM,1.4100834245166064e-05
2018,July,Riverside (MD/SCAQMD),T6 CAIRP Heavy,Dsl,PMBW,PM10,1.3818817560262745e-05
