calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Riverside (SC),SBUS,Gas,RUNEX,CO,0.025459039122205727
2018,July,Riverside (SC),SBUS,Gas,RUNEX,NOx,0.004700318729712695
2018,July,Riverside (SC),SBUS,Gas,RUNEX,SOx,0.00013988484285096405
2018,July,Riverside (SC),SBUS,Gas,RUNEX,PM,1.2887214082141151e-05
2018,July,Riverside (SC),SBUS,Gas,RUNEX,TOG,0.0016147161128759462
2018,July,Riverside (SC),SBUS,Gas,RUNEX,PM10,1.1521169389434193e-05
2018,July,Riverside (SC),SBUS,Gas,RUNEX,PM2_5,1.0593289975520031e-05
2018,July,Riverside (SC),SBUS,Gas,IDLEX,CO,0.034151364373078495
2018,July,Riverside (SC),SBUS,Gas,IDLEX,NOx,0.0003847618760121576
2018,July,Riverside (SC),SBUS,Gas,IDLEX,SOx,1.1058905821390645e-05
2018,July,Riverside (SC),SBUS,Gas,IDLEX,TOG,0.0064463561385882445
2018,July,Riverside (SC),SBUS,Gas,STREX,CO,0.009972401567108791
2018,July,Riverside (SC),SBUS,Gas,STREX,NOx,0.0008166197725682118
2018,July,Riverside (SC),SBUS,Gas,STREX,SOx,7.53977826466439e-07
2018,July,Riverside (SC),SBUS,Gas,STREX,PM,5.602909721004484e-07
2018,July,Riverside (SC),SBUS,Gas,STREX,TOG,0.0005114993576872795
2018,July,Riverside (SC),SBUS,Gas,STREX,PM10,5.009001290578011e-07
2018,July,Riverside (SC),SBUS,Gas,STREX,PM2_5,4.6055917906656867e-07
2018,July,Riverside (SC),SBUS,Gas,HOTSOAK,TOG,0.00010469198755082615
2018,July,Riverside (SC),SBUS,Gas,RUNLOSS,TOG,0.0006864087487633786
2018,July,Riverside (SC),SBUS,Gas,RESTLOSS,TOG,1.3355016430229906e-05
2018,July,Riverside (SC),SBUS,Gas,DIURN,TOG,2.0230990153693497e-05
2018,July,Riverside (SC),SBUS,Gas,PMTW,PM,0.0001250785704086042
2018,July,Riverside (SC),SBUS,Gas,PMTW,PM10,0.0001250785704086042
2018,July,Riverside (SC),SBUS,Gas,PMTW,PM2_5,3.126964260215105e-05
2018,July,Riverside (SC),SBUS,Gas,PMBW,PM,0.011882464032469205
2018,July,Riverside (SC),SBUS,Gas,PMBW,PM10,0.01164481475181982
2018,July,Riverside (SC),SBUS,Gas,PMBW,PM2_5,0.004990634893637062
2018,July,Riverside (SC),T6 Ag,Dsl,RUNEX,CO,0.00018338334459660322
2018,July,Riverside (SC),T6 Ag,Dsl,RUNEX,NOx,0.00107767615717401
2018,July,Riverside (SC),T6 Ag,Dsl,RUNEX,PM,3.4003569066496616e-05
2018,July,Riverside (SC),T6 Ag,Dsl,RUNEX,PM10,3.3799547652097634e-05
2018,July,Riverside (SC),T6 Ag,Dsl,RUNEX,PM2_5,3.233739418223827e-05
2018,July,Riverside (SC),T6 Ag,Dsl,IDLEX,CO,1.2101888703688044e-05
2018,July,Riverside (SC),T6 Ag,Dsl,IDLEX,NOx,4.809768402708852e-05
2018,July,Riverside (SC),T6 Ag,Dsl,IDLEX,PM,4.7191494757823143e-07
2018,July,Riverside (SC),T6 Ag,Dsl,IDLEX,PM10,4.6908345789276215e-07
2018,July,Riverside (SC),T6 Ag,Dsl,IDLEX,PM2_5,4.4879111514689844e-07
2018,July,Riverside (SC),T6 Ag,Dsl,STREX,NOx,1.8210353808632504e-05
2018,July,Riverside (SC),T6 Ag,Dsl,PMTW,PM,1.4540463948523018e-06
2018,July,Riverside (SC),T6 Ag,Dsl,PMTW,PM10,1.4540463948523018e-06
2018,July,Riverside (SC),T6 Ag,Dsl,PMTW,PM2_5,3.6351159871307546e-07
2018,July,Riverside (SC),T6 Ag,Dsl,PMBW,PM,1.6115680876279674e-05
2018,July,Riverside (SC),T6 Ag,Dsl,PMBW,PM10,1.579336725875408e-05
2018,July,Riverside (SC),T6 Ag,Dsl,PMBW,PM2_5,6.768585968037463e-06
2018,July,Riverside (SC),T6 Public,Dsl,RUNEX,CO,0.0019906318347992094
2018,July,Riverside (SC),T6 Public,Dsl,RUNEX,NOx,0.08662188479959387
2018,July,Riverside (SC),T6 Public,Dsl,RUNEX,PM,0.0005372550118565345
2018,July,Riverside (SC),T6 Public,Dsl,RUNEX,PM10,0.0005340314817853936
2018,July,Riverside (SC),T6 Public,Dsl,RUNEX,PM2_5,0.0005109295162755638
2018,July,Riverside (SC),T6 Public,Dsl,IDLEX,CO,0.003143384629539519
2018,July,Riverside (SC),T6 Public,Dsl,IDLEX,NOx,0.03936642896117845
2018,July,Riverside (SC),T6 Public,Dsl,IDLEX,PM,9.42310403756723e-05
2018,July,Riverside (SC),T6 Public,Dsl,IDLEX,PM10,9.366565413341843e-05
2018,July,Riverside (SC),T6 Public,Dsl,IDLEX,PM2_5,8.961371939726444e-05
2018,July,Riverside (SC),T6 Public,Dsl,STREX,NOx,0.0013341439743167005
2018,July,Riverside (SC),T6 Public,Dsl,PMTW,PM,0.00014023362920291584
2018,July,Riverside (SC),T6 Public,Dsl,PMTW,PM10,0.00014023362920291584
2018,July,Riverside (SC),T6 Public,Dsl,PMTW,PM2_5,3.505840730072896e-05
2018,July,Riverside (SC),T6 Public,Dsl,PMBW,PM,0.001554256056998982
2018,July,Riverside (SC),T6 Public,Dsl,PMBW,PM10,0.0015231709358590037
2018,July,Riverside (SC),T6 Public,Dsl,PMBW,PM2_5,0.0006527875439395736
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,RUNEX,CO,0.0004843580587351072
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0025047636968452067
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,RUNEX,PM,0.00010507818991859661
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,RUNEX,PM10,0.00010444772077908493
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,9.992935861258528e-05
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,IDLEX,CO,4.259086952325918e-05
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,IDLEX,NOx,0.00013628283295734881
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,IDLEX,PM,4.430645667269909e-07
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,IDLEX,PM10,4.404061793266289e-07
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,4.213544029573674e-07
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,STREX,NOx,0.0002854017492841089
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,PMTW,PM,1.4638821799921832e-05
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,PMTW,PM10,1.4638821799921832e-05
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,PMTW,PM2_5,3.659705449980458e-06
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,PMBW,PM,0.00016224694161580023
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,PMBW,PM10,0.00015900200278348432
2018,July,Riverside (SC),T6 CAIRP Small,Dsl,PMBW,PM2_5,6.814371547863614e-05
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.0019497211201020726
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.014158357925313161
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.0004068192209010248
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.000404378305575618
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.0003868850790768742
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,IDLEX,CO,8.046253432545513e-05
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,0.00022709488838287505
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,IDLEX,PM,5.975056594616725e-07
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,IDLEX,PM10,5.939206255049028e-07
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,5.682278821480511e-07
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,STREX,NOx,0.0006021578673156286
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,PMTW,PM,0.0001068831553996116
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,PMTW,PM10,0.0001068831553996116
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,2.67207888499029e-05
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,PMBW,PM,0.0011846216390123618
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.0011609292062321145
2018,July,Riverside (SC),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,0.0004975410883851916
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,RUNEX,CO,0.05167504369700247
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.24211714923444935
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,RUNEX,PM,0.011041213062627859
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.01097496578425209
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.010500193622559092
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,IDLEX,CO,0.002661829145978372
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.011547951976070519
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,IDLEX,PM,5.222044220992355e-05
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,IDLEX,PM10,5.1907119556664044e-05
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,4.96616405416373e-05
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,STREX,NOx,0.007776104675042659
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,PMTW,PM,0.0008498937558951645
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,PMTW,PM10,0.0008498937558951645
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,PMTW,PM2_5,0.00021247343897379112
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,PMBW,PM,0.009419655794504735
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,PMBW,PM10,0.009231262678614635
2018,July,Riverside (SC),T6 Instate Construction Small,Dsl,PMBW,PM2_5,0.003956255433691992
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,RUNEX,CO,0.032995717437894596
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.1964950154903607
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,RUNEX,PM,0.0071018912455841415
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,0.007059279898110641
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,0.006753898574550521
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,IDLEX,CO,0.0013772890161870364
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,IDLEX,NOx,0.005465338205786084
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,IDLEX,PM,4.4855113279003124e-05
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,IDLEX,PM10,4.45859825993292e-05
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,IDLEX,PM2_5,4.2657212728332e-05
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,STREX,NOx,0.003132664416937713
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,PMTW,PM,0.0005445284813877515
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,PMTW,PM10,0.0005445284813877515
2018,July,Riverside (SC),T6 Instate Construction Heavy,Dsl,PMTW,PM2_5,0.00013613212034693786
