calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Riverside (SS),SBUS,Gas,RUNEX,CO,0.0008859739606676714
2018,July,Riverside (SS),SBUS,Gas,RUNEX,NOx,0.0004581831770687879
2018,July,Riverside (SS),SBUS,Gas,RUNEX,SOx,3.424105289116542e-05
2018,July,Riverside (SS),SBUS,Gas,RUNEX,PM,2.3957990294256474e-06
2018,July,Riverside (SS),SBUS,Gas,RUNEX,TOG,7.582228682885518e-05
2018,July,Riverside (SS),SBUS,Gas,RUNEX,PM10,2.141844332306529e-06
2018,July,Riverside (SS),SBUS,Gas,RUNEX,PM2_5,1.9693468021878817e-06
2018,July,Riverside (SS),SBUS,Gas,IDLEX,CO,0.004270182024331063
2018,July,Riverside (SS),SBUS,Gas,IDLEX,NOx,4.8108113313218374e-05
2018,July,Riverside (SS),SBUS,Gas,IDLEX,SOx,1.3735744249449356e-06
2018,July,Riverside (SS),SBUS,Gas,IDLEX,TOG,0.0008062623210682916
2018,July,Riverside (SS),SBUS,Gas,STREX,CO,0.0009502348444186254
2018,July,Riverside (SS),SBUS,Gas,STREX,NOx,0.00011311596783217512
2018,July,Riverside (SS),SBUS,Gas,STREX,SOx,8.87856058966089e-08
2018,July,Riverside (SS),SBUS,Gas,STREX,PM,5.349957479055172e-08
2018,July,Riverside (SS),SBUS,Gas,STREX,TOG,5.3492496704647263e-05
2018,July,Riverside (SS),SBUS,Gas,STREX,PM10,4.782861986275325e-08
2018,July,Riverside (SS),SBUS,Gas,STREX,PM2_5,4.3976650477833505e-08
2018,July,Riverside (SS),SBUS,Gas,HOTSOAK,TOG,1.0853944542133971e-05
2018,July,Riverside (SS),SBUS,Gas,RUNLOSS,TOG,5.755405809494265e-05
2018,July,Riverside (SS),SBUS,Gas,RESTLOSS,TOG,1.7170236755268592e-06
2018,July,Riverside (SS),SBUS,Gas,DIURN,TOG,3.849702739149717e-06
2018,July,Riverside (SS),SBUS,Gas,PMTW,PM,3.08905792398653e-05
2018,July,Riverside (SS),SBUS,Gas,PMTW,PM10,3.08905792398653e-05
2018,July,Riverside (SS),SBUS,Gas,PMTW,PM2_5,7.722644809966325e-06
2018,July,Riverside (SS),SBUS,Gas,PMBW,PM,0.0029346049891739792
2018,July,Riverside (SS),SBUS,Gas,PMBW,PM10,0.0028759128893904974
2018,July,Riverside (SS),SBUS,Gas,PMBW,PM2_5,0.001232534095453071
2018,July,Riverside (SS),T6 Ag,Dsl,RUNEX,CO,0.00010188051396384817
2018,July,Riverside (SS),T6 Ag,Dsl,RUNEX,NOx,0.000594954357110589
2018,July,Riverside (SS),T6 Ag,Dsl,RUNEX,PM,2.6250921454873773e-05
2018,July,Riverside (SS),T6 Ag,Dsl,RUNEX,PM10,2.609341592614453e-05
2018,July,Riverside (SS),T6 Ag,Dsl,RUNEX,PM2_5,2.4964626303584966e-05
2018,July,Riverside (SS),T6 Ag,Dsl,IDLEX,CO,5.287356029086552e-06
2018,July,Riverside (SS),T6 Ag,Dsl,IDLEX,NOx,2.8172589987866454e-05
