calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Sacramento (SV),SBUS,Gas,RUNEX,CO,0.018880662893026
2018,July,Sacramento (SV),SBUS,Gas,RUNEX,NOx,0.0032384533223051436
2018,July,Sacramento (SV),SBUS,Gas,RUNEX,SOx,3.938539530095328e-05
2018,July,Sacramento (SV),SBUS,Gas,RUNEX,PM,1.3341319051590179e-05
2018,July,Sacramento (SV),SBUS,Gas,RUNEX,TOG,0.0012487634496153096
2018,July,Sacramento (SV),SBUS,Gas,RUNEX,PM10,1.192713923212162e-05
2018,July,Sacramento (SV),SBUS,Gas,RUNEX,PM2_5,1.0966564260407126e-05
2018,July,Sacramento (SV),SBUS,Gas,IDLEX,CO,0.007195155121432365
2018,July,Sacramento (SV),SBUS,Gas,IDLEX,NOx,8.107910310920165e-05
2018,July,Sacramento (SV),SBUS,Gas,IDLEX,SOx,2.306071947757497e-06
2018,July,Sacramento (SV),SBUS,Gas,IDLEX,TOG,0.0013506287336221973
2018,July,Sacramento (SV),SBUS,Gas,STREX,CO,0.0030162958625046133
2018,July,Sacramento (SV),SBUS,Gas,STREX,NOx,0.00017257609380333313
2018,July,Sacramento (SV),SBUS,Gas,STREX,SOx,1.7291049798660254e-07
2018,July,Sacramento (SV),SBUS,Gas,STREX,PM,3.724028610390639e-07
2018,July,Sacramento (SV),SBUS,Gas,STREX,TOG,0.00014186070992481127
2018,July,Sacramento (SV),SBUS,Gas,STREX,PM10,3.32928157768923e-07
2018,July,Sacramento (SV),SBUS,Gas,STREX,PM2_5,3.061151517741104e-07
2018,July,Sacramento (SV),SBUS,Gas,HOTSOAK,TOG,6.648952628712695e-05
2018,July,Sacramento (SV),SBUS,Gas,RUNLOSS,TOG,0.0005723201589428415
2018,July,Sacramento (SV),SBUS,Gas,RESTLOSS,TOG,4.2053435569405685e-06
2018,July,Sacramento (SV),SBUS,Gas,DIURN,TOG,2.2731000831890363e-05
2018,July,Sacramento (SV),SBUS,Gas,PMTW,PM,3.648857815921676e-05
2018,July,Sacramento (SV),SBUS,Gas,PMTW,PM10,3.648857815921676e-05
2018,July,Sacramento (SV),SBUS,Gas,PMTW,PM2_5,9.12214453980419e-06
2018,July,Sacramento (SV),SBUS,Gas,PMBW,PM,0.0034664148795148677
2018,July,Sacramento (SV),SBUS,Gas,PMBW,PM10,0.00339708658192457
2018,July,Sacramento (SV),SBUS,Gas,PMBW,PM2_5,0.0014558942493962455
2018,July,Sacramento (SV),T6 Ag,Dsl,RUNEX,CO,0.0007007231324527453
2018,July,Sacramento (SV),T6 Ag,Dsl,RUNEX,NOx,0.0031487940910826353
2018,July,Sacramento (SV),T6 Ag,Dsl,RUNEX,PM,0.00018566152223060807
2018,July,Sacramento (SV),T6 Ag,Dsl,RUNEX,PM10,0.0001845475530972244
2018,July,Sacramento (SV),T6 Ag,Dsl,RUNEX,PM2_5,0.0001765641076413082
2018,July,Sacramento (SV),T6 Ag,Dsl,IDLEX,CO,5.7481677142625135e-05
2018,July,Sacramento (SV),T6 Ag,Dsl,IDLEX,NOx,0.00017927575978123454
2018,July,Sacramento (SV),T6 Ag,Dsl,IDLEX,PM,3.3879498966772117e-06
2018,July,Sacramento (SV),T6 Ag,Dsl,IDLEX,PM10,3.36762219729715e-06
2018,July,Sacramento (SV),T6 Ag,Dsl,IDLEX,PM2_5,3.2219403517400306e-06
2018,July,Sacramento (SV),T6 Ag,Dsl,STREX,NOx,4.580787985631838e-05
2018,July,Sacramento (SV),T6 Ag,Dsl,PMTW,PM,4.155489844436467e-06
2018,July,Sacramento (SV),T6 Ag,Dsl,PMTW,PM10,4.155489844436467e-06
2018,July,Sacramento (SV),T6 Ag,Dsl,PMTW,PM2_5,1.0388724611091168e-06
2018,July,Sacramento (SV),T6 Ag,Dsl,PMBW,PM,4.605667910917081e-05
2018,July,Sacramento (SV),T6 Ag,Dsl,PMBW,PM10,4.5135545526987455e-05
2018,July,Sacramento (SV),T6 Ag,Dsl,PMBW,PM2_5,1.934380522585175e-05
2018,July,Sacramento (SV),T6 Public,Dsl,RUNEX,CO,0.017900715993771067
2018,July,Sacramento (SV),T6 Public,Dsl,RUNEX,NOx,0.5533110877631844
2018,July,Sacramento (SV),T6 Public,Dsl,RUNEX,PM,0.0034808504763307784
2018,July,Sacramento (SV),T6 Public,Dsl,RUNEX,PM10,0.0034599653734727954
2018,July,Sacramento (SV),T6 Public,Dsl,RUNEX,PM2_5,0.003310288802990573
2018,July,Sacramento (SV),T6 Public,Dsl,IDLEX,CO,0.021715702754845374
2018,July,Sacramento (SV),T6 Public,Dsl,IDLEX,NOx,0.20864013029946482
2018,July,Sacramento (SV),T6 Public,Dsl,IDLEX,PM,0.00044021441568257183
2018,July,Sacramento (SV),T6 Public,Dsl,IDLEX,PM10,0.00043757312918847743
