calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,San Benito (NCC),SBUS,Gas,RUNEX,CO,4.249125800861314e-05
2018,July,San Benito (NCC),SBUS,Gas,RUNEX,NOx,1.1526375422360636e-05
2018,July,San Benito (NCC),SBUS,Gas,RUNEX,SOx,3.738327881845858e-07
2018,July,San Benito (NCC),SBUS,Gas,RUNEX,PM,7.601492275997003e-08
2018,July,San Benito (NCC),SBUS,Gas,RUNEX,TOG,3.0364171674739424e-06
2018,July,San Benito (NCC),SBUS,Gas,RUNEX,PM10,6.795734094741319e-08
2018,July,San Benito (NCC),SBUS,Gas,RUNEX,PM2_5,6.248426650869536e-08
2018,July,San Benito (NCC),SBUS,Gas,IDLEX,CO,5.835295737814761e-05
2018,July,San Benito (NCC),SBUS,Gas,IDLEX,NOx,6.574347685410802e-07
2018,July,San Benito (NCC),SBUS,Gas,IDLEX,SOx,1.8026910153894393e-08
2018,July,San Benito (NCC),SBUS,Gas,IDLEX,TOG,1.1005902166528834e-05
2018,July,San Benito (NCC),SBUS,Gas,STREX,CO,2.635740018108709e-05
2018,July,San Benito (NCC),SBUS,Gas,STREX,NOx,1.4763139084697537e-06
2018,July,San Benito (NCC),SBUS,Gas,STREX,SOx,1.391446330526011e-09
2018,July,San Benito (NCC),SBUS,Gas,STREX,PM,2.134577970990191e-09
2018,July,San Benito (NCC),SBUS,Gas,STREX,TOG,1.0692183350654108e-06
2018,July,San Benito (NCC),SBUS,Gas,STREX,PM10,1.9083127060652316e-09
2018,July,San Benito (NCC),SBUS,Gas,STREX,PM2_5,1.7546230921539372e-09
2018,July,San Benito (NCC),SBUS,Gas,HOTSOAK,TOG,1.1024602124151044e-07
2018,July,San Benito (NCC),SBUS,Gas,RUNLOSS,TOG,1.0276016648509552e-06
2018,July,San Benito (NCC),SBUS,Gas,RESTLOSS,TOG,7.0557624061058295e-09
2018,July,San Benito (NCC),SBUS,Gas,DIURN,TOG,1.4517198724809065e-08
2018,July,San Benito (NCC),SBUS,Gas,PMTW,PM,3.585468213112678e-07
2018,July,San Benito (NCC),SBUS,Gas,PMTW,PM10,3.585468213112678e-07
2018,July,San Benito (NCC),SBUS,Gas,PMTW,PM2_5,8.963670532781694e-08
2018,July,San Benito (NCC),SBUS,Gas,PMBW,PM,3.4061947576386915e-05
2018,July,San Benito (NCC),SBUS,Gas,PMBW,PM10,3.338070862485917e-05
2018,July,San Benito (NCC),SBUS,Gas,PMBW,PM2_5,1.4306017982082505e-05
2018,July,San Benito (NCC),T6 Ag,Dsl,RUNEX,CO,5.288802770114579e-05
2018,July,San Benito (NCC),T6 Ag,Dsl,RUNEX,NOx,0.0003619882777970736
2018,July,San Benito (NCC),T6 Ag,Dsl,RUNEX,PM,1.3917703503798375e-05
2018,July,San Benito (NCC),T6 Ag,Dsl,RUNEX,PM10,1.3834197282775575e-05
2018,July,San Benito (NCC),T6 Ag,Dsl,RUNEX,PM2_5,1.3235736032112252e-05
2018,July,San Benito (NCC),T6 Ag,Dsl,IDLEX,CO,6.606817163373925e-06
2018,July,San Benito (NCC),T6 Ag,Dsl,IDLEX,NOx,2.5915751792845955e-05
2018,July,San Benito (NCC),T6 Ag,Dsl,IDLEX,PM,3.1272137663999615e-07
2018,July,San Benito (NCC),T6 Ag,Dsl,IDLEX,PM10,3.108450483801563e-07
2018,July,San Benito (NCC),T6 Ag,Dsl,IDLEX,PM2_5,2.973980291846365e-07
2018,July,San Benito (NCC),T6 Ag,Dsl,STREX,NOx,2.652318938409525e-06
2018,July,San Benito (NCC),T6 Ag,Dsl,PMTW,PM,3.7090241501044994e-07
2018,July,San Benito (NCC),T6 Ag,Dsl,PMTW,PM10,3.7090241501044994e-07
2018,July,San Benito (NCC),T6 Ag,Dsl,PMTW,PM2_5,9.272560375261249e-08
2018,July,San Benito (NCC),T6 Ag,Dsl,PMBW,PM,4.110835099699153e-06
2018,July,San Benito (NCC),T6 Ag,Dsl,PMBW,PM10,4.02861839770517e-06
2018,July,San Benito (NCC),T6 Ag,Dsl,PMBW,PM2_5,1.726550741873644e-06
2018,July,San Benito (NCC),T6 Public,Dsl,RUNEX,CO,7.665604332713855e-05
2018,July,San Benito (NCC),T6 Public,Dsl,RUNEX,NOx,0.0024485949484325657
2018,July,San Benito (NCC),T6 Public,Dsl,RUNEX,PM,1.4517336901866483e-05
2018,July,San Benito (NCC),T6 Public,Dsl,RUNEX,PM10,1.4430232880455308e-05
2018,July,San Benito (NCC),T6 Public,Dsl,RUNEX,PM2_5,1.3805987393675043e-05
2018,July,San Benito (NCC),T6 Public,Dsl,IDLEX,CO,6.281578724064188e-05
2018,July,San Benito (NCC),T6 Public,Dsl,IDLEX,NOx,0.0009295159792345847
2018,July,San Benito (NCC),T6 Public,Dsl,IDLEX,PM,1.91996081800131e-06
2018,July,San Benito (NCC),T6 Public,Dsl,IDLEX,PM10,1.908441053093306e-06
2018,July,San Benito (NCC),T6 Public,Dsl,IDLEX,PM2_5,1.825882737919248e-06
2018,July,San Benito (NCC),T6 Public,Dsl,STREX,NOx,2.1970838943776324e-05
2018,July,San Benito (NCC),T6 Public,Dsl,PMTW,PM,3.268608267874958e-06
2018,July,San Benito (NCC),T6 Public,Dsl,PMTW,PM10,3.268608267874958e-06
2018,July,San Benito (NCC),T6 Public,Dsl,PMTW,PM2_5,8.171520669687395e-07
2018,July,San Benito (NCC),T6 Public,Dsl,PMBW,PM,3.622707496894746e-05
2018,July,San Benito (NCC),T6 Public,Dsl,PMBW,PM10,3.550253346956847e-05
2018,July,San Benito (NCC),T6 Public,Dsl,PMBW,PM2_5,1.521537148695792e-05
2018,July,San Benito (NCC),T6 CAIRP Small,Dsl,RUNEX,CO,1.8513586640102554e-05
2018,July,San Benito (NCC),T6 CAIRP Small,Dsl,RUNEX,NOx,9.251350983926914e-05
2018,July,San Benito (NCC),T6 CAIRP Small,Dsl,RUNEX,PM,3.966355665565363e-06
2018,July,San Benito (NCC),T6 CAIRP Small,Dsl,RUNEX,PM10,3.942557531571975e-06
2018,July,San Benito (NCC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,3.7720042379526657e-06
2018,July,San Benito (NCC),T6 CAIRP Small,Dsl,IDLEX,CO,1.2010328358798028e-06
2018,July,San Benito (NCC),T6 CAIRP Small,Dsl,IDLEX,NOx,4.3861508095155544e-06
2018,July,San Benito (NCC),T6 CAIRP Small,Dsl,IDLEX,PM,1.528143412363198e-08
2018,July,San Benito (NCC),T6 CAIRP Small,Dsl,IDLEX,PM10,1.5189745518890213e-08
