calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,San Bernardino (MD),SBUS,Gas,RUNEX,CO,0.0002756222608577358
2018,July,San Bernardino (MD),SBUS,Gas,RUNEX,NOx,0.00011920351967429407
2018,July,San Bernardino (MD),SBUS,Gas,RUNEX,SOx,1.1022593393492392e-05
2018,July,San Bernardino (MD),SBUS,Gas,RUNEX,PM,1.978615267345235e-06
2018,July,San Bernardino (MD),SBUS,Gas,RUNEX,TOG,2.9057530491400797e-05
2018,July,San Bernardino (MD),SBUS,Gas,RUNEX,PM10,1.76888204900664e-06
2018,July,San Bernardino (MD),SBUS,Gas,RUNEX,PM2_5,1.6264217497577834e-06
2018,July,San Bernardino (MD),SBUS,Gas,IDLEX,CO,0.0015194615395803044
2018,July,San Bernardino (MD),SBUS,Gas,IDLEX,NOx,1.711834003906605e-05
2018,July,San Bernardino (MD),SBUS,Gas,IDLEX,SOx,4.6497519103288536e-07
2018,July,San Bernardino (MD),SBUS,Gas,IDLEX,TOG,0.00028689282580826977
2018,July,San Bernardino (MD),SBUS,Gas,STREX,CO,0.0004171838144725436
2018,July,San Bernardino (MD),SBUS,Gas,STREX,NOx,3.4780705219726436e-05
2018,July,San Bernardino (MD),SBUS,Gas,STREX,SOx,3.151754104460409e-08
2018,July,San Bernardino (MD),SBUS,Gas,STREX,PM,5.0457797573429684e-08
2018,July,San Bernardino (MD),SBUS,Gas,STREX,TOG,1.9835282911598722e-05
2018,July,San Bernardino (MD),SBUS,Gas,STREX,PM10,4.5109271030646136e-08
2018,July,San Bernardino (MD),SBUS,Gas,STREX,PM2_5,4.14763096053592e-08
2018,July,San Bernardino (MD),SBUS,Gas,HOTSOAK,TOG,7.190084296050294e-07
2018,July,San Bernardino (MD),SBUS,Gas,RUNLOSS,TOG,3.603252806343558e-06
2018,July,San Bernardino (MD),SBUS,Gas,RESTLOSS,TOG,1.4818167920482993e-07
2018,July,San Bernardino (MD),SBUS,Gas,DIURN,TOG,3.636282648254647e-07
2018,July,San Bernardino (MD),SBUS,Gas,PMTW,PM,1.0487101786871456e-05
2018,July,San Bernardino (MD),SBUS,Gas,PMTW,PM10,1.0487101786871456e-05
2018,July,San Bernardino (MD),SBUS,Gas,PMTW,PM2_5,2.621775446717864e-06
2018,July,San Bernardino (MD),SBUS,Gas,PMBW,PM,0.0009962746566439112
2018,July,San Bernardino (MD),SBUS,Gas,PMBW,PM10,0.0009763491635110331
2018,July,San Bernardino (MD),SBUS,Gas,PMBW,PM2_5,0.00041843535579044283
2018,July,San Bernardino (MD),T6 Public,Dsl,RUNEX,CO,0.0006446672607888419
2018,July,San Bernardino (MD),T6 Public,Dsl,RUNEX,NOx,0.02610849854871824
