calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,San Bernardino (SC),SBUS,Gas,RUNEX,CO,0.032198560199664016
2018,July,San Bernardino (SC),SBUS,Gas,RUNEX,NOx,0.005834236918948306
2018,July,San Bernardino (SC),SBUS,Gas,RUNEX,SOx,9.286609181362192e-05
2018,July,San Bernardino (SC),SBUS,Gas,RUNEX,PM,1.5074767659784864e-05
2018,July,San Bernardino (SC),SBUS,Gas,RUNEX,TOG,0.002027167251527325
2018,July,San Bernardino (SC),SBUS,Gas,RUNEX,PM10,1.3476842287847655e-05
2018,July,San Bernardino (SC),SBUS,Gas,RUNEX,PM2_5,1.2391459016343141e-05
2018,July,San Bernardino (SC),SBUS,Gas,IDLEX,CO,0.018360530264030766
2018,July,San Bernardino (SC),SBUS,Gas,IDLEX,NOx,0.00020687943426586484
2018,July,San Bernardino (SC),SBUS,Gas,IDLEX,SOx,5.987804249549449e-06
2018,July,San Bernardino (SC),SBUS,Gas,IDLEX,TOG,0.003460541150647634
2018,July,San Bernardino (SC),SBUS,Gas,STREX,CO,0.006198558299253746
2018,July,San Bernardino (SC),SBUS,Gas,STREX,NOx,0.00044752507997526485
2018,July,San Bernardino (SC),SBUS,Gas,STREX,SOx,4.2220131505376485e-07
2018,July,San Bernardino (SC),SBUS,Gas,STREX,PM,4.869598470472734e-07
2018,July,San Bernardino (SC),SBUS,Gas,STREX,TOG,0.00031864330258717647
2018,July,San Bernardino (SC),SBUS,Gas,STREX,PM10,4.353421032602627e-07
2018,July,San Bernardino (SC),SBUS,Gas,STREX,PM2_5,4.00280994272859e-07
2018,July,San Bernardino (SC),SBUS,Gas,HOTSOAK,TOG,0.00011104487642805615
2018,July,San Bernardino (SC),SBUS,Gas,RUNLOSS,TOG,0.0008895461279699255
2018,July,San Bernardino (SC),SBUS,Gas,RESTLOSS,TOG,9.83038287165388e-06
2018,July,San Bernardino (SC),SBUS,Gas,DIURN,TOG,2.4602881062895773e-05
2018,July,San Bernardino (SC),SBUS,Gas,PMTW,PM,8.259295637005009e-05
2018,July,San Bernardino (SC),SBUS,Gas,PMTW,PM10,8.259295637005009e-05
2018,July,San Bernardino (SC),SBUS,Gas,PMTW,PM2_5,2.0648239092512522e-05
2018,July,San Bernardino (SC),SBUS,Gas,PMBW,PM,0.007846330751913568
2018,July,San Bernardino (SC),SBUS,Gas,PMBW,PM10,0.007689404136875293
2018,July,San Bernardino (SC),SBUS,Gas,PMBW,PM2_5,0.003295458915803697
2018,July,San Bernardino (SC),T6 Ag,Dsl,RUNEX,CO,5.0877110387070864e-05
2018,July,San Bernardino (SC),T6 Ag,Dsl,RUNEX,NOx,0.00018829843880108446
2018,July,San Bernardino (SC),T6 Ag,Dsl,RUNEX,PM,1.143873782146991e-05
2018,July,San Bernardino (SC),T6 Ag,Dsl,RUNEX,PM10,1.1370105394541096e-05
2018,July,San Bernardino (SC),T6 Ag,Dsl,RUNEX,PM2_5,1.087823966821789e-05
2018,July,San Bernardino (SC),T6 Ag,Dsl,IDLEX,CO,6.297230238521164e-06
2018,July,San Bernardino (SC),T6 Ag,Dsl,IDLEX,NOx,2.0997896870761644e-05
2018,July,San Bernardino (SC),T6 Ag,Dsl,IDLEX,PM,3.619810609011107e-07
2018,July,San Bernardino (SC),T6 Ag,Dsl,IDLEX,PM10,3.5980917453570393e-07
2018,July,San Bernardino (SC),T6 Ag,Dsl,IDLEX,PM2_5,3.442439889169563e-07
2018,July,San Bernardino (SC),T6 Ag,Dsl,PMTW,PM,1.8345738261835283e-07
2018,July,San Bernardino (SC),T6 Ag,Dsl,PMTW,PM10,1.8345738261835283e-07
