calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,San Diego (SD),SBUS,Gas,RUNEX,CO,0.05163021045005108
2018,July,San Diego (SD),SBUS,Gas,RUNEX,NOx,0.01179426103332191
2018,July,San Diego (SD),SBUS,Gas,RUNEX,SOx,6.968709928160878e-05
2018,July,San Diego (SD),SBUS,Gas,RUNEX,PM,2.9766416441879525e-05
2018,July,San Diego (SD),SBUS,Gas,RUNEX,TOG,0.003497030563868317
2018,July,San Diego (SD),SBUS,Gas,RUNEX,PM10,2.661117629904031e-05
2018,July,San Diego (SD),SBUS,Gas,RUNEX,PM2_5,2.4467994315224986e-05
2018,July,San Diego (SD),SBUS,Gas,IDLEX,CO,0.011598864595547638
2018,July,San Diego (SD),SBUS,Gas,IDLEX,NOx,0.0001306852608309969
2018,July,San Diego (SD),SBUS,Gas,IDLEX,SOx,3.7957832578817447e-06
2018,July,San Diego (SD),SBUS,Gas,IDLEX,TOG,0.0021696018169606547
2018,July,San Diego (SD),SBUS,Gas,STREX,CO,0.0070866156304484375
2018,July,San Diego (SD),SBUS,Gas,STREX,NOx,0.00029897557586665795
2018,July,San Diego (SD),SBUS,Gas,STREX,SOx,3.202243557153213e-07
2018,July,San Diego (SD),SBUS,Gas,STREX,PM,6.775431268008701e-07
2018,July,San Diego (SD),SBUS,Gas,STREX,TOG,0.00030037143658958584
2018,July,San Diego (SD),SBUS,Gas,STREX,PM10,6.057235553599783e-07
2018,July,San Diego (SD),SBUS,Gas,STREX,PM2_5,5.569404502303155e-07
2018,July,San Diego (SD),SBUS,Gas,HOTSOAK,TOG,0.00014631650682014503
2018,July,San Diego (SD),SBUS,Gas,RUNLOSS,TOG,0.0010320714464428225
2018,July,San Diego (SD),SBUS,Gas,RESTLOSS,TOG,1.0857288491770777e-05
2018,July,San Diego (SD),SBUS,Gas,DIURN,TOG,1.9719012143018645e-05
2018,July,San Diego (SD),SBUS,Gas,PMTW,PM,6.365255558742698e-05
2018,July,San Diego (SD),SBUS,Gas,PMTW,PM10,6.365255558742698e-05
2018,July,San Diego (SD),SBUS,Gas,PMTW,PM2_5,1.5913138896856746e-05
2018,July,San Diego (SD),SBUS,Gas,PMBW,PM,0.006046992701239871
2018,July,San Diego (SD),SBUS,Gas,PMBW,PM10,0.005926052847215073
