calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,San Francisco (SF),SBUS,Gas,RUNEX,CO,0.0024048275737220642
2018,July,San Francisco (SF),SBUS,Gas,RUNEX,NOx,0.0009562523411472197
2018,July,San Francisco (SF),SBUS,Gas,RUNEX,SOx,5.327398651865788e-05
2018,July,San Francisco (SF),SBUS,Gas,RUNEX,PM,8.14227025194252e-06
2018,July,San Francisco (SF),SBUS,Gas,RUNEX,TOG,0.0001953668924265805
2018,July,San Francisco (SF),SBUS,Gas,RUNEX,PM10,7.279189605236611e-06
2018,July,San Francisco (SF),SBUS,Gas,RUNEX,PM2_5,6.692946147096754e-06
2018,July,San Francisco (SF),SBUS,Gas,IDLEX,CO,0.010059256440119027
2018,July,San Francisco (SF),SBUS,Gas,IDLEX,NOx,0.00011332812795361885
2018,July,San Francisco (SF),SBUS,Gas,IDLEX,SOx,3.148279655679483e-06
2018,July,San Francisco (SF),SBUS,Gas,IDLEX,TOG,0.0018988735298119375
2018,July,San Francisco (SF),SBUS,Gas,STREX,CO,0.0034147460694958017
2018,July,San Francisco (SF),SBUS,Gas,STREX,NOx,0.0002482722508446247
2018,July,San Francisco (SF),SBUS,Gas,STREX,SOx,2.2324899911412505e-07
2018,July,San Francisco (SF),SBUS,Gas,STREX,PM,2.98244416019037e-07
2018,July,San Francisco (SF),SBUS,Gas,STREX,TOG,0.00014481447176421732
2018,July,San Francisco (SF),SBUS,Gas,STREX,PM10,2.666305079210192e-07
2018,July,San Francisco (SF),SBUS,Gas,STREX,PM2_5,2.451569099676485e-07
2018,July,San Francisco (SF),SBUS,Gas,HOTSOAK,TOG,7.449818510191189e-06
2018,July,San Francisco (SF),SBUS,Gas,RUNLOSS,TOG,5.4367206445988935e-05
2018,July,San Francisco (SF),SBUS,Gas,RESTLOSS,TOG,4.417480354579324e-07
2018,July,San Francisco (SF),SBUS,Gas,DIURN,TOG,1.5059321612881692e-06
2018,July,San Francisco (SF),SBUS,Gas,PMTW,PM,5.0029781141393714e-05
2018,July,San Francisco (SF),SBUS,Gas,PMTW,PM10,5.0029781141393714e-05
2018,July,San Francisco (SF),SBUS,Gas,PMTW,PM2_5,1.2507445285348428e-05
2018,July,San Francisco (SF),SBUS,Gas,PMBW,PM,0.004752829145895173
2018,July,San Francisco (SF),SBUS,Gas,PMBW,PM10,0.004657772562977266
2018,July,San Francisco (SF),SBUS,Gas,PMBW,PM2_5,0.001996188241275971
2018,July,San Francisco (SF),T6 Public,Dsl,RUNEX,CO,0.0026694241914602982
2018,July,San Francisco (SF),T6 Public,Dsl,RUNEX,NOx,0.0661221168820825
2018,July,San Francisco (SF),T6 Public,Dsl,RUNEX,PM,0.00041406497353211876
2018,July,San Francisco (SF),T6 Public,Dsl,RUNEX,PM10,0.00041158058369092636
2018,July,San Francisco (SF),T6 Public,Dsl,RUNEX,PM2_5,0.0003937757898290447
2018,July,San Francisco (SF),T6 Public,Dsl,IDLEX,CO,0.004840776487235798
2018,July,San Francisco (SF),T6 Public,Dsl,IDLEX,NOx,0.030466753800426023
2018,July,San Francisco (SF),T6 Public,Dsl,IDLEX,PM,5.300854009765472e-05
2018,July,San Francisco (SF),T6 Public,Dsl,IDLEX,PM10,5.269048885706884e-05
2018,July,San Francisco (SF),T6 Public,Dsl,IDLEX,PM2_5,5.0411121632869686e-05
2018,July,San Francisco (SF),T6 Public,Dsl,STREX,NOx,0.0033640645861996933
2018,July,San Francisco (SF),T6 Public,Dsl,PMTW,PM,0.00015063266275472986
2018,July,San Francisco (SF),T6 Public,Dsl,PMTW,PM10,0.00015063266275472986
2018,July,San Francisco (SF),T6 Public,Dsl,PMTW,PM2_5,3.7658165688682464e-05
2018,July,San Francisco (SF),T6 Public,Dsl,PMBW,PM,0.0016695120121982558
2018,July,San Francisco (SF),T6 Public,Dsl,PMBW,PM10,0.0016361217719542923
2018,July,San Francisco (SF),T6 Public,Dsl,PMBW,PM2_5,0.0007011950451232674
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,RUNEX,CO,0.0002869710964579209
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0015060174241337764
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,RUNEX,PM,6.038366948566646e-05
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,RUNEX,PM10,6.0021367468752455e-05
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,RUNEX,PM2_5,5.7424869680868734e-05
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,IDLEX,CO,2.3234074224343284e-05
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,IDLEX,NOx,7.303142115534472e-05
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,IDLEX,PM,2.3471218494788722e-07
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,IDLEX,PM10,2.3330391183819985e-07
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,IDLEX,PM2_5,2.2321128788544074e-07
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,STREX,NOx,0.00015749896422223952
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,PMTW,PM,7.989685735561497e-06
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,PMTW,PM10,7.989685735561497e-06
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,PMTW,PM2_5,1.997421433890374e-06
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,PMBW,PM,8.855235023580659e-05
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,PMBW,PM10,8.678130323109051e-05
2018,July,San Francisco (SF),T6 CAIRP Small,Dsl,PMBW,PM2_5,3.719198709903876e-05
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.0011587012324107988
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.008518224088990152
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.00023499515485980979
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.0002335851839306513
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.00022348039227167925
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,IDLEX,CO,4.220317523916759e-05
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,IDLEX,NOx,0.0001196612067533392
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM,3.2008388061311367e-07
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM10,3.181633773294353e-07
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,3.0439977046307165e-07
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,STREX,NOx,0.0003147045849946545
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,PMTW,PM,5.5942815483922815e-05
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,PMTW,PM10,5.5942815483922815e-05
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,1.3985703870980704e-05
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,PMBW,PM,0.0006200328716134782
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.0006076322141812081
2018,July,San Francisco (SF),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,0.000260413806077661
2018,July,San Francisco (SF),T6 Instate Construction Small,Dsl,RUNEX,CO,0.037150504198368725
2018,July,San Francisco (SF),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.14000554391259135
2018,July,San Francisco (SF),T6 Instate Construction Small,Dsl,RUNEX,PM,0.005530046499257817
2018,July,San Francisco (SF),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.0054968662202622715
2018,July,San Francisco (SF),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.005259074220794179
2018,July,San Francisco (SF),T6 Instate Construction Small,Dsl,IDLEX,CO,0.0010291364179335436
2018,July,San Francisco (SF),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.004464756105431273
2018,July,San Francisco (SF),T6 Instate Construction Small,Dsl,IDLEX,PM,2.018986038980845e-05
2018,July,San Francisco (SF),T6 Instate Construction Small,Dsl,IDLEX,PM10,2.0068721227469608e-05
