calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,San Joaquin (SJV),SBUS,Gas,RUNEX,CO,0.003882079158250858
2018,July,San Joaquin (SJV),SBUS,Gas,RUNEX,NOx,0.0004003976225294713
2018,July,San Joaquin (SJV),SBUS,Gas,RUNEX,SOx,1.3292892548967685e-05
2018,July,San Joaquin (SJV),SBUS,Gas,RUNEX,PM,1.8385887971405109e-06
2018,July,San Joaquin (SJV),SBUS,Gas,RUNEX,TOG,0.0002291281147910139
2018,July,San Joaquin (SJV),SBUS,Gas,RUNEX,PM10,1.6436983846436172e-06
2018,July,San Joaquin (SJV),SBUS,Gas,RUNEX,PM2_5,1.5113199912495001e-06
2018,July,San Joaquin (SJV),SBUS,Gas,IDLEX,CO,0.0023220597969190256
2018,July,San Joaquin (SJV),SBUS,Gas,IDLEX,NOx,2.6163926074711436e-05
2018,July,San Joaquin (SJV),SBUS,Gas,IDLEX,SOx,7.461317224483553e-07
2018,July,San Joaquin (SJV),SBUS,Gas,IDLEX,TOG,0.0004378356974186886
2018,July,San Joaquin (SJV),SBUS,Gas,STREX,CO,0.0007237090044869833
2018,July,San Joaquin (SJV),SBUS,Gas,STREX,NOx,6.107804778725622e-05
2018,July,San Joaquin (SJV),SBUS,Gas,STREX,SOx,5.1728569920151595e-08
2018,July,San Joaquin (SJV),SBUS,Gas,STREX,PM,5.631770472947805e-08
2018,July,San Joaquin (SJV),SBUS,Gas,STREX,TOG,3.718130334304906e-05
2018,July,San Joaquin (SJV),SBUS,Gas,STREX,PM10,5.034802802815338e-08
2018,July,San Joaquin (SJV),SBUS,Gas,STREX,PM2_5,4.629315328763095e-08
2018,July,San Joaquin (SJV),SBUS,Gas,HOTSOAK,TOG,6.1521472746941106e-06
2018,July,San Joaquin (SJV),SBUS,Gas,RUNLOSS,TOG,3.6180730304027995e-05
2018,July,San Joaquin (SJV),SBUS,Gas,RESTLOSS,TOG,9.267712848465353e-07
2018,July,San Joaquin (SJV),SBUS,Gas,DIURN,TOG,3.1502989608302716e-06
2018,July,San Joaquin (SJV),SBUS,Gas,PMTW,PM,1.2129788622687219e-05
2018,July,San Joaquin (SJV),SBUS,Gas,PMTW,PM10,1.2129788622687219e-05
2018,July,San Joaquin (SJV),SBUS,Gas,PMTW,PM2_5,3.0324471556718047e-06
2018,July,San Joaquin (SJV),SBUS,Gas,PMBW,PM,0.0011523299039930498
2018,July,San Joaquin (SJV),SBUS,Gas,PMBW,PM10,0.0011292833059131893
2018,July,San Joaquin (SJV),SBUS,Gas,PMBW,PM2_5,0.000483978559677081
2018,July,San Joaquin (SJV),T6 Ag,Dsl,RUNEX,CO,0.00298126444985325
2018,July,San Joaquin (SJV),T6 Ag,Dsl,RUNEX,NOx,0.013033960894678877
2018,July,San Joaquin (SJV),T6 Ag,Dsl,RUNEX,PM,0.0007199735839652196
2018,July,San Joaquin (SJV),T6 Ag,Dsl,RUNEX,PM10,0.0007156537424614269
2018,July,San Joaquin (SJV),T6 Ag,Dsl,RUNEX,PM2_5,0.0006846948783509228
2018,July,San Joaquin (SJV),T6 Ag,Dsl,IDLEX,CO,0.00026078219426691976
2018,July,San Joaquin (SJV),T6 Ag,Dsl,IDLEX,NOx,0.0009532464615758967
2018,July,San Joaquin (SJV),T6 Ag,Dsl,IDLEX,PM,1.3726153314967538e-05
2018,July,San Joaquin (SJV),T6 Ag,Dsl,IDLEX,PM10,1.3643796395077733e-05
2018,July,San Joaquin (SJV),T6 Ag,Dsl,IDLEX,PM2_5,1.3053571802534143e-05
2018,July,San Joaquin (SJV),T6 Ag,Dsl,STREX,NOx,0.0001475018554316011
2018,July,San Joaquin (SJV),T6 Ag,Dsl,PMTW,PM,1.68236792185919e-05
2018,July,San Joaquin (SJV),T6 Ag,Dsl,PMTW,PM10,1.68236792185919e-05
2018,July,San Joaquin (SJV),T6 Ag,Dsl,PMTW,PM2_5,4.205919804647975e-06
2018,July,San Joaquin (SJV),T6 Ag,Dsl,PMBW,PM,0.00018646244467272687
2018,July,San Joaquin (SJV),T6 Ag,Dsl,PMBW,PM10,0.00018273319577927246
2018,July,San Joaquin (SJV),T6 Ag,Dsl,PMBW,PM2_5,7.831422676254536e-05
2018,July,San Joaquin (SJV),T6 Public,Dsl,RUNEX,CO,0.0015817531151097156
2018,July,San Joaquin (SJV),T6 Public,Dsl,RUNEX,NOx,0.04161988871554868
2018,July,San Joaquin (SJV),T6 Public,Dsl,RUNEX,PM,0.0002956504493994151
2018,July,San Joaquin (SJV),T6 Public,Dsl,RUNEX,PM10,0.00029387654670301813
2018,July,San Joaquin (SJV),T6 Public,Dsl,RUNEX,PM2_5,0.0002811635773788436
2018,July,San Joaquin (SJV),T6 Public,Dsl,IDLEX,CO,0.002425225472369854
2018,July,San Joaquin (SJV),T6 Public,Dsl,IDLEX,NOx,0.017198555407767404
2018,July,San Joaquin (SJV),T6 Public,Dsl,IDLEX,PM,3.7759490115409793e-05
2018,July,San Joaquin (SJV),T6 Public,Dsl,IDLEX,PM10,3.7532933174717254e-05
2018,July,San Joaquin (SJV),T6 Public,Dsl,IDLEX,PM2_5,3.590927509975469e-05
2018,July,San Joaquin (SJV),T6 Public,Dsl,STREX,NOx,0.001552708915269406
2018,July,San Joaquin (SJV),T6 Public,Dsl,PMTW,PM,7.994593868254846e-05
2018,July,San Joaquin (SJV),T6 Public,Dsl,PMTW,PM10,7.994593868254846e-05
2018,July,San Joaquin (SJV),T6 Public,Dsl,PMTW,PM2_5,1.9986484670637115e-05
2018,July,San Joaquin (SJV),T6 Public,Dsl,PMBW,PM,0.0008860674870649117
2018,July,San Joaquin (SJV),T6 Public,Dsl,PMBW,PM10,0.0008683461373236132
2018,July,San Joaquin (SJV),T6 Public,Dsl,PMBW,PM2_5,0.0003721483445672628
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,RUNEX,CO,0.0011610807182606503
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,RUNEX,NOx,0.006065867581749619
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,RUNEX,PM,0.00024476126207424276
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,RUNEX,PM10,0.00024329269450179726
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,RUNEX,PM2_5,0.00023276796023260495
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,IDLEX,CO,9.171352343195476e-05
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,IDLEX,NOx,0.00029304490810145147
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,IDLEX,PM,9.523313095933817e-07
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,IDLEX,PM10,9.466173217358206e-07
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,IDLEX,PM2_5,9.056670754233053e-07
2018,July,San Joaquin (SJV),T6 CAIRP Small,Dsl,STREX,NOx,0.0006150177229127479
