calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,San Luis Obispo (SCC),SBUS,Gas,RUNEX,CO,0.018184209734167966
2018,July,San Luis Obispo (SCC),SBUS,Gas,RUNEX,NOx,0.004480928236088738
2018,July,San Luis Obispo (SCC),SBUS,Gas,RUNEX,SOx,1.5124565459963332e-05
2018,July,San Luis Obispo (SCC),SBUS,Gas,RUNEX,PM,8.215217748288406e-06
2018,July,San Luis Obispo (SCC),SBUS,Gas,RUNEX,TOG,0.0012055080663400059
2018,July,San Luis Obispo (SCC),SBUS,Gas,RUNEX,PM10,7.344404666969838e-06
2018,July,San Luis Obispo (SCC),SBUS,Gas,RUNEX,PM2_5,6.752908989093071e-06
2018,July,San Luis Obispo (SCC),SBUS,Gas,IDLEX,CO,0.0027409670318152696
2018,July,San Luis Obispo (SCC),SBUS,Gas,IDLEX,NOx,3.088255526755907e-05
2018,July,San Luis Obispo (SCC),SBUS,Gas,IDLEX,SOx,9.381164804127338e-07
2018,July,San Luis Obispo (SCC),SBUS,Gas,IDLEX,TOG,0.0005099807600510649
2018,July,San Luis Obispo (SCC),SBUS,Gas,STREX,CO,0.0028681114640019888
2018,July,San Luis Obispo (SCC),SBUS,Gas,STREX,NOx,7.98335818034277e-05
2018,July,San Luis Obispo (SCC),SBUS,Gas,STREX,SOx,9.786024532444633e-08
2018,July,San Luis Obispo (SCC),SBUS,Gas,STREX,PM,1.9669370039517096e-07
2018,July,San Luis Obispo (SCC),SBUS,Gas,STREX,TOG,0.0001087738484849253
2018,July,San Luis Obispo (SCC),SBUS,Gas,STREX,PM10,1.758441681532829e-07
2018,July,San Luis Obispo (SCC),SBUS,Gas,STREX,PM2_5,1.616822217248306e-07
2018,July,San Luis Obispo (SCC),SBUS,Gas,HOTSOAK,TOG,4.942192118915694e-05
2018,July,San Luis Obispo (SCC),SBUS,Gas,RUNLOSS,TOG,0.00035193286770802604
2018,July,San Luis Obispo (SCC),SBUS,Gas,RESTLOSS,TOG,2.651583849141154e-06
2018,July,San Luis Obispo (SCC),SBUS,Gas,DIURN,TOG,7.980425246124314e-06
2018,July,San Luis Obispo (SCC),SBUS,Gas,PMTW,PM,1.330438474952132e-05
2018,July,San Luis Obispo (SCC),SBUS,Gas,PMTW,PM10,1.330438474952132e-05
2018,July,San Luis Obispo (SCC),SBUS,Gas,PMTW,PM2_5,3.32609618738033e-06
2018,July,San Luis Obispo (SCC),SBUS,Gas,PMBW,PM,0.0012639165345740447
2018,July,San Luis Obispo (SCC),SBUS,Gas,PMBW,PM10,0.0012386382038825643
2018,July,San Luis Obispo (SCC),SBUS,Gas,PMBW,PM2_5,0.0005308449445210983
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,RUNEX,CO,0.0003580719493204367
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,RUNEX,NOx,0.0015107444156706633
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,RUNEX,PM,9.004632407734619e-05
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,RUNEX,PM10,8.950604613288204e-05
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,RUNEX,PM2_5,8.563405419755626e-05
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,IDLEX,CO,2.7350300282584677e-05
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,IDLEX,NOx,9.379113012728273e-05
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,IDLEX,PM,1.4823329138581903e-06
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,IDLEX,PM10,1.4734389163750426e-06
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,IDLEX,PM2_5,1.4096986010791395e-06
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,STREX,NOx,2.060047190339977e-05
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,PMTW,PM,2.0006274370270003e-06
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,PMTW,PM10,2.0006274370270003e-06
2018,July,San Luis Obispo (SCC),T6 Ag,Dsl,PMTW,PM2_5,5.001568592567501e-07
