calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,San Mateo (SF),SBUS,Gas,RUNEX,CO,0.012593437999048317
2018,July,San Mateo (SF),SBUS,Gas,RUNEX,NOx,0.00279191898480226
2018,July,San Mateo (SF),SBUS,Gas,RUNEX,SOx,2.081867388915204e-05
2018,July,San Mateo (SF),SBUS,Gas,RUNEX,PM,8.690792692328366e-06
2018,July,San Mateo (SF),SBUS,Gas,RUNEX,TOG,0.000812406731325259
2018,July,San Mateo (SF),SBUS,Gas,RUNEX,PM10,7.769568666941559e-06
2018,July,San Mateo (SF),SBUS,Gas,RUNEX,PM2_5,7.143831593093914e-06
2018,July,San Mateo (SF),SBUS,Gas,IDLEX,CO,0.0032732347556247835
2018,July,San Mateo (SF),SBUS,Gas,IDLEX,NOx,3.6891709179917654e-05
2018,July,San Mateo (SF),SBUS,Gas,IDLEX,SOx,1.0475631529128081e-06
2018,July,San Mateo (SF),SBUS,Gas,IDLEX,TOG,0.0006143347035762406
2018,July,San Mateo (SF),SBUS,Gas,STREX,CO,0.0019108526696071401
2018,July,San Mateo (SF),SBUS,Gas,STREX,NOx,9.381209214544284e-05
2018,July,San Mateo (SF),SBUS,Gas,STREX,SOx,8.742824642049122e-08
2018,July,San Mateo (SF),SBUS,Gas,STREX,PM,2.2959048451746136e-07
2018,July,San Mateo (SF),SBUS,Gas,STREX,TOG,7.783461713346667e-05
2018,July,San Mateo (SF),SBUS,Gas,STREX,PM10,2.052538931586105e-07
2018,July,San Mateo (SF),SBUS,Gas,STREX,PM2_5,1.8872337827335326e-07
2018,July,San Mateo (SF),SBUS,Gas,HOTSOAK,TOG,2.9660179795240444e-05
2018,July,San Mateo (SF),SBUS,Gas,RUNLOSS,TOG,0.0003566792877146712
2018,July,San Mateo (SF),SBUS,Gas,RESTLOSS,TOG,1.0351927332519398e-06
2018,July,San Mateo (SF),SBUS,Gas,DIURN,TOG,4.10426788691235e-06
2018,July,San Mateo (SF),SBUS,Gas,PMTW,PM,1.927625110814321e-05
2018,July,San Mateo (SF),SBUS,Gas,PMTW,PM10,1.927625110814321e-05
2018,July,San Mateo (SF),SBUS,Gas,PMTW,PM2_5,4.8190627770358025e-06
2018,July,San Mateo (SF),SBUS,Gas,PMBW,PM,0.0018312438311782913
2018,July,San Mateo (SF),SBUS,Gas,PMBW,PM10,0.0017946189545547265
2018,July,San Mateo (SF),SBUS,Gas,PMBW,PM2_5,0.000769122409094882
2018,July,San Mateo (SF),T6 Ag,Dsl,RUNEX,CO,0.00011293646403841601
2018,July,San Mateo (SF),T6 Ag,Dsl,RUNEX,NOx,0.0004836254594716591
2018,July,San Mateo (SF),T6 Ag,Dsl,RUNEX,PM,2.7188167472800965e-05
2018,July,San Mateo (SF),T6 Ag,Dsl,RUNEX,PM10,2.7025038467964155e-05
2018,July,San Mateo (SF),T6 Ag,Dsl,RUNEX,PM2_5,2.5855947266633713e-05
2018,July,San Mateo (SF),T6 Ag,Dsl,IDLEX,CO,1.3482473924380404e-05
2018,July,San Mateo (SF),T6 Ag,Dsl,IDLEX,NOx,4.722927851356193e-05
2018,July,San Mateo (SF),T6 Ag,Dsl,IDLEX,PM,9.053066699608359e-07
2018,July,San Mateo (SF),T6 Ag,Dsl,IDLEX,PM10,8.998748299410709e-07
2018,July,San Mateo (SF),T6 Ag,Dsl,IDLEX,PM2_5,8.60946643132755e-07
2018,July,San Mateo (SF),T6 Ag,Dsl,STREX,NOx,4.262909179504741e-06
2018,July,San Mateo (SF),T6 Ag,Dsl,PMTW,PM,6.243900889129366e-07
2018,July,San Mateo (SF),T6 Ag,Dsl,PMTW,PM10,6.243900889129366e-07
2018,July,San Mateo (SF),T6 Ag,Dsl,PMTW,PM2_5,1.5609752222823415e-07
2018,July,San Mateo (SF),T6 Ag,Dsl,PMBW,PM,6.920323485451715e-06
2018,July,San Mateo (SF),T6 Ag,Dsl,PMBW,PM10,6.781917015742682e-06
2018,July,San Mateo (SF),T6 Ag,Dsl,PMBW,PM2_5,2.9065358638897207e-06
2018,July,San Mateo (SF),T6 Public,Dsl,RUNEX,CO,0.0014158976265754408
2018,July,San Mateo (SF),T6 Public,Dsl,RUNEX,NOx,0.039000784381240994
2018,July,San Mateo (SF),T6 Public,Dsl,RUNEX,PM,0.0002381500009974673
2018,July,San Mateo (SF),T6 Public,Dsl,RUNEX,PM10,0.00023672110099148263
2018,July,San Mateo (SF),T6 Public,Dsl,RUNEX,PM2_5,0.00022648065094859138
2018,July,San Mateo (SF),T6 Public,Dsl,IDLEX,CO,0.001914132328255999
2018,July,San Mateo (SF),T6 Public,Dsl,IDLEX,NOx,0.017262723567403198
2018,July,San Mateo (SF),T6 Public,Dsl,IDLEX,PM,3.041859501684178e-05
2018,July,San Mateo (SF),T6 Public,Dsl,IDLEX,PM10,3.0236083446740674e-05
2018,July,San Mateo (SF),T6 Public,Dsl,IDLEX,PM2_5,2.89280838610165e-05
2018,July,San Mateo (SF),T6 Public,Dsl,STREX,NOx,0.0011447578527503592
2018,July,San Mateo (SF),T6 Public,Dsl,PMTW,PM,7.106485225806886e-05
2018,July,San Mateo (SF),T6 Public,Dsl,PMTW,PM10,7.106485225806886e-05
2018,July,San Mateo (SF),T6 Public,Dsl,PMTW,PM2_5,1.7766213064517214e-05
2018,July,San Mateo (SF),T6 Public,Dsl,PMBW,PM,0.0007876354458602632
2018,July,San Mateo (SF),T6 Public,Dsl,PMBW,PM10,0.000771882736943058
