calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Santa Clara (SF),SBUS,Gas,RUNEX,CO,0.015893176549294646
2018,July,Santa Clara (SF),SBUS,Gas,RUNEX,NOx,0.00414002640568406
2018,July,Santa Clara (SF),SBUS,Gas,RUNEX,SOx,8.397366137495456e-05
2018,July,Santa Clara (SF),SBUS,Gas,RUNEX,PM,1.318330765365726e-05
2018,July,Santa Clara (SF),SBUS,Gas,RUNEX,TOG,0.001066472229453531
2018,July,Santa Clara (SF),SBUS,Gas,RUNEX,PM10,1.1785877042369593e-05
2018,July,Santa Clara (SF),SBUS,Gas,RUNEX,PM2_5,1.0836678891306266e-05
2018,July,Santa Clara (SF),SBUS,Gas,IDLEX,CO,0.015968067848922497
2018,July,Santa Clara (SF),SBUS,Gas,IDLEX,NOx,0.0001799004594867885
2018,July,Santa Clara (SF),SBUS,Gas,IDLEX,SOx,5.097224989906828e-06
2018,July,Santa Clara (SF),SBUS,Gas,IDLEX,TOG,0.003011529873226009
2018,July,Santa Clara (SF),SBUS,Gas,STREX,CO,0.006472050182595041
2018,July,Santa Clara (SF),SBUS,Gas,STREX,NOx,0.000400796606839402
2018,July,Santa Clara (SF),SBUS,Gas,STREX,SOx,3.778948376109494e-07
2018,July,Santa Clara (SF),SBUS,Gas,STREX,PM,4.465207368693122e-07
2018,July,Santa Clara (SF),SBUS,Gas,STREX,TOG,0.00027601891311067816
2018,July,Santa Clara (SF),SBUS,Gas,STREX,PM10,3.9918953876116523e-07
2018,July,Santa Clara (SF),SBUS,Gas,STREX,PM2_5,3.670400457065747e-07
2018,July,Santa Clara (SF),SBUS,Gas,HOTSOAK,TOG,4.2992886470428365e-05
2018,July,Santa Clara (SF),SBUS,Gas,RUNLOSS,TOG,0.00029698172112935174
2018,July,Santa Clara (SF),SBUS,Gas,RESTLOSS,TOG,3.0629281900399993e-06
2018,July,Santa Clara (SF),SBUS,Gas,DIURN,TOG,6.176003405699879e-06
2018,July,Santa Clara (SF),SBUS,Gas,PMTW,PM,7.726501269830215e-05
2018,July,Santa Clara (SF),SBUS,Gas,PMTW,PM10,7.726501269830215e-05
2018,July,Santa Clara (SF),SBUS,Gas,PMTW,PM2_5,1.931625317457554e-05
2018,July,Santa Clara (SF),SBUS,Gas,PMBW,PM,0.007340176109757442
2018,July,Santa Clara (SF),SBUS,Gas,PMBW,PM10,0.007193372587562292
2018,July,Santa Clara (SF),SBUS,Gas,PMBW,PM2_5,0.003082873966098126
2018,July,Santa Clara (SF),T6 Ag,Dsl,RUNEX,CO,4.1235150445261643e-05
2018,July,Santa Clara (SF),T6 Ag,Dsl,RUNEX,NOx,0.00022248668090500993
2018,July,Santa Clara (SF),T6 Ag,Dsl,RUNEX,PM,7.96023288370897e-06
2018,July,Santa Clara (SF),T6 Ag,Dsl,RUNEX,PM10,7.912471486406713e-06
2018,July,Santa Clara (SF),T6 Ag,Dsl,RUNEX,PM2_5,7.570181472407227e-06
2018,July,Santa Clara (SF),T6 Ag,Dsl,IDLEX,CO,1.8725236353904698e-06
2018,July,Santa Clara (SF),T6 Ag,Dsl,IDLEX,NOx,8.90703184585457e-06
2018,July,Santa Clara (SF),T6 Ag,Dsl,IDLEX,PM,5.797206782637071e-08
2018,July,Santa Clara (SF),T6 Ag,Dsl,IDLEX,PM10,5.7624235419412466e-08
2018,July,Santa Clara (SF),T6 Ag,Dsl,IDLEX,PM2_5,5.513143650287853e-08
2018,July,Santa Clara (SF),T6 Ag,Dsl,STREX,NOx,4.1385060737592276e-06
2018,July,Santa Clara (SF),T6 Ag,Dsl,PMTW,PM,3.088887503860493e-07
2018,July,Santa Clara (SF),T6 Ag,Dsl,PMTW,PM10,3.088887503860493e-07
2018,July,Santa Clara (SF),T6 Ag,Dsl,PMTW,PM2_5,7.722218759651233e-08
2018,July,Santa Clara (SF),T6 Ag,Dsl,PMBW,PM,3.4235169834453795e-06
2018,July,Santa Clara (SF),T6 Ag,Dsl,PMBW,PM10,3.3550466437764725e-06
2018,July,Santa Clara (SF),T6 Ag,Dsl,PMBW,PM2_5,1.4378771330470594e-06
2018,July,Santa Clara (SF),T6 Public,Dsl,RUNEX,CO,0.0031551199993426807
2018,July,Santa Clara (SF),T6 Public,Dsl,RUNEX,NOx,0.09011075879500872
2018,July,Santa Clara (SF),T6 Public,Dsl,RUNEX,PM,0.0005652486025932226
2018,July,Santa Clara (SF),T6 Public,Dsl,RUNEX,PM10,0.0005618571109776635
2018,July,Santa Clara (SF),T6 Public,Dsl,RUNEX,PM2_5,0.0005375514210661543
2018,July,Santa Clara (SF),T6 Public,Dsl,IDLEX,CO,0.0044180516636585215
2018,July,Santa Clara (SF),T6 Public,Dsl,IDLEX,NOx,0.03669250872346507
2018,July,Santa Clara (SF),T6 Public,Dsl,IDLEX,PM,6.991877653224873e-05
2018,July,Santa Clara (SF),T6 Public,Dsl,IDLEX,PM10,6.949926387305528e-05
2018,July,Santa Clara (SF),T6 Public,Dsl,IDLEX,PM2_5,6.649275648216857e-05
2018,July,Santa Clara (SF),T6 Public,Dsl,STREX,NOx,0.0026947106051489816
2018,July,Santa Clara (SF),T6 Public,Dsl,PMTW,PM,0.00015797674865823303
2018,July,Santa Clara (SF),T6 Public,Dsl,PMTW,PM10,0.00015797674865823303
2018,July,Santa Clara (SF),T6 Public,Dsl,PMTW,PM2_5,3.949418716455826e-05
2018,July,Santa Clara (SF),T6 Public,Dsl,PMBW,PM,0.0017509089642954126
2018,July,Santa Clara (SF),T6 Public,Dsl,PMBW,PM10,0.0017158907850095078
2018,July,Santa Clara (SF),T6 Public,Dsl,PMBW,PM2_5,0.000735381765004075
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,RUNEX,CO,0.0004104401842061069
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,RUNEX,NOx,0.002129060258701067
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,RUNEX,PM,8.657053516858904e-05
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,RUNEX,PM10,8.605111195757749e-05
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,RUNEX,PM2_5,8.23285789453282e-05
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,IDLEX,CO,3.2161143255201835e-05
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,IDLEX,NOx,0.00010334574920017754
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,IDLEX,PM,3.367503378320236e-07
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,IDLEX,PM10,3.3472983580503104e-07
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,IDLEX,PM2_5,3.202495712782545e-07
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,STREX,NOx,0.00021493362613436584
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,PMTW,PM,1.1053073160369228e-05
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,PMTW,PM10,1.1053073160369228e-05
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,PMTW,PM2_5,2.763268290092307e-06
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,PMBW,PM,0.0001225048941940923
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,PMBW,PM10,0.0001200547963102104
2018,July,Santa Clara (SF),T6 CAIRP Small,Dsl,PMBW,PM2_5,5.145205556151875e-05
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.0016633155717408544
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.012175850327550001
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.00033688075132154313
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.00033485946681361414
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.0003203735945067882
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,IDLEX,CO,6.0798101529897706e-05
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,IDLEX,NOx,0.00017213646095207496
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM,4.551771389100535e-07
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM10,4.524460760765928e-07
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,4.328734591034611e-07
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,STREX,NOx,0.00045422288391152275
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,PMTW,PM,8.069984921484362e-05
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,PMTW,PM10,8.069984921484362e-05
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,2.0174962303710906e-05
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,PMBW,PM,0.0008944233287978505
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.0008765348622218939
2018,July,Santa Clara (SF),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,0.0003756577980950971
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,RUNEX,CO,0.053323458444239004
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.19976933912236847
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,RUNEX,PM,0.007937475171893667
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.007889850320862304
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.007548538888470875
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,IDLEX,CO,0.0014771566146750154
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.006408425451789162
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,IDLEX,PM,2.8979234729692045e-05
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,IDLEX,PM10,2.880535932131389e-05
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,2.75592522279371e-05
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,STREX,NOx,0.004315274883250494
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,PMTW,PM,0.00047164040757022145
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,PMTW,PM10,0.00047164040757022145
2018,July,Santa Clara (SF),T6 Instate Construction Small,Dsl,PMTW,PM2_5,0.00011791010189255536
