calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,CO,0.0019879493501006886
2018,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,NOx,0.00044418804784392504
2018,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,SOx,3.3406767842340984e-06
2018,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,PM,1.3074245825732257e-06
2018,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,TOG,0.00012324596240055014
2018,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,PM10,1.1688375768204627e-06
2018,July,Santa Cruz (NCC),SBUS,Gas,RUNEX,PM2_5,1.0747030068751902e-06
2018,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,CO,0.000562999210693969
2018,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,NOx,6.345267559953765e-06
2018,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,SOx,1.853744970328572e-07
2018,July,Santa Cruz (NCC),SBUS,Gas,IDLEX,TOG,0.00010548005663933795
2018,July,Santa Cruz (NCC),SBUS,Gas,STREX,CO,0.0003204656866202776
2018,July,Santa Cruz (NCC),SBUS,Gas,STREX,NOx,1.6443422736548964e-05
2018,July,Santa Cruz (NCC),SBUS,Gas,STREX,SOx,1.5234569136194274e-08
2018,July,Santa Cruz (NCC),SBUS,Gas,STREX,PM,3.382226506570624e-08
2018,July,Santa Cruz (NCC),SBUS,Gas,STREX,TOG,1.4466958497452032e-05
2018,July,Santa Cruz (NCC),SBUS,Gas,STREX,PM10,3.023710496874138e-08
2018,July,Santa Cruz (NCC),SBUS,Gas,STREX,PM2_5,2.7801901884010532e-08
2018,July,Santa Cruz (NCC),SBUS,Gas,HOTSOAK,TOG,6.847637074272125e-06
2018,July,Santa Cruz (NCC),SBUS,Gas,RUNLOSS,TOG,6.893046199683447e-05
2018,July,Santa Cruz (NCC),SBUS,Gas,RESTLOSS,TOG,3.8893604831311277e-07
2018,July,Santa Cruz (NCC),SBUS,Gas,DIURN,TOG,7.728173642802252e-07
2018,July,Santa Cruz (NCC),SBUS,Gas,PMTW,PM,3.0201517556685545e-06
2018,July,Santa Cruz (NCC),SBUS,Gas,PMTW,PM10,3.0201517556685545e-06
2018,July,Santa Cruz (NCC),SBUS,Gas,PMTW,PM2_5,7.550379389171386e-07
2018,July,Santa Cruz (NCC),SBUS,Gas,PMBW,PM,0.0002869144130133228
2018,July,Santa Cruz (NCC),SBUS,Gas,PMBW,PM10,0.00028117612475305636
2018,July,Santa Cruz (NCC),SBUS,Gas,PMBW,PM2_5,0.00012050405346559565
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,RUNEX,CO,0.00033610176206564496
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,RUNEX,NOx,0.0013949932742438186
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,RUNEX,PM,8.250265938518708e-05
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,RUNEX,PM10,8.200764342887594e-05
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,RUNEX,PM2_5,7.846002907531295e-05
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,IDLEX,CO,2.206956447759529e-05
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,IDLEX,NOx,9.318747997481334e-05
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,IDLEX,PM,1.045442233300428e-06
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,IDLEX,PM10,1.0391695799006247e-06
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,IDLEX,PM2_5,9.942155638687057e-07
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,STREX,NOx,1.8357676032249654e-05
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,PMTW,PM,1.814650969143772e-06
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,PMTW,PM10,1.814650969143772e-06
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,PMTW,PM2_5,4.53662742285943e-07
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,PMBW,PM,2.0112381574676807e-05
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,PMBW,PM10,1.9710133943183272e-05
2018,July,Santa Cruz (NCC),T6 Ag,Dsl,PMBW,PM2_5,8.447200261364255e-06
2018,July,Santa Cruz (NCC),T6 Public,Dsl,RUNEX,CO,0.0004862313082740655
2018,July,Santa Cruz (NCC),T6 Public,Dsl,RUNEX,NOx,0.013815639629149855
2018,July,Santa Cruz (NCC),T6 Public,Dsl,RUNEX,PM,9.919352823391808e-05
2018,July,Santa Cruz (NCC),T6 Public,Dsl,RUNEX,PM10,9.859836706451437e-05
2018,July,Santa Cruz (NCC),T6 Public,Dsl,RUNEX,PM2_5,9.4333045350456e-05
2018,July,Santa Cruz (NCC),T6 Public,Dsl,IDLEX,CO,0.00046777260852425045
2018,July,Santa Cruz (NCC),T6 Public,Dsl,IDLEX,NOx,0.005169330053770149
2018,July,Santa Cruz (NCC),T6 Public,Dsl,IDLEX,PM,1.3233264977720826e-05
2018,July,Santa Cruz (NCC),T6 Public,Dsl,IDLEX,PM10,1.3153865387854512e-05
2018,July,Santa Cruz (NCC),T6 Public,Dsl,IDLEX,PM2_5,1.2584834993812507e-05
2018,July,Santa Cruz (NCC),T6 Public,Dsl,STREX,NOx,0.00020703354053089516
2018,July,Santa Cruz (NCC),T6 Public,Dsl,PMTW,PM,1.9777293114328643e-05
2018,July,Santa Cruz (NCC),T6 Public,Dsl,PMTW,PM10,1.9777293114328643e-05
2018,July,Santa Cruz (NCC),T6 Public,Dsl,PMTW,PM2_5,4.944323278582161e-06
2018,July,Santa Cruz (NCC),T6 Public,Dsl,PMBW,PM,0.00021919833201714258
2018,July,Santa Cruz (NCC),T6 Public,Dsl,PMBW,PM10,0.0002148143653767996
2018,July,Santa Cruz (NCC),T6 Public,Dsl,PMBW,PM2_5,9.206329944719981e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,RUNEX,CO,8.580714619448271e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0004435929059321223
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,RUNEX,PM,1.8133551264015157e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,RUNEX,PM10,1.802474995643102e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,1.7245007252078385e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,IDLEX,CO,6.661156151591739e-06
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,IDLEX,NOx,2.1529620347795238e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,IDLEX,PM,7.008036391985247e-08
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,IDLEX,PM10,6.965988173633339e-08
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,6.66464260877797e-08
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,STREX,NOx,4.440615092946971e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,PMTW,PM,2.291256134635267e-06
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,PMTW,PM10,2.291256134635267e-06
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,PMTW,PM2_5,5.728140336588167e-07
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,PMBW,PM,2.5394755492207552e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,PMBW,PM10,2.4886860382363396e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Small,Dsl,PMBW,PM2_5,1.0665797306727175e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.00035766977725722415
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.00265428442947414
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,RUNEX,PM,7.17917489398707e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,7.136099844623152e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,6.82739532418171e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,IDLEX,CO,1.3928249160716159e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,3.778196521881729e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,IDLEX,PM,9.603062882992179e-08
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,IDLEX,PM10,9.545444505694224e-08
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,9.13251280172557e-08
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,STREX,NOx,0.00010617086289518077
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,PMTW,PM,1.863058056640639e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,PMTW,PM10,1.863058056640639e-05
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,4.657645141601598e-06
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,PMBW,PM,0.00020648893461100424
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.00020235915591878417
2018,July,Santa Cruz (NCC),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,8.67253525366218e-05
2018,July,Santa Cruz (NCC),T6 Instate Construction Small,Dsl,RUNEX,CO,0.004289453606549089
