calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Shasta (SV),SBUS,Gas,RUNEX,CO,0.005105031205571154
2018,July,Shasta (SV),SBUS,Gas,RUNEX,NOx,0.0008460780625463362
2018,July,Shasta (SV),SBUS,Gas,RUNEX,SOx,5.206152029666014e-06
2018,July,Shasta (SV),SBUS,Gas,RUNEX,PM,2.8386122124631217e-06
2018,July,Shasta (SV),SBUS,Gas,RUNEX,TOG,0.000331121969330022
2018,July,Shasta (SV),SBUS,Gas,RUNEX,PM10,2.5377193179420315e-06
2018,July,Shasta (SV),SBUS,Gas,RUNEX,PM2_5,2.3333392386446852e-06
2018,July,Shasta (SV),SBUS,Gas,IDLEX,CO,0.0009384989036105201
2018,July,Shasta (SV),SBUS,Gas,IDLEX,NOx,1.0578744667834274e-05
2018,July,Shasta (SV),SBUS,Gas,IDLEX,SOx,3.174601567914751e-07
2018,July,Shasta (SV),SBUS,Gas,IDLEX,TOG,0.00017466595819004322
2018,July,Shasta (SV),SBUS,Gas,STREX,CO,0.0005283202141244933
2018,July,Shasta (SV),SBUS,Gas,STREX,NOx,2.3192784846542053e-05
2018,July,Shasta (SV),SBUS,Gas,STREX,SOx,2.5823503812345943e-08
2018,July,Shasta (SV),SBUS,Gas,STREX,PM,7.156566412296126e-08
2018,July,Shasta (SV),SBUS,Gas,STREX,TOG,2.552187203863093e-05
2018,July,Shasta (SV),SBUS,Gas,STREX,PM10,6.39797037259273e-08
2018,July,Shasta (SV),SBUS,Gas,STREX,PM2_5,5.882697590907415e-08
2018,July,Shasta (SV),SBUS,Gas,HOTSOAK,TOG,2.0653416945106337e-05
2018,July,Shasta (SV),SBUS,Gas,RUNLOSS,TOG,0.0001740466854527137
2018,July,Shasta (SV),SBUS,Gas,RESTLOSS,TOG,2.006830812793229e-06
2018,July,Shasta (SV),SBUS,Gas,DIURN,TOG,8.026950294959865e-06
2018,July,Shasta (SV),SBUS,Gas,PMTW,PM,4.647230159860231e-06
2018,July,Shasta (SV),SBUS,Gas,PMTW,PM10,4.647230159860231e-06
2018,July,Shasta (SV),SBUS,Gas,PMTW,PM2_5,1.1618075399650578e-06
2018,July,Shasta (SV),SBUS,Gas,PMBW,PM,0.0004414868593776844
2018,July,Shasta (SV),SBUS,Gas,PMBW,PM10,0.00043265712219013055
2018,July,Shasta (SV),SBUS,Gas,PMBW,PM2_5,0.00018542448093862736
2018,July,Shasta (SV),T6 Ag,Dsl,RUNEX,CO,0.00010058021660390891
2018,July,Shasta (SV),T6 Ag,Dsl,RUNEX,NOx,0.0007144507025720492
2018,July,Shasta (SV),T6 Ag,Dsl,RUNEX,PM,2.0308288060678832e-05
2018,July,Shasta (SV),T6 Ag,Dsl,RUNEX,PM10,2.0186438332314757e-05
2018,July,Shasta (SV),T6 Ag,Dsl,RUNEX,PM2_5,1.9313181945705565e-05
2018,July,Shasta (SV),T6 Ag,Dsl,IDLEX,CO,7.600363098064618e-06
2018,July,Shasta (SV),T6 Ag,Dsl,IDLEX,NOx,3.801683739873888e-05
2018,July,Shasta (SV),T6 Ag,Dsl,IDLEX,PM,2.8466263245364033e-07
2018,July,Shasta (SV),T6 Ag,Dsl,IDLEX,PM10,2.829546566589185e-07
2018,July,Shasta (SV),T6 Ag,Dsl,IDLEX,PM2_5,2.707141634634117e-07
2018,July,Shasta (SV),T6 Ag,Dsl,STREX,NOx,8.839127259909228e-06
2018,July,Shasta (SV),T6 Ag,Dsl,PMTW,PM,8.071594959814505e-07
2018,July,Shasta (SV),T6 Ag,Dsl,PMTW,PM10,8.071594959814505e-07
2018,July,Shasta (SV),T6 Ag,Dsl,PMTW,PM2_5,2.0178987399536263e-07
2018,July,Shasta (SV),T6 Ag,Dsl,PMBW,PM,8.946017747127742e-06
2018,July,Shasta (SV),T6 Ag,Dsl,PMBW,PM10,8.767097392185187e-06
2018,July,Shasta (SV),T6 Ag,Dsl,PMBW,PM2_5,3.7573274537936508e-06
2018,July,Shasta (SV),T6 Public,Dsl,RUNEX,CO,0.0006137487870603971
2018,July,Shasta (SV),T6 Public,Dsl,RUNEX,NOx,0.015168633116338589
2018,July,Shasta (SV),T6 Public,Dsl,RUNEX,PM,0.00010664688334513537
2018,July,Shasta (SV),T6 Public,Dsl,RUNEX,PM10,0.00010600700204506433
2018,July,Shasta (SV),T6 Public,Dsl,RUNEX,PM2_5,0.00010142118606122379
2018,July,Shasta (SV),T6 Public,Dsl,IDLEX,CO,0.0009945789571366053
2018,July,Shasta (SV),T6 Public,Dsl,IDLEX,NOx,0.006531405045795588
2018,July,Shasta (SV),T6 Public,Dsl,IDLEX,PM,1.475075922016867e-05
2018,July,Shasta (SV),T6 Public,Dsl,IDLEX,PM10,1.4662254664847652e-05
2018,July,Shasta (SV),T6 Public,Dsl,IDLEX,PM2_5,1.4027972018380403e-05
2018,July,Shasta (SV),T6 Public,Dsl,STREX,NOx,0.0006519286227736046
2018,July,Shasta (SV),T6 Public,Dsl,PMTW,PM,3.152919893823297e-05
2018,July,Shasta (SV),T6 Public,Dsl,PMTW,PM10,3.152919893823297e-05
2018,July,Shasta (SV),T6 Public,Dsl,PMTW,PM2_5,7.882299734558242e-06
2018,July,Shasta (SV),T6 Public,Dsl,PMBW,PM,0.00034944862156541544
2018,July,Shasta (SV),T6 Public,Dsl,PMBW,PM10,0.0003424596491341072
2018,July,Shasta (SV),T6 Public,Dsl,PMBW,PM2_5,0.00014676842105747464
2018,July,Shasta (SV),T6 CAIRP Small,Dsl,RUNEX,CO,0.00010686999579166413
2018,July,Shasta (SV),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0005493660487405919
2018,July,Shasta (SV),T6 CAIRP Small,Dsl,RUNEX,PM,2.2635827323309208e-05
2018,July,Shasta (SV),T6 CAIRP Small,Dsl,RUNEX,PM10,2.250001235936932e-05
2018,July,Shasta (SV),T6 CAIRP Small,Dsl,RUNEX,PM2_5,2.1526671784467044e-05
2018,July,Shasta (SV),T6 CAIRP Small,Dsl,IDLEX,CO,7.91634328558047e-06
