calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Sierra (MC),SBUS,Gas,RUNEX,CO,0.00022508726298840062
2018,July,Sierra (MC),SBUS,Gas,RUNEX,NOx,4.7429080656042984e-05
2018,July,Sierra (MC),SBUS,Gas,RUNEX,SOx,5.918249679071964e-07
2018,July,Sierra (MC),SBUS,Gas,RUNEX,PM,1.3716995999009844e-07
2018,July,Sierra (MC),SBUS,Gas,RUNEX,TOG,1.4540237889657859e-05
2018,July,Sierra (MC),SBUS,Gas,RUNEX,PM10,1.22629944231148e-07
2018,July,Sierra (MC),SBUS,Gas,RUNEX,PM2_5,1.1275370711186076e-07
2018,July,Sierra (MC),SBUS,Gas,IDLEX,CO,0.00010449668546190159
2018,July,Sierra (MC),SBUS,Gas,IDLEX,NOx,1.1774089894075787e-06
2018,July,Sierra (MC),SBUS,Gas,IDLEX,SOx,3.3894555308426686e-08
2018,July,Sierra (MC),SBUS,Gas,IDLEX,TOG,1.9667413981474433e-05
2018,July,Sierra (MC),SBUS,Gas,STREX,CO,4.454846812345463e-05
2018,July,Sierra (MC),SBUS,Gas,STREX,NOx,2.7128846869723515e-06
2018,July,Sierra (MC),SBUS,Gas,STREX,SOx,2.543905431288235e-09
2018,July,Sierra (MC),SBUS,Gas,STREX,PM,3.4710179361847624e-09
2018,July,Sierra (MC),SBUS,Gas,STREX,TOG,2.0087949175131705e-06
2018,July,Sierra (MC),SBUS,Gas,STREX,PM10,3.10309003494918e-09
2018,July,Sierra (MC),SBUS,Gas,STREX,PM2_5,2.8531767435438757e-09
2018,July,Sierra (MC),SBUS,Gas,HOTSOAK,TOG,6.887093077751463e-07
2018,July,Sierra (MC),SBUS,Gas,RUNLOSS,TOG,6.23740263095373e-06
2018,July,Sierra (MC),SBUS,Gas,RESTLOSS,TOG,4.17344722234659e-08
2018,July,Sierra (MC),SBUS,Gas,DIURN,TOG,1.581879808890706e-07
2018,July,Sierra (MC),SBUS,Gas,PMTW,PM,5.318262124546118e-07
2018,July,Sierra (MC),SBUS,Gas,PMTW,PM10,5.318262124546118e-07
2018,July,Sierra (MC),SBUS,Gas,PMTW,PM2_5,1.3295655311365296e-07
2018,July,Sierra (MC),SBUS,Gas,PMBW,PM,5.052348951840537e-05
2018,July,Sierra (MC),SBUS,Gas,PMBW,PM10,4.951301972803729e-05
2018,July,Sierra (MC),SBUS,Gas,PMBW,PM2_5,2.1219865597730277e-05
2018,July,Sierra (MC),T6 Public,Dsl,RUNEX,CO,0.00010337773499621903
2018,July,Sierra (MC),T6 Public,Dsl,RUNEX,NOx,0.0026832569533510116
2018,July,Sierra (MC),T6 Public,Dsl,RUNEX,PM,2.4644460621612284e-05
2018,July,Sierra (MC),T6 Public,Dsl,RUNEX,PM10,2.449659385788261e-05
2018,July,Sierra (MC),T6 Public,Dsl,RUNEX,PM2_5,2.3436882051153255e-05
2018,July,Sierra (MC),T6 Public,Dsl,IDLEX,CO,6.753620899837293e-05
2018,July,Sierra (MC),T6 Public,Dsl,IDLEX,NOx,0.0008162393472369731
2018,July,Sierra (MC),T6 Public,Dsl,IDLEX,PM,4.187329373434168e-06
2018,July,Sierra (MC),T6 Public,Dsl,IDLEX,PM10,4.162205397193563e-06
2018,July,Sierra (MC),T6 Public,Dsl,IDLEX,PM2_5,3.982150234135889e-06
2018,July,Sierra (MC),T6 Public,Dsl,STREX,NOx,1.0498748279038817e-05
2018,July,Sierra (MC),T6 Public,Dsl,PMTW,PM,2.913031225802237e-06
2018,July,Sierra (MC),T6 Public,Dsl,PMTW,PM10,2.913031225802237e-06
2018,July,Sierra (MC),T6 Public,Dsl,PMTW,PM2_5,7.282578064505593e-07
2018,July,Sierra (MC),T6 Public,Dsl,PMBW,PM,3.228609608597479e-05
2018,July,Sierra (MC),T6 Public,Dsl,PMBW,PM10,3.16403741642553e-05
2018,July,Sierra (MC),T6 Public,Dsl,PMBW,PM2_5,1.356016035610941e-05
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,RUNEX,CO,6.430666390627926e-06
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,RUNEX,NOx,3.32162793669612e-05
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,RUNEX,PM,1.3697563044683286e-06
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,RUNEX,PM10,1.3615377666415186e-06
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,1.3026382455493804e-06
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,IDLEX,CO,4.0490836000533945e-07
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,IDLEX,NOx,1.5307424311803487e-06
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,IDLEX,PM,5.464650055636474e-09
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,IDLEX,PM10,5.43186215530266e-09
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,5.196882202910284e-09
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,STREX,NOx,2.38977407319521e-06
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,PMTW,PM,1.3750390741359948e-07
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,PMTW,PM10,1.3750390741359948e-07
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,PMTW,PM2_5,3.437597685339987e-08
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,PMBW,PM,1.5240016405007284e-06
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,PMBW,PM10,1.4935216076907138e-06
2018,July,Sierra (MC),T6 CAIRP Small,Dsl,PMBW,PM2_5,6.40080689010306e-07
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,RUNEX,CO,2.6860885668854652e-05
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.00019598517151153712
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM,5.5884430870656966e-06
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,5.554912428543305e-06
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,5.314609375799476e-06
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,IDLEX,CO,8.434158876929953e-07
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,2.6454695630307593e-06
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM,7.773622506191286e-09
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM10,7.726980771154138e-09
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,7.392715003387917e-09
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,STREX,NOx,5.951185792388987e-06
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,PMTW,PM,1.0948285988520297e-06
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,PMTW,PM10,1.0948285988520297e-06
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,2.737071497130074e-07
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,PMBW,PM,1.2134350303943338e-05
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,PMBW,PM10,1.1891663297864463e-05
2018,July,Sierra (MC),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,5.0964271276562005e-06
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,RUNEX,CO,0.000531444684050474
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.0020329583291660465
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,RUNEX,PM,7.910831570117816e-05
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,RUNEX,PM10,7.8633665806971e-05
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,7.523200823182028e-05
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,IDLEX,CO,1.4721982656093925e-05
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,IDLEX,NOx,6.386914387873989e-05
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,IDLEX,PM,2.888196057472639e-07
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,IDLEX,PM10,2.870866881127797e-07
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,2.746674450656475e-07
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,STREX,NOx,4.3007898659052e-05
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,PMTW,PM,4.7005725941182465e-06
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,PMTW,PM10,4.7005725941182465e-06
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,PMTW,PM2_5,1.1751431485295616e-06
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,PMBW,PM,5.209801291814392e-05
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,PMBW,PM10,5.105605265978104e-05
2018,July,Sierra (MC),T6 Instate Construction Small,Dsl,PMBW,PM2_5,2.1881165425620447e-05
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,RUNEX,CO,5.840979661640081e-05
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.0002714254832154805
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,RUNEX,PM,1.0058477183015374e-05
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,9.998126319917281e-06
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,9.565611801047615e-06
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,IDLEX,CO,1.2966362565770198e-06
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,IDLEX,NOx,5.145293100279449e-06
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,IDLEX,PM,4.222843970065211e-08
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,IDLEX,PM10,4.19750690624483e-08
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,IDLEX,PM2_5,4.015924615532024e-08
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,STREX,NOx,2.9492185118381433e-06
2018,July,Sierra (MC),T6 Instate Construction Heavy,Dsl,PMTW,PM,5.126414016288795e-07
