calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Siskiyou (NEP),SBUS,Gas,RUNEX,CO,0.001366711268743171
2018,July,Siskiyou (NEP),SBUS,Gas,RUNEX,NOx,0.00028906196313869143
2018,July,Siskiyou (NEP),SBUS,Gas,RUNEX,SOx,3.1024843079048966e-06
2018,July,Siskiyou (NEP),SBUS,Gas,RUNEX,PM,3.9616073413328734e-07
2018,July,Siskiyou (NEP),SBUS,Gas,RUNEX,TOG,8.457378466113064e-05
2018,July,Siskiyou (NEP),SBUS,Gas,RUNEX,PM10,3.541676963151588e-07
2018,July,Siskiyou (NEP),SBUS,Gas,RUNEX,PM2_5,3.2564412345756203e-07
2018,July,Siskiyou (NEP),SBUS,Gas,IDLEX,CO,0.0005713716827645594
2018,July,Siskiyou (NEP),SBUS,Gas,IDLEX,NOx,6.437105842743954e-06
2018,July,Siskiyou (NEP),SBUS,Gas,IDLEX,SOx,1.83858524759646e-07
2018,July,Siskiyou (NEP),SBUS,Gas,IDLEX,TOG,0.00010788192552766307
2018,July,Siskiyou (NEP),SBUS,Gas,STREX,CO,0.00029553807938948324
2018,July,Siskiyou (NEP),SBUS,Gas,STREX,NOx,1.2711018869933111e-05
2018,July,Siskiyou (NEP),SBUS,Gas,STREX,SOx,1.4665250548289317e-08
2018,July,Siskiyou (NEP),SBUS,Gas,STREX,PM,1.3947859542341748e-08
2018,July,Siskiyou (NEP),SBUS,Gas,STREX,TOG,1.177774391659856e-05
2018,July,Siskiyou (NEP),SBUS,Gas,STREX,PM10,1.246938643085352e-08
2018,July,Siskiyou (NEP),SBUS,Gas,STREX,PM2_5,1.1465140543804915e-08
2018,July,Siskiyou (NEP),SBUS,Gas,HOTSOAK,TOG,2.4343339445641083e-06
2018,July,Siskiyou (NEP),SBUS,Gas,RUNLOSS,TOG,1.670498448915078e-05
2018,July,Siskiyou (NEP),SBUS,Gas,RESTLOSS,TOG,1.1295861010239633e-07
2018,July,Siskiyou (NEP),SBUS,Gas,DIURN,TOG,5.068350919009401e-07
2018,July,Siskiyou (NEP),SBUS,Gas,PMTW,PM,2.779542974223761e-06
2018,July,Siskiyou (NEP),SBUS,Gas,PMTW,PM10,2.779542974223761e-06
2018,July,Siskiyou (NEP),SBUS,Gas,PMTW,PM2_5,6.948857435559403e-07
2018,July,Siskiyou (NEP),SBUS,Gas,PMBW,PM,0.0002640565790768287
2018,July,Siskiyou (NEP),SBUS,Gas,PMBW,PM10,0.0002587754474952921
2018,July,Siskiyou (NEP),SBUS,Gas,PMBW,PM2_5,0.00011090376321226803
2018,July,Siskiyou (NEP),T6 Ag,Dsl,RUNEX,CO,0.0003270967487719868
2018,July,Siskiyou (NEP),T6 Ag,Dsl,RUNEX,NOx,0.0014641221326026372
2018,July,Siskiyou (NEP),T6 Ag,Dsl,RUNEX,PM,7.98876126519141e-05
2018,July,Siskiyou (NEP),T6 Ag,Dsl,RUNEX,PM10,7.940828697600258e-05
2018,July,Siskiyou (NEP),T6 Ag,Dsl,RUNEX,PM2_5,7.597311963197029e-05
2018,July,Siskiyou (NEP),T6 Ag,Dsl,IDLEX,CO,3.380595353918805e-05
2018,July,Siskiyou (NEP),T6 Ag,Dsl,IDLEX,NOx,9.287184063616498e-05
2018,July,Siskiyou (NEP),T6 Ag,Dsl,IDLEX,PM,2.2912839166779877e-06
