calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Solano (SF),SBUS,Gas,RUNEX,CO,0.0032580005203258246
2018,July,Solano (SF),SBUS,Gas,RUNEX,NOx,0.0009304066540734048
2018,July,Solano (SF),SBUS,Gas,RUNEX,SOx,5.502765836068226e-06
2018,July,Solano (SF),SBUS,Gas,RUNEX,PM,2.5168971316635117e-06
2018,July,Solano (SF),SBUS,Gas,RUNEX,TOG,0.00022974159240452173
2018,July,Solano (SF),SBUS,Gas,RUNEX,PM10,2.2501060357071804e-06
2018,July,Solano (SF),SBUS,Gas,RUNEX,PM2_5,2.068889442227408e-06
2018,July,Solano (SF),SBUS,Gas,IDLEX,CO,0.0009254507660317386
2018,July,Solano (SF),SBUS,Gas,IDLEX,NOx,1.042604973029392e-05
2018,July,Solano (SF),SBUS,Gas,IDLEX,SOx,3.0553159517608473e-07
2018,July,Solano (SF),SBUS,Gas,IDLEX,TOG,0.0001725883860435164
2018,July,Solano (SF),SBUS,Gas,STREX,CO,0.0006876767352897678
2018,July,Solano (SF),SBUS,Gas,STREX,NOx,2.3184838527931874e-05
2018,July,Solano (SF),SBUS,Gas,STREX,SOx,2.7687299011573456e-08
2018,July,Solano (SF),SBUS,Gas,STREX,PM,4.99834380427157e-08
2018,July,Solano (SF),SBUS,Gas,STREX,TOG,2.6215441783785846e-05
2018,July,Solano (SF),SBUS,Gas,STREX,PM10,4.468519361018784e-08
2018,July,Solano (SF),SBUS,Gas,STREX,PM2_5,4.108638607111232e-08
2018,July,Solano (SF),SBUS,Gas,HOTSOAK,TOG,9.794596406795244e-06
2018,July,Solano (SF),SBUS,Gas,RUNLOSS,TOG,7.44185857724726e-05
2018,July,Solano (SF),SBUS,Gas,RESTLOSS,TOG,7.303668221532905e-07
2018,July,Solano (SF),SBUS,Gas,DIURN,TOG,2.1125509751244097e-06
2018,July,Solano (SF),SBUS,Gas,PMTW,PM,5.045617704011677e-06
2018,July,Solano (SF),SBUS,Gas,PMTW,PM10,5.045617704011677e-06
2018,July,Solano (SF),SBUS,Gas,PMTW,PM2_5,1.2614044260029192e-06
2018,July,Solano (SF),SBUS,Gas,PMBW,PM,0.0004793336755740872
2018,July,Solano (SF),SBUS,Gas,PMBW,PM10,0.00046974700206260536
2018,July,Solano (SF),SBUS,Gas,PMBW,PM2_5,0.00020132014374111664
2018,July,Solano (SF),T6 Public,Dsl,RUNEX,CO,0.0007183687832621978
2018,July,Solano (SF),T6 Public,Dsl,RUNEX,NOx,0.021624905095741342
2018,July,Solano (SF),T6 Public,Dsl,RUNEX,PM,0.00012876150951120137
2018,July,Solano (SF),T6 Public,Dsl,RUNEX,PM10,0.00012798894045413424
2018,July,Solano (SF),T6 Public,Dsl,RUNEX,PM2_5,0.00012245219554515253
2018,July,Solano (SF),T6 Public,Dsl,IDLEX,CO,0.000885911588931787
2018,July,Solano (SF),T6 Public,Dsl,IDLEX,NOx,0.009309240822045576
2018,July,Solano (SF),T6 Public,Dsl,IDLEX,PM,1.5035806395870427e-05
2018,July,Solano (SF),T6 Public,Dsl,IDLEX,PM10,1.494559155749522e-05
2018,July,Solano (SF),T6 Public,Dsl,IDLEX,PM2_5,1.42990518824728e-05
2018,July,Solano (SF),T6 Public,Dsl,STREX,NOx,0.0005041920974178563
2018,July,Solano (SF),T6 Public,Dsl,PMTW,PM,3.586016382375317e-05
2018,July,Solano (SF),T6 Public,Dsl,PMTW,PM10,3.586016382375317e-05
2018,July,Solano (SF),T6 Public,Dsl,PMTW,PM2_5,8.965040955938293e-06
2018,July,Solano (SF),T6 Public,Dsl,PMBW,PM,0.00039745014904659726
2018,July,Solano (SF),T6 Public,Dsl,PMBW,PM10,0.00038950114606566585
2018,July,Solano (SF),T6 Public,Dsl,PMBW,PM2_5,0.00016692906259957094
2018,July,Solano (SF),T6 CAIRP Small,Dsl,RUNEX,CO,7.418996669543188e-05
2018,July,Solano (SF),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0003912309407735901
2018,July,Solano (SF),T6 CAIRP Small,Dsl,RUNEX,PM,1.5581971930860323e-05
2018,July,Solano (SF),T6 CAIRP Small,Dsl,RUNEX,PM10,1.5488480099275163e-05
2018,July,Solano (SF),T6 CAIRP Small,Dsl,RUNEX,PM2_5,1.4818455306248193e-05
2018,July,Solano (SF),T6 CAIRP Small,Dsl,IDLEX,CO,6.321743051181612e-06
2018,July,Solano (SF),T6 CAIRP Small,Dsl,IDLEX,NOx,1.920218317644854e-05
2018,July,Solano (SF),T6 CAIRP Small,Dsl,IDLEX,PM,5.972247803332697e-08
2018,July,Solano (SF),T6 CAIRP Small,Dsl,IDLEX,PM10,5.9364143165126946e-08
2018,July,Solano (SF),T6 CAIRP Small,Dsl,IDLEX,PM2_5,5.679607660969399e-08
2018,July,Solano (SF),T6 CAIRP Small,Dsl,STREX,NOx,4.390531121844825e-05
2018,July,Solano (SF),T6 CAIRP Small,Dsl,PMTW,PM,2.1845818067466287e-06
2018,July,Solano (SF),T6 CAIRP Small,Dsl,PMTW,PM10,2.1845818067466287e-06
2018,July,Solano (SF),T6 CAIRP Small,Dsl,PMTW,PM2_5,5.461454516866572e-07
2018,July,Solano (SF),T6 CAIRP Small,Dsl,PMBW,PM,2.4212448358108444e-05
2018,July,Solano (SF),T6 CAIRP Small,Dsl,PMBW,PM10,2.3728199390946273e-05
2018,July,Solano (SF),T6 CAIRP Small,Dsl,PMBW,PM2_5,1.016922831040555e-05
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.0002937532246041622
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.0021578222165541147
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM,5.9788449375147036e-05
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM10,5.942971867889615e-05
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,5.6858815355764815e-05
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,IDLEX,CO,1.0362440409897927e-05
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,IDLEX,NOx,3.0160216828182588e-05
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM,8.08650857953308e-08
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM10,8.037989528055891e-08
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,7.690269659135957e-08
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,STREX,NOx,7.654087668266382e-05
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,PMTW,PM,1.371788502892167e-05
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,PMTW,PM10,1.371788502892167e-05
2018,July,Solano (SF),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,3.4294712572304177e-06
