calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Solano (SV),SBUS,Gas,RUNEX,CO,0.001047206964836779
2018,July,Solano (SV),SBUS,Gas,RUNEX,NOx,0.0002366915698981742
2018,July,Solano (SV),SBUS,Gas,RUNEX,SOx,3.995500425928053e-06
2018,July,Solano (SV),SBUS,Gas,RUNEX,PM,8.487691238913622e-07
2018,July,Solano (SV),SBUS,Gas,RUNEX,TOG,6.912306159974891e-05
2018,July,Solano (SV),SBUS,Gas,RUNEX,PM10,7.587995967588776e-07
2018,July,Solano (SV),SBUS,Gas,RUNEX,PM2_5,6.976882198386992e-07
2018,July,Solano (SV),SBUS,Gas,IDLEX,CO,0.000643424859762863
2018,July,Solano (SV),SBUS,Gas,IDLEX,NOx,7.249591730261582e-06
2018,July,Solano (SV),SBUS,Gas,IDLEX,SOx,2.0611693647980816e-07
2018,July,Solano (SV),SBUS,Gas,IDLEX,TOG,0.00012116626617172112
2018,July,Solano (SV),SBUS,Gas,STREX,CO,0.00026536813479214623
2018,July,Solano (SV),SBUS,Gas,STREX,NOx,1.6440492696075146e-05
2018,July,Solano (SV),SBUS,Gas,STREX,SOx,1.5363951026314123e-08
2018,July,Solano (SV),SBUS,Gas,STREX,PM,2.1935948442803502e-08
2018,July,Solano (SV),SBUS,Gas,STREX,TOG,1.1906326639006715e-05
2018,July,Solano (SV),SBUS,Gas,STREX,PM10,1.9610737907866326e-08
2018,July,Solano (SV),SBUS,Gas,STREX,PM2_5,1.803134961998447e-08
2018,July,Solano (SV),SBUS,Gas,HOTSOAK,TOG,3.3678903122048994e-06
2018,July,Solano (SV),SBUS,Gas,RUNLOSS,TOG,2.689117534906385e-05
2018,July,Solano (SV),SBUS,Gas,RESTLOSS,TOG,2.5594285828956297e-07
2018,July,Solano (SV),SBUS,Gas,DIURN,TOG,9.741230457245232e-07
2018,July,Solano (SV),SBUS,Gas,PMTW,PM,3.7086455675680637e-06
2018,July,Solano (SV),SBUS,Gas,PMTW,PM10,3.7086455675680637e-06
2018,July,Solano (SV),SBUS,Gas,PMTW,PM2_5,9.271613918920159e-07
2018,July,Solano (SV),SBUS,Gas,PMBW,PM,0.0003523213242831592
2018,July,Solano (SV),SBUS,Gas,PMBW,PM10,0.0003452748977974962
2018,July,Solano (SV),SBUS,Gas,PMBW,PM2_5,0.0001479749561989268
2018,July,Solano (SV),T6 Public,Dsl,RUNEX,CO,0.0003053985911179694
2018,July,Solano (SV),T6 Public,Dsl,RUNEX,NOx,0.008823845107448889
2018,July,Solano (SV),T6 Public,Dsl,RUNEX,PM,6.082409414661329e-05
2018,July,Solano (SV),T6 Public,Dsl,RUNEX,PM10,6.0459149581733594e-05
2018,July,Solano (SV),T6 Public,Dsl,RUNEX,PM2_5,5.784371353342931e-05
2018,July,Solano (SV),T6 Public,Dsl,IDLEX,CO,0.00032280410623706314
2018,July,Solano (SV),T6 Public,Dsl,IDLEX,NOx,0.003643447936945583
2018,July,Solano (SV),T6 Public,Dsl,IDLEX,PM,7.41020768184251e-06
2018,July,Solano (SV),T6 Public,Dsl,IDLEX,PM10,7.365746435751456e-06
2018,July,Solano (SV),T6 Public,Dsl,IDLEX,PM2_5,7.047107505432226e-06
2018,July,Solano (SV),T6 Public,Dsl,STREX,NOx,0.0001639757975906387
2018,July,Solano (SV),T6 Public,Dsl,PMTW,PM,1.3592916844640944e-05
