calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Sonoma (NC),SBUS,Gas,RUNEX,CO,0.0002864155132361125
2018,July,Sonoma (NC),SBUS,Gas,RUNEX,NOx,6.790617311049421e-05
2018,July,Sonoma (NC),SBUS,Gas,RUNEX,SOx,1.1037000274225639e-06
2018,July,Sonoma (NC),SBUS,Gas,RUNEX,PM,2.346248648824289e-07
2018,July,Sonoma (NC),SBUS,Gas,RUNEX,TOG,1.889569135797742e-05
2018,July,Sonoma (NC),SBUS,Gas,RUNEX,PM10,2.0975462920489147e-07
2018,July,Sonoma (NC),SBUS,Gas,RUNEX,PM2_5,1.928616389333566e-07
2018,July,Sonoma (NC),SBUS,Gas,IDLEX,CO,0.0001901091304972545
2018,July,Sonoma (NC),SBUS,Gas,IDLEX,NOx,2.141974542492865e-06
2018,July,Sonoma (NC),SBUS,Gas,IDLEX,SOx,6.053316529667588e-08
2018,July,Sonoma (NC),SBUS,Gas,IDLEX,TOG,3.580978957256136e-05
2018,July,Sonoma (NC),SBUS,Gas,STREX,CO,9.634802616081392e-05
2018,July,Sonoma (NC),SBUS,Gas,STREX,NOx,5.039261156609713e-06
2018,July,Sonoma (NC),SBUS,Gas,STREX,SOx,4.8122892056558895e-09
2018,July,Sonoma (NC),SBUS,Gas,STREX,PM,6.561213597571916e-09
2018,July,Sonoma (NC),SBUS,Gas,STREX,TOG,3.9153362184414654e-06
2018,July,Sonoma (NC),SBUS,Gas,STREX,PM10,5.865724956229294e-09
2018,July,Sonoma (NC),SBUS,Gas,STREX,PM2_5,5.393317577204114e-09
2018,July,Sonoma (NC),SBUS,Gas,HOTSOAK,TOG,8.273862424256207e-07
2018,July,Sonoma (NC),SBUS,Gas,RUNLOSS,TOG,8.447197917308141e-06
2018,July,Sonoma (NC),SBUS,Gas,RESTLOSS,TOG,3.980108239517324e-08
2018,July,Sonoma (NC),SBUS,Gas,DIURN,TOG,1.1703218472632927e-07
2018,July,Sonoma (NC),SBUS,Gas,PMTW,PM,1.0240435427304997e-06
2018,July,Sonoma (NC),SBUS,Gas,PMTW,PM10,1.0240435427304997e-06
2018,July,Sonoma (NC),SBUS,Gas,PMTW,PM2_5,2.560108856826249e-07
2018,July,Sonoma (NC),SBUS,Gas,PMBW,PM,9.7284135279343e-05
2018,July,Sonoma (NC),SBUS,Gas,PMBW,PM10,9.533845257375615e-05
2018,July,Sonoma (NC),SBUS,Gas,PMBW,PM2_5,4.085933681732406e-05
2018,July,Sonoma (NC),T6 Ag,Dsl,RUNEX,CO,0.0007357718313659268
2018,July,Sonoma (NC),T6 Ag,Dsl,RUNEX,NOx,0.003503865364995749
2018,July,Sonoma (NC),T6 Ag,Dsl,RUNEX,PM,0.00017891674156469276
2018,July,Sonoma (NC),T6 Ag,Dsl,RUNEX,PM10,0.00017784324111530427
2018,July,Sonoma (NC),T6 Ag,Dsl,RUNEX,PM2_5,0.00017014982122802265
2018,July,Sonoma (NC),T6 Ag,Dsl,IDLEX,CO,8.893638135174538e-05
2018,July,Sonoma (NC),T6 Ag,Dsl,IDLEX,NOx,0.000352152792341204
2018,July,Sonoma (NC),T6 Ag,Dsl,IDLEX,PM,4.705647395886041e-06
2018,July,Sonoma (NC),T6 Ag,Dsl,IDLEX,PM10,4.677413511510726e-06
2018,July,Sonoma (NC),T6 Ag,Dsl,IDLEX,PM2_5,4.475070673487628e-06
2018,July,Sonoma (NC),T6 Ag,Dsl,STREX,NOx,1.708489637899127e-05
2018,July,Sonoma (NC),T6 Ag,Dsl,PMTW,PM,3.891614871230553e-06
2018,July,Sonoma (NC),T6 Ag,Dsl,PMTW,PM10,3.891614871230553e-06
2018,July,Sonoma (NC),T6 Ag,Dsl,PMTW,PM2_5,9.729037178076382e-07
2018,July,Sonoma (NC),T6 Ag,Dsl,PMBW,PM,4.313206482280533e-05
2018,July,Sonoma (NC),T6 Ag,Dsl,PMBW,PM10,4.2269423526349196e-05
2018,July,Sonoma (NC),T6 Ag,Dsl,PMBW,PM2_5,1.8115467225578243e-05
2018,July,Sonoma (NC),T6 Public,Dsl,RUNEX,CO,0.00023089504818812312
2018,July,Sonoma (NC),T6 Public,Dsl,RUNEX,NOx,0.006300030316516701
2018,July,Sonoma (NC),T6 Public,Dsl,RUNEX,PM,4.4937023342147476e-05
2018,July,Sonoma (NC),T6 Public,Dsl,RUNEX,PM10,4.466740120209465e-05
2018,July,Sonoma (NC),T6 Public,Dsl,RUNEX,PM2_5,4.273510919838237e-05
2018,July,Sonoma (NC),T6 Public,Dsl,IDLEX,CO,0.00018048671081231728
2018,July,Sonoma (NC),T6 Public,Dsl,IDLEX,NOx,0.0023236650264330124
2018,July,Sonoma (NC),T6 Public,Dsl,IDLEX,PM,6.462434696126912e-06
2018,July,Sonoma (NC),T6 Public,Dsl,IDLEX,PM10,6.4236600879501446e-06
2018,July,Sonoma (NC),T6 Public,Dsl,IDLEX,PM2_5,6.145775396016683e-06
2018,July,Sonoma (NC),T6 Public,Dsl,STREX,NOx,5.763062660870014e-05
2018,July,Sonoma (NC),T6 Public,Dsl,PMTW,PM,8.53452839813973e-06
2018,July,Sonoma (NC),T6 Public,Dsl,PMTW,PM10,8.53452839813973e-06
2018,July,Sonoma (NC),T6 Public,Dsl,PMTW,PM2_5,2.1336320995349325e-06
2018,July,Sonoma (NC),T6 Public,Dsl,PMBW,PM,9.459102307938187e-05
2018,July,Sonoma (NC),T6 Public,Dsl,PMBW,PM10,9.269920261779434e-05
2018,July,Sonoma (NC),T6 Public,Dsl,PMBW,PM2_5,3.972822969334038e-05
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,RUNEX,CO,8.375291745009848e-05
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,RUNEX,NOx,0.000441439652112142
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,RUNEX,PM,1.7637770982511626e-05
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,RUNEX,PM10,1.7531944356616596e-05
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,1.677352020436858e-05
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,IDLEX,CO,6.812080773490502e-06
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,IDLEX,NOx,2.1339689113096515e-05
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,IDLEX,PM,6.800680079637644e-08
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,IDLEX,PM10,6.759875999159813e-08
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,6.467446755735399e-08
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,STREX,NOx,4.636679474566821e-05
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,PMTW,PM,2.3483775311621913e-06
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,PMTW,PM10,2.3483775311621913e-06
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,PMTW,PM2_5,5.870943827905478e-07
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,PMBW,PM,2.602785097038098e-05
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,PMBW,PM10,2.5507293950973353e-05
2018,July,Sonoma (NC),T6 CAIRP Small,Dsl,PMBW,PM2_5,1.093169740756e-05
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.000330368857119012
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.0024211161321016322
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,RUNEX,PM,6.749255320590216e-05
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,6.708759788666683e-05
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,6.418541809881289e-05
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,IDLEX,CO,1.1345907424537633e-05
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,3.3629151994827795e-05
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,IDLEX,PM,9.125686393107762e-08
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,IDLEX,PM10,9.070932274749113e-08
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,8.678527759845479e-08
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,STREX,NOx,8.30950698074469e-05
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,PMTW,PM,1.4983677512533066e-05
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,PMTW,PM10,1.4983677512533066e-05
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,3.7459193781332664e-06
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,PMBW,PM,0.0001660690924305748
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.00016274771058196347
2018,July,Sonoma (NC),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,6.974901882084144e-05
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,RUNEX,CO,0.002209458974423443
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.008382071352361664
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,RUNEX,PM,0.0003288895031282131
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.00032691616610944446
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.0003127739174749316
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,IDLEX,CO,6.120602515561842e-05
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.00026553328571487096
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,IDLEX,PM,1.2007553919706249e-06
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,IDLEX,PM10,1.1935508596188019e-06
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,1.1419183777640634e-06
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,STREX,NOx,0.00017880353405569377
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,PMTW,PM,1.9542433323158527e-05
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,PMTW,PM10,1.9542433323158527e-05
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,PMTW,PM2_5,4.885608330789632e-06
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,PMBW,PM,0.000216595302665007
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,PMBW,PM10,0.0002122633966117069
2018,July,Sonoma (NC),T6 Instate Construction Small,Dsl,PMBW,PM2_5,9.0970027119303e-05
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,RUNEX,CO,0.0003919591581257722
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.0018062081518301198
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,RUNEX,PM,6.749744866557165e-05
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,6.709246397357806e-05
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,6.419007368095876e-05
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,IDLEX,CO,8.701082437609043e-06
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,IDLEX,NOx,3.4527508546906934e-05
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,IDLEX,PM,2.8337410216876187e-07
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,IDLEX,PM10,2.81673857555749e-07
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,IDLEX,PM2_5,2.694887711624918e-07
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,STREX,NOx,1.9790741827449473e-05
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,PMTW,PM,3.4400820383348344e-06
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,PMTW,PM10,3.4400820383348344e-06
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,PMTW,PM2_5,8.600205095837086e-07
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,PMBW,PM,3.812757592487781e-05
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,PMBW,PM10,3.736502440638021e-05
2018,July,Sonoma (NC),T6 Instate Construction Heavy,Dsl,PMBW,PM2_5,1.601358188844867e-05
2018,July,Sonoma (NC),T6 Instate Small,Dsl,RUNEX,CO,0.014494460152436712
2018,July,Sonoma (NC),T6 Instate Small,Dsl,RUNEX,NOx,0.06287704347459694
2018,July,Sonoma (NC),T6 Instate Small,Dsl,RUNEX,PM,0.0023603589842083766
2018,July,Sonoma (NC),T6 Instate Small,Dsl,RUNEX,PM10,0.002346196830303128
2018,July,Sonoma (NC),T6 Instate Small,Dsl,RUNEX,PM2_5,0.002244701393982167
2018,July,Sonoma (NC),T6 Instate Small,Dsl,IDLEX,CO,0.000544622253551547
2018,July,Sonoma (NC),T6 Instate Small,Dsl,IDLEX,NOx,0.0024565636423287524
2018,July,Sonoma (NC),T6 Instate Small,Dsl,IDLEX,PM,1.1611465093134826e-05
2018,July,Sonoma (NC),T6 Instate Small,Dsl,IDLEX,PM10,1.1541796302576008e-05
2018,July,Sonoma (NC),T6 Instate Small,Dsl,IDLEX,PM2_5,1.104250330357121e-05
2018,July,Sonoma (NC),T6 Instate Small,Dsl,STREX,NOx,0.0029895830357612096
2018,July,Sonoma (NC),T6 Instate Small,Dsl,PMTW,PM,0.00016095505813481297
2018,July,Sonoma (NC),T6 Instate Small,Dsl,PMTW,PM10,0.00016095505813481297
2018,July,Sonoma (NC),T6 Instate Small,Dsl,PMTW,PM2_5,4.023876453370324e-05
2018,July,Sonoma (NC),T6 Instate Small,Dsl,PMBW,PM,0.0017839185609941765
2018,July,Sonoma (NC),T6 Instate Small,Dsl,PMBW,PM10,0.001748240189774293
2018,July,Sonoma (NC),T6 Instate Small,Dsl,PMBW,PM2_5,0.0007492457956175542
2018,July,Sonoma (NC),T6 Instate Heavy,Dsl,RUNEX,CO,0.02701538152700641
2018,July,Sonoma (NC),T6 Instate Heavy,Dsl,RUNEX,NOx,0.12203171763258162
2018,July,Sonoma (NC),T6 Instate Heavy,Dsl,RUNEX,PM,0.0052974027266051655
2018,July,Sonoma (NC),T6 Instate Heavy,Dsl,RUNEX,PM10,0.0052656183102455295
2018,July,Sonoma (NC),T6 Instate Heavy,Dsl,RUNEX,PM2_5,0.005037829993001509
2018,July,Sonoma (NC),T6 Instate Heavy,Dsl,IDLEX,CO,0.00036501418812457054
