calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Sonoma (SF),SBUS,Gas,RUNEX,CO,0.0018684064848621268
2018,July,Sonoma (SF),SBUS,Gas,RUNEX,NOx,0.0005350903801118147
2018,July,Sonoma (SF),SBUS,Gas,RUNEX,SOx,1.9667952109245814e-05
2018,July,Sonoma (SF),SBUS,Gas,RUNEX,PM,2.824480397681569e-06
2018,July,Sonoma (SF),SBUS,Gas,RUNEX,TOG,0.00012883400629509873
2018,July,Sonoma (SF),SBUS,Gas,RUNEX,PM10,2.525085475527323e-06
2018,July,Sonoma (SF),SBUS,Gas,RUNEX,PM2_5,2.32172288689425e-06
2018,July,Sonoma (SF),SBUS,Gas,IDLEX,CO,0.003903667093482906
2018,July,Sonoma (SF),SBUS,Gas,IDLEX,NOx,4.397893527730281e-05
2018,July,Sonoma (SF),SBUS,Gas,IDLEX,SOx,1.2242613072350082e-06
2018,July,Sonoma (SF),SBUS,Gas,IDLEX,TOG,0.0007370598427739129
2018,July,Sonoma (SF),SBUS,Gas,STREX,CO,0.0016030537426930465
2018,July,Sonoma (SF),SBUS,Gas,STREX,NOx,9.425221110525477e-05
2018,July,Sonoma (SF),SBUS,Gas,STREX,SOx,9.136082056214742e-08
2018,July,Sonoma (SF),SBUS,Gas,STREX,PM,1.1195839046458736e-07
2018,July,Sonoma (SF),SBUS,Gas,STREX,TOG,6.360241098706151e-05
2018,July,Sonoma (SF),SBUS,Gas,STREX,PM10,1.0009080107534109e-07
2018,July,Sonoma (SF),SBUS,Gas,STREX,PM2_5,9.202979696189077e-08
2018,July,Sonoma (SF),SBUS,Gas,HOTSOAK,TOG,4.217364051611305e-06
2018,July,Sonoma (SF),SBUS,Gas,RUNLOSS,TOG,2.4870074605074452e-05
2018,July,Sonoma (SF),SBUS,Gas,RESTLOSS,TOG,2.756744840558557e-07
2018,July,Sonoma (SF),SBUS,Gas,DIURN,TOG,6.769828795409719e-07
2018,July,Sonoma (SF),SBUS,Gas,PMTW,PM,1.8398104805225075e-05
2018,July,Sonoma (SF),SBUS,Gas,PMTW,PM10,1.8398104805225075e-05
2018,July,Sonoma (SF),SBUS,Gas,PMTW,PM2_5,4.599526201306269e-06
2018,July,Sonoma (SF),SBUS,Gas,PMBW,PM,0.0017478199334987504
2018,July,Sonoma (SF),SBUS,Gas,PMBW,PM10,0.0017128635348287757
2018,July,Sonoma (SF),SBUS,Gas,PMBW,PM2_5,0.0007340843720694752
2018,July,Sonoma (SF),T6 Ag,Dsl,RUNEX,CO,0.0006942502785174477
2018,July,Sonoma (SF),T6 Ag,Dsl,RUNEX,NOx,0.002905987830619287
2018,July,Sonoma (SF),T6 Ag,Dsl,RUNEX,PM,0.00017025163474116613
2018,July,Sonoma (SF),T6 Ag,Dsl,RUNEX,PM10,0.00016923012493271923
2018,July,Sonoma (SF),T6 Ag,Dsl,RUNEX,PM2_5,0.00016190930463884904
2018,July,Sonoma (SF),T6 Ag,Dsl,IDLEX,CO,8.053287351607857e-05
