calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Stanislaus (SJV),SBUS,Gas,RUNEX,CO,0.027559455926327803
2018,July,Stanislaus (SJV),SBUS,Gas,RUNEX,NOx,0.006103876200499427
2018,July,Stanislaus (SJV),SBUS,Gas,RUNEX,SOx,4.443325550895008e-05
2018,July,Stanislaus (SJV),SBUS,Gas,RUNEX,PM,7.788062952772585e-06
2018,July,Stanislaus (SJV),SBUS,Gas,RUNEX,TOG,0.0017158609733777842
2018,July,Stanislaus (SJV),SBUS,Gas,RUNEX,PM10,6.96252827977869e-06
2018,July,Stanislaus (SJV),SBUS,Gas,RUNEX,PM2_5,6.401787747179061e-06
2018,July,Stanislaus (SJV),SBUS,Gas,IDLEX,CO,0.00832673781029947
2018,July,Stanislaus (SJV),SBUS,Gas,IDLEX,NOx,9.381258178121335e-05
2018,July,Stanislaus (SJV),SBUS,Gas,IDLEX,SOx,2.7206546079315425e-06
2018,July,Stanislaus (SJV),SBUS,Gas,IDLEX,TOG,0.0015705844884425254
2018,July,Stanislaus (SJV),SBUS,Gas,STREX,CO,0.004047159672519244
2018,July,Stanislaus (SJV),SBUS,Gas,STREX,NOx,0.00021049639621559252
2018,July,Stanislaus (SJV),SBUS,Gas,STREX,SOx,2.1218617502216896e-07
2018,July,Stanislaus (SJV),SBUS,Gas,STREX,PM,2.809342882923795e-07
2018,July,Stanislaus (SJV),SBUS,Gas,STREX,TOG,0.0001787484422441848
2018,July,Stanislaus (SJV),SBUS,Gas,STREX,PM10,2.5115525373338735e-07
2018,July,Stanislaus (SJV),SBUS,Gas,STREX,PM2_5,2.3092798497633592e-07
2018,July,Stanislaus (SJV),SBUS,Gas,HOTSOAK,TOG,4.7809881465760764e-05
2018,July,Stanislaus (SJV),SBUS,Gas,RUNLOSS,TOG,0.0002467394841689186
2018,July,Stanislaus (SJV),SBUS,Gas,RESTLOSS,TOG,4.103966889277679e-06
2018,July,Stanislaus (SJV),SBUS,Gas,DIURN,TOG,1.2918635055607889e-05
2018,July,Stanislaus (SJV),SBUS,Gas,PMTW,PM,3.955822925423244e-05
2018,July,Stanislaus (SJV),SBUS,Gas,PMTW,PM10,3.955822925423244e-05
2018,July,Stanislaus (SJV),SBUS,Gas,PMTW,PM2_5,9.88955731355811e-06
2018,July,Stanislaus (SJV),SBUS,Gas,PMBW,PM,0.0037580317297042976
2018,July,Stanislaus (SJV),SBUS,Gas,PMBW,PM10,0.0036828710951102095
2018,July,Stanislaus (SJV),SBUS,Gas,PMBW,PM2_5,0.0015783733264758053
2018,July,Stanislaus (SJV),T6 Ag,Dsl,RUNEX,CO,0.0020318409832579525
2018,July,Stanislaus (SJV),T6 Ag,Dsl,RUNEX,NOx,0.008866526287326607
2018,July,Stanislaus (SJV),T6 Ag,Dsl,RUNEX,PM,0.0005051391751460242
2018,July,Stanislaus (SJV),T6 Ag,Dsl,RUNEX,PM10,0.0005021083400951482
2018,July,Stanislaus (SJV),T6 Ag,Dsl,RUNEX,PM2_5,0.00048038735556386967
2018,July,Stanislaus (SJV),T6 Ag,Dsl,IDLEX,CO,0.00019375920917423596
2018,July,Stanislaus (SJV),T6 Ag,Dsl,IDLEX,NOx,0.0006586310316561819
2018,July,Stanislaus (SJV),T6 Ag,Dsl,IDLEX,PM,1.1397594399811937e-05
2018,July,Stanislaus (SJV),T6 Ag,Dsl,IDLEX,PM10,1.1329208833413052e-05
2018,July,Stanislaus (SJV),T6 Ag,Dsl,IDLEX,PM2_5,1.0839112274221159e-05
2018,July,Stanislaus (SJV),T6 Ag,Dsl,STREX,NOx,9.006450252832961e-05
2018,July,Stanislaus (SJV),T6 Ag,Dsl,PMTW,PM,1.0900958074007005e-05
2018,July,Stanislaus (SJV),T6 Ag,Dsl,PMTW,PM10,1.0900958074007005e-05
2018,July,Stanislaus (SJV),T6 Ag,Dsl,PMTW,PM2_5,2.725239518501751e-06
2018,July,Stanislaus (SJV),T6 Ag,Dsl,PMBW,PM,0.00012081895198691082
2018,July,Stanislaus (SJV),T6 Ag,Dsl,PMBW,PM10,0.00011840257294717277
2018,July,Stanislaus (SJV),T6 Ag,Dsl,PMBW,PM2_5,5.0743959834502594e-05
2018,July,Stanislaus (SJV),T6 Public,Dsl,RUNEX,CO,0.001271096748214138
2018,July,Stanislaus (SJV),T6 Public,Dsl,RUNEX,NOx,0.03574387633813777
2018,July,Stanislaus (SJV),T6 Public,Dsl,RUNEX,PM,0.00022931313961095374
2018,July,Stanislaus (SJV),T6 Public,Dsl,RUNEX,PM10,0.00022793726077328813
2018,July,Stanislaus (SJV),T6 Public,Dsl,RUNEX,PM2_5,0.0002180767957700169
2018,July,Stanislaus (SJV),T6 Public,Dsl,IDLEX,CO,0.0015816576246332388
2018,July,Stanislaus (SJV),T6 Public,Dsl,IDLEX,NOx,0.01585405583852104
2018,July,Stanislaus (SJV),T6 Public,Dsl,IDLEX,PM,2.7285968768747203e-05
2018,July,Stanislaus (SJV),T6 Public,Dsl,IDLEX,PM10,2.7122252956134787e-05
2018,July,Stanislaus (SJV),T6 Public,Dsl,IDLEX,PM2_5,2.594895629907859e-05
2018,July,Stanislaus (SJV),T6 Public,Dsl,STREX,NOx,0.0009022250335769032
2018,July,Stanislaus (SJV),T6 Public,Dsl,PMTW,PM,6.26302577366872e-05
2018,July,Stanislaus (SJV),T6 Public,Dsl,PMTW,PM10,6.26302577366872e-05
2018,July,Stanislaus (SJV),T6 Public,Dsl,PMTW,PM2_5,1.56575644341718e-05
2018,July,Stanislaus (SJV),T6 Public,Dsl,PMBW,PM,0.0006941520232482833
2018,July,Stanislaus (SJV),T6 Public,Dsl,PMBW,PM10,0.0006802689827833171
