calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Sutter (SV),SBUS,Gas,RUNEX,CO,1.1512198253969825e-05
2018,July,Sutter (SV),SBUS,Gas,RUNEX,NOx,6.1675217437053265e-06
2018,July,Sutter (SV),SBUS,Gas,RUNEX,SOx,4.68159426331208e-07
2018,July,Sutter (SV),SBUS,Gas,RUNEX,PM,2.957850444262509e-08
2018,July,Sutter (SV),SBUS,Gas,RUNEX,TOG,9.560262395604462e-07
2018,July,Sutter (SV),SBUS,Gas,RUNEX,PM10,2.6443182971706832e-08
2018,July,Sutter (SV),SBUS,Gas,RUNEX,PM2_5,2.4313530651837822e-08
2018,July,Sutter (SV),SBUS,Gas,IDLEX,CO,0.00011198743338574733
2018,July,Sutter (SV),SBUS,Gas,IDLEX,NOx,1.2616567875281608e-06
2018,July,Sutter (SV),SBUS,Gas,IDLEX,SOx,3.598640711677652e-08
2018,July,Sutter (SV),SBUS,Gas,IDLEX,TOG,2.1144589963051457e-05
2018,July,Sutter (SV),SBUS,Gas,STREX,CO,2.701862713217237e-05
2018,July,Sutter (SV),SBUS,Gas,STREX,NOx,2.3019963142440155e-06
2018,July,Sutter (SV),SBUS,Gas,STREX,SOx,2.3621736238993417e-09
2018,July,Sutter (SV),SBUS,Gas,STREX,PM,1.275034648606982e-09
2018,July,Sutter (SV),SBUS,Gas,STREX,TOG,1.4970354187934236e-06
2018,July,Sutter (SV),SBUS,Gas,STREX,PM10,1.1398809758546417e-09
2018,July,Sutter (SV),SBUS,Gas,STREX,PM2_5,1.048078481154939e-09
2018,July,Sutter (SV),SBUS,Gas,HOTSOAK,TOG,3.1297871282796393e-07
2018,July,Sutter (SV),SBUS,Gas,RUNLOSS,TOG,1.7857454490786997e-06
2018,July,Sutter (SV),SBUS,Gas,RESTLOSS,TOG,2.9141626417690916e-08
2018,July,Sutter (SV),SBUS,Gas,DIURN,TOG,1.3938602863783915e-07
2018,July,Sutter (SV),SBUS,Gas,PMTW,PM,4.2775132234791834e-07
2018,July,Sutter (SV),SBUS,Gas,PMTW,PM10,4.2775132234791834e-07
2018,July,Sutter (SV),SBUS,Gas,PMTW,PM2_5,1.0693783058697958e-07
2018,July,Sutter (SV),SBUS,Gas,PMBW,PM,4.0636375088363095e-05
2018,July,Sutter (SV),SBUS,Gas,PMBW,PM10,3.9823647586595826e-05
2018,July,Sutter (SV),SBUS,Gas,PMBW,PM2_5,1.7067277537112498e-05
2018,July,Sutter (SV),T6 Ag,Dsl,RUNEX,CO,0.00018928623252948565
2018,July,Sutter (SV),T6 Ag,Dsl,RUNEX,NOx,0.000768669878860623
2018,July,Sutter (SV),T6 Ag,Dsl,RUNEX,PM,4.6216622636109296e-05
2018,July,Sutter (SV),T6 Ag,Dsl,RUNEX,PM10,4.5939322900292627e-05
2018,July,Sutter (SV),T6 Ag,Dsl,RUNEX,PM2_5,4.395200812693996e-05
2018,July,Sutter (SV),T6 Ag,Dsl,IDLEX,CO,1.4955459882386409e-05
2018,July,Sutter (SV),T6 Ag,Dsl,IDLEX,NOx,6.0356893576037135e-05
2018,July,Sutter (SV),T6 Ag,Dsl,IDLEX,PM,7.727167182729629e-07
2018,July,Sutter (SV),T6 Ag,Dsl,IDLEX,PM10,7.680804179633247e-07
2018,July,Sutter (SV),T6 Ag,Dsl,IDLEX,PM2_5,7.348535990775873e-07
2018,July,Sutter (SV),T6 Ag,Dsl,STREX,NOx,1.0003413843759184e-05
2018,July,Sutter (SV),T6 Ag,Dsl,PMTW,PM,1.0793650313126791e-06
2018,July,Sutter (SV),T6 Ag,Dsl,PMTW,PM10,1.0793650313126791e-06
2018,July,Sutter (SV),T6 Ag,Dsl,PMTW,PM2_5,2.698412578281698e-07
2018,July,Sutter (SV),T6 Ag,Dsl,PMBW,PM,1.1962962430382185e-05
2018,July,Sutter (SV),T6 Ag,Dsl,PMBW,PM10,1.1723703181774559e-05
2018,July,Sutter (SV),T6 Ag,Dsl,PMBW,PM2_5,5.0244442207605174e-06
2018,July,Sutter (SV),T6 Public,Dsl,RUNEX,CO,5.119924086995404e-05
2018,July,Sutter (SV),T6 Public,Dsl,RUNEX,NOx,0.0014061167062051365
2018,July,Sutter (SV),T6 Public,Dsl,RUNEX,PM,9.191321282699666e-06
2018,July,Sutter (SV),T6 Public,Dsl,RUNEX,PM10,9.136173355003445e-06
2018,July,Sutter (SV),T6 Public,Dsl,RUNEX,PM2_5,8.74094653984739e-06
