calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Tehama (SV),SBUS,Gas,RUNEX,CO,0.0010585628754588672
2018,July,Tehama (SV),SBUS,Gas,RUNEX,NOx,0.00017411467894073627
2018,July,Tehama (SV),SBUS,Gas,RUNEX,SOx,1.4052045930898553e-06
2018,July,Tehama (SV),SBUS,Gas,RUNEX,PM,1.299734003882652e-06
2018,July,Tehama (SV),SBUS,Gas,RUNEX,TOG,7.053181688709315e-05
2018,July,Tehama (SV),SBUS,Gas,RUNEX,PM10,1.16196219947109e-06
2018,July,Tehama (SV),SBUS,Gas,RUNEX,PM2_5,1.0683813511915396e-06
2018,July,Tehama (SV),SBUS,Gas,IDLEX,CO,0.0002522853164663611
2018,July,Tehama (SV),SBUS,Gas,IDLEX,NOx,2.8468403212466632e-06
2018,July,Tehama (SV),SBUS,Gas,IDLEX,SOx,8.327607240849992e-08
2018,July,Tehama (SV),SBUS,Gas,IDLEX,TOG,4.6845697519808984e-05
2018,July,Tehama (SV),SBUS,Gas,STREX,CO,0.00010389081033263932
2018,July,Tehama (SV),SBUS,Gas,STREX,NOx,9.794782873451802e-06
2018,July,Tehama (SV),SBUS,Gas,STREX,SOx,6.172615238884013e-09
2018,July,Tehama (SV),SBUS,Gas,STREX,PM,3.751098345370443e-08
2018,July,Tehama (SV),SBUS,Gas,STREX,TOG,5.044768191134083e-06
2018,July,Tehama (SV),SBUS,Gas,STREX,PM10,3.3534819207611766e-08
2018,July,Tehama (SV),SBUS,Gas,STREX,PM2_5,3.083402839894503e-08
2018,July,Tehama (SV),SBUS,Gas,HOTSOAK,TOG,6.986663857568956e-06
2018,July,Tehama (SV),SBUS,Gas,RUNLOSS,TOG,8.606590394969514e-05
2018,July,Tehama (SV),SBUS,Gas,RESTLOSS,TOG,3.4019850892377194e-07
2018,July,Tehama (SV),SBUS,Gas,DIURN,TOG,2.2914536490287325e-06
2018,July,Tehama (SV),SBUS,Gas,PMTW,PM,1.2867305276567334e-06
2018,July,Tehama (SV),SBUS,Gas,PMTW,PM10,1.2867305276567334e-06
2018,July,Tehama (SV),SBUS,Gas,PMTW,PM2_5,3.2168263191418336e-07
2018,July,Tehama (SV),SBUS,Gas,PMBW,PM,0.0001222393985189765
2018,July,Tehama (SV),SBUS,Gas,PMBW,PM10,0.000119794610548597
2018,July,Tehama (SV),SBUS,Gas,PMBW,PM2_5,5.134054737797015e-05
2018,July,Tehama (SV),T6 Ag,Dsl,RUNEX,CO,0.0002777178315816221
2018,July,Tehama (SV),T6 Ag,Dsl,RUNEX,NOx,0.0015399603119211115
2018,July,Tehama (SV),T6 Ag,Dsl,RUNEX,PM,6.0165711448257055e-05
2018,July,Tehama (SV),T6 Ag,Dsl,RUNEX,PM10,5.980471717956751e-05
2018,July,Tehama (SV),T6 Ag,Dsl,RUNEX,PM2_5,5.721759158729248e-05
2018,July,Tehama (SV),T6 Ag,Dsl,IDLEX,CO,1.857561361635185e-05
2018,July,Tehama (SV),T6 Ag,Dsl,IDLEX,NOx,9.493819203278841e-05
2018,July,Tehama (SV),T6 Ag,Dsl,IDLEX,PM,6.864771720862421e-07
2018,July,Tehama (SV),T6 Ag,Dsl,IDLEX,PM10,6.823583090537251e-07
2018,July,Tehama (SV),T6 Ag,Dsl,IDLEX,PM2_5,6.528397906540161e-07
2018,July,Tehama (SV),T6 Ag,Dsl,STREX,NOx,2.3907774319968607e-05
2018,July,Tehama (SV),T6 Ag,Dsl,PMTW,PM,2.185667335630695e-06
2018,July,Tehama (SV),T6 Ag,Dsl,PMTW,PM10,2.185667335630695e-06
2018,July,Tehama (SV),T6 Ag,Dsl,PMTW,PM2_5,5.464168339076738e-07
2018,July,Tehama (SV),T6 Ag,Dsl,PMBW,PM,2.4224479636573565e-05
2018,July,Tehama (SV),T6 Ag,Dsl,PMBW,PM10,2.3739990043842082e-05
2018,July,Tehama (SV),T6 Ag,Dsl,PMBW,PM2_5,1.0174281447360888e-05
2018,July,Tehama (SV),T6 Public,Dsl,RUNEX,CO,0.0002679782711260028
2018,July,Tehama (SV),T6 Public,Dsl,RUNEX,NOx,0.006628138112397325
2018,July,Tehama (SV),T6 Public,Dsl,RUNEX,PM,5.631982475584795e-05
2018,July,Tehama (SV),T6 Public,Dsl,RUNEX,PM10,5.5981905807312795e-05
2018,July,Tehama (SV),T6 Public,Dsl,RUNEX,PM2_5,5.356015334281133e-05
2018,July,Tehama (SV),T6 Public,Dsl,IDLEX,CO,0.00017594965991469787
2018,July,Tehama (SV),T6 Public,Dsl,IDLEX,NOx,0.0020922469640929004
2018,July,Tehama (SV),T6 Public,Dsl,IDLEX,PM,9.016258364611145e-06
2018,July,Tehama (SV),T6 Public,Dsl,IDLEX,PM10,8.962160814423476e-06
2018,July,Tehama (SV),T6 Public,Dsl,IDLEX,PM2_5,8.574461704745189e-06
2018,July,Tehama (SV),T6 Public,Dsl,STREX,NOx,3.098998581180629e-05
2018,July,Tehama (SV),T6 Public,Dsl,PMTW,PM,8.002666061364597e-06
2018,July,Tehama (SV),T6 Public,Dsl,PMTW,PM10,8.002666061364597e-06
2018,July,Tehama (SV),T6 Public,Dsl,PMTW,PM2_5,2.0006665153411492e-06
2018,July,Tehama (SV),T6 Public,Dsl,PMBW,PM,8.869621551345773e-05
2018,July,Tehama (SV),T6 Public,Dsl,PMBW,PM10,8.692229120318855e-05
2018,July,Tehama (SV),T6 Public,Dsl,PMBW,PM2_5,3.725241051565221e-05
2018,July,Tehama (SV),T6 CAIRP Small,Dsl,RUNEX,CO,4.870653161694206e-05
