calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Trinity (NC),SBUS,Gas,RUNEX,CO,0.0011604695327593908
2018,July,Trinity (NC),SBUS,Gas,RUNEX,NOx,0.00018407576691072892
2018,July,Trinity (NC),SBUS,Gas,RUNEX,SOx,1.0405486148315282e-06
2018,July,Trinity (NC),SBUS,Gas,RUNEX,PM,1.3159399127461163e-06
2018,July,Trinity (NC),SBUS,Gas,RUNEX,TOG,7.453224884940874e-05
2018,July,Trinity (NC),SBUS,Gas,RUNEX,PM10,1.1764502819950287e-06
2018,July,Trinity (NC),SBUS,Gas,RUNEX,PM2_5,1.081702608277307e-06
2018,July,Trinity (NC),SBUS,Gas,IDLEX,CO,0.00017188984664364597
2018,July,Trinity (NC),SBUS,Gas,IDLEX,NOx,1.941342363845894e-06
2018,July,Trinity (NC),SBUS,Gas,IDLEX,SOx,5.945885243283969e-08
2018,July,Trinity (NC),SBUS,Gas,IDLEX,TOG,3.162437461024417e-05
2018,July,Trinity (NC),SBUS,Gas,STREX,CO,9.061400339995544e-05
2018,July,Trinity (NC),SBUS,Gas,STREX,NOx,8.093469094979104e-06
2018,July,Trinity (NC),SBUS,Gas,STREX,SOx,4.682779582235186e-09
2018,July,Trinity (NC),SBUS,Gas,STREX,PM,3.590383407224766e-08
2018,July,Trinity (NC),SBUS,Gas,STREX,TOG,3.847689385109224e-06
2018,July,Trinity (NC),SBUS,Gas,STREX,PM10,3.209802766058942e-08
2018,July,Trinity (NC),SBUS,Gas,STREX,PM2_5,2.951295160738758e-08
2018,July,Trinity (NC),SBUS,Gas,HOTSOAK,TOG,6.025512696264725e-06
2018,July,Trinity (NC),SBUS,Gas,RUNLOSS,TOG,9.131524393742319e-05
2018,July,Trinity (NC),SBUS,Gas,RESTLOSS,TOG,2.9978598104063174e-07
2018,July,Trinity (NC),SBUS,Gas,DIURN,TOG,1.401106563054885e-06
2018,July,Trinity (NC),SBUS,Gas,PMTW,PM,9.264583122956394e-07
2018,July,Trinity (NC),SBUS,Gas,PMTW,PM10,9.264583122956394e-07
2018,July,Trinity (NC),SBUS,Gas,PMTW,PM2_5,2.3161457807390985e-07
2018,July,Trinity (NC),SBUS,Gas,PMBW,PM,8.801353851001287e-05
2018,July,Trinity (NC),SBUS,Gas,PMBW,PM10,8.625326773981257e-05
2018,July,Trinity (NC),SBUS,Gas,PMBW,PM2_5,3.696568617420539e-05
2018,July,Trinity (NC),T6 Public,Dsl,RUNEX,CO,0.00025917510345341093
2018,July,Trinity (NC),T6 Public,Dsl,RUNEX,NOx,0.006460458493262236
2018,July,Trinity (NC),T6 Public,Dsl,RUNEX,PM,5.662596674365746e-05
2018,July,Trinity (NC),T6 Public,Dsl,RUNEX,PM10,5.6286210943195524e-05
2018,July,Trinity (NC),T6 Public,Dsl,RUNEX,PM2_5,5.3851294373218215e-05
2018,July,Trinity (NC),T6 Public,Dsl,IDLEX,CO,0.0002680093971542268
