calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Tulare (SJV),SBUS,Gas,RUNEX,CO,0.010681594072317786
2018,July,Tulare (SJV),SBUS,Gas,RUNEX,NOx,0.0016154343158590507
2018,July,Tulare (SJV),SBUS,Gas,RUNEX,SOx,2.691644335015458e-05
2018,July,Tulare (SJV),SBUS,Gas,RUNEX,PM,6.346664994202201e-06
2018,July,Tulare (SJV),SBUS,Gas,RUNEX,TOG,0.0006721297235253463
2018,July,Tulare (SJV),SBUS,Gas,RUNEX,PM10,5.673918504816763e-06
2018,July,Tulare (SJV),SBUS,Gas,RUNEX,PM2_5,5.216958625234209e-06
2018,July,Tulare (SJV),SBUS,Gas,IDLEX,CO,0.004784470413302493
2018,July,Tulare (SJV),SBUS,Gas,IDLEX,NOx,5.39176358731558e-05
2018,July,Tulare (SJV),SBUS,Gas,IDLEX,SOx,1.5813241916409225e-06
2018,July,Tulare (SJV),SBUS,Gas,IDLEX,TOG,0.0008990075999034872
2018,July,Tulare (SJV),SBUS,Gas,STREX,CO,0.0014512285730675747
2018,July,Tulare (SJV),SBUS,Gas,STREX,NOx,0.00012001788781941308
2018,July,Tulare (SJV),SBUS,Gas,STREX,SOx,1.0856197511818515e-07
2018,July,Tulare (SJV),SBUS,Gas,STREX,PM,1.680103374633201e-07
2018,July,Tulare (SJV),SBUS,Gas,STREX,TOG,8.068148599705697e-05
2018,July,Tulare (SJV),SBUS,Gas,STREX,PM10,1.5020124169220817e-07
2018,July,Tulare (SJV),SBUS,Gas,STREX,PM2_5,1.3810449739484907e-07
2018,July,Tulare (SJV),SBUS,Gas,HOTSOAK,TOG,4.912217683251308e-05
2018,July,Tulare (SJV),SBUS,Gas,RUNLOSS,TOG,0.00038262169867275396
2018,July,Tulare (SJV),SBUS,Gas,RESTLOSS,TOG,5.264345293368831e-06
2018,July,Tulare (SJV),SBUS,Gas,DIURN,TOG,1.9768058874028988e-05
2018,July,Tulare (SJV),SBUS,Gas,PMTW,PM,2.407601476134176e-05
2018,July,Tulare (SJV),SBUS,Gas,PMTW,PM10,2.407601476134176e-05
2018,July,Tulare (SJV),SBUS,Gas,PMTW,PM2_5,6.01900369033544e-06
2018,July,Tulare (SJV),SBUS,Gas,PMBW,PM,0.002287221372232448
2018,July,Tulare (SJV),SBUS,Gas,PMBW,PM10,0.0022414769447877975
2018,July,Tulare (SJV),SBUS,Gas,PMBW,PM2_5,0.0009606329763376283
2018,July,Tulare (SJV),T6 Ag,Dsl,RUNEX,CO,0.0010870857831570431
2018,July,Tulare (SJV),T6 Ag,Dsl,RUNEX,NOx,0.00551765659224608
2018,July,Tulare (SJV),T6 Ag,Dsl,RUNEX,PM,0.000255217489215746
2018,July,Tulare (SJV),T6 Ag,Dsl,RUNEX,PM10,0.0002536861842804517
2018,July,Tulare (SJV),T6 Ag,Dsl,RUNEX,PM2_5,0.00024271183224417443
2018,July,Tulare (SJV),T6 Ag,Dsl,IDLEX,CO,0.000130934886556737
2018,July,Tulare (SJV),T6 Ag,Dsl,IDLEX,NOx,0.00046727077212146674
2018,July,Tulare (SJV),T6 Ag,Dsl,IDLEX,PM,7.605078436523604e-06
2018,July,Tulare (SJV),T6 Ag,Dsl,IDLEX,PM10,7.5594479659044595e-06
2018,July,Tulare (SJV),T6 Ag,Dsl,IDLEX,PM2_5,7.232429593133941e-06
2018,July,Tulare (SJV),T6 Ag,Dsl,STREX,NOx,4.344648192754169e-05
2018,July,Tulare (SJV),T6 Ag,Dsl,PMTW,PM,6.529771895925081e-06
2018,July,Tulare (SJV),T6 Ag,Dsl,PMTW,PM10,6.529771895925081e-06
2018,July,Tulare (SJV),T6 Ag,Dsl,PMTW,PM2_5,1.6324429739812703e-06
2018,July,Tulare (SJV),T6 Ag,Dsl,PMBW,PM,7.237163851316956e-05
2018,July,Tulare (SJV),T6 Ag,Dsl,PMBW,PM10,7.09242057429062e-05
2018,July,Tulare (SJV),T6 Ag,Dsl,PMBW,PM2_5,3.039608817553123e-05
2018,July,Tulare (SJV),T6 Public,Dsl,RUNEX,CO,0.00097943328398547
2018,July,Tulare (SJV),T6 Public,Dsl,RUNEX,NOx,0.025366314639228154
2018,July,Tulare (SJV),T6 Public,Dsl,RUNEX,PM,0.0001669218349648819
2018,July,Tulare (SJV),T6 Public,Dsl,RUNEX,PM10,0.00016592030395509263
2018,July,Tulare (SJV),T6 Public,Dsl,RUNEX,PM2_5,0.0001587426650516025
2018,July,Tulare (SJV),T6 Public,Dsl,IDLEX,CO,0.00156679468062837
2018,July,Tulare (SJV),T6 Public,Dsl,IDLEX,NOx,0.011506415072809126
2018,July,Tulare (SJV),T6 Public,Dsl,IDLEX,PM,2.127048062442607e-05
2018,July,Tulare (SJV),T6 Public,Dsl,IDLEX,PM10,2.1142857740679466e-05
2018,July,Tulare (SJV),T6 Public,Dsl,IDLEX,PM2_5,2.022822707382916e-05
2018,July,Tulare (SJV),T6 Public,Dsl,STREX,NOx,0.0010269966167458769
2018,July,Tulare (SJV),T6 Public,Dsl,PMTW,PM,5.247231546057417e-05
2018,July,Tulare (SJV),T6 Public,Dsl,PMTW,PM10,5.247231546057417e-05
2018,July,Tulare (SJV),T6 Public,Dsl,PMTW,PM2_5,1.3118078865143542e-05
2018,July,Tulare (SJV),T6 Public,Dsl,PMBW,PM,0.0005815681630213643
2018,July,Tulare (SJV),T6 Public,Dsl,PMBW,PM10,0.0005699367997609368
2018,July,Tulare (SJV),T6 Public,Dsl,PMBW,PM2_5,0.00024425862846897285
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,RUNEX,CO,0.0006158212435270316
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0031501444828073806
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,RUNEX,PM,0.00012979010554086442
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,RUNEX,PM10,0.00012901136490761926
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,RUNEX,PM2_5,0.0001234303903693619
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,IDLEX,CO,4.877577484679022e-05
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,IDLEX,NOx,0.0001555800599517595
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,IDLEX,PM,5.046705327924098e-07
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,IDLEX,PM10,5.016425095956555e-07
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,IDLEX,PM2_5,4.799416766855822e-07
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,STREX,NOx,0.00032753504971087707
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,PMTW,PM,1.676826563540463e-05
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,PMTW,PM10,1.676826563540463e-05
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,PMTW,PM2_5,4.192066408851157e-06
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,PMBW,PM,0.00018584827745906802
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,PMBW,PM10,0.00018213131190988668
2018,July,Tulare (SJV),T6 CAIRP Small,Dsl,PMBW,PM2_5,7.805627653280857e-05
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.0024807513022270288
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.01783168550374475
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.0005033286204209845
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.0005003086486984589
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.0004786655180203563
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,IDLEX,CO,8.954121707216122e-05
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,IDLEX,NOx,0.00025581422379104205
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,IDLEX,PM,6.819545876935521e-07
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,IDLEX,PM10,6.778628601673915e-07
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,6.485388128965673e-07
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,STREX,NOx,0.0006660812085011625
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,PMTW,PM,0.00011867752799114928
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,PMTW,PM10,0.00011867752799114928
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,2.966938199778732e-05
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,PMBW,PM,0.0013153426019019046
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.0012890357498638668
2018,July,Tulare (SJV),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,0.0005524438927988002
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,RUNEX,CO,0.04511134040795908
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.16608425951909322
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,RUNEX,PM,0.0067150585296986524
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.006674768178520466
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.006386020661743424
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,IDLEX,CO,0.0012496660348869865
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.00542149122486115
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,IDLEX,PM,2.4516266588753616e-05
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,IDLEX,PM10,2.4369168989221095e-05
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,2.3314969525904693e-05
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,STREX,NOx,0.0036506978334084486
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,PMTW,PM,0.00039900508325613817
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,PMTW,PM10,0.00039900508325613817
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,PMTW,PM2_5,9.975127081403454e-05
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,PMBW,PM,0.0044223063394222065
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,PMBW,PM10,0.00433386021263376
2018,July,Tulare (SJV),T6 Instate Construction Small,Dsl,PMBW,PM2_5,0.0018573686625573255
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,RUNEX,CO,0.011087000988844456
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.04958929722084071
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,RUNEX,PM,0.0019092404516787486
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,0.0018977850089686758
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,0.0018156876695464871
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,IDLEX,CO,0.0002461197999584269
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,IDLEX,NOx,0.0009766490040246936
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,IDLEX,PM,8.015551839586909e-06
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,IDLEX,PM10,7.967458528549394e-06
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,IDLEX,PM2_5,7.622789799447164e-06
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,STREX,NOx,0.000559803157196521
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,PMTW,PM,9.730654883304438e-05
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,PMTW,PM10,9.730654883304438e-05
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,PMTW,PM2_5,2.4326637208261095e-05
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,PMBW,PM,0.0010784809162329083
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,PMBW,PM10,0.0010569112979082493
2018,July,Tulare (SJV),T6 Instate Construction Heavy,Dsl,PMBW,PM2_5,0.0004529619848178218
2018,July,Tulare (SJV),T6 Instate Small,Dsl,RUNEX,CO,0.07667537396706396
2018,July,Tulare (SJV),T6 Instate Small,Dsl,RUNEX,NOx,0.3144077273993469
2018,July,Tulare (SJV),T6 Instate Small,Dsl,RUNEX,PM,0.012539705877617421
2018,July,Tulare (SJV),T6 Instate Small,Dsl,RUNEX,PM10,0.012464467642351719
2018,July,Tulare (SJV),T6 Instate Small,Dsl,RUNEX,PM2_5,0.011925260289614159
2018,July,Tulare (SJV),T6 Instate Small,Dsl,IDLEX,CO,0.002873679516899176
2018,July,Tulare (SJV),T6 Instate Small,Dsl,IDLEX,NOx,0.012780094179156426
2018,July,Tulare (SJV),T6 Instate Small,Dsl,IDLEX,PM,6.0608305808293313e-05
2018,July,Tulare (SJV),T6 Instate Small,Dsl,IDLEX,PM10,6.0244655973443514e-05
2018,July,Tulare (SJV),T6 Instate Small,Dsl,IDLEX,PM2_5,5.7638498823686864e-05
2018,July,Tulare (SJV),T6 Instate Small,Dsl,STREX,NOx,0.015921145947717742
2018,July,Tulare (SJV),T6 Instate Small,Dsl,PMTW,PM,0.0008525847783212273
2018,July,Tulare (SJV),T6 Instate Small,Dsl,PMTW,PM10,0.0008525847783212273
2018,July,Tulare (SJV),T6 Instate Small,Dsl,PMTW,PM2_5,0.00021314619458030683
2018,July,Tulare (SJV),T6 Instate Small,Dsl,PMBW,PM,0.009449481293060292
2018,July,Tulare (SJV),T6 Instate Small,Dsl,PMBW,PM10,0.00926049166719908
2018,July,Tulare (SJV),T6 Instate Small,Dsl,PMBW,PM2_5,0.003968782143085321
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,RUNEX,CO,0.10149483275420863
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,RUNEX,NOx,0.4607239842502817
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,RUNEX,PM,0.018695128542245015
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,RUNEX,PM10,0.018582957770991542
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,RUNEX,PM2_5,0.017779067243675003
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,IDLEX,CO,0.0014017961260773812
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,IDLEX,NOx,0.005802986017824794
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,IDLEX,PM,4.7422299762945864e-05
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,IDLEX,PM10,4.7137765964368226e-05
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,IDLEX,PM2_5,4.5098607074561533e-05
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,STREX,NOx,0.006210540750613789
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,PMTW,PM,0.0009964096708784413
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,PMTW,PM10,0.0009964096708784413
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,PMTW,PM2_5,0.0002491024177196103
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,PMBW,PM,0.011043540518902734
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,PMBW,PM10,0.010822669708524676
2018,July,Tulare (SJV),T6 Instate Heavy,Dsl,PMBW,PM2_5,0.004638287017939153
2018,July,Tulare (SJV),T6 OOS Small,Dsl,RUNEX,CO,0.0003570918027816401
2018,July,Tulare (SJV),T6 OOS Small,Dsl,RUNEX,NOx,0.0018096985671879474
2018,July,Tulare (SJV),T6 OOS Small,Dsl,RUNEX,PM,7.532668330985307e-05
2018,July,Tulare (SJV),T6 OOS Small,Dsl,RUNEX,PM10,7.487472320999404e-05
2018,July,Tulare (SJV),T6 OOS Small,Dsl,RUNEX,PM2_5,7.163567582767028e-05
2018,July,Tulare (SJV),T6 OOS Small,Dsl,IDLEX,CO,2.796899617842908e-05
2018,July,Tulare (SJV),T6 OOS Small,Dsl,IDLEX,NOx,8.970193147248268e-05
2018,July,Tulare (SJV),T6 OOS Small,Dsl,IDLEX,PM,2.935224970576765e-07
2018,July,Tulare (SJV),T6 OOS Small,Dsl,IDLEX,PM10,2.917613620753306e-07
2018,July,Tulare (SJV),T6 OOS Small,Dsl,IDLEX,PM2_5,2.7913989470185005e-07
2018,July,Tulare (SJV),T6 OOS Small,Dsl,STREX,NOx,0.00018686165849809465
2018,July,Tulare (SJV),T6 OOS Small,Dsl,PMTW,PM,9.570114028859654e-06
2018,July,Tulare (SJV),T6 OOS Small,Dsl,PMTW,PM10,9.570114028859654e-06
2018,July,Tulare (SJV),T6 OOS Small,Dsl,PMTW,PM2_5,2.3925285072149136e-06
2018,July,Tulare (SJV),T6 OOS Small,Dsl,PMBW,PM,0.00010606876381986115
2018,July,Tulare (SJV),T6 OOS Small,Dsl,PMBW,PM10,0.00010394738854346394
2018,July,Tulare (SJV),T6 OOS Small,Dsl,PMBW,PM2_5,4.454888080434171e-05
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,RUNEX,CO,0.0014494177442772708
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,RUNEX,NOx,0.009979711381614216
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,RUNEX,PM,0.00029267591069825704
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,RUNEX,PM10,0.0002909198552340676
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,RUNEX,PM2_5,0.00027833479107404246
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,IDLEX,CO,5.1984662543922844e-05
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,IDLEX,NOx,0.00014461437231607467
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,IDLEX,PM,3.7027644904773273e-07
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,IDLEX,PM10,3.680547903534464e-07
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,IDLEX,PM2_5,3.521329030443934e-07
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,STREX,NOx,0.00038895885006152807
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,PMTW,PM,6.855466238876308e-05
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,PMTW,PM10,6.855466238876308e-05
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,PMTW,PM2_5,1.713866559719077e-05
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,PMBW,PM,0.0007598141748087915
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,PMBW,PM10,0.0007446178913126154
2018,July,Tulare (SJV),T6 OOS Heavy,Dsl,PMBW,PM2_5,0.00031912195341969227
2018,July,Tulare (SJV),T6 Utility,Dsl,RUNEX,CO,8.574580389339861e-05
2018,July,Tulare (SJV),T6 Utility,Dsl,RUNEX,NOx,0.0013694881721457225
2018,July,Tulare (SJV),T6 Utility,Dsl,RUNEX,PM,6.837667252536866e-06
2018,July,Tulare (SJV),T6 Utility,Dsl,RUNEX,PM10,6.79664124902164e-06
2018,July,Tulare (SJV),T6 Utility,Dsl,RUNEX,PM2_5,6.502621557162552e-06
2018,July,Tulare (SJV),T6 Utility,Dsl,IDLEX,CO,0.0001674222820163167
2018,July,Tulare (SJV),T6 Utility,Dsl,IDLEX,NOx,0.0005433898562438489
2018,July,Tulare (SJV),T6 Utility,Dsl,IDLEX,PM,2.388748359498494e-07
2018,July,Tulare (SJV),T6 Utility,Dsl,IDLEX,PM10,2.3744158693415036e-07
2018,July,Tulare (SJV),T6 Utility,Dsl,IDLEX,PM2_5,2.2716996898830677e-07
2018,July,Tulare (SJV),T6 Utility,Dsl,STREX,NOx,0.0006137049007457654
2018,July,Tulare (SJV),T6 Utility,Dsl,PMTW,PM,7.833688129232145e-06
2018,July,Tulare (SJV),T6 Utility,Dsl,PMTW,PM10,7.833688129232145e-06
2018,July,Tulare (SJV),T6 Utility,Dsl,PMTW,PM2_5,1.9584220323080363e-06
2018,July,Tulare (SJV),T6 Utility,Dsl,PMBW,PM,8.682337676565636e-05
2018,July,Tulare (SJV),T6 Utility,Dsl,PMBW,PM10,8.50869092303432e-05
2018,July,Tulare (SJV),T6 Utility,Dsl,PMBW,PM2_5,3.646581824157569e-05
2018,July,Tulare (SJV),T7 Ag,Dsl,RUNEX,CO,0.003279625289252503
2018,July,Tulare (SJV),T7 Ag,Dsl,RUNEX,NOx,0.010850844816982496
2018,July,Tulare (SJV),T7 Ag,Dsl,RUNEX,PM,0.0005698718526869887
2018,July,Tulare (SJV),T7 Ag,Dsl,RUNEX,PM10,0.0005664526215708667
2018,July,Tulare (SJV),T7 Ag,Dsl,RUNEX,PM2_5,0.0005419481319053256
2018,July,Tulare (SJV),T7 Ag,Dsl,IDLEX,CO,0.000448261843109326
2018,July,Tulare (SJV),T7 Ag,Dsl,IDLEX,NOx,0.0012110686862488362
2018,July,Tulare (SJV),T7 Ag,Dsl,IDLEX,PM,2.1405266670770294e-05
2018,July,Tulare (SJV),T7 Ag,Dsl,IDLEX,PM10,2.1276835070745667e-05
2018,July,Tulare (SJV),T7 Ag,Dsl,IDLEX,PM2_5,2.0356408603902523e-05
2018,July,Tulare (SJV),T7 Ag,Dsl,STREX,NOx,0.00011657634702013278
2018,July,Tulare (SJV),T7 Ag,Dsl,PMTW,PM,2.481277715275392e-05
2018,July,Tulare (SJV),T7 Ag,Dsl,PMTW,PM10,2.481277715275392e-05
2018,July,Tulare (SJV),T7 Ag,Dsl,PMTW,PM2_5,6.20319428818848e-06
2018,July,Tulare (SJV),T7 Ag,Dsl,PMBW,PM,4.3422360017319334e-05
2018,July,Tulare (SJV),T7 Ag,Dsl,PMBW,PM10,4.255391281697294e-05
2018,July,Tulare (SJV),T7 Ag,Dsl,PMBW,PM2_5,1.8237391207274124e-05
2018,July,Tulare (SJV),T7 Public,Dsl,RUNEX,CO,0.0028996003035281544
2018,July,Tulare (SJV),T7 Public,Dsl,RUNEX,NOx,0.06495212620285308
2018,July,Tulare (SJV),T7 Public,Dsl,RUNEX,PM,0.0004172377746230329
2018,July,Tulare (SJV),T7 Public,Dsl,RUNEX,PM10,0.000414734347975295
2018,July,Tulare (SJV),T7 Public,Dsl,RUNEX,PM2_5,0.00039679312366650433
2018,July,Tulare (SJV),T7 Public,Dsl,IDLEX,CO,0.002162120418197606
2018,July,Tulare (SJV),T7 Public,Dsl,IDLEX,NOx,0.01106085690184623
2018,July,Tulare (SJV),T7 Public,Dsl,IDLEX,PM,2.745579507868423e-05
2018,July,Tulare (SJV),T7 Public,Dsl,IDLEX,PM10,2.7291060308212163e-05
2018,July,Tulare (SJV),T7 Public,Dsl,IDLEX,PM2_5,2.6110461119828735e-05
2018,July,Tulare (SJV),T7 Public,Dsl,STREX,NOx,0.0014759759799953308
2018,July,Tulare (SJV),T7 Public,Dsl,PMTW,PM,0.00020420963748041292
2018,July,Tulare (SJV),T7 Public,Dsl,PMTW,PM10,0.00020420963748041292
2018,July,Tulare (SJV),T7 Public,Dsl,PMTW,PM2_5,5.105240937010323e-05
2018,July,Tulare (SJV),T7 Public,Dsl,PMBW,PM,0.0003573668655907219
2018,July,Tulare (SJV),T7 Public,Dsl,PMBW,PM10,0.0003502195282789076
2018,July,Tulare (SJV),T7 Public,Dsl,PMBW,PM2_5,0.00015009408354810325
2018,July,Tulare (SJV),PTO,Dsl,RUNEX,CO,0.009628507320289194
2018,July,Tulare (SJV),PTO,Dsl,RUNEX,NOx,0.03245932413140774
