calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Tuolumne (MC),SBUS,Gas,RUNEX,CO,0.0011300688541502795
2018,July,Tuolumne (MC),SBUS,Gas,RUNEX,NOx,0.0001714046372200557
2018,July,Tuolumne (MC),SBUS,Gas,RUNEX,SOx,9.862727588499654e-07
2018,July,Tuolumne (MC),SBUS,Gas,RUNEX,PM,1.264962484480708e-06
2018,July,Tuolumne (MC),SBUS,Gas,RUNEX,TOG,7.255867495419652e-05
2018,July,Tuolumne (MC),SBUS,Gas,RUNEX,PM10,1.1308764611257534e-06
2018,July,Tuolumne (MC),SBUS,Gas,RUNEX,PM2_5,1.0397991622431418e-06
2018,July,Tuolumne (MC),SBUS,Gas,IDLEX,CO,0.00016442108582830753
2018,July,Tuolumne (MC),SBUS,Gas,IDLEX,NOx,1.8570633880005429e-06
2018,July,Tuolumne (MC),SBUS,Gas,IDLEX,SOx,5.699364777902318e-08
2018,July,Tuolumne (MC),SBUS,Gas,IDLEX,TOG,3.0237520266904216e-05
2018,July,Tuolumne (MC),SBUS,Gas,STREX,CO,7.258946315714925e-05
2018,July,Tuolumne (MC),SBUS,Gas,STREX,NOx,7.557600206297942e-06
2018,July,Tuolumne (MC),SBUS,Gas,STREX,SOx,4.254781477992258e-09
2018,July,Tuolumne (MC),SBUS,Gas,STREX,PM,3.47937298241473e-08
2018,July,Tuolumne (MC),SBUS,Gas,STREX,TOG,3.3428075815876836e-06
2018,July,Tuolumne (MC),SBUS,Gas,STREX,PM10,3.1105594462787684e-08
2018,July,Tuolumne (MC),SBUS,Gas,STREX,PM2_5,2.8600445915449096e-08
2018,July,Tuolumne (MC),SBUS,Gas,HOTSOAK,TOG,6.659482141501324e-06
2018,July,Tuolumne (MC),SBUS,Gas,RUNLOSS,TOG,8.893148767563572e-05
2018,July,Tuolumne (MC),SBUS,Gas,RESTLOSS,TOG,5.12840908866909e-07
2018,July,Tuolumne (MC),SBUS,Gas,DIURN,TOG,1.4212179259455532e-06
2018,July,Tuolumne (MC),SBUS,Gas,PMTW,PM,8.766191468853002e-07
2018,July,Tuolumne (MC),SBUS,Gas,PMTW,PM10,8.766191468853002e-07
2018,July,Tuolumne (MC),SBUS,Gas,PMTW,PM2_5,2.1915478672132505e-07
2018,July,Tuolumne (MC),SBUS,Gas,PMBW,PM,8.327881785832956e-05
2018,July,Tuolumne (MC),SBUS,Gas,PMBW,PM10,8.161324150116297e-05
2018,July,Tuolumne (MC),SBUS,Gas,PMBW,PM2_5,3.4977103500498395e-05
2018,July,Tuolumne (MC),T6 Public,Dsl,RUNEX,CO,0.00030214943063374875
2018,July,Tuolumne (MC),T6 Public,Dsl,RUNEX,NOx,0.008885503250263993
2018,July,Tuolumne (MC),T6 Public,Dsl,RUNEX,PM,6.862080886691045e-05
2018,July,Tuolumne (MC),T6 Public,Dsl,RUNEX,PM10,6.820908401370896e-05
2018,July,Tuolumne (MC),T6 Public,Dsl,RUNEX,PM2_5,6.525838923243173e-05
2018,July,Tuolumne (MC),T6 Public,Dsl,IDLEX,CO,0.00020272456988523697
2018,July,Tuolumne (MC),T6 Public,Dsl,IDLEX,NOx,0.003276643594795855
2018,July,Tuolumne (MC),T6 Public,Dsl,IDLEX,PM,9.965074782985106e-06
2018,July,Tuolumne (MC),T6 Public,Dsl,IDLEX,PM10,9.905284334287173e-06
2018,July,Tuolumne (MC),T6 Public,Dsl,IDLEX,PM2_5,9.476786118618828e-06
2018,July,Tuolumne (MC),T6 Public,Dsl,STREX,NOx,4.113521491952996e-05
2018,July,Tuolumne (MC),T6 Public,Dsl,PMTW,PM,1.0524629725316117e-05
2018,July,Tuolumne (MC),T6 Public,Dsl,PMTW,PM10,1.0524629725316117e-05
2018,July,Tuolumne (MC),T6 Public,Dsl,PMTW,PM2_5,2.6311574313290293e-06
2018,July,Tuolumne (MC),T6 Public,Dsl,PMBW,PM,0.00011664797945558684
2018,July,Tuolumne (MC),T6 Public,Dsl,PMBW,PM10,0.00011431501986647509
2018,July,Tuolumne (MC),T6 Public,Dsl,PMBW,PM2_5,4.899215137134646e-05
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,RUNEX,CO,5.608184390356925e-05
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0002831846663635342
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,RUNEX,PM,1.1984259243538763e-05
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,RUNEX,PM10,1.1912353688077544e-05
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,1.1397030540605373e-05
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,IDLEX,CO,3.5988761878171874e-06
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,IDLEX,NOx,1.3324435518620428e-05
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,IDLEX,PM,4.643135003024833e-08
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,IDLEX,PM10,4.615276193006686e-08
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,4.4156213878766177e-08
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,STREX,NOx,2.171698322649476e-05
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,PMTW,PM,1.2315115497850933e-06
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,PMTW,PM10,1.2315115497850933e-06
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,PMTW,PM2_5,3.078778874462733e-07
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,PMBW,PM,1.3649253010118123e-05
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,PMBW,PM10,1.3376267949915762e-05
2018,July,Tuolumne (MC),T6 CAIRP Small,Dsl,PMBW,PM2_5,5.732686264249612e-06
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.00023479983383591234
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.0017329515894399508
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM,4.760845485012723e-05
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,4.732280412102647e-05
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,4.52756405624711e-05
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,IDLEX,CO,8.602249858860403e-06
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,2.434296295354495e-05
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM,6.380978375479025e-08
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM10,6.342692505226144e-08
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,6.068310435080548e-08
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,STREX,NOx,6.43952873066923e-05
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,PMTW,PM,1.1442033717948326e-05
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,PMTW,PM10,1.1442033717948326e-05
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,2.8605084294870816e-06
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,PMBW,PM,0.00012681587370726058
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.00012427955623311548
2018,July,Tuolumne (MC),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,5.326266695704947e-05
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,RUNEX,CO,0.004053130991664935
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.015297691504525169
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,RUNEX,PM,0.0006033297080386383
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.0005997097297904062
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.0005737665523447465
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,IDLEX,CO,0.00011227908746284639
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.00048710621111686776
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,IDLEX,PM,2.2027197377018096e-06
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,IDLEX,PM10,2.1895034192756035e-06
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,2.0947864705544217e-06
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,STREX,NOx,0.0003280052509187066
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,PMTW,PM,3.584951930384169e-05
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,PMTW,PM10,3.584951930384169e-05
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,PMTW,PM2_5,8.962379825960423e-06
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,PMBW,PM,0.0003973321722842454
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,PMBW,PM10,0.0003893855288385605
2018,July,Tuolumne (MC),T6 Instate Construction Small,Dsl,PMBW,PM2_5,0.00016687951235938304
2018,July,Tuolumne (MC),T6 Instate Construction Heavy,Dsl,RUNEX,CO,0.00012162557898767061
2018,July,Tuolumne (MC),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.0005576304789060142
2018,July,Tuolumne (MC),T6 Instate Construction Heavy,Dsl,RUNEX,PM,2.0944570636888878e-05
2018,July,Tuolumne (MC),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,2.0818903213067556e-05
2018,July,Tuolumne (MC),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,1.9918286675681306e-05
