calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Ventura (SCC),SBUS,Gas,RUNEX,CO,0.02769311493301959
2018,July,Ventura (SCC),SBUS,Gas,RUNEX,NOx,0.0036904915029151984
2018,July,Ventura (SCC),SBUS,Gas,RUNEX,SOx,2.320039420619286e-05
2018,July,Ventura (SCC),SBUS,Gas,RUNEX,PM,1.2348113000257376e-05
2018,July,Ventura (SCC),SBUS,Gas,RUNEX,TOG,0.0016841850953248315
2018,July,Ventura (SCC),SBUS,Gas,RUNEX,PM10,1.103921302223009e-05
2018,July,Ventura (SCC),SBUS,Gas,RUNEX,PM2_5,1.0150148886211558e-05
2018,July,Ventura (SCC),SBUS,Gas,IDLEX,CO,0.004951077457464611
2018,July,Ventura (SCC),SBUS,Gas,IDLEX,NOx,5.5812675674473925e-05
2018,July,Ventura (SCC),SBUS,Gas,IDLEX,SOx,1.652669630799412e-06
2018,July,Ventura (SCC),SBUS,Gas,IDLEX,TOG,0.0009248980711379954
2018,July,Ventura (SCC),SBUS,Gas,STREX,CO,0.0028231768472705815
2018,July,Ventura (SCC),SBUS,Gas,STREX,NOx,0.0001266461214271444
2018,July,Ventura (SCC),SBUS,Gas,STREX,SOx,1.3565590947394566e-07
2018,July,Ventura (SCC),SBUS,Gas,STREX,PM,3.88076412873605e-07
2018,July,Ventura (SCC),SBUS,Gas,STREX,TOG,0.0001382278137743703
2018,July,Ventura (SCC),SBUS,Gas,STREX,PM10,3.469403131090028e-07
2018,July,Ventura (SCC),SBUS,Gas,STREX,PM2_5,3.189988113821033e-07
2018,July,Ventura (SCC),SBUS,Gas,HOTSOAK,TOG,7.683343191182658e-05
2018,July,Ventura (SCC),SBUS,Gas,RUNLOSS,TOG,0.0007417255552252418
2018,July,Ventura (SCC),SBUS,Gas,RESTLOSS,TOG,4.124092924232341e-06
2018,July,Ventura (SCC),SBUS,Gas,DIURN,TOG,1.3303884368960614e-05
2018,July,Ventura (SCC),SBUS,Gas,PMTW,PM,2.0439838994449268e-05
2018,July,Ventura (SCC),SBUS,Gas,PMTW,PM10,2.0439838994449268e-05
2018,July,Ventura (SCC),SBUS,Gas,PMTW,PM2_5,5.109959748612317e-06
2018,July,Ventura (SCC),SBUS,Gas,PMBW,PM,0.0019417846789228819
2018,July,Ventura (SCC),SBUS,Gas,PMBW,PM10,0.001902948985344426
2018,July,Ventura (SCC),SBUS,Gas,PMBW,PM2_5,0.0008155495651476108
2018,July,Ventura (SCC),T6 Ag,Dsl,RUNEX,CO,0.002052078116537403
2018,July,Ventura (SCC),T6 Ag,Dsl,RUNEX,NOx,0.008583913652642342
2018,July,Ventura (SCC),T6 Ag,Dsl,RUNEX,PM,0.00046107245244241543
2018,July,Ventura (SCC),T6 Ag,Dsl,RUNEX,PM10,0.0004583060177277612
2018,July,Ventura (SCC),T6 Ag,Dsl,RUNEX,PM2_5,0.0004384799022727372
2018,July,Ventura (SCC),T6 Ag,Dsl,IDLEX,CO,0.00020325444395955972
2018,July,Ventura (SCC),T6 Ag,Dsl,IDLEX,NOx,0.0006998287166043312
2018,July,Ventura (SCC),T6 Ag,Dsl,IDLEX,PM,9.755845808680043e-06
2018,July,Ventura (SCC),T6 Ag,Dsl,IDLEX,PM10,9.697310733827946e-06
2018,July,Ventura (SCC),T6 Ag,Dsl,IDLEX,PM2_5,9.277809364054723e-06
2018,July,Ventura (SCC),T6 Ag,Dsl,STREX,NOx,0.0002692266498296494
2018,July,Ventura (SCC),T6 Ag,Dsl,PMTW,PM,1.3557224639928642e-05
2018,July,Ventura (SCC),T6 Ag,Dsl,PMTW,PM10,1.3557224639928642e-05
2018,July,Ventura (SCC),T6 Ag,Dsl,PMTW,PM2_5,3.3893061599821604e-06
2018,July,Ventura (SCC),T6 Ag,Dsl,PMBW,PM,0.00015025923975920912
2018,July,Ventura (SCC),T6 Ag,Dsl,PMBW,PM10,0.00014725405496402501
2018,July,Ventura (SCC),T6 Ag,Dsl,PMBW,PM2_5,6.310888069886782e-05
2018,July,Ventura (SCC),T6 Public,Dsl,RUNEX,CO,0.000677848497450666
2018,July,Ventura (SCC),T6 Public,Dsl,RUNEX,NOx,0.026446321557741497
2018,July,Ventura (SCC),T6 Public,Dsl,RUNEX,PM,0.00016441263845153677
2018,July,Ventura (SCC),T6 Public,Dsl,RUNEX,PM10,0.00016342616262082782
2018,July,Ventura (SCC),T6 Public,Dsl,RUNEX,PM2_5,0.00015635641916741147
2018,July,Ventura (SCC),T6 Public,Dsl,IDLEX,CO,0.0013289647537578725
2018,July,Ventura (SCC),T6 Public,Dsl,IDLEX,NOx,0.01294342318278362
2018,July,Ventura (SCC),T6 Public,Dsl,IDLEX,PM,2.6431033148653447e-05
2018,July,Ventura (SCC),T6 Public,Dsl,IDLEX,PM10,2.6272446949761508e-05
2018,July,Ventura (SCC),T6 Public,Dsl,IDLEX,PM2_5,2.513591252436944e-05
2018,July,Ventura (SCC),T6 Public,Dsl,STREX,NOx,0.0007299710221777054
2018,July,Ventura (SCC),T6 Public,Dsl,PMTW,PM,5.2255363837411785e-05
2018,July,Ventura (SCC),T6 Public,Dsl,PMTW,PM10,5.2255363837411785e-05
2018,July,Ventura (SCC),T6 Public,Dsl,PMTW,PM2_5,1.3063840959352946e-05
2018,July,Ventura (SCC),T6 Public,Dsl,PMBW,PM,0.0005791636158646468
2018,July,Ventura (SCC),T6 Public,Dsl,PMBW,PM10,0.0005675803435473535
2018,July,Ventura (SCC),T6 Public,Dsl,PMBW,PM2_5,0.00024324871866315156
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,RUNEX,CO,8.655391931567962e-05
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,RUNEX,NOx,0.000447832409338496
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,RUNEX,PM,1.7794711446683388e-05
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,RUNEX,PM10,1.7687943178003298e-05
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,1.69227705857959e-05
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,IDLEX,CO,7.200077839755433e-06
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,IDLEX,NOx,2.3740721766826763e-05
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,IDLEX,PM,7.852033614192897e-08
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,IDLEX,PM10,7.804921412507733e-08
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,7.467283967097443e-08
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,STREX,NOx,4.7291363233851903e-05
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,PMTW,PM,2.4720004730817663e-06
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,PMTW,PM10,2.4720004730817663e-06
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,PMTW,PM2_5,6.180001182704416e-07
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,PMBW,PM,2.739800524332293e-05
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,PMBW,PM10,2.6850045138456475e-05
2018,July,Ventura (SCC),T6 CAIRP Small,Dsl,PMBW,PM2_5,1.1507162202195626e-05
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.00035848037240814533
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.002606567891180792
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,RUNEX,PM,6.986008468116782e-05
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,6.94409241730807e-05
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,6.643694053179054e-05
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,IDLEX,CO,1.4842347418265729e-05
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,4.123659848717947e-05
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,IDLEX,PM,1.0764738513160396e-07
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,IDLEX,PM10,1.0700150082081433e-07
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,1.0237266326015514e-07
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,STREX,NOx,0.00011184745749603268
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,PMTW,PM,1.9761073884741095e-05
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,PMTW,PM10,1.9761073884741095e-05
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,4.940268471185274e-06
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,PMBW,PM,0.00021901856888921384
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.00021463819751142945
2018,July,Ventura (SCC),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,9.198779893346974e-05
2018,July,Ventura (SCC),T6 Instate Construction Small,Dsl,RUNEX,CO,0.009975243238356303
2018,July,Ventura (SCC),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.046590943976054996
