calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Yolo (SV),SBUS,Gas,RUNEX,CO,6.122946619853233e-05
2018,July,Yolo (SV),SBUS,Gas,RUNEX,NOx,3.225373856850323e-05
2018,July,Yolo (SV),SBUS,Gas,RUNEX,SOx,2.5461079157657217e-06
2018,July,Yolo (SV),SBUS,Gas,RUNEX,PM,2.646097791785635e-07
2018,July,Yolo (SV),SBUS,Gas,RUNEX,TOG,5.608996134076484e-06
2018,July,Yolo (SV),SBUS,Gas,RUNEX,PM10,2.3656114258563578e-07
2018,July,Yolo (SV),SBUS,Gas,RUNEX,PM2_5,2.175092384847792e-07
2018,July,Yolo (SV),SBUS,Gas,IDLEX,CO,0.00046907808037518215
2018,July,Yolo (SV),SBUS,Gas,IDLEX,NOx,5.284660306013848e-06
2018,July,Yolo (SV),SBUS,Gas,IDLEX,SOx,1.4757952526411816e-07
2018,July,Yolo (SV),SBUS,Gas,IDLEX,TOG,8.856764880059161e-05
2018,July,Yolo (SV),SBUS,Gas,STREX,CO,0.00013965066841974084
2018,July,Yolo (SV),SBUS,Gas,STREX,NOx,1.00845871812904e-05
2018,July,Yolo (SV),SBUS,Gas,STREX,SOx,1.0147133828975921e-08
2018,July,Yolo (SV),SBUS,Gas,STREX,PM,9.528337207195721e-09
2018,July,Yolo (SV),SBUS,Gas,STREX,TOG,6.770219649757161e-06
2018,July,Yolo (SV),SBUS,Gas,STREX,PM10,8.518333463232976e-09
2018,July,Yolo (SV),SBUS,Gas,STREX,PM2_5,7.832293184314882e-09
2018,July,Yolo (SV),SBUS,Gas,HOTSOAK,TOG,8.061624897491735e-07
2018,July,Yolo (SV),SBUS,Gas,RUNLOSS,TOG,4.722624382672824e-06
2018,July,Yolo (SV),SBUS,Gas,RESTLOSS,TOG,7.63096895835071e-08
2018,July,Yolo (SV),SBUS,Gas,DIURN,TOG,3.212218672302076e-07
2018,July,Yolo (SV),SBUS,Gas,PMTW,PM,2.3764689767352523e-06
2018,July,Yolo (SV),SBUS,Gas,PMTW,PM10,2.3764689767352523e-06
2018,July,Yolo (SV),SBUS,Gas,PMTW,PM2_5,5.941172441838131e-07
2018,July,Yolo (SV),SBUS,Gas,PMBW,PM,0.0002257645498192627
2018,July,Yolo (SV),SBUS,Gas,PMBW,PM10,0.00022124925882287743
2018,July,Yolo (SV),SBUS,Gas,PMBW,PM2_5,9.482111092409034e-05
2018,July,Yolo (SV),T6 Ag,Dsl,RUNEX,CO,0.0007231935419658202
2018,July,Yolo (SV),T6 Ag,Dsl,RUNEX,NOx,0.003498840820047755
2018,July,Yolo (SV),T6 Ag,Dsl,RUNEX,PM,0.00016986253037510878
2018,July,Yolo (SV),T6 Ag,Dsl,RUNEX,PM10,0.00016884335519285796
2018,July,Yolo (SV),T6 Ag,Dsl,RUNEX,PM2_5,0.00016153926638672834
2018,July,Yolo (SV),T6 Ag,Dsl,IDLEX,CO,8.542269228856508e-05
2018,July,Yolo (SV),T6 Ag,Dsl,IDLEX,NOx,0.00026710666632411955
2018,July,Yolo (SV),T6 Ag,Dsl,IDLEX,PM,5.417536924818356e-06
2018,July,Yolo (SV),T6 Ag,Dsl,IDLEX,PM10,5.385031703269452e-06
2018,July,Yolo (SV),T6 Ag,Dsl,IDLEX,PM2_5,5.1520776155022575e-06
2018,July,Yolo (SV),T6 Ag,Dsl,STREX,NOx,3.197653673924673e-05
2018,July,Yolo (SV),T6 Ag,Dsl,PMTW,PM,4.19195699587816e-06
2018,July,Yolo (SV),T6 Ag,Dsl,PMTW,PM10,4.19195699587816e-06
2018,July,Yolo (SV),T6 Ag,Dsl,PMTW,PM2_5,1.04798924896954e-06
2018,July,Yolo (SV),T6 Ag,Dsl,PMBW,PM,4.646085670431632e-05
2018,July,Yolo (SV),T6 Ag,Dsl,PMBW,PM10,4.5531639570229996e-05
2018,July,Yolo (SV),T6 Ag,Dsl,PMBW,PM2_5,1.951355981581284e-05
2018,July,Yolo (SV),T6 Public,Dsl,RUNEX,CO,0.0008180550416987282
2018,July,Yolo (SV),T6 Public,Dsl,RUNEX,NOx,0.02185302217648158
2018,July,Yolo (SV),T6 Public,Dsl,RUNEX,PM,0.00014783857377131514
2018,July,Yolo (SV),T6 Public,Dsl,RUNEX,PM10,0.00014695154232868718
2018,July,Yolo (SV),T6 Public,Dsl,RUNEX,PM2_5,0.00014059448365652064
2018,July,Yolo (SV),T6 Public,Dsl,IDLEX,CO,0.000912630119540913
2018,July,Yolo (SV),T6 Public,Dsl,IDLEX,NOx,0.008745902271552445
2018,July,Yolo (SV),T6 Public,Dsl,IDLEX,PM,1.799149533251826e-05
2018,July,Yolo (SV),T6 Public,Dsl,IDLEX,PM10,1.7883546360523153e-05
2018,July,Yolo (SV),T6 Public,Dsl,IDLEX,PM2_5,1.7109912061224866e-05
2018,July,Yolo (SV),T6 Public,Dsl,STREX,NOx,0.0004842208638554089
