calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Yuba (SV),SBUS,Gas,RUNEX,CO,0.004285980975570146
2018,July,Yuba (SV),SBUS,Gas,RUNEX,NOx,0.0003039883044666127
2018,July,Yuba (SV),SBUS,Gas,RUNEX,SOx,4.457059718819765e-06
2018,July,Yuba (SV),SBUS,Gas,RUNEX,PM,1.223933149344543e-06
2018,July,Yuba (SV),SBUS,Gas,RUNEX,TOG,0.00025597091919815726
2018,July,Yuba (SV),SBUS,Gas,RUNEX,PM10,1.0941962355140218e-06
2018,July,Yuba (SV),SBUS,Gas,RUNEX,PM2_5,1.0060730487612146e-06
2018,July,Yuba (SV),SBUS,Gas,IDLEX,CO,0.0006864869801371017
2018,July,Yuba (SV),SBUS,Gas,IDLEX,NOx,7.737686025236971e-06
2018,July,Yuba (SV),SBUS,Gas,IDLEX,SOx,2.2728024980473541e-07
2018,July,Yuba (SV),SBUS,Gas,IDLEX,TOG,0.0001289824030529723
2018,July,Yuba (SV),SBUS,Gas,STREX,CO,0.00023048446709712566
2018,July,Yuba (SV),SBUS,Gas,STREX,NOx,1.1904188550486435e-05
2018,July,Yuba (SV),SBUS,Gas,STREX,SOx,1.6050255636163493e-08
2018,July,Yuba (SV),SBUS,Gas,STREX,PM,2.917437050776604e-08
2018,July,Yuba (SV),SBUS,Gas,STREX,TOG,1.4955384955399289e-05
2018,July,Yuba (SV),SBUS,Gas,STREX,PM10,2.608188723394284e-08
2018,July,Yuba (SV),SBUS,Gas,STREX,PM2_5,2.398133255738368e-08
2018,July,Yuba (SV),SBUS,Gas,HOTSOAK,TOG,7.980000494374339e-06
2018,July,Yuba (SV),SBUS,Gas,RUNLOSS,TOG,8.07531311648602e-05
2018,July,Yuba (SV),SBUS,Gas,RESTLOSS,TOG,6.489233720373506e-07
2018,July,Yuba (SV),SBUS,Gas,DIURN,TOG,2.7478908729103265e-06
2018,July,Yuba (SV),SBUS,Gas,PMTW,PM,3.898971676559544e-06
2018,July,Yuba (SV),SBUS,Gas,PMTW,PM10,3.898971676559544e-06
2018,July,Yuba (SV),SBUS,Gas,PMTW,PM2_5,9.74742919139886e-07
2018,July,Yuba (SV),SBUS,Gas,PMBW,PM,0.00037040230439944205
2018,July,Yuba (SV),SBUS,Gas,PMBW,PM10,0.00036299425831145296
2018,July,Yuba (SV),SBUS,Gas,PMBW,PM2_5,0.0001555689678477656
2018,July,Yuba (SV),T6 Ag,Dsl,RUNEX,CO,0.00032470400447718456
2018,July,Yuba (SV),T6 Ag,Dsl,RUNEX,NOx,0.0021680877470178083
2018,July,Yuba (SV),T6 Ag,Dsl,RUNEX,PM,6.813631914445559e-05
2018,July,Yuba (SV),T6 Ag,Dsl,RUNEX,PM10,6.77275012295888e-05
2018,July,Yuba (SV),T6 Ag,Dsl,RUNEX,PM2_5,6.479763950637727e-05
2018,July,Yuba (SV),T6 Ag,Dsl,IDLEX,CO,2.437540545778688e-05
2018,July,Yuba (SV),T6 Ag,Dsl,IDLEX,NOx,0.00013200592432511925
2018,July,Yuba (SV),T6 Ag,Dsl,IDLEX,PM,9.163627856505335e-07
2018,July,Yuba (SV),T6 Ag,Dsl,IDLEX,PM10,9.108646089366304e-07
2018,July,Yuba (SV),T6 Ag,Dsl,IDLEX,PM2_5,8.71461009153657e-07
2018,July,Yuba (SV),T6 Ag,Dsl,STREX,NOx,2.7690509481974998e-05
2018,July,Yuba (SV),T6 Ag,Dsl,PMTW,PM,2.63719197544683e-06
2018,July,Yuba (SV),T6 Ag,Dsl,PMTW,PM10,2.63719197544683e-06
