calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Butte (SV),LDA,Gas,RUNEX,CAT,CO,4.227238446196764
2018,July,Butte (SV),LDA,Gas,RUNEX,CAT,NOx,0.23715438472736894
2018,July,Butte (SV),LDA,Gas,RUNEX,CAT,SOx,0.008048068380517038
2018,July,Butte (SV),LDA,Gas,RUNEX,CAT,PM,0.0047307753672071046
2018,July,Butte (SV),LDA,Gas,RUNEX,CAT,TOG,0.12135295688150546
2018,July,Butte (SV),LDA,Gas,RUNEX,CAT,PM10,0.004229898533695911
2018,July,Butte (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.003889527333399648
2018,July,Butte (SV),LDA,Gas,RUNEX,NCAT,CO,0.07596064015930841
2018,July,Butte (SV),LDA,Gas,RUNEX,NCAT,NOx,0.005195100342381939
2018,July,Butte (SV),LDA,Gas,RUNEX,NCAT,SOx,6.739969941673892e-06
2018,July,Butte (SV),LDA,Gas,RUNEX,NCAT,PM,6.207795145020418e-05
2018,July,Butte (SV),LDA,Gas,RUNEX,NCAT,TOG,0.006683958200751423
2018,July,Butte (SV),LDA,Gas,RUNEX,NCAT,PM10,5.907155593088332e-05
2018,July,Butte (SV),LDA,Gas,RUNEX,NCAT,PM2_5,5.609549992442715e-05
2018,July,Butte (SV),LDA,Gas,STREX,CAT,CO,0.6986623790518249
2018,July,Butte (SV),LDA,Gas,STREX,CAT,NOx,0.08900088948633465
2018,July,Butte (SV),LDA,Gas,STREX,CAT,SOx,0.00018541263971268862
2018,July,Butte (SV),LDA,Gas,STREX,CAT,PM,0.0007963634600900352
2018,July,Butte (SV),LDA,Gas,STREX,CAT,TOG,0.12492225088283802
2018,July,Butte (SV),LDA,Gas,STREX,CAT,PM10,0.0007121586042130234
2018,July,Butte (SV),LDA,Gas,STREX,CAT,PM2_5,0.0006549080587431216
2018,July,Butte (SV),LDA,Gas,STREX,NCAT,CO,0.009677857529655295
2018,July,Butte (SV),LDA,Gas,STREX,NCAT,NOx,0.0004583207496935823
2018,July,Butte (SV),LDA,Gas,STREX,NCAT,SOx,7.801403336270249e-07
2018,July,Butte (SV),LDA,Gas,STREX,NCAT,PM,2.0903433999595596e-05
2018,July,Butte (SV),LDA,Gas,STREX,NCAT,TOG,0.0013880056302156482
2018,July,Butte (SV),LDA,Gas,STREX,NCAT,PM10,1.9878529181079146e-05
2018,July,Butte (SV),LDA,Gas,STREX,NCAT,PM2_5,1.887115442851629e-05
2018,July,Butte (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.08245966248901383
2018,July,Butte (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0016752464170797217
2018,July,Butte (SV),LDA,Gas,RUNLOSS,CAT,TOG,0.10334076830982096
2018,July,Butte (SV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0040908501874895664
2018,July,Butte (SV),LDA,Gas,RESTLOSS,CAT,TOG,0.06006523439887278
2018,July,Butte (SV),LDA,Gas,RESTLOSS,NCAT,TOG,0.0018521274292204665
2018,July,Butte (SV),LDA,Gas,DIURN,CAT,TOG,0.12473976872768708
2018,July,Butte (SV),LDA,Gas,DIURN,NCAT,TOG,0.003995832696981063
2018,July,Butte (SV),LDA,Gas,PMTW,CAT,PM,0.019037700001621027
2018,July,Butte (SV),LDA,Gas,PMTW,CAT,PM10,0.019037700001621027
2018,July,Butte (SV),LDA,Gas,PMTW,CAT,PM2_5,0.004759425000405257
2018,July,Butte (SV),LDA,Gas,PMTW,NCAT,PM,8.308182485216336e-06
2018,July,Butte (SV),LDA,Gas,PMTW,NCAT,PM10,8.308182485216336e-06
2018,July,Butte (SV),LDA,Gas,PMTW,NCAT,PM2_5,2.077045621304084e-06
2018,July,Butte (SV),LDA,Gas,PMBW,CAT,PM,0.0892392187575985
2018,July,Butte (SV),LDA,Gas,PMBW,CAT,PM10,0.08745443438244645
2018,July,Butte (SV),LDA,Gas,PMBW,CAT,PM2_5,0.03748047187819135
2018,July,Butte (SV),LDA,Gas,PMBW,NCAT,PM,3.89446053994516e-05
2018,July,Butte (SV),LDA,Gas,PMBW,NCAT,PM10,3.816571329146256e-05
2018,July,Butte (SV),LDA,Gas,PMBW,NCAT,PM2_5,1.6356734267769664e-05
2018,July,Butte (SV),LDA,Dsl,RUNEX,DSL,CO,0.01105831196593004
2018,July,Butte (SV),LDA,Dsl,RUNEX,DSL,NOx,0.008270087449815515
2018,July,Butte (SV),LDA,Dsl,RUNEX,DSL,SOx,6.840326608961722e-05
2018,July,Butte (SV),LDA,Dsl,RUNEX,DSL,PM,0.0006823521641049845
2018,July,Butte (SV),LDA,Dsl,RUNEX,DSL,TOG,0.001248784270955619
2018,July,Butte (SV),LDA,Dsl,RUNEX,DSL,PM10,0.0006782580511203539
2018,July,Butte (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0006489169080638388
2018,July,Butte (SV),LDA,Dsl,PMTW,DSL,PM,0.0002501908283514204
2018,July,Butte (SV),LDA,Dsl,PMTW,DSL,PM10,0.0002501908283514204
2018,July,Butte (SV),LDA,Dsl,PMTW,DSL,PM2_5,6.25477070878551e-05
2018,July,Butte (SV),LDA,Dsl,PMBW,DSL,PM,0.0011727695078972832
2018,July,Butte (SV),LDA,Dsl,PMBW,DSL,PM10,0.0011493141177393372
2018,July,Butte (SV),LDA,Dsl,PMBW,DSL,PM2_5,0.000492563193316859
2018,July,Butte (SV),LDA,Elec,HOTSOAK,CAT,TOG,8.4713401097531e-06
2018,July,Butte (SV),LDA,Elec,RESTLOSS,CAT,TOG,1.2437376077090012e-05
