calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Calaveras (MC),LDA,Gas,RUNEX,CAT,CO,1.046468635303134
2018,July,Calaveras (MC),LDA,Gas,RUNEX,CAT,NOx,0.06013942680101222
2018,July,Calaveras (MC),LDA,Gas,RUNEX,CAT,SOx,0.0018278034179897737
2018,July,Calaveras (MC),LDA,Gas,RUNEX,CAT,PM,0.0012865746354713908
2018,July,Calaveras (MC),LDA,Gas,RUNEX,CAT,TOG,0.03319107100362714
2018,July,Calaveras (MC),LDA,Gas,RUNEX,CAT,PM10,0.0011504593689337286
2018,July,Calaveras (MC),LDA,Gas,RUNEX,CAT,PM2_5,0.0010579353392846322
2018,July,Calaveras (MC),LDA,Gas,RUNEX,NCAT,CO,0.012666641158724139
2018,July,Calaveras (MC),LDA,Gas,RUNEX,NCAT,NOx,0.0009921572320718054
2018,July,Calaveras (MC),LDA,Gas,RUNEX,NCAT,SOx,1.3612823806822194e-06
2018,July,Calaveras (MC),LDA,Gas,RUNEX,NCAT,PM,1.3070481076906163e-05
2018,July,Calaveras (MC),LDA,Gas,RUNEX,NCAT,TOG,0.0012003676718358519
2018,July,Calaveras (MC),LDA,Gas,RUNEX,NCAT,PM10,1.2299087492601296e-05
2018,July,Calaveras (MC),LDA,Gas,RUNEX,NCAT,PM2_5,1.1614642220373331e-05
2018,July,Calaveras (MC),LDA,Gas,STREX,CAT,CO,0.1506255885219424
2018,July,Calaveras (MC),LDA,Gas,STREX,CAT,NOx,0.019767867557123293
2018,July,Calaveras (MC),LDA,Gas,STREX,CAT,SOx,4.049832354982041e-05
2018,July,Calaveras (MC),LDA,Gas,STREX,CAT,PM,0.0002014657439364376
2018,July,Calaveras (MC),LDA,Gas,STREX,CAT,TOG,0.030789073639725554
2018,July,Calaveras (MC),LDA,Gas,STREX,CAT,PM10,0.00018020034940344586
2018,July,Calaveras (MC),LDA,Gas,STREX,CAT,PM2_5,0.00016573241705016527
2018,July,Calaveras (MC),LDA,Gas,STREX,NCAT,CO,0.0019350428052061085
2018,July,Calaveras (MC),LDA,Gas,STREX,NCAT,NOx,8.585826062761726e-05
2018,July,Calaveras (MC),LDA,Gas,STREX,NCAT,SOx,1.535522254550677e-07
2018,July,Calaveras (MC),LDA,Gas,STREX,NCAT,PM,4.4205210889424475e-06
2018,July,Calaveras (MC),LDA,Gas,STREX,NCAT,TOG,0.0002736799787514754
2018,July,Calaveras (MC),LDA,Gas,STREX,NCAT,PM10,4.1581464422031276e-06
2018,July,Calaveras (MC),LDA,Gas,STREX,NCAT,PM2_5,3.926042304146737e-06
2018,July,Calaveras (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.02267262655447986
2018,July,Calaveras (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0003354731036765603
2018,July,Calaveras (MC),LDA,Gas,RUNLOSS,CAT,TOG,0.029789607085087672
2018,July,Calaveras (MC),LDA,Gas,RUNLOSS,NCAT,TOG,0.001200768319534595
2018,July,Calaveras (MC),LDA,Gas,RESTLOSS,CAT,TOG,0.015271245090644795
2018,July,Calaveras (MC),LDA,Gas,RESTLOSS,NCAT,TOG,0.00032367514255285683
2018,July,Calaveras (MC),LDA,Gas,DIURN,CAT,TOG,0.028907771605641824
2018,July,Calaveras (MC),LDA,Gas,DIURN,NCAT,TOG,0.0006085226737218788
2018,July,Calaveras (MC),LDA,Gas,PMTW,CAT,PM,0.004462983881374017
2018,July,Calaveras (MC),LDA,Gas,PMTW,CAT,PM10,0.004462983881374017
2018,July,Calaveras (MC),LDA,Gas,PMTW,CAT,PM2_5,0.0011157459703435044
2018,July,Calaveras (MC),LDA,Gas,PMTW,NCAT,PM,1.7458376411376803e-06
2018,July,Calaveras (MC),LDA,Gas,PMTW,NCAT,PM10,1.7458376411376803e-06
2018,July,Calaveras (MC),LDA,Gas,PMTW,NCAT,PM2_5,4.3645941028442007e-07
2018,July,Calaveras (MC),LDA,Gas,PMBW,CAT,PM,0.020920236943940716
2018,July,Calaveras (MC),LDA,Gas,PMBW,CAT,PM10,0.020501832205061927
2018,July,Calaveras (MC),LDA,Gas,PMBW,CAT,PM2_5,0.008786499516455097
2018,July,Calaveras (MC),LDA,Gas,PMBW,NCAT,PM,8.183613942832875e-06
2018,July,Calaveras (MC),LDA,Gas,PMBW,NCAT,PM10,8.019941663976215e-06
2018,July,Calaveras (MC),LDA,Gas,PMBW,NCAT,PM2_5,3.437117855989806e-06
2018,July,Calaveras (MC),LDA,Dsl,RUNEX,DSL,CO,0.004279148725264457
2018,July,Calaveras (MC),LDA,Dsl,RUNEX,DSL,NOx,0.0031595784877948476
2018,July,Calaveras (MC),LDA,Dsl,RUNEX,DSL,SOx,2.21768562078201e-05
2018,July,Calaveras (MC),LDA,Dsl,RUNEX,DSL,PM,0.00023232455424165545
2018,July,Calaveras (MC),LDA,Dsl,RUNEX,DSL,TOG,0.00046389619323542803
2018,July,Calaveras (MC),LDA,Dsl,RUNEX,DSL,PM10,0.00023093060691620554
2018,July,Calaveras (MC),LDA,Dsl,RUNEX,DSL,PM2_5,0.00022094065108381412
2018,July,Calaveras (MC),LDA,Dsl,PMTW,DSL,PM,8.130591278258536e-05
2018,July,Calaveras (MC),LDA,Dsl,PMTW,DSL,PM10,8.130591278258536e-05
2018,July,Calaveras (MC),LDA,Dsl,PMTW,DSL,PM2_5,2.032647819564634e-05
2018,July,Calaveras (MC),LDA,Dsl,PMBW,DSL,PM,0.00038112146616836893
2018,July,Calaveras (MC),LDA,Dsl,PMBW,DSL,PM10,0.0003734990368450016
2018,July,Calaveras (MC),LDA,Dsl,PMBW,DSL,PM2_5,0.00016007101579071497
2018,July,Calaveras (MC),LDA,Elec,HOTSOAK,CAT,TOG,1.6338371160656847e-06
2018,July,Calaveras (MC),LDA,Elec,RESTLOSS,CAT,TOG,1.8295937575170238e-06
2018,July,Calaveras (MC),LDA,Elec,DIURN,CAT,TOG,4.844520519159613e-06
2018,July,Calaveras (MC),LDA,Elec,PMTW,CAT,PM,2.1901218015537473e-05
2018,July,Calaveras (MC),LDA,Elec,PMTW,CAT,PM10,2.1901218015537473e-05
2018,July,Calaveras (MC),LDA,Elec,PMTW,CAT,PM2_5,5.475304503884368e-06
2018,July,Calaveras (MC),LDA,Elec,PMBW,CAT,PM,0.00010266195944783188
2018,July,Calaveras (MC),LDA,Elec,PMBW,CAT,PM10,0.00010060872025887531
2018,July,Calaveras (MC),LDA,Elec,PMBW,CAT,PM2_5,4.3118022968089415e-05
2018,July,Calaveras (MC),LDT1,Gas,RUNEX,CAT,CO,0.6331579230988811
