calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Kern (MD),LDA,Gas,RUNEX,CAT,CO,2.4335594971395085
2018,July,Kern (MD),LDA,Gas,RUNEX,CAT,NOx,0.13023070504728293
2018,July,Kern (MD),LDA,Gas,RUNEX,CAT,SOx,0.00605697565508154
2018,July,Kern (MD),LDA,Gas,RUNEX,CAT,PM,0.0029665984497544173
2018,July,Kern (MD),LDA,Gas,RUNEX,CAT,TOG,0.0606084570389812
2018,July,Kern (MD),LDA,Gas,RUNEX,CAT,PM10,0.0026524436194808438
2018,July,Kern (MD),LDA,Gas,RUNEX,CAT,PM2_5,0.0024389758288777975
2018,July,Kern (MD),LDA,Gas,RUNEX,NCAT,CO,0.031097755432758507
2018,July,Kern (MD),LDA,Gas,RUNEX,NCAT,NOx,0.002141484360627494
2018,July,Kern (MD),LDA,Gas,RUNEX,NCAT,SOx,2.728077344252471e-06
2018,July,Kern (MD),LDA,Gas,RUNEX,NCAT,PM,2.3907957918654575e-05
2018,July,Kern (MD),LDA,Gas,RUNEX,NCAT,TOG,0.0024802289083178017
2018,July,Kern (MD),LDA,Gas,RUNEX,NCAT,PM10,2.2670942159431684e-05
2018,July,Kern (MD),LDA,Gas,RUNEX,NCAT,PM2_5,2.149169423174116e-05
2018,July,Kern (MD),LDA,Gas,STREX,CAT,CO,0.4474986228255321
2018,July,Kern (MD),LDA,Gas,STREX,CAT,NOx,0.05340050628137986
2018,July,Kern (MD),LDA,Gas,STREX,CAT,SOx,0.0001254654159621607
2018,July,Kern (MD),LDA,Gas,STREX,CAT,PM,0.0005114637822434131
2018,July,Kern (MD),LDA,Gas,STREX,CAT,TOG,0.07258349171810292
2018,July,Kern (MD),LDA,Gas,STREX,CAT,PM10,0.0004573810492258645
2018,July,Kern (MD),LDA,Gas,STREX,CAT,PM2_5,0.00042061099990742945
2018,July,Kern (MD),LDA,Gas,STREX,NCAT,CO,0.004719709848382912
2018,July,Kern (MD),LDA,Gas,STREX,NCAT,NOx,0.00022035134067478838
2018,July,Kern (MD),LDA,Gas,STREX,NCAT,SOx,3.7962939268397877e-07
2018,July,Kern (MD),LDA,Gas,STREX,NCAT,PM,1.0368217905062873e-05
2018,July,Kern (MD),LDA,Gas,STREX,NCAT,TOG,0.0006733579143726083
2018,July,Kern (MD),LDA,Gas,STREX,NCAT,PM10,9.83142950651258e-06
2018,July,Kern (MD),LDA,Gas,STREX,NCAT,PM2_5,9.319884915599087e-06
2018,July,Kern (MD),LDA,Gas,HOTSOAK,CAT,TOG,0.04443764678741952
2018,July,Kern (MD),LDA,Gas,HOTSOAK,NCAT,TOG,0.0008068816007147775
2018,July,Kern (MD),LDA,Gas,RUNLOSS,CAT,TOG,0.06150915157869411
2018,July,Kern (MD),LDA,Gas,RUNLOSS,NCAT,TOG,0.002003349384644516
2018,July,Kern (MD),LDA,Gas,RESTLOSS,CAT,TOG,0.0405705606766569
2018,July,Kern (MD),LDA,Gas,RESTLOSS,NCAT,TOG,0.0011104956353966571
2018,July,Kern (MD),LDA,Gas,DIURN,CAT,TOG,0.05293040152300229
2018,July,Kern (MD),LDA,Gas,DIURN,NCAT,TOG,0.001501349059858989
2018,July,Kern (MD),LDA,Gas,PMTW,CAT,PM,0.015018992838212498
2018,July,Kern (MD),LDA,Gas,PMTW,CAT,PM10,0.015018992838212498
2018,July,Kern (MD),LDA,Gas,PMTW,CAT,PM2_5,0.0037547482095531244
2018,July,Kern (MD),LDA,Gas,PMTW,NCAT,PM,3.4331640974718483e-06
2018,July,Kern (MD),LDA,Gas,PMTW,NCAT,PM10,3.4331640974718483e-06
2018,July,Kern (MD),LDA,Gas,PMTW,NCAT,PM2_5,8.582910243679621e-07
2018,July,Kern (MD),LDA,Gas,PMBW,CAT,PM,0.07040152892912105
2018,July,Kern (MD),LDA,Gas,PMBW,CAT,PM10,0.06899349835053861
2018,July,Kern (MD),LDA,Gas,PMBW,CAT,PM2_5,0.02956864215023084
2018,July,Kern (MD),LDA,Gas,PMBW,NCAT,PM,1.6092956706899284e-05
2018,July,Kern (MD),LDA,Gas,PMBW,NCAT,PM10,1.57710975727613e-05
2018,July,Kern (MD),LDA,Gas,PMBW,NCAT,PM2_5,6.759041816897697e-06
2018,July,Kern (MD),LDA,Dsl,RUNEX,DSL,CO,0.005933499321043802
2018,July,Kern (MD),LDA,Dsl,RUNEX,DSL,NOx,0.004501377356189166
2018,July,Kern (MD),LDA,Dsl,RUNEX,DSL,SOx,4.907968761997273e-05
2018,July,Kern (MD),LDA,Dsl,RUNEX,DSL,PM,0.0003210051681862329
2018,July,Kern (MD),LDA,Dsl,RUNEX,DSL,TOG,0.0005818135194407128
2018,July,Kern (MD),LDA,Dsl,RUNEX,DSL,PM10,0.00031907913717711537
2018,July,Kern (MD),LDA,Dsl,RUNEX,DSL,PM2_5,0.00030527591494510723
2018,July,Kern (MD),LDA,Dsl,PMTW,DSL,PM,0.00019150787360870303
2018,July,Kern (MD),LDA,Dsl,PMTW,DSL,PM10,0.00019150787360870303
2018,July,Kern (MD),LDA,Dsl,PMTW,DSL,PM2_5,4.787696840217576e-05
2018,July,Kern (MD),LDA,Dsl,PMBW,DSL,PM,0.0008976931575407958
2018,July,Kern (MD),LDA,Dsl,PMBW,DSL,PM10,0.0008797392943899802
2018,July,Kern (MD),LDA,Dsl,PMBW,DSL,PM2_5,0.0003770311261671343
2018,July,Kern (MD),LDA,Elec,HOTSOAK,CAT,TOG,7.616963307747719e-06
2018,July,Kern (MD),LDA,Elec,RESTLOSS,CAT,TOG,1.354518691161009e-05
2018,July,Kern (MD),LDA,Elec,DIURN,CAT,TOG,2.2208897535413356e-05
2018,July,Kern (MD),LDA,Elec,PMTW,CAT,PM,9.577507562878386e-05
2018,July,Kern (MD),LDA,Elec,PMTW,CAT,PM10,9.577507562878386e-05
2018,July,Kern (MD),LDA,Elec,PMTW,CAT,PM2_5,2.3943768907195965e-05
