calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Lassen (NEP),LDA,Gas,RUNEX,CAT,CO,1.1710496183250139
2018,July,Lassen (NEP),LDA,Gas,RUNEX,CAT,NOx,0.06776457702597673
2018,July,Lassen (NEP),LDA,Gas,RUNEX,CAT,SOx,0.0026989205467229664
2018,July,Lassen (NEP),LDA,Gas,RUNEX,CAT,PM,0.0018454481247434788
2018,July,Lassen (NEP),LDA,Gas,RUNEX,CAT,TOG,0.03766107829262686
2018,July,Lassen (NEP),LDA,Gas,RUNEX,CAT,PM10,0.0016500780547644071
2018,July,Lassen (NEP),LDA,Gas,RUNEX,CAT,PM2_5,0.0015173091938847378
2018,July,Lassen (NEP),LDA,Gas,RUNEX,NCAT,CO,0.018189789933785696
2018,July,Lassen (NEP),LDA,Gas,RUNEX,NCAT,NOx,0.001310057117945963
2018,July,Lassen (NEP),LDA,Gas,RUNEX,NCAT,SOx,1.7640191058049379e-06
2018,July,Lassen (NEP),LDA,Gas,RUNEX,NCAT,PM,1.7715736012532163e-05
2018,July,Lassen (NEP),LDA,Gas,RUNEX,NCAT,TOG,0.001754960466021495
2018,July,Lassen (NEP),LDA,Gas,RUNEX,NCAT,PM10,1.6777391064306316e-05
2018,July,Lassen (NEP),LDA,Gas,RUNEX,NCAT,PM2_5,1.5894494577894586e-05
2018,July,Lassen (NEP),LDA,Gas,STREX,CAT,CO,0.21074299449126832
2018,July,Lassen (NEP),LDA,Gas,STREX,CAT,NOx,0.024399771966769835
2018,July,Lassen (NEP),LDA,Gas,STREX,CAT,SOx,5.6731622311881655e-05
2018,July,Lassen (NEP),LDA,Gas,STREX,CAT,PM,0.0002523454781772141
2018,July,Lassen (NEP),LDA,Gas,STREX,CAT,TOG,0.03653325443687869
2018,July,Lassen (NEP),LDA,Gas,STREX,CAT,PM10,0.00022570111637964434
2018,July,Lassen (NEP),LDA,Gas,STREX,CAT,PM2_5,0.00020757581282996
2018,July,Lassen (NEP),LDA,Gas,STREX,NCAT,CO,0.0032843098480986365
2018,July,Lassen (NEP),LDA,Gas,STREX,NCAT,NOx,0.00015837417234165353
2018,July,Lassen (NEP),LDA,Gas,STREX,NCAT,SOx,2.7067003104214485e-07
2018,July,Lassen (NEP),LDA,Gas,STREX,NCAT,PM,7.488888648311463e-06
2018,July,Lassen (NEP),LDA,Gas,STREX,NCAT,TOG,0.0004903080971135295
2018,July,Lassen (NEP),LDA,Gas,STREX,NCAT,PM10,7.092563101812184e-06
2018,July,Lassen (NEP),LDA,Gas,STREX,NCAT,PM2_5,6.719481122211504e-06
2018,July,Lassen (NEP),LDA,Gas,HOTSOAK,CAT,TOG,0.02293973038314604
2018,July,Lassen (NEP),LDA,Gas,HOTSOAK,NCAT,TOG,0.000551168341818569
2018,July,Lassen (NEP),LDA,Gas,RUNLOSS,CAT,TOG,0.03349759015625747
2018,July,Lassen (NEP),LDA,Gas,RUNLOSS,NCAT,TOG,0.002090958130565963
2018,July,Lassen (NEP),LDA,Gas,RESTLOSS,CAT,TOG,0.015751150995664546
2018,July,Lassen (NEP),LDA,Gas,RESTLOSS,NCAT,TOG,0.0005372766869961111
2018,July,Lassen (NEP),LDA,Gas,DIURN,CAT,TOG,0.02125415842116579
2018,July,Lassen (NEP),LDA,Gas,DIURN,NCAT,TOG,0.0007434847002120798
2018,July,Lassen (NEP),LDA,Gas,PMTW,CAT,PM,0.0064466619926340524
2018,July,Lassen (NEP),LDA,Gas,PMTW,CAT,PM10,0.0064466619926340524
2018,July,Lassen (NEP),LDA,Gas,PMTW,CAT,PM2_5,0.0016116654981585131
2018,July,Lassen (NEP),LDA,Gas,PMTW,NCAT,PM,2.129741664055508e-06
2018,July,Lassen (NEP),LDA,Gas,PMTW,NCAT,PM10,2.129741664055508e-06
2018,July,Lassen (NEP),LDA,Gas,PMTW,NCAT,PM2_5,5.32435416013877e-07
2018,July,Lassen (NEP),LDA,Gas,PMBW,CAT,PM,0.030218728090472123
2018,July,Lassen (NEP),LDA,Gas,PMBW,CAT,PM10,0.029614353528662676
2018,July,Lassen (NEP),LDA,Gas,PMBW,CAT,PM2_5,0.012691865797998296
2018,July,Lassen (NEP),LDA,Gas,PMBW,NCAT,PM,9.983164050260183e-06
2018,July,Lassen (NEP),LDA,Gas,PMBW,NCAT,PM10,9.783500769254984e-06
2018,July,Lassen (NEP),LDA,Gas,PMBW,NCAT,PM2_5,4.192928901109279e-06
2018,July,Lassen (NEP),LDA,Dsl,RUNEX,DSL,CO,0.003738645612605639
2018,July,Lassen (NEP),LDA,Dsl,RUNEX,DSL,NOx,0.002290822421535944
2018,July,Lassen (NEP),LDA,Dsl,RUNEX,DSL,SOx,2.0004156557716342e-05
2018,July,Lassen (NEP),LDA,Dsl,RUNEX,DSL,PM,0.00013826430237311367
2018,July,Lassen (NEP),LDA,Dsl,RUNEX,DSL,TOG,0.000326062629352453
2018,July,Lassen (NEP),LDA,Dsl,RUNEX,DSL,PM10,0.0001374347165588751
2018,July,Lassen (NEP),LDA,Dsl,RUNEX,DSL,PM2_5,0.00013148935155683105
2018,July,Lassen (NEP),LDA,Dsl,PMTW,DSL,PM,6.959885461853629e-05
2018,July,Lassen (NEP),LDA,Dsl,PMTW,DSL,PM10,6.959885461853629e-05
2018,July,Lassen (NEP),LDA,Dsl,PMTW,DSL,PM2_5,1.7399713654634073e-05
2018,July,Lassen (NEP),LDA,Dsl,PMBW,DSL,PM,0.000326244631024389
2018,July,Lassen (NEP),LDA,Dsl,PMBW,DSL,PM10,0.00031971973840390106
2018,July,Lassen (NEP),LDA,Dsl,PMBW,DSL,PM2_5,0.0001370227450302434
2018,July,Lassen (NEP),LDA,Elec,HOTSOAK,CAT,TOG,2.0042425053060734e-06
2018,July,Lassen (NEP),LDA,Elec,RESTLOSS,CAT,TOG,2.2480627737405385e-06
2018,July,Lassen (NEP),LDA,Elec,DIURN,CAT,TOG,4.189011559374506e-06
2018,July,Lassen (NEP),LDA,Elec,PMTW,CAT,PM,2.6843935529712665e-05
2018,July,Lassen (NEP),LDA,Elec,PMTW,CAT,PM10,2.6843935529712665e-05
2018,July,Lassen (NEP),LDA,Elec,PMTW,CAT,PM2_5,6.710983882428166e-06
2018,July,Lassen (NEP),LDA,Elec,PMBW,CAT,PM,0.00012583094779552813
2018,July,Lassen (NEP),LDA,Elec,PMBW,CAT,PM10,0.00012331432883961756
2018,July,Lassen (NEP),LDA,Elec,PMBW,CAT,PM2_5,5.284899807412181e-05
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,CAT,CO,0.41094425968063036
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,CAT,NOx,0.03168238764892778
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,CAT,SOx,0.0004382704639965426
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,CAT,PM,0.0005292557115849292
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,CAT,TOG,0.015967455467389025
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,CAT,PM10,0.000473441424475523
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,CAT,PM2_5,0.00043545487761335807
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,NCAT,CO,0.023052620798605906
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,NCAT,NOx,0.0016493343685525608
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,NCAT,SOx,2.1700784388104565e-06
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,NCAT,PM,2.2499930302909685e-05
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,NCAT,TOG,0.002288421436601502
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,NCAT,PM10,2.1335614702500393e-05
2018,July,Lassen (NEP),LDT1,Gas,RUNEX,NCAT,PM2_5,2.0225753397221874e-05
2018,July,Lassen (NEP),LDT1,Gas,STREX,CAT,CO,0.04062808009880861
2018,July,Lassen (NEP),LDT1,Gas,STREX,CAT,NOx,0.0068075870659156795
2018,July,Lassen (NEP),LDT1,Gas,STREX,CAT,SOx,1.0826968245323685e-05
2018,July,Lassen (NEP),LDT1,Gas,STREX,CAT,PM,7.810605874624798e-05
2018,July,Lassen (NEP),LDT1,Gas,STREX,CAT,TOG,0.011502209605610393
2018,July,Lassen (NEP),LDT1,Gas,STREX,CAT,PM10,6.99048679396188e-05
2018,July,Lassen (NEP),LDT1,Gas,STREX,CAT,PM2_5,6.431385021396724e-05
2018,July,Lassen (NEP),LDT1,Gas,STREX,NCAT,CO,0.0029598695471203394
2018,July,Lassen (NEP),LDT1,Gas,STREX,NCAT,NOx,0.00013166786448435362
2018,July,Lassen (NEP),LDT1,Gas,STREX,NCAT,SOx,2.2596690659892178e-07
2018,July,Lassen (NEP),LDT1,Gas,STREX,NCAT,PM,6.123105401387259e-06
2018,July,Lassen (NEP),LDT1,Gas,STREX,NCAT,TOG,0.0004152401829410041
2018,July,Lassen (NEP),LDT1,Gas,STREX,NCAT,PM10,5.806252870260118e-06
2018,July,Lassen (NEP),LDT1,Gas,STREX,NCAT,PM2_5,5.50421772852079e-06
2018,July,Lassen (NEP),LDT1,Gas,HOTSOAK,CAT,TOG,0.010122194429619953
2018,July,Lassen (NEP),LDT1,Gas,HOTSOAK,NCAT,TOG,0.00043031489855048326
2018,July,Lassen (NEP),LDT1,Gas,RUNLOSS,CAT,TOG,0.03048637477853502
2018,July,Lassen (NEP),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0007795853009246626
2018,July,Lassen (NEP),LDT1,Gas,RESTLOSS,CAT,TOG,0.0073089892574582545
2018,July,Lassen (NEP),LDT1,Gas,RESTLOSS,NCAT,TOG,0.0004275015725343697
2018,July,Lassen (NEP),LDT1,Gas,DIURN,CAT,TOG,0.01087314048089171
2018,July,Lassen (NEP),LDT1,Gas,DIURN,NCAT,TOG,0.0005805882920058602
2018,July,Lassen (NEP),LDT1,Gas,PMTW,CAT,PM,0.0008962109136481361
2018,July,Lassen (NEP),LDT1,Gas,PMTW,CAT,PM10,0.0008962109136481361
2018,July,Lassen (NEP),LDT1,Gas,PMTW,CAT,PM2_5,0.00022405272841203403
2018,July,Lassen (NEP),LDT1,Gas,PMTW,NCAT,PM,2.704892025089862e-06
2018,July,Lassen (NEP),LDT1,Gas,PMTW,NCAT,PM10,2.704892025089862e-06
2018,July,Lassen (NEP),LDT1,Gas,PMTW,NCAT,PM2_5,6.762230062724655e-07
2018,July,Lassen (NEP),LDT1,Gas,PMBW,CAT,PM,0.00420098865772564
2018,July,Lassen (NEP),LDT1,Gas,PMBW,CAT,PM10,0.004116968884571125
2018,July,Lassen (NEP),LDT1,Gas,PMBW,CAT,PM2_5,0.0017644152362447697
2018,July,Lassen (NEP),LDT1,Gas,PMBW,NCAT,PM,1.2679181367608727e-05
2018,July,Lassen (NEP),LDT1,Gas,PMBW,NCAT,PM10,1.242559774025655e-05
2018,July,Lassen (NEP),LDT1,Gas,PMBW,NCAT,PM2_5,5.325256174395665e-06
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,CAT,CO,0.8115536163959541
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,CAT,NOx,0.07296598452593733
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,CAT,SOx,0.0016003162308679964
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,CAT,PM,0.0009443504231684595
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,CAT,TOG,0.028791181937257465
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,CAT,PM10,0.0008445171295347831
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,CAT,PM2_5,0.0007766358368908492
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,NCAT,CO,0.02121977998134954
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,NCAT,NOx,0.0015165862467143797
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,NCAT,SOx,1.993701439665735e-06
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,NCAT,PM,2.0564224113667113e-05
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,NCAT,TOG,0.0020815106853736996
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,NCAT,PM10,1.9494368151053476e-05
2018,July,Lassen (NEP),LDT2,Gas,RUNEX,NCAT,PM2_5,1.847760446585724e-05
2018,July,Lassen (NEP),LDT2,Gas,STREX,CAT,CO,0.13216106544024864
2018,July,Lassen (NEP),LDT2,Gas,STREX,CAT,NOx,0.021992537664383922
2018,July,Lassen (NEP),LDT2,Gas,STREX,CAT,SOx,3.7028601135223514e-05
2018,July,Lassen (NEP),LDT2,Gas,STREX,CAT,PM,0.0001294229396946642
2018,July,Lassen (NEP),LDT2,Gas,STREX,CAT,TOG,0.026267668144465513
2018,July,Lassen (NEP),LDT2,Gas,STREX,CAT,PM10,0.00011577408799195875
2018,July,Lassen (NEP),LDT2,Gas,STREX,CAT,PM2_5,0.00010648488166734619
2018,July,Lassen (NEP),LDT2,Gas,STREX,NCAT,CO,0.0025916344844177644
2018,July,Lassen (NEP),LDT2,Gas,STREX,NCAT,NOx,0.00011332316293823484
2018,July,Lassen (NEP),LDT2,Gas,STREX,NCAT,SOx,1.9553602134631634e-07
2018,July,Lassen (NEP),LDT2,Gas,STREX,NCAT,PM,5.285964042029912e-06
2018,July,Lassen (NEP),LDT2,Gas,STREX,NCAT,TOG,0.00035701506892874425
2018,July,Lassen (NEP),LDT2,Gas,STREX,NCAT,PM10,5.009831539461727e-06
2018,July,Lassen (NEP),LDT2,Gas,STREX,NCAT,PM2_5,4.7480037882092365e-06
2018,July,Lassen (NEP),LDT2,Gas,HOTSOAK,CAT,TOG,0.015392915323599507
2018,July,Lassen (NEP),LDT2,Gas,HOTSOAK,NCAT,TOG,0.00037239440334768247
2018,July,Lassen (NEP),LDT2,Gas,RUNLOSS,CAT,TOG,0.047178080678890046
2018,July,Lassen (NEP),LDT2,Gas,RUNLOSS,NCAT,TOG,0.0006595058950427342
