calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,CAT,CO,161.44690958922754
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,CAT,NOx,8.03274258968132
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,CAT,SOx,0.43619171328286416
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,CAT,PM,0.28861567266112476
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,CAT,TOG,4.713431672096019
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,CAT,PM10,0.25804656059819087
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,CAT,PM2_5,0.23727632438593443
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,NCAT,CO,1.5426250759181712
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,NCAT,NOx,0.11009199375962309
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,NCAT,SOx,0.00016388738547193116
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,NCAT,PM,0.0016915024797038993
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,NCAT,TOG,0.15570140873052934
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,NCAT,PM10,0.0016013846438501006
2018,July,Los Angeles (SC),LDA,Gas,RUNEX,NCAT,PM2_5,0.0015168663153988069
2018,July,Los Angeles (SC),LDA,Gas,STREX,CAT,CO,32.00777553474247
2018,July,Los Angeles (SC),LDA,Gas,STREX,CAT,NOx,3.6628031251210764
2018,July,Los Angeles (SC),LDA,Gas,STREX,CAT,SOx,0.00954076944418833
2018,July,Los Angeles (SC),LDA,Gas,STREX,CAT,PM,0.039312812080567604
2018,July,Los Angeles (SC),LDA,Gas,STREX,CAT,TOG,5.239846715894967
2018,July,Los Angeles (SC),LDA,Gas,STREX,CAT,PM10,0.03515394505058569
2018,July,Los Angeles (SC),LDA,Gas,STREX,CAT,PM2_5,0.03232688749743605
2018,July,Los Angeles (SC),LDA,Gas,STREX,NCAT,CO,0.2298488843016639
2018,July,Los Angeles (SC),LDA,Gas,STREX,NCAT,NOx,0.01206080787343717
2018,July,Los Angeles (SC),LDA,Gas,STREX,NCAT,SOx,2.030139445223626e-05
2018,July,Los Angeles (SC),LDA,Gas,STREX,NCAT,PM,0.0005757338915368119
2018,July,Los Angeles (SC),LDA,Gas,STREX,NCAT,TOG,0.03451683618653336
2018,July,Los Angeles (SC),LDA,Gas,STREX,NCAT,PM10,0.0005449892192086074
2018,July,Los Angeles (SC),LDA,Gas,STREX,NCAT,PM2_5,0.0005161920113297719
2018,July,Los Angeles (SC),LDA,Gas,HOTSOAK,CAT,TOG,2.3292137078295543
2018,July,Los Angeles (SC),LDA,Gas,HOTSOAK,NCAT,TOG,0.03410274300364151
2018,July,Los Angeles (SC),LDA,Gas,RUNLOSS,CAT,TOG,3.9674693881817484
2018,July,Los Angeles (SC),LDA,Gas,RUNLOSS,NCAT,TOG,0.1062969150717142
2018,July,Los Angeles (SC),LDA,Gas,RESTLOSS,CAT,TOG,1.863688490600232
2018,July,Los Angeles (SC),LDA,Gas,RESTLOSS,NCAT,TOG,0.042124611474885276
2018,July,Los Angeles (SC),LDA,Gas,DIURN,CAT,TOG,1.8260531378311329
2018,July,Los Angeles (SC),LDA,Gas,DIURN,NCAT,TOG,0.040573857850478894
2018,July,Los Angeles (SC),LDA,Gas,PMTW,CAT,PM,1.1025414707926882
2018,July,Los Angeles (SC),LDA,Gas,PMTW,CAT,PM10,1.1025414707926882
2018,July,Los Angeles (SC),LDA,Gas,PMTW,CAT,PM2_5,0.27563536769817204
2018,July,Los Angeles (SC),LDA,Gas,PMTW,NCAT,PM,0.0002078115655396521
2018,July,Los Angeles (SC),LDA,Gas,PMTW,NCAT,PM10,0.0002078115655396521
2018,July,Los Angeles (SC),LDA,Gas,PMTW,NCAT,PM2_5,5.1952891384913026e-05
2018,July,Los Angeles (SC),LDA,Gas,PMBW,CAT,PM,5.1681631443407285
2018,July,Los Angeles (SC),LDA,Gas,PMBW,CAT,PM10,5.064799881453913
2018,July,Los Angeles (SC),LDA,Gas,PMBW,CAT,PM2_5,2.1706285206231053
2018,July,Los Angeles (SC),LDA,Gas,PMBW,NCAT,PM,0.0009741167134671186
2018,July,Los Angeles (SC),LDA,Gas,PMBW,NCAT,PM10,0.000954634379197776
2018,July,Los Angeles (SC),LDA,Gas,PMBW,NCAT,PM2_5,0.0004091290196561899
2018,July,Los Angeles (SC),LDA,Dsl,RUNEX,DSL,CO,0.3117521796765947
2018,July,Los Angeles (SC),LDA,Dsl,RUNEX,DSL,NOx,0.14356657084224
2018,July,Los Angeles (SC),LDA,Dsl,RUNEX,DSL,SOx,0.002086023611827738
2018,July,Los Angeles (SC),LDA,Dsl,RUNEX,DSL,PM,0.018120432099005233
2018,July,Los Angeles (SC),LDA,Dsl,RUNEX,DSL,TOG,0.034792597827270316
2018,July,Los Angeles (SC),LDA,Dsl,RUNEX,DSL,PM10,0.018011709506411216
2018,July,Los Angeles (SC),LDA,Dsl,RUNEX,DSL,PM2_5,0.017232530926153965
2018,July,Los Angeles (SC),LDA,Dsl,PMTW,DSL,PM,0.007456933571902764
2018,July,Los Angeles (SC),LDA,Dsl,PMTW,DSL,PM10,0.007456933571902764
2018,July,Los Angeles (SC),LDA,Dsl,PMTW,DSL,PM2_5,0.001864233392975691
2018,July,Los Angeles (SC),LDA,Dsl,PMBW,DSL,PM,0.03495437611829422
2018,July,Los Angeles (SC),LDA,Dsl,PMBW,DSL,PM10,0.034255288595928315
2018,July,Los Angeles (SC),LDA,Dsl,PMBW,DSL,PM2_5,0.014680837969683563
2018,July,Los Angeles (SC),LDA,Elec,HOTSOAK,CAT,TOG,0.0009371515656765334
2018,July,Los Angeles (SC),LDA,Elec,RESTLOSS,CAT,TOG,0.000790040295989844
2018,July,Los Angeles (SC),LDA,Elec,DIURN,CAT,TOG,0.001596015731582706
2018,July,Los Angeles (SC),LDA,Elec,PMTW,CAT,PM,0.011634494683652524
2018,July,Los Angeles (SC),LDA,Elec,PMTW,CAT,PM10,0.011634494683652524
2018,July,Los Angeles (SC),LDA,Elec,PMTW,CAT,PM2_5,0.002908623670913131
2018,July,Los Angeles (SC),LDA,Elec,PMBW,CAT,PM,0.054536693829621195
2018,July,Los Angeles (SC),LDA,Elec,PMBW,CAT,PM10,0.053445959953028775
2018,July,Los Angeles (SC),LDA,Elec,PMBW,CAT,PM2_5,0.02290541140844089
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,CAT,CO,35.12585495252083
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,CAT,NOx,2.380995839247382
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,CAT,SOx,0.050754787726407034
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,CAT,PM,0.052017877883204285
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,CAT,TOG,1.263872220368886
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,CAT,PM10,0.04651697701602675
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,CAT,PM2_5,0.04277712021554619
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,NCAT,CO,0.5995622578122888
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,NCAT,NOx,0.039975030469525816
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,NCAT,SOx,6.22429495202398e-05
2018,July,Los Angeles (SC),LDT1,Gas,RUNEX,NCAT,PM,0.0006573474480547082
