calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Mono (GBV),LDA,Gas,RUNEX,CAT,CO,0.6168874036548967
2018,July,Mono (GBV),LDA,Gas,RUNEX,CAT,NOx,0.04470933821287119
2018,July,Mono (GBV),LDA,Gas,RUNEX,CAT,SOx,0.0017622595350466283
2018,July,Mono (GBV),LDA,Gas,RUNEX,CAT,PM,0.0012227715879587339
2018,July,Mono (GBV),LDA,Gas,RUNEX,CAT,TOG,0.02065407327207806
2018,July,Mono (GBV),LDA,Gas,RUNEX,CAT,PM10,0.0010934019342031572
2018,July,Mono (GBV),LDA,Gas,RUNEX,CAT,PM2_5,0.0010054644062567758
2018,July,Mono (GBV),LDA,Gas,RUNEX,NCAT,CO,0.009647846578792451
2018,July,Mono (GBV),LDA,Gas,RUNEX,NCAT,NOx,0.0008471691078454172
2018,July,Mono (GBV),LDA,Gas,RUNEX,NCAT,SOx,1.072377686642116e-06
2018,July,Mono (GBV),LDA,Gas,RUNEX,NCAT,PM,1.0942460752967294e-05
2018,July,Mono (GBV),LDA,Gas,RUNEX,NCAT,TOG,0.0009329968386876349
2018,July,Mono (GBV),LDA,Gas,RUNEX,NCAT,PM10,1.0271570215553142e-05
2018,July,Mono (GBV),LDA,Gas,RUNEX,NCAT,PM2_5,9.68807555577548e-06
2018,July,Mono (GBV),LDA,Gas,STREX,CAT,CO,0.17555617363725992
2018,July,Mono (GBV),LDA,Gas,STREX,CAT,NOx,0.01823121960514576
2018,July,Mono (GBV),LDA,Gas,STREX,CAT,SOx,4.194241820204882e-05
2018,July,Mono (GBV),LDA,Gas,STREX,CAT,PM,0.000179626417046047
2018,July,Mono (GBV),LDA,Gas,STREX,CAT,TOG,0.028628266075332705
2018,July,Mono (GBV),LDA,Gas,STREX,CAT,PM10,0.00016065520321627288
2018,July,Mono (GBV),LDA,Gas,STREX,CAT,PM2_5,0.0001477510148987932
2018,July,Mono (GBV),LDA,Gas,STREX,NCAT,CO,0.001529209269425595
2018,July,Mono (GBV),LDA,Gas,STREX,NCAT,NOx,7.26255212972365e-05
2018,July,Mono (GBV),LDA,Gas,STREX,NCAT,SOx,1.2214972282299427e-07
2018,July,Mono (GBV),LDA,Gas,STREX,NCAT,PM,3.4758911212735556e-06
2018,July,Mono (GBV),LDA,Gas,STREX,NCAT,TOG,0.00024582217211031095
2018,July,Mono (GBV),LDA,Gas,STREX,NCAT,PM10,3.2711449904370494e-06
2018,July,Mono (GBV),LDA,Gas,STREX,NCAT,PM2_5,3.0892920712653224e-06
2018,July,Mono (GBV),LDA,Gas,HOTSOAK,CAT,TOG,0.011761586523536288
2018,July,Mono (GBV),LDA,Gas,HOTSOAK,NCAT,TOG,0.00017784793182081682
2018,July,Mono (GBV),LDA,Gas,RUNLOSS,CAT,TOG,0.02167379612070174
2018,July,Mono (GBV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0009094857389732921
2018,July,Mono (GBV),LDA,Gas,RESTLOSS,CAT,TOG,0.004401781814844881
2018,July,Mono (GBV),LDA,Gas,RESTLOSS,NCAT,TOG,9.268545092051121e-05
2018,July,Mono (GBV),LDA,Gas,DIURN,CAT,TOG,0.006364668257276043
2018,July,Mono (GBV),LDA,Gas,DIURN,NCAT,TOG,0.000147715982133299
2018,July,Mono (GBV),LDA,Gas,PMTW,CAT,PM,0.004729002272797261
2018,July,Mono (GBV),LDA,Gas,PMTW,CAT,PM10,0.004729002272797261
2018,July,Mono (GBV),LDA,Gas,PMTW,CAT,PM2_5,0.0011822505681993152
2018,July,Mono (GBV),LDA,Gas,PMTW,NCAT,PM,1.3929160668695374e-06
2018,July,Mono (GBV),LDA,Gas,PMTW,NCAT,PM10,1.3929160668695374e-06
2018,July,Mono (GBV),LDA,Gas,PMTW,NCAT,PM2_5,3.4822901671738436e-07
2018,July,Mono (GBV),LDA,Gas,PMBW,CAT,PM,0.02216719815373717
2018,July,Mono (GBV),LDA,Gas,PMBW,CAT,PM10,0.021723854190662417
2018,July,Mono (GBV),LDA,Gas,PMBW,CAT,PM2_5,0.009310223224569602
2018,July,Mono (GBV),LDA,Gas,PMBW,NCAT,PM,6.5292940634509464e-06
2018,July,Mono (GBV),LDA,Gas,PMBW,NCAT,PM10,6.3987081821819355e-06
2018,July,Mono (GBV),LDA,Gas,PMBW,NCAT,PM2_5,2.7423035066494005e-06
2018,July,Mono (GBV),LDA,Dsl,RUNEX,DSL,CO,0.00310196598000741
2018,July,Mono (GBV),LDA,Dsl,RUNEX,DSL,NOx,0.0020774474355433575
2018,July,Mono (GBV),LDA,Dsl,RUNEX,DSL,SOx,1.5655468217793728e-05
2018,July,Mono (GBV),LDA,Dsl,RUNEX,DSL,PM,0.00015859145360995076
2018,July,Mono (GBV),LDA,Dsl,RUNEX,DSL,TOG,0.00031254761907840224
2018,July,Mono (GBV),LDA,Dsl,RUNEX,DSL,PM10,0.00015763990488829082
2018,July,Mono (GBV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0001508204723830631
2018,July,Mono (GBV),LDA,Dsl,PMTW,DSL,PM,5.5592813949364186e-05
2018,July,Mono (GBV),LDA,Dsl,PMTW,DSL,PM10,5.5592813949364186e-05
2018,July,Mono (GBV),LDA,Dsl,PMTW,DSL,PM2_5,1.3898203487341047e-05
2018,July,Mono (GBV),LDA,Dsl,PMBW,DSL,PM,0.0002605913153876446
2018,July,Mono (GBV),LDA,Dsl,PMBW,DSL,PM10,0.00025537948907989195
2018,July,Mono (GBV),LDA,Dsl,PMBW,DSL,PM2_5,0.00010944835246281075
2018,July,Mono (GBV),LDA,Elec,HOTSOAK,CAT,TOG,3.468891025089402e-06
2018,July,Mono (GBV),LDA,Elec,RESTLOSS,CAT,TOG,6.649473733433904e-07
2018,July,Mono (GBV),LDA,Elec,DIURN,CAT,TOG,3.194118720535529e-06
2018,July,Mono (GBV),LDA,Elec,PMTW,CAT,PM,4.388326828581305e-05
