calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Napa (SF),LDA,Gas,RUNEX,CAT,CO,1.8356313454014033
2018,July,Napa (SF),LDA,Gas,RUNEX,CAT,NOx,0.11722948309585934
2018,July,Napa (SF),LDA,Gas,RUNEX,CAT,SOx,0.0049566586132960425
2018,July,Napa (SF),LDA,Gas,RUNEX,CAT,PM,0.0028988224779401494
2018,July,Napa (SF),LDA,Gas,RUNEX,CAT,TOG,0.05105822586534722
2018,July,Napa (SF),LDA,Gas,RUNEX,CAT,PM10,0.0025918100693474652
2018,July,Napa (SF),LDA,Gas,RUNEX,CAT,PM2_5,0.002383204666964598
2018,July,Napa (SF),LDA,Gas,RUNEX,NCAT,CO,0.023269151658158797
2018,July,Napa (SF),LDA,Gas,RUNEX,NCAT,NOx,0.0019881508217994893
2018,July,Napa (SF),LDA,Gas,RUNEX,NCAT,SOx,2.3403592996797756e-06
2018,July,Napa (SF),LDA,Gas,RUNEX,NCAT,PM,2.2892049377605873e-05
2018,July,Napa (SF),LDA,Gas,RUNEX,NCAT,TOG,0.0022679397308680957
2018,July,Napa (SF),LDA,Gas,RUNEX,NCAT,PM10,2.1736485382907773e-05
2018,July,Napa (SF),LDA,Gas,RUNEX,NCAT,PM2_5,2.0619419181469233e-05
2018,July,Napa (SF),LDA,Gas,STREX,CAT,CO,0.46078764949153905
2018,July,Napa (SF),LDA,Gas,STREX,CAT,NOx,0.05107369550734969
2018,July,Napa (SF),LDA,Gas,STREX,CAT,SOx,0.00011758897773094087
2018,July,Napa (SF),LDA,Gas,STREX,CAT,PM,0.0004771950749432168
2018,July,Napa (SF),LDA,Gas,STREX,CAT,TOG,0.07957303034050599
2018,July,Napa (SF),LDA,Gas,STREX,CAT,PM10,0.00042671664591170525
2018,July,Napa (SF),LDA,Gas,STREX,CAT,PM2_5,0.0003924021672254816
2018,July,Napa (SF),LDA,Gas,STREX,NCAT,CO,0.0037319774947171458
2018,July,Napa (SF),LDA,Gas,STREX,NCAT,NOx,0.00019900154792397732
2018,July,Napa (SF),LDA,Gas,STREX,NCAT,SOx,3.2308469432713745e-07
2018,July,Napa (SF),LDA,Gas,STREX,NCAT,PM,8.873366784470834e-06
2018,July,Napa (SF),LDA,Gas,STREX,NCAT,TOG,0.0006182170908799089
2018,July,Napa (SF),LDA,Gas,STREX,NCAT,PM10,8.42305656740751e-06
2018,July,Napa (SF),LDA,Gas,STREX,NCAT,PM2_5,7.989061719202282e-06
2018,July,Napa (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.0319277158629628
2018,July,Napa (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.00048117914700050116
2018,July,Napa (SF),LDA,Gas,RUNLOSS,CAT,TOG,0.05322137001524548
2018,July,Napa (SF),LDA,Gas,RUNLOSS,NCAT,TOG,0.001648813628080463
2018,July,Napa (SF),LDA,Gas,RESTLOSS,CAT,TOG,0.014109012419738302
2018,July,Napa (SF),LDA,Gas,RESTLOSS,NCAT,TOG,0.00031640869513129314
2018,July,Napa (SF),LDA,Gas,DIURN,CAT,TOG,0.022042739074254546
2018,July,Napa (SF),LDA,Gas,DIURN,NCAT,TOG,0.0004924692588511434
2018,July,Napa (SF),LDA,Gas,PMTW,CAT,PM,0.013543348611661414
2018,July,Napa (SF),LDA,Gas,PMTW,CAT,PM10,0.013543348611661414
2018,July,Napa (SF),LDA,Gas,PMTW,CAT,PM2_5,0.0033858371529153536
2018,July,Napa (SF),LDA,Gas,PMTW,NCAT,PM,3.16461574701282e-06
2018,July,Napa (SF),LDA,Gas,PMTW,NCAT,PM10,3.16461574701282e-06
2018,July,Napa (SF),LDA,Gas,PMTW,NCAT,PM2_5,7.91153936753205e-07
2018,July,Napa (SF),LDA,Gas,PMBW,CAT,PM,0.06348444661716286
2018,July,Napa (SF),LDA,Gas,PMBW,CAT,PM10,0.06221475768481959
2018,July,Napa (SF),LDA,Gas,PMBW,CAT,PM2_5,0.026663467579208396
2018,July,Napa (SF),LDA,Gas,PMBW,NCAT,PM,1.4834136314122581e-05
2018,July,Napa (SF),LDA,Gas,PMBW,NCAT,PM10,1.453745358784014e-05
2018,July,Napa (SF),LDA,Gas,PMBW,NCAT,PM2_5,6.230337251931492e-06
2018,July,Napa (SF),LDA,Dsl,RUNEX,DSL,CO,0.005888130435826059
2018,July,Napa (SF),LDA,Dsl,RUNEX,DSL,NOx,0.003974058317501017
2018,July,Napa (SF),LDA,Dsl,RUNEX,DSL,SOx,4.53765109054882e-05
2018,July,Napa (SF),LDA,Dsl,RUNEX,DSL,PM,0.0003429727514112457
2018,July,Napa (SF),LDA,Dsl,RUNEX,DSL,TOG,0.0006076027966519221
2018,July,Napa (SF),LDA,Dsl,RUNEX,DSL,PM10,0.0003409149149027775
2018,July,Napa (SF),LDA,Dsl,RUNEX,DSL,PM2_5,0.0003261670865920947
2018,July,Napa (SF),LDA,Dsl,PMTW,DSL,PM,0.00017211089792400252
2018,July,Napa (SF),LDA,Dsl,PMTW,DSL,PM10,0.00017211089792400252
2018,July,Napa (SF),LDA,Dsl,PMTW,DSL,PM2_5,4.302772448100063e-05
2018,July,Napa (SF),LDA,Dsl,PMBW,DSL,PM,0.0008067698340187614
2018,July,Napa (SF),LDA,Dsl,PMBW,DSL,PM10,0.000790634437338386
2018,July,Napa (SF),LDA,Dsl,PMBW,DSL,PM2_5,0.00033884333028787986
2018,July,Napa (SF),LDA,Elec,HOTSOAK,CAT,TOG,1.1027905876613515e-05
2018,July,Napa (SF),LDA,Elec,RESTLOSS,CAT,TOG,3.97505449178667e-06
2018,July,Napa (SF),LDA,Elec,DIURN,CAT,TOG,1.258979193949024e-05
2018,July,Napa (SF),LDA,Elec,PMTW,CAT,PM,0.00013838039771344956
2018,July,Napa (SF),LDA,Elec,PMTW,CAT,PM10,0.00013838039771344956
2018,July,Napa (SF),LDA,Elec,PMTW,CAT,PM2_5,3.459509942836239e-05
2018,July,Napa (SF),LDA,Elec,PMBW,CAT,PM,0.000648658114281795
2018,July,Napa (SF),LDA,Elec,PMBW,CAT,PM10,0.000635684951996159
2018,July,Napa (SF),LDA,Elec,PMBW,CAT,PM2_5,0.0002724364079983539
2018,July,Napa (SF),LDT1,Gas,RUNEX,CAT,CO,0.4296322879651996
2018,July,Napa (SF),LDT1,Gas,RUNEX,CAT,NOx,0.035300963381012136
2018,July,Napa (SF),LDT1,Gas,RUNEX,CAT,SOx,0.000649341739903619
2018,July,Napa (SF),LDT1,Gas,RUNEX,CAT,PM,0.0005478482145497258
2018,July,Napa (SF),LDT1,Gas,RUNEX,CAT,TOG,0.0145928230486802
2018,July,Napa (SF),LDT1,Gas,RUNEX,CAT,PM10,0.0004899186939802021
2018,July,Napa (SF),LDT1,Gas,RUNEX,CAT,PM2_5,0.0004505331288734712
2018,July,Napa (SF),LDT1,Gas,RUNEX,NCAT,CO,0.00945526487291942
2018,July,Napa (SF),LDT1,Gas,RUNEX,NCAT,NOx,0.0008015637066438287
2018,July,Napa (SF),LDT1,Gas,RUNEX,NCAT,SOx,9.402769451011357e-07
2018,July,Napa (SF),LDT1,Gas,RUNEX,NCAT,PM,9.35256228162233e-06
