calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Nevada (MC),LDA,Gas,RUNEX,CAT,CO,1.9441635623792224
2018,July,Nevada (MC),LDA,Gas,RUNEX,CAT,NOx,0.11533494597631025
2018,July,Nevada (MC),LDA,Gas,RUNEX,CAT,SOx,0.004252072462120687
2018,July,Nevada (MC),LDA,Gas,RUNEX,CAT,PM,0.002408034324470925
2018,July,Nevada (MC),LDA,Gas,RUNEX,CAT,TOG,0.05539587497073574
2018,July,Nevada (MC),LDA,Gas,RUNEX,CAT,PM10,0.0021529356255485226
2018,July,Nevada (MC),LDA,Gas,RUNEX,CAT,PM2_5,0.0019796210691896366
2018,July,Nevada (MC),LDA,Gas,RUNEX,NCAT,CO,0.008177738661851312
2018,July,Nevada (MC),LDA,Gas,RUNEX,NCAT,NOx,0.0006549227458715726
2018,July,Nevada (MC),LDA,Gas,RUNEX,NCAT,SOx,8.412682591995722e-07
2018,July,Nevada (MC),LDA,Gas,RUNEX,NCAT,PM,7.847186002054477e-06
2018,July,Nevada (MC),LDA,Gas,RUNEX,NCAT,TOG,0.0007115193778643855
2018,July,Nevada (MC),LDA,Gas,RUNEX,NCAT,PM10,7.388206276460452e-06
2018,July,Nevada (MC),LDA,Gas,RUNEX,NCAT,PM2_5,6.979015089349321e-06
2018,July,Nevada (MC),LDA,Gas,STREX,CAT,CO,0.34610309290712876
2018,July,Nevada (MC),LDA,Gas,STREX,CAT,NOx,0.0452140770381587
2018,July,Nevada (MC),LDA,Gas,STREX,CAT,SOx,9.807658854298819e-05
2018,July,Nevada (MC),LDA,Gas,STREX,CAT,PM,0.0004386875134819357
2018,July,Nevada (MC),LDA,Gas,STREX,CAT,TOG,0.06671962136504873
2018,July,Nevada (MC),LDA,Gas,STREX,CAT,PM10,0.00039234023031371203
2018,July,Nevada (MC),LDA,Gas,STREX,CAT,PM2_5,0.00036081891757143176
2018,July,Nevada (MC),LDA,Gas,STREX,NCAT,CO,0.0049135559850409195
2018,July,Nevada (MC),LDA,Gas,STREX,NCAT,NOx,0.00024360268349512483
2018,July,Nevada (MC),LDA,Gas,STREX,NCAT,SOx,4.1524682768689755e-07
2018,July,Nevada (MC),LDA,Gas,STREX,NCAT,PM,1.1545681563682164e-05
2018,July,Nevada (MC),LDA,Gas,STREX,NCAT,TOG,0.0007186721743070016
2018,July,Nevada (MC),LDA,Gas,STREX,NCAT,PM10,1.094180672183749e-05
2018,July,Nevada (MC),LDA,Gas,STREX,NCAT,PM2_5,1.0369608504615918e-05
2018,July,Nevada (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.03876781536202151
2018,July,Nevada (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0008043630301073846
2018,July,Nevada (MC),LDA,Gas,RUNLOSS,CAT,TOG,0.05448402614598817
2018,July,Nevada (MC),LDA,Gas,RUNLOSS,NCAT,TOG,0.002189565854119259
2018,July,Nevada (MC),LDA,Gas,RESTLOSS,CAT,TOG,0.02728037203955449
2018,July,Nevada (MC),LDA,Gas,RESTLOSS,NCAT,TOG,0.0008431336271400883
2018,July,Nevada (MC),LDA,Gas,DIURN,CAT,TOG,0.049364501422966015
2018,July,Nevada (MC),LDA,Gas,DIURN,NCAT,TOG,0.0015041302328014936
2018,July,Nevada (MC),LDA,Gas,PMTW,CAT,PM,0.010587638803163782
2018,July,Nevada (MC),LDA,Gas,PMTW,CAT,PM10,0.010587638803163782
2018,July,Nevada (MC),LDA,Gas,PMTW,CAT,PM2_5,0.0026469097007909455
2018,July,Nevada (MC),LDA,Gas,PMTW,NCAT,PM,1.0862849356233861e-06
2018,July,Nevada (MC),LDA,Gas,PMTW,NCAT,PM10,1.0862849356233861e-06
2018,July,Nevada (MC),LDA,Gas,PMTW,NCAT,PM2_5,2.7157123390584654e-07
2018,July,Nevada (MC),LDA,Gas,PMBW,CAT,PM,0.04962955688983026
2018,July,Nevada (MC),LDA,Gas,PMBW,CAT,PM10,0.04863696575203363
2018,July,Nevada (MC),LDA,Gas,PMBW,CAT,PM2_5,0.020844413893728726
2018,July,Nevada (MC),LDA,Gas,PMBW,NCAT,PM,5.091960635734622e-06
2018,July,Nevada (MC),LDA,Gas,PMBW,NCAT,PM10,4.990121423019934e-06
2018,July,Nevada (MC),LDA,Gas,PMBW,NCAT,PM2_5,2.1386234670085417e-06
2018,July,Nevada (MC),LDA,Dsl,RUNEX,DSL,CO,0.00843562202378823
2018,July,Nevada (MC),LDA,Dsl,RUNEX,DSL,NOx,0.006978220971365567
2018,July,Nevada (MC),LDA,Dsl,RUNEX,DSL,SOx,4.9922929520792375e-05
2018,July,Nevada (MC),LDA,Dsl,RUNEX,DSL,PM,0.0004332300678173732
2018,July,Nevada (MC),LDA,Dsl,RUNEX,DSL,TOG,0.0008368847679717583
2018,July,Nevada (MC),LDA,Dsl,RUNEX,DSL,PM10,0.0004306306874104698
2018,July,Nevada (MC),LDA,Dsl,RUNEX,DSL,PM2_5,0.00041200179449432157
2018,July,Nevada (MC),LDA,Dsl,PMTW,DSL,PM,0.00018563995975987897
2018,July,Nevada (MC),LDA,Dsl,PMTW,DSL,PM10,0.00018563995975987897
2018,July,Nevada (MC),LDA,Dsl,PMTW,DSL,PM2_5,4.640998993996974e-05
2018,July,Nevada (MC),LDA,Dsl,PMBW,DSL,PM,0.0008701873113744318
2018,July,Nevada (MC),LDA,Dsl,PMBW,DSL,PM10,0.0008527835651469432
2018,July,Nevada (MC),LDA,Dsl,PMBW,DSL,PM2_5,0.00036547867077726134
2018,July,Nevada (MC),LDA,Elec,HOTSOAK,CAT,TOG,7.420764482176554e-06
2018,July,Nevada (MC),LDA,Elec,RESTLOSS,CAT,TOG,7.513607008498667e-06
