calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Placer (LT),LDA,Gas,RUNEX,CAT,CO,0.6402822117210631
2018,July,Placer (LT),LDA,Gas,RUNEX,CAT,NOx,0.04016973971303294
2018,July,Placer (LT),LDA,Gas,RUNEX,CAT,SOx,0.0010355500907298218
2018,July,Placer (LT),LDA,Gas,RUNEX,CAT,PM,0.0007576764850417073
2018,July,Placer (LT),LDA,Gas,RUNEX,CAT,TOG,0.019014527493536746
2018,July,Placer (LT),LDA,Gas,RUNEX,CAT,PM10,0.0006776925258880098
2018,July,Placer (LT),LDA,Gas,RUNEX,CAT,PM2_5,0.0006232776242082933
2018,July,Placer (LT),LDA,Gas,RUNEX,NCAT,CO,0.021631943200462207
2018,July,Placer (LT),LDA,Gas,RUNEX,NCAT,NOx,0.0007089817647756709
2018,July,Placer (LT),LDA,Gas,RUNEX,NCAT,SOx,1.5898061082477132e-06
2018,July,Placer (LT),LDA,Gas,RUNEX,NCAT,PM,1.3550692201129839e-05
2018,July,Placer (LT),LDA,Gas,RUNEX,NCAT,TOG,0.0014760403638052915
2018,July,Placer (LT),LDA,Gas,RUNEX,NCAT,PM10,1.2692466944563544e-05
2018,July,Placer (LT),LDA,Gas,RUNEX,NCAT,PM2_5,1.1958431244426927e-05
2018,July,Placer (LT),LDA,Gas,STREX,CAT,CO,0.10509610595734098
2018,July,Placer (LT),LDA,Gas,STREX,CAT,NOx,0.013286970754637249
2018,July,Placer (LT),LDA,Gas,STREX,CAT,SOx,2.6944945415296344e-05
2018,July,Placer (LT),LDA,Gas,STREX,CAT,PM,0.00013774918675550548
2018,July,Placer (LT),LDA,Gas,STREX,CAT,TOG,0.02225619145043748
2018,July,Placer (LT),LDA,Gas,STREX,CAT,PM10,0.0001232258208617201
2018,July,Placer (LT),LDA,Gas,STREX,CAT,PM2_5,0.00011334049644912004
2018,July,Placer (LT),LDA,Gas,STREX,NCAT,CO,4.918740728490185e-05
2018,July,Placer (LT),LDA,Gas,STREX,NCAT,NOx,0.00015756340223002183
2018,July,Placer (LT),LDA,Gas,STREX,NCAT,SOx,8.23735557299504e-08
2018,July,Placer (LT),LDA,Gas,STREX,NCAT,PM,3.111693663632142e-06
2018,July,Placer (LT),LDA,Gas,STREX,NCAT,TOG,0.00011686591869746045
2018,July,Placer (LT),LDA,Gas,STREX,NCAT,PM10,2.9122897084522855e-06
2018,July,Placer (LT),LDA,Gas,STREX,NCAT,PM2_5,2.742758153456208e-06
2018,July,Placer (LT),LDA,Gas,HOTSOAK,CAT,TOG,0.010757114193408622
2018,July,Placer (LT),LDA,Gas,HOTSOAK,NCAT,TOG,0.00018711528453610097
2018,July,Placer (LT),LDA,Gas,RUNLOSS,CAT,TOG,0.01657203611682422
2018,July,Placer (LT),LDA,Gas,RUNLOSS,NCAT,TOG,0.0007244592687540985
2018,July,Placer (LT),LDA,Gas,RESTLOSS,CAT,TOG,0.004560742806775342
2018,July,Placer (LT),LDA,Gas,RESTLOSS,NCAT,TOG,0.0001065339677951152
2018,July,Placer (LT),LDA,Gas,DIURN,CAT,TOG,0.009251307339274857
2018,July,Placer (LT),LDA,Gas,DIURN,NCAT,TOG,0.00021722419698498108
2018,July,Placer (LT),LDA,Gas,PMTW,CAT,PM,0.002836808040696986
2018,July,Placer (LT),LDA,Gas,PMTW,CAT,PM10,0.002836808040696986
2018,July,Placer (LT),LDA,Gas,PMTW,CAT,PM2_5,0.0007092020101742465
2018,July,Placer (LT),LDA,Gas,PMTW,NCAT,PM,2.0176759629610944e-06
2018,July,Placer (LT),LDA,Gas,PMTW,NCAT,PM10,2.0176759629610944e-06
2018,July,Placer (LT),LDA,Gas,PMTW,NCAT,PM2_5,5.044189907402736e-07
2018,July,Placer (LT),LDA,Gas,PMBW,CAT,PM,0.01329753769076712
2018,July,Placer (LT),LDA,Gas,PMBW,CAT,PM10,0.013031586936951783
2018,July,Placer (LT),LDA,Gas,PMBW,CAT,PM2_5,0.005584965830122192
2018,July,Placer (LT),LDA,Gas,PMBW,NCAT,PM,9.457856076380128e-06
2018,July,Placer (LT),LDA,Gas,PMBW,NCAT,PM10,9.268698954852526e-06
2018,July,Placer (LT),LDA,Gas,PMBW,NCAT,PM2_5,3.972299552079652e-06
2018,July,Placer (LT),LDA,Dsl,RUNEX,DSL,CO,0.002099597892311976
2018,July,Placer (LT),LDA,Dsl,RUNEX,DSL,NOx,0.0024614128616332197
2018,July,Placer (LT),LDA,Dsl,RUNEX,DSL,SOx,1.1370407891856294e-05
2018,July,Placer (LT),LDA,Dsl,RUNEX,DSL,PM,0.00011983550980902069
2018,July,Placer (LT),LDA,Dsl,RUNEX,DSL,TOG,0.00022719980557010414
2018,July,Placer (LT),LDA,Dsl,RUNEX,DSL,PM10,0.00011911649675016634
2018,July,Placer (LT),LDA,Dsl,RUNEX,DSL,PM2_5,0.00011396356982837846
