calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,CAT,CO,25.71949554288442
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,CAT,NOx,1.3168295604349012
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,CAT,SOx,0.07496607299456726
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,CAT,PM,0.039795600099749716
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,CAT,TOG,0.6648984517781423
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,CAT,PM10,0.035580177893618184
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,CAT,PM2_5,0.03271611139277013
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,NCAT,CO,0.21227276451152746
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,NCAT,NOx,0.014362093754044743
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,NCAT,SOx,1.9682469981607765e-05
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,NCAT,PM,0.00018823321353733286
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,NCAT,TOG,0.017842626546500203
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,NCAT,PM10,0.00017798071376745465
2018,July,San Bernardino (SC),LDA,Gas,RUNEX,NCAT,PM2_5,0.0001684817460378742
2018,July,San Bernardino (SC),LDA,Gas,STREX,CAT,CO,5.161439151020647
2018,July,San Bernardino (SC),LDA,Gas,STREX,CAT,NOx,0.5799245815622804
2018,July,San Bernardino (SC),LDA,Gas,STREX,CAT,SOx,0.0015156713865958037
2018,July,San Bernardino (SC),LDA,Gas,STREX,CAT,PM,0.0058766642192781176
2018,July,San Bernardino (SC),LDA,Gas,STREX,CAT,TOG,0.8006585562096297
2018,July,San Bernardino (SC),LDA,Gas,STREX,CAT,PM10,0.005254938714170337
2018,July,San Bernardino (SC),LDA,Gas,STREX,CAT,PM2_5,0.004832320759931557
2018,July,San Bernardino (SC),LDA,Gas,STREX,NCAT,CO,0.03316972749181008
2018,July,San Bernardino (SC),LDA,Gas,STREX,NCAT,NOx,0.0016416102585838652
2018,July,San Bernardino (SC),LDA,Gas,STREX,NCAT,SOx,2.807582828602935e-06
2018,July,San Bernardino (SC),LDA,Gas,STREX,NCAT,PM,7.914403574047238e-05
2018,July,San Bernardino (SC),LDA,Gas,STREX,NCAT,TOG,0.004881156268356518
2018,July,San Bernardino (SC),LDA,Gas,STREX,NCAT,PM10,7.485651621089889e-05
2018,July,San Bernardino (SC),LDA,Gas,STREX,NCAT,PM2_5,7.087230908907242e-05
2018,July,San Bernardino (SC),LDA,Gas,HOTSOAK,CAT,TOG,0.3866596746973555
2018,July,San Bernardino (SC),LDA,Gas,HOTSOAK,NCAT,TOG,0.005175234783608486
2018,July,San Bernardino (SC),LDA,Gas,RUNLOSS,CAT,TOG,0.6358618402411014
2018,July,San Bernardino (SC),LDA,Gas,RUNLOSS,NCAT,TOG,0.014829457389288463
2018,July,San Bernardino (SC),LDA,Gas,RESTLOSS,CAT,TOG,0.2602707261815867
2018,July,San Bernardino (SC),LDA,Gas,RESTLOSS,NCAT,TOG,0.005356343051635741
2018,July,San Bernardino (SC),LDA,Gas,DIURN,CAT,TOG,0.43645936172198596
2018,July,San Bernardino (SC),LDA,Gas,DIURN,NCAT,TOG,0.008961827059624965
2018,July,San Bernardino (SC),LDA,Gas,PMTW,CAT,PM,0.19240499487945467
2018,July,San Bernardino (SC),LDA,Gas,PMTW,CAT,PM10,0.19240499487945467
2018,July,San Bernardino (SC),LDA,Gas,PMTW,CAT,PM2_5,0.04810124871986367
2018,July,San Bernardino (SC),LDA,Gas,PMTW,NCAT,PM,2.509344341756083e-05
2018,July,San Bernardino (SC),LDA,Gas,PMTW,NCAT,PM10,2.509344341756083e-05
2018,July,San Bernardino (SC),LDA,Gas,PMTW,NCAT,PM2_5,6.273360854390207e-06
2018,July,San Bernardino (SC),LDA,Gas,PMBW,CAT,PM,0.9018984134974438
2018,July,San Bernardino (SC),LDA,Gas,PMBW,CAT,PM10,0.8838604452274949
2018,July,San Bernardino (SC),LDA,Gas,PMBW,CAT,PM2_5,0.37879733366892643
2018,July,San Bernardino (SC),LDA,Gas,PMBW,NCAT,PM,0.00011762551601981642
2018,July,San Bernardino (SC),LDA,Gas,PMBW,NCAT,PM10,0.00011527300569942008
2018,July,San Bernardino (SC),LDA,Gas,PMBW,NCAT,PM2_5,4.940271672832287e-05
2018,July,San Bernardino (SC),LDA,Dsl,RUNEX,DSL,CO,0.03258286560117987
2018,July,San Bernardino (SC),LDA,Dsl,RUNEX,DSL,NOx,0.017679319248532378
2018,July,San Bernardino (SC),LDA,Dsl,RUNEX,DSL,SOx,0.00029597824174109157
2018,July,San Bernardino (SC),LDA,Dsl,RUNEX,DSL,PM,0.0017352550373951113
2018,July,San Bernardino (SC),LDA,Dsl,RUNEX,DSL,TOG,0.003246999684471198
2018,July,San Bernardino (SC),LDA,Dsl,RUNEX,DSL,PM10,0.0017248435071707403
2018,July,San Bernardino (SC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0016502275405627508
2018,July,San Bernardino (SC),LDA,Dsl,PMTW,DSL,PM,0.001127727796535563
2018,July,San Bernardino (SC),LDA,Dsl,PMTW,DSL,PM10,0.001127727796535563
2018,July,San Bernardino (SC),LDA,Dsl,PMTW,DSL,PM2_5,0.00028193194913389075
2018,July,San Bernardino (SC),LDA,Dsl,PMBW,DSL,PM,0.005286224046260453
2018,July,San Bernardino (SC),LDA,Dsl,PMBW,DSL,PM10,0.005180499565335246
2018,July,San Bernardino (SC),LDA,Dsl,PMBW,DSL,PM2_5,0.002220214099429391
2018,July,San Bernardino (SC),LDA,Elec,HOTSOAK,CAT,TOG,8.558777375655903e-05
2018,July,San Bernardino (SC),LDA,Elec,RESTLOSS,CAT,TOG,8.215972534773645e-05
2018,July,San Bernardino (SC),LDA,Elec,DIURN,CAT,TOG,0.00021069256388719302
2018,July,San Bernardino (SC),LDA,Elec,PMTW,CAT,PM,0.001053454336180786
2018,July,San Bernardino (SC),LDA,Elec,PMTW,CAT,PM10,0.001053454336180786
2018,July,San Bernardino (SC),LDA,Elec,PMTW,CAT,PM2_5,0.0002633635840451965
2018,July,San Bernardino (SC),LDA,Elec,PMBW,CAT,PM,0.004938067200847433
2018,July,San Bernardino (SC),LDA,Elec,PMBW,CAT,PM10,0.004839305856830484
2018,July,San Bernardino (SC),LDA,Elec,PMBW,CAT,PM2_5,0.002073988224355921
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,CAT,CO,5.513589886909288
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,CAT,NOx,0.39400553103499303
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,CAT,SOx,0.007456300630364729
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,CAT,PM,0.00662413995869643
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,CAT,TOG,0.18573414001657643
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,CAT,PM10,0.005923286023482436
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,CAT,PM2_5,0.0054468932779700085
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,NCAT,CO,0.08810614155267542
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,NCAT,NOx,0.005739434031349315
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,NCAT,SOx,7.919585193391119e-06
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,NCAT,PM,7.817446654520232e-05
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,NCAT,TOG,0.007271720446368877
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,NCAT,PM10,7.38207619421104e-05
2018,July,San Bernardino (SC),LDT1,Gas,RUNEX,NCAT,PM2_5,6.983575390040186e-05
2018,July,San Bernardino (SC),LDT1,Gas,STREX,CAT,CO,0.5836272687541093
2018,July,San Bernardino (SC),LDT1,Gas,STREX,CAT,NOx,0.09804607951606127
2018,July,San Bernardino (SC),LDT1,Gas,STREX,CAT,SOx,0.0001790956643489821
2018,July,San Bernardino (SC),LDT1,Gas,STREX,CAT,PM,0.001043539308483834
2018,July,San Bernardino (SC),LDT1,Gas,STREX,CAT,TOG,0.15505034538869658
2018,July,San Bernardino (SC),LDT1,Gas,STREX,CAT,PM10,0.0009331988613659966
2018,July,San Bernardino (SC),LDT1,Gas,STREX,CAT,PM2_5,0.0008581788393384535
2018,July,San Bernardino (SC),LDT1,Gas,STREX,NCAT,CO,0.007482780386996303
2018,July,San Bernardino (SC),LDT1,Gas,STREX,NCAT,NOx,0.00031656937360298866
2018,July,San Bernardino (SC),LDT1,Gas,STREX,NCAT,SOx,5.623169614341107e-07
2018,July,San Bernardino (SC),LDT1,Gas,STREX,NCAT,PM,1.579567345776251e-05
2018,July,San Bernardino (SC),LDT1,Gas,STREX,NCAT,TOG,0.0009708028182204973
2018,July,San Bernardino (SC),LDT1,Gas,STREX,NCAT,PM10,1.4904922611460644e-05
2018,July,San Bernardino (SC),LDT1,Gas,STREX,NCAT,PM2_5,1.409510479602692e-05
2018,July,San Bernardino (SC),LDT1,Gas,HOTSOAK,CAT,TOG,0.10487843556553021
2018,July,San Bernardino (SC),LDT1,Gas,HOTSOAK,NCAT,TOG,0.0009237316677614291
2018,July,San Bernardino (SC),LDT1,Gas,RUNLOSS,CAT,TOG,0.2939156655485503
2018,July,San Bernardino (SC),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0010696798462739262
2018,July,San Bernardino (SC),LDT1,Gas,RESTLOSS,CAT,TOG,0.07229297955325936
2018,July,San Bernardino (SC),LDT1,Gas,RESTLOSS,NCAT,TOG,0.0010168901963143982
2018,July,San Bernardino (SC),LDT1,Gas,DIURN,CAT,TOG,0.13683844657844071
2018,July,San Bernardino (SC),LDT1,Gas,DIURN,NCAT,TOG,0.001662855081010213
2018,July,San Bernardino (SC),LDT1,Gas,PMTW,CAT,PM,0.016377437818720825
2018,July,San Bernardino (SC),LDT1,Gas,PMTW,CAT,PM10,0.016377437818720825
2018,July,San Bernardino (SC),LDT1,Gas,PMTW,CAT,PM2_5,0.004094359454680206
2018,July,San Bernardino (SC),LDT1,Gas,PMTW,NCAT,PM,1.0417558154000668e-05
2018,July,San Bernardino (SC),LDT1,Gas,PMTW,NCAT,PM10,1.0417558154000668e-05
2018,July,San Bernardino (SC),LDT1,Gas,PMTW,NCAT,PM2_5,2.604389538500167e-06
2018,July,San Bernardino (SC),LDT1,Gas,PMBW,CAT,PM,0.07676923977525389
2018,July,San Bernardino (SC),LDT1,Gas,PMBW,CAT,PM10,0.07523385497974885
2018,July,San Bernardino (SC),LDT1,Gas,PMBW,CAT,PM2_5,0.032243080705606615
2018,July,San Bernardino (SC),LDT1,Gas,PMBW,NCAT,PM,4.88323038468781e-05
2018,July,San Bernardino (SC),LDT1,Gas,PMBW,NCAT,PM10,4.7855657769940554e-05
2018,July,San Bernardino (SC),LDT1,Gas,PMBW,NCAT,PM2_5,2.050956761568879e-05
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,CAT,CO,10.998933063752883
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,CAT,NOx,0.8723760621686135
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,CAT,SOx,0.027340765257170226
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,CAT,PM,0.012423870671750591
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,CAT,TOG,0.3156414633772088
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,CAT,PM10,0.011109368457790966
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,CAT,PM2_5,0.010215864488273965
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,NCAT,CO,0.20794332602071783
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,NCAT,NOx,0.01408782507000049
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,NCAT,SOx,1.8490069427881288e-05
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,NCAT,PM,0.00018209812285550897
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,NCAT,TOG,0.0182479092416539
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,NCAT,PM10,0.00017256821881821163
2018,July,San Bernardino (SC),LDT2,Gas,RUNEX,NCAT,PM2_5,0.0001635411825635229
2018,July,San Bernardino (SC),LDT2,Gas,STREX,CAT,CO,2.1602326835923833
2018,July,San Bernardino (SC),LDT2,Gas,STREX,CAT,NOx,0.3333754653292532
2018,July,San Bernardino (SC),LDT2,Gas,STREX,CAT,SOx,0.0006390586510272902
2018,July,San Bernardino (SC),LDT2,Gas,STREX,CAT,PM,0.0019517836505943387
2018,July,San Bernardino (SC),LDT2,Gas,STREX,CAT,TOG,0.3656085294862099
2018,July,San Bernardino (SC),LDT2,Gas,STREX,CAT,PM10,0.0017454041939816507
2018,July,San Bernardino (SC),LDT2,Gas,STREX,CAT,PM2_5,0.0016050887426285376
2018,July,San Bernardino (SC),LDT2,Gas,STREX,NCAT,CO,0.017179133061277954
2018,July,San Bernardino (SC),LDT2,Gas,STREX,NCAT,NOx,0.0007819685129844988
2018,July,San Bernardino (SC),LDT2,Gas,STREX,NCAT,SOx,1.334942699939708e-06
2018,July,San Bernardino (SC),LDT2,Gas,STREX,NCAT,PM,3.669143187841087e-05
2018,July,San Bernardino (SC),LDT2,Gas,STREX,NCAT,TOG,0.002396095245910044
2018,July,San Bernardino (SC),LDT2,Gas,STREX,NCAT,PM10,3.475085568484248e-05
2018,July,San Bernardino (SC),LDT2,Gas,STREX,NCAT,PM2_5,3.292346119251047e-05
2018,July,San Bernardino (SC),LDT2,Gas,HOTSOAK,CAT,TOG,0.15990429860060432
2018,July,San Bernardino (SC),LDT2,Gas,HOTSOAK,NCAT,TOG,0.0022649673547314726
2018,July,San Bernardino (SC),LDT2,Gas,RUNLOSS,CAT,TOG,0.4267709153691263
2018,July,San Bernardino (SC),LDT2,Gas,RUNLOSS,NCAT,TOG,0.0025723830526845747
2018,July,San Bernardino (SC),LDT2,Gas,RESTLOSS,CAT,TOG,0.11935956542396663
2018,July,San Bernardino (SC),LDT2,Gas,RESTLOSS,NCAT,TOG,0.0024260281104919314
2018,July,San Bernardino (SC),LDT2,Gas,DIURN,CAT,TOG,0.19116151774597998
2018,July,San Bernardino (SC),LDT2,Gas,DIURN,NCAT,TOG,0.003958707486872745
2018,July,San Bernardino (SC),LDT2,Gas,PMTW,CAT,PM,0.0546533597230368
2018,July,San Bernardino (SC),LDT2,Gas,PMTW,CAT,PM10,0.0546533597230368
2018,July,San Bernardino (SC),LDT2,Gas,PMTW,CAT,PM2_5,0.0136633399307592
2018,July,San Bernardino (SC),LDT2,Gas,PMTW,NCAT,PM,2.4249841552440704e-05
2018,July,San Bernardino (SC),LDT2,Gas,PMTW,NCAT,PM10,2.4249841552440704e-05
2018,July,San Bernardino (SC),LDT2,Gas,PMTW,NCAT,PM2_5,6.062460388110176e-06
2018,July,San Bernardino (SC),LDT2,Gas,PMBW,CAT,PM,0.2561876237017349
2018,July,San Bernardino (SC),LDT2,Gas,PMBW,CAT,PM10,0.2510638712277001
