calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,CAT,CO,25.610312452702978
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,CAT,NOx,1.5893288198700086
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,CAT,SOx,0.07430682214403689
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,CAT,PM,0.04253938882398205
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,CAT,TOG,0.7049727995788599
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,CAT,PM10,0.03803264564415182
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,CAT,PM2_5,0.034970826021874866
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,NCAT,CO,0.1990361239217749
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,NCAT,NOx,0.01709204985943738
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,NCAT,SOx,2.0567763178574696e-05
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,NCAT,PM,0.00020389885854701722
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,NCAT,TOG,0.01960244140867808
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,NCAT,PM10,0.0001935147675517996
2018,July,Santa Clara (SF),LDA,Gas,RUNEX,NCAT,PM2_5,0.00018352684472598818
2018,July,Santa Clara (SF),LDA,Gas,STREX,CAT,CO,7.084116393113238
2018,July,Santa Clara (SF),LDA,Gas,STREX,CAT,NOx,0.7767415950113119
2018,July,Santa Clara (SF),LDA,Gas,STREX,CAT,SOx,0.0018897548155142802
2018,July,Santa Clara (SF),LDA,Gas,STREX,CAT,PM,0.007334118824991333
2018,July,Santa Clara (SF),LDA,Gas,STREX,CAT,TOG,1.1548649060861091
2018,July,Santa Clara (SF),LDA,Gas,STREX,CAT,PM10,0.006557813442154415
2018,July,Santa Clara (SF),LDA,Gas,STREX,CAT,PM2_5,0.006030221274115335
2018,July,Santa Clara (SF),LDA,Gas,STREX,NCAT,CO,0.03774186180822172
2018,July,Santa Clara (SF),LDA,Gas,STREX,NCAT,NOx,0.0020376084280347203
2018,July,Santa Clara (SF),LDA,Gas,STREX,NCAT,SOx,3.318676191327065e-06
2018,July,Santa Clara (SF),LDA,Gas,STREX,NCAT,PM,9.192122607883387e-05
2018,July,Santa Clara (SF),LDA,Gas,STREX,NCAT,TOG,0.006134918917082802
2018,July,Santa Clara (SF),LDA,Gas,STREX,NCAT,PM10,8.722508564960586e-05
2018,July,Santa Clara (SF),LDA,Gas,STREX,NCAT,PM2_5,8.271616434183428e-05
2018,July,Santa Clara (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.4413029652979633
2018,July,Santa Clara (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.004967447920453907
2018,July,Santa Clara (SF),LDA,Gas,RUNLOSS,CAT,TOG,0.7718854887245558
2018,July,Santa Clara (SF),LDA,Gas,RUNLOSS,NCAT,TOG,0.017019929898716344
2018,July,Santa Clara (SF),LDA,Gas,RESTLOSS,CAT,TOG,0.24198153729562255
2018,July,Santa Clara (SF),LDA,Gas,RESTLOSS,NCAT,TOG,0.004198036894013318
2018,July,Santa Clara (SF),LDA,Gas,DIURN,CAT,TOG,0.2726616158822578
2018,July,Santa Clara (SF),LDA,Gas,DIURN,NCAT,TOG,0.004733811948091734
2018,July,Santa Clara (SF),LDA,Gas,PMTW,CAT,PM,0.20356483771339753
2018,July,Santa Clara (SF),LDA,Gas,PMTW,CAT,PM10,0.20356483771339753
2018,July,Santa Clara (SF),LDA,Gas,PMTW,CAT,PM2_5,0.050891209428349383
2018,July,Santa Clara (SF),LDA,Gas,PMTW,NCAT,PM,2.7816353703713273e-05
2018,July,Santa Clara (SF),LDA,Gas,PMTW,NCAT,PM10,2.7816353703713273e-05
2018,July,Santa Clara (SF),LDA,Gas,PMTW,NCAT,PM2_5,6.954088425928318e-06
2018,July,Santa Clara (SF),LDA,Gas,PMBW,CAT,PM,0.9542101767815504
2018,July,Santa Clara (SF),LDA,Gas,PMBW,CAT,PM10,0.9351259732459195
2018,July,Santa Clara (SF),LDA,Gas,PMBW,CAT,PM2_5,0.4007682742482513
2018,July,Santa Clara (SF),LDA,Gas,PMBW,NCAT,PM,0.00013038915798615602
2018,July,Santa Clara (SF),LDA,Gas,PMBW,NCAT,PM10,0.00012778137482643285
2018,July,Santa Clara (SF),LDA,Gas,PMBW,NCAT,PM2_5,5.476344635418548e-05
2018,July,Santa Clara (SF),LDA,Dsl,RUNEX,DSL,CO,0.05157927191722467
2018,July,Santa Clara (SF),LDA,Dsl,RUNEX,DSL,NOx,0.031710188451057233
2018,July,Santa Clara (SF),LDA,Dsl,RUNEX,DSL,SOx,0.00043904789853342125
2018,July,Santa Clara (SF),LDA,Dsl,RUNEX,DSL,PM,0.0026623220358602054
2018,July,Santa Clara (SF),LDA,Dsl,RUNEX,DSL,TOG,0.005051577513824479
2018,July,Santa Clara (SF),LDA,Dsl,RUNEX,DSL,PM10,0.002646348103645046
2018,July,Santa Clara (SF),LDA,Dsl,RUNEX,DSL,PM2_5,0.0025318682561030555
2018,July,Santa Clara (SF),LDA,Dsl,PMTW,DSL,PM,0.001675514904449794
2018,July,Santa Clara (SF),LDA,Dsl,PMTW,DSL,PM10,0.001675514904449794
2018,July,Santa Clara (SF),LDA,Dsl,PMTW,DSL,PM2_5,0.0004188787261124485
2018,July,Santa Clara (SF),LDA,Dsl,PMBW,DSL,PM,0.007853976114608406
2018,July,Santa Clara (SF),LDA,Dsl,PMBW,DSL,PM10,0.007696896592316235
2018,July,Santa Clara (SF),LDA,Dsl,PMBW,DSL,PM2_5,0.0032986699681355294
2018,July,Santa Clara (SF),LDA,Elec,HOTSOAK,CAT,TOG,0.00048809892443750063
2018,July,Santa Clara (SF),LDA,Elec,RESTLOSS,CAT,TOG,0.00021363299380111305
2018,July,Santa Clara (SF),LDA,Elec,DIURN,CAT,TOG,0.0005455655416885582
2018,July,Santa Clara (SF),LDA,Elec,PMTW,CAT,PM,0.005753863870029383
2018,July,Santa Clara (SF),LDA,Elec,PMTW,CAT,PM10,0.005753863870029383
2018,July,Santa Clara (SF),LDA,Elec,PMTW,CAT,PM2_5,0.0014384659675073458
2018,July,Santa Clara (SF),LDA,Elec,PMBW,CAT,PM,0.02697123689076271
2018,July,Santa Clara (SF),LDA,Elec,PMBW,CAT,PM10,0.026431812152947452
2018,July,Santa Clara (SF),LDA,Elec,PMBW,CAT,PM2_5,0.011327919494120342
2018,July,Santa Clara (SF),LDT1,Gas,RUNEX,CAT,CO,4.185215985432201
2018,July,Santa Clara (SF),LDT1,Gas,RUNEX,CAT,NOx,0.33148529914261254
2018,July,Santa Clara (SF),LDT1,Gas,RUNEX,CAT,SOx,0.007748051497656459
2018,July,Santa Clara (SF),LDT1,Gas,RUNEX,CAT,PM,0.006149367499631721
2018,July,Santa Clara (SF),LDT1,Gas,RUNEX,CAT,TOG,0.1382059575480187
