calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Sonoma (NC),LDA,Gas,RUNEX,CAT,CO,1.543188888012308
2018,July,Sonoma (NC),LDA,Gas,RUNEX,CAT,NOx,0.11263668493909527
2018,July,Sonoma (NC),LDA,Gas,RUNEX,CAT,SOx,0.0030151624832850327
2018,July,Sonoma (NC),LDA,Gas,RUNEX,CAT,PM,0.0022595329117663368
2018,July,Sonoma (NC),LDA,Gas,RUNEX,CAT,TOG,0.05170936731667683
2018,July,Sonoma (NC),LDA,Gas,RUNEX,CAT,PM10,0.0020206922868792475
2018,July,Sonoma (NC),LDA,Gas,RUNEX,CAT,PM2_5,0.001858285860296007
2018,July,Sonoma (NC),LDA,Gas,RUNEX,NCAT,CO,0.02142999832898966
2018,July,Sonoma (NC),LDA,Gas,RUNEX,NCAT,NOx,0.0019390877916974434
2018,July,Sonoma (NC),LDA,Gas,RUNEX,NCAT,SOx,2.5080988952199297e-06
2018,July,Sonoma (NC),LDA,Gas,RUNEX,NCAT,PM,2.5298056587082738e-05
2018,July,Sonoma (NC),LDA,Gas,RUNEX,NCAT,TOG,0.0020272391431184105
2018,July,Sonoma (NC),LDA,Gas,RUNEX,NCAT,PM10,2.3641568620046776e-05
2018,July,Sonoma (NC),LDA,Gas,RUNEX,NCAT,PM2_5,2.2248511066276136e-05
2018,July,Sonoma (NC),LDA,Gas,STREX,CAT,CO,0.3237761850321335
2018,July,Sonoma (NC),LDA,Gas,STREX,CAT,NOx,0.03687320269815737
2018,July,Sonoma (NC),LDA,Gas,STREX,CAT,SOx,7.60758468041856e-05
2018,July,Sonoma (NC),LDA,Gas,STREX,CAT,PM,0.00036134268048419136
2018,July,Sonoma (NC),LDA,Gas,STREX,CAT,TOG,0.06300937882517087
2018,July,Sonoma (NC),LDA,Gas,STREX,CAT,PM10,0.00032320845083498015
2018,July,Sonoma (NC),LDA,Gas,STREX,CAT,PM2_5,0.0002972620262804048
2018,July,Sonoma (NC),LDA,Gas,STREX,NCAT,CO,0.002874781544690007
2018,July,Sonoma (NC),LDA,Gas,STREX,NCAT,NOx,0.00012084923966269681
2018,July,Sonoma (NC),LDA,Gas,STREX,NCAT,SOx,2.1658834290035778e-07
2018,July,Sonoma (NC),LDA,Gas,STREX,NCAT,PM,6.3755787053442915e-06
2018,July,Sonoma (NC),LDA,Gas,STREX,NCAT,TOG,0.0004374114256577996
2018,July,Sonoma (NC),LDA,Gas,STREX,NCAT,PM10,5.958836653723061e-06
2018,July,Sonoma (NC),LDA,Gas,STREX,NCAT,PM2_5,5.608062750401964e-06
2018,July,Sonoma (NC),LDA,Gas,HOTSOAK,CAT,TOG,0.028633041879672055
2018,July,Sonoma (NC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0003343174184781976
2018,July,Sonoma (NC),LDA,Gas,RUNLOSS,CAT,TOG,0.04759553798916459
2018,July,Sonoma (NC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0016201032391529697
2018,July,Sonoma (NC),LDA,Gas,RESTLOSS,CAT,TOG,0.01047110983215044
2018,July,Sonoma (NC),LDA,Gas,RESTLOSS,NCAT,TOG,0.00016692185342115227
2018,July,Sonoma (NC),LDA,Gas,DIURN,CAT,TOG,0.017375923243405186
2018,July,Sonoma (NC),LDA,Gas,DIURN,NCAT,TOG,0.000285047940770103
2018,July,Sonoma (NC),LDA,Gas,PMTW,CAT,PM,0.008159614281158302
2018,July,Sonoma (NC),LDA,Gas,PMTW,CAT,PM10,0.008159614281158302
2018,July,Sonoma (NC),LDA,Gas,PMTW,CAT,PM2_5,0.0020399035702895756
2018,July,Sonoma (NC),LDA,Gas,PMTW,NCAT,PM,3.405255553169188e-06
2018,July,Sonoma (NC),LDA,Gas,PMTW,NCAT,PM10,3.405255553169188e-06
2018,July,Sonoma (NC),LDA,Gas,PMTW,NCAT,PM2_5,8.51313888292297e-07
2018,July,Sonoma (NC),LDA,Gas,PMBW,CAT,PM,0.03824819194292951
2018,July,Sonoma (NC),LDA,Gas,PMBW,CAT,PM10,0.037483228104070926
2018,July,Sonoma (NC),LDA,Gas,PMBW,CAT,PM2_5,0.016064240616030408
2018,July,Sonoma (NC),LDA,Gas,PMBW,NCAT,PM,1.596213540548056e-05
2018,July,Sonoma (NC),LDA,Gas,PMBW,NCAT,PM10,1.564289269737095e-05
2018,July,Sonoma (NC),LDA,Gas,PMBW,NCAT,PM2_5,6.704096870301835e-06
2018,July,Sonoma (NC),LDA,Dsl,RUNEX,DSL,CO,0.00795572404794422
2018,July,Sonoma (NC),LDA,Dsl,RUNEX,DSL,NOx,0.007100124298574823
2018,July,Sonoma (NC),LDA,Dsl,RUNEX,DSL,SOx,4.4460049031588974e-05
2018,July,Sonoma (NC),LDA,Dsl,RUNEX,DSL,PM,0.0005496742523767845
2018,July,Sonoma (NC),LDA,Dsl,RUNEX,DSL,TOG,0.000942569595303575
2018,July,Sonoma (NC),LDA,Dsl,RUNEX,DSL,PM10,0.0005463762068625237
2018,July,Sonoma (NC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0005227402140103222
2018,July,Sonoma (NC),LDA,Dsl,PMTW,DSL,PM,0.00015737328804030137
2018,July,Sonoma (NC),LDA,Dsl,PMTW,DSL,PM10,0.00015737328804030137
2018,July,Sonoma (NC),LDA,Dsl,PMTW,DSL,PM2_5,3.934332201007534e-05
2018,July,Sonoma (NC),LDA,Dsl,PMBW,DSL,PM,0.0007376872876889133
2018,July,Sonoma (NC),LDA,Dsl,PMBW,DSL,PM10,0.0007229335419351349
2018,July,Sonoma (NC),LDA,Dsl,PMBW,DSL,PM2_5,0.0003098286608293435
2018,July,Sonoma (NC),LDA,Elec,HOTSOAK,CAT,TOG,8.61765286641203e-06
2018,July,Sonoma (NC),LDA,Elec,RESTLOSS,CAT,TOG,1.911274188196862e-06
2018,July,Sonoma (NC),LDA,Elec,DIURN,CAT,TOG,7.906102722332456e-06
2018,July,Sonoma (NC),LDA,Elec,PMTW,CAT,PM,0.00010967764168776251
2018,July,Sonoma (NC),LDA,Elec,PMTW,CAT,PM10,0.00010967764168776251
2018,July,Sonoma (NC),LDA,Elec,PMTW,CAT,PM2_5,2.7419410421940628e-05
2018,July,Sonoma (NC),LDA,Elec,PMBW,CAT,PM,0.000514113945411387
2018,July,Sonoma (NC),LDA,Elec,PMBW,CAT,PM10,0.0005038316665031595
2018,July,Sonoma (NC),LDA,Elec,PMBW,CAT,PM2_5,0.00021592785707278252
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,CAT,CO,0.5437509122729309
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,CAT,NOx,0.049605112423144346
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,CAT,SOx,0.0005398780083757683
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,CAT,PM,0.0006730296961889093
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,CAT,TOG,0.019971518454720272
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,CAT,PM10,0.000602019504494023
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,CAT,PM2_5,0.0005536996763808401
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,NCAT,CO,0.012554243812286398
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,NCAT,NOx,0.0010085739258726058
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,NCAT,SOx,1.3002723705682579e-06
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,NCAT,PM,1.3241353772412268e-05
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,NCAT,TOG,0.0011042524062673845
2018,July,Sonoma (NC),LDT1,Gas,RUNEX,NCAT,PM10,1.2393984874148145e-05
