calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Tehama (SV),LDA,Gas,RUNEX,CAT,CO,2.5367736476150853
2018,July,Tehama (SV),LDA,Gas,RUNEX,CAT,NOx,0.1422043763661311
2018,July,Tehama (SV),LDA,Gas,RUNEX,CAT,SOx,0.006298555407483429
2018,July,Tehama (SV),LDA,Gas,RUNEX,CAT,PM,0.0036911233023971895
2018,July,Tehama (SV),LDA,Gas,RUNEX,CAT,TOG,0.07431836070943969
2018,July,Tehama (SV),LDA,Gas,RUNEX,CAT,PM10,0.003300175939498171
2018,July,Tehama (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.0030345453274023253
2018,July,Tehama (SV),LDA,Gas,RUNEX,NCAT,CO,0.022444704613958952
2018,July,Tehama (SV),LDA,Gas,RUNEX,NCAT,NOx,0.0015732729250077736
2018,July,Tehama (SV),LDA,Gas,RUNEX,NCAT,SOx,2.1122858132126813e-06
2018,July,Tehama (SV),LDA,Gas,RUNEX,NCAT,PM,2.0145203851640833e-05
2018,July,Tehama (SV),LDA,Gas,RUNEX,NCAT,TOG,0.0019667704440182194
2018,July,Tehama (SV),LDA,Gas,RUNEX,NCAT,PM10,1.9047833746341565e-05
2018,July,Tehama (SV),LDA,Gas,RUNEX,NCAT,PM2_5,1.8031179100117347e-05
2018,July,Tehama (SV),LDA,Gas,STREX,CAT,CO,0.4765080404749966
2018,July,Tehama (SV),LDA,Gas,STREX,CAT,NOx,0.05657596124737429
2018,July,Tehama (SV),LDA,Gas,STREX,CAT,SOx,0.0001316725910420001
2018,July,Tehama (SV),LDA,Gas,STREX,CAT,PM,0.0005431043209262416
2018,July,Tehama (SV),LDA,Gas,STREX,CAT,TOG,0.08113565132863154
2018,July,Tehama (SV),LDA,Gas,STREX,CAT,PM10,0.00048567512954709926
2018,July,Tehama (SV),LDA,Gas,STREX,CAT,PM2_5,0.000446630070170158
2018,July,Tehama (SV),LDA,Gas,STREX,NCAT,CO,0.003915156709760771
