calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Trinity (NC),LDA,Gas,RUNEX,CAT,CO,1.0082009595118997
2018,July,Trinity (NC),LDA,Gas,RUNEX,CAT,NOx,0.05927067790728602
2018,July,Trinity (NC),LDA,Gas,RUNEX,CAT,SOx,0.0023388306985055174
2018,July,Trinity (NC),LDA,Gas,RUNEX,CAT,PM,0.0020123595753301126
2018,July,Trinity (NC),LDA,Gas,RUNEX,CAT,TOG,0.03953517909941093
2018,July,Trinity (NC),LDA,Gas,RUNEX,CAT,PM10,0.0017993492390437611
2018,July,Trinity (NC),LDA,Gas,RUNEX,CAT,PM2_5,0.0016545846302701704
2018,July,Trinity (NC),LDA,Gas,RUNEX,NCAT,CO,0.01853202802751014
2018,July,Trinity (NC),LDA,Gas,RUNEX,NCAT,NOx,0.0012735057719511088
2018,July,Trinity (NC),LDA,Gas,RUNEX,NCAT,SOx,1.951297932308194e-06
2018,July,Trinity (NC),LDA,Gas,RUNEX,NCAT,PM,2.17156007360303e-05
2018,July,Trinity (NC),LDA,Gas,RUNEX,NCAT,TOG,0.0020858349860276874
2018,July,Trinity (NC),LDA,Gas,RUNEX,NCAT,PM10,2.056891360868566e-05
2018,July,Trinity (NC),LDA,Gas,RUNEX,NCAT,PM2_5,1.948814652612268e-05
2018,July,Trinity (NC),LDA,Gas,STREX,CAT,CO,0.17490996837523723
2018,July,Trinity (NC),LDA,Gas,STREX,CAT,NOx,0.019726695899569248
2018,July,Trinity (NC),LDA,Gas,STREX,CAT,SOx,4.6424820880292046e-05
2018,July,Trinity (NC),LDA,Gas,STREX,CAT,PM,0.00020391326937108833
2018,July,Trinity (NC),LDA,Gas,STREX,CAT,TOG,0.030831991650611557
2018,July,Trinity (NC),LDA,Gas,STREX,CAT,PM10,0.00018236783620329244
2018,July,Trinity (NC),LDA,Gas,STREX,CAT,PM2_5,0.00016771507267118762
2018,July,Trinity (NC),LDA,Gas,STREX,NCAT,CO,0.0020628125507573267
2018,July,Trinity (NC),LDA,Gas,STREX,NCAT,NOx,0.00010536709633031141
2018,July,Trinity (NC),LDA,Gas,STREX,NCAT,SOx,1.7669046962683674e-07
2018,July,Trinity (NC),LDA,Gas,STREX,NCAT,PM,4.934812174246831e-06
2018,July,Trinity (NC),LDA,Gas,STREX,NCAT,TOG,0.0003246647001202455
2018,July,Trinity (NC),LDA,Gas,STREX,NCAT,PM10,4.672981113911689e-06
2018,July,Trinity (NC),LDA,Gas,STREX,NCAT,PM2_5,4.426857515631301e-06
2018,July,Trinity (NC),LDA,Gas,HOTSOAK,CAT,TOG,0.01606198131441479
2018,July,Trinity (NC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0003111429467598165
2018,July,Trinity (NC),LDA,Gas,RUNLOSS,CAT,TOG,0.025911510994391852
2018,July,Trinity (NC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0013443304351952762
2018,July,Trinity (NC),LDA,Gas,RESTLOSS,CAT,TOG,0.007607856299164961
2018,July,Trinity (NC),LDA,Gas,RESTLOSS,NCAT,TOG,0.00021243866562213943
2018,July,Trinity (NC),LDA,Gas,DIURN,CAT,TOG,0.014654639295687503
2018,July,Trinity (NC),LDA,Gas,DIURN,NCAT,TOG,0.00040320670087558037
2018,July,Trinity (NC),LDA,Gas,PMTW,CAT,PM,0.005300955893269173
2018,July,Trinity (NC),LDA,Gas,PMTW,CAT,PM10,0.005300955893269173
2018,July,Trinity (NC),LDA,Gas,PMTW,CAT,PM2_5,0.0013252389733172931
2018,July,Trinity (NC),LDA,Gas,PMTW,NCAT,PM,2.226246569543228e-06
2018,July,Trinity (NC),LDA,Gas,PMTW,NCAT,PM10,2.226246569543228e-06
2018,July,Trinity (NC),LDA,Gas,PMTW,NCAT,PM2_5,5.56561642385807e-07
2018,July,Trinity (NC),LDA,Gas,PMBW,CAT,PM,0.02484823074969924
2018,July,Trinity (NC),LDA,Gas,PMBW,CAT,PM10,0.024351266134705268
2018,July,Trinity (NC),LDA,Gas,PMBW,CAT,PM2_5,0.010436256914873683
2018,July,Trinity (NC),LDA,Gas,PMBW,NCAT,PM,1.0435530794733891e-05
2018,July,Trinity (NC),LDA,Gas,PMBW,NCAT,PM10,1.0226820178839202e-05
2018,July,Trinity (NC),LDA,Gas,PMBW,NCAT,PM2_5,4.382922933788231e-06
2018,July,Trinity (NC),LDA,Dsl,RUNEX,DSL,CO,0.00450878132743566
2018,July,Trinity (NC),LDA,Dsl,RUNEX,DSL,NOx,0.0020754344401918466
2018,July,Trinity (NC),LDA,Dsl,RUNEX,DSL,SOx,1.8281083128022583e-05
2018,July,Trinity (NC),LDA,Dsl,RUNEX,DSL,PM,0.0002281947585684585
2018,July,Trinity (NC),LDA,Dsl,RUNEX,DSL,TOG,0.0004909748174845947
2018,July,Trinity (NC),LDA,Dsl,RUNEX,DSL,PM10,0.0002268255900170478
2018,July,Trinity (NC),LDA,Dsl,RUNEX,DSL,PM2_5,0.00021701321539860372
2018,July,Trinity (NC),LDA,Dsl,PMTW,DSL,PM,5.598227006076156e-05
2018,July,Trinity (NC),LDA,Dsl,PMTW,DSL,PM10,5.598227006076156e-05
2018,July,Trinity (NC),LDA,Dsl,PMTW,DSL,PM2_5,1.399556751519039e-05
2018,July,Trinity (NC),LDA,Dsl,PMBW,DSL,PM,0.0002624168909098199
2018,July,Trinity (NC),LDA,Dsl,PMBW,DSL,PM10,0.00025716855309162345
2018,July,Trinity (NC),LDA,Dsl,PMBW,DSL,PM2_5,0.00011021509418212435
2018,July,Trinity (NC),LDA,Elec,HOTSOAK,CAT,TOG,2.5590810226660544e-06
2018,July,Trinity (NC),LDA,Elec,RESTLOSS,CAT,TOG,1.356530241799663e-06
2018,July,Trinity (NC),LDA,Elec,DIURN,CAT,TOG,4.67030226092461e-06
2018,July,Trinity (NC),LDA,Elec,PMTW,CAT,PM,3.3264605523808956e-05
2018,July,Trinity (NC),LDA,Elec,PMTW,CAT,PM10,3.3264605523808956e-05
2018,July,Trinity (NC),LDA,Elec,PMTW,CAT,PM2_5,8.316151380952239e-06
2018,July,Trinity (NC),LDA,Elec,PMBW,CAT,PM,0.00015592783839285442
2018,July,Trinity (NC),LDA,Elec,PMBW,CAT,PM10,0.00015280928162499742
