calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,CAT,CO,1.4302518274378404
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,CAT,NOx,0.0859359534782208
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,CAT,SOx,0.0026000185286825634
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,CAT,PM,0.0018755908863095523
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,CAT,TOG,0.04915874150656898
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,CAT,PM10,0.0016771548914417058
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,CAT,PM2_5,0.0015422697490343872
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,NCAT,CO,0.018336273588479873
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,NCAT,NOx,0.0014439946102138483
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,NCAT,SOx,2.0083343160737222e-06
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,NCAT,PM,2.0185110872999374e-05
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,NCAT,TOG,0.0018186539744768537
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,NCAT,PM10,1.9021252467985408e-05
2018,July,Tuolumne (MC),LDA,Gas,RUNEX,NCAT,PM2_5,1.7975706182602154e-05
2018,July,Tuolumne (MC),LDA,Gas,STREX,CAT,CO,0.21954414251052656
2018,July,Tuolumne (MC),LDA,Gas,STREX,CAT,NOx,0.028412016990226552
2018,July,Tuolumne (MC),LDA,Gas,STREX,CAT,SOx,5.8932337769648e-05
2018,July,Tuolumne (MC),LDA,Gas,STREX,CAT,PM,0.0002954748949247366
2018,July,Tuolumne (MC),LDA,Gas,STREX,CAT,TOG,0.045766104193663844
2018,July,Tuolumne (MC),LDA,Gas,STREX,CAT,PM10,0.00026431438305801026
2018,July,Tuolumne (MC),LDA,Gas,STREX,CAT,PM2_5,0.00024310698399459784
2018,July,Tuolumne (MC),LDA,Gas,STREX,NCAT,CO,0.00356562686972555
2018,July,Tuolumne (MC),LDA,Gas,STREX,NCAT,NOx,0.00016981292330009098
2018,July,Tuolumne (MC),LDA,Gas,STREX,NCAT,SOx,2.9685263506031943e-07
2018,July,Tuolumne (MC),LDA,Gas,STREX,NCAT,PM,8.546830419071417e-06
2018,July,Tuolumne (MC),LDA,Gas,STREX,NCAT,TOG,0.0005236969524354618
2018,July,Tuolumne (MC),LDA,Gas,STREX,NCAT,PM10,8.053677037431895e-06
2018,July,Tuolumne (MC),LDA,Gas,STREX,NCAT,PM2_5,7.61082312782438e-06
2018,July,Tuolumne (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.02951775436711575
2018,July,Tuolumne (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0005848373478512976
2018,July,Tuolumne (MC),LDA,Gas,RUNLOSS,CAT,TOG,0.042705642287822414
2018,July,Tuolumne (MC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0023008896333812294
2018,July,Tuolumne (MC),LDA,Gas,RESTLOSS,CAT,TOG,0.023066392057320438
2018,July,Tuolumne (MC),LDA,Gas,RESTLOSS,NCAT,TOG,0.0006585070932274237
2018,July,Tuolumne (MC),LDA,Gas,DIURN,CAT,TOG,0.02390109555663338
2018,July,Tuolumne (MC),LDA,Gas,DIURN,NCAT,TOG,0.0006565233899038228
2018,July,Tuolumne (MC),LDA,Gas,PMTW,CAT,PM,0.006239187507612754
2018,July,Tuolumne (MC),LDA,Gas,PMTW,CAT,PM10,0.006239187507612754
2018,July,Tuolumne (MC),LDA,Gas,PMTW,CAT,PM2_5,0.0015597968769031885
2018,July,Tuolumne (MC),LDA,Gas,PMTW,NCAT,PM,2.5409011744212463e-06
2018,July,Tuolumne (MC),LDA,Gas,PMTW,NCAT,PM10,2.5409011744212463e-06
2018,July,Tuolumne (MC),LDA,Gas,PMTW,NCAT,PM2_5,6.352252936053116e-07
2018,July,Tuolumne (MC),LDA,Gas,PMBW,CAT,PM,0.02924619144193482
2018,July,Tuolumne (MC),LDA,Gas,PMBW,CAT,PM10,0.02866126761309609
2018,July,Tuolumne (MC),LDA,Gas,PMBW,CAT,PM2_5,0.012283400405612625
2018,July,Tuolumne (MC),LDA,Gas,PMBW,NCAT,PM,1.1910474255099586e-05
2018,July,Tuolumne (MC),LDA,Gas,PMBW,NCAT,PM10,1.1672264769997593e-05
2018,July,Tuolumne (MC),LDA,Gas,PMBW,NCAT,PM2_5,5.002399187141823e-06
2018,July,Tuolumne (MC),LDA,Dsl,RUNEX,DSL,CO,0.004327931897668293
2018,July,Tuolumne (MC),LDA,Dsl,RUNEX,DSL,NOx,0.0032446981218575885
2018,July,Tuolumne (MC),LDA,Dsl,RUNEX,DSL,SOx,2.0969921448793683e-05
2018,July,Tuolumne (MC),LDA,Dsl,RUNEX,DSL,PM,0.0002307667471525353
2018,July,Tuolumne (MC),LDA,Dsl,RUNEX,DSL,TOG,0.00045667718400145156
2018,July,Tuolumne (MC),LDA,Dsl,RUNEX,DSL,PM10,0.00022938214666961984
2018,July,Tuolumne (MC),LDA,Dsl,RUNEX,DSL,PM2_5,0.00021945917654206095
2018,July,Tuolumne (MC),LDA,Dsl,PMTW,DSL,PM,7.317400407777673e-05
2018,July,Tuolumne (MC),LDA,Dsl,PMTW,DSL,PM10,7.317400407777673e-05
2018,July,Tuolumne (MC),LDA,Dsl,PMTW,DSL,PM2_5,1.8293501019444183e-05
2018,July,Tuolumne (MC),LDA,Dsl,PMBW,DSL,PM,0.0003430031441145786
2018,July,Tuolumne (MC),LDA,Dsl,PMBW,DSL,PM10,0.00033614308123228686
2018,July,Tuolumne (MC),LDA,Dsl,PMBW,DSL,PM2_5,0.00014406132052812305
2018,July,Tuolumne (MC),LDA,Elec,HOTSOAK,CAT,TOG,2.801147292849992e-06
2018,July,Tuolumne (MC),LDA,Elec,RESTLOSS,CAT,TOG,3.0230138513956703e-06
2018,July,Tuolumne (MC),LDA,Elec,DIURN,CAT,TOG,4.879241179849514e-06
2018,July,Tuolumne (MC),LDA,Elec,PMTW,CAT,PM,3.8215876098654675e-05
2018,July,Tuolumne (MC),LDA,Elec,PMTW,CAT,PM10,3.8215876098654675e-05
2018,July,Tuolumne (MC),LDA,Elec,PMTW,CAT,PM2_5,9.553969024663669e-06
2018,July,Tuolumne (MC),LDA,Elec,PMBW,CAT,PM,0.00017913691921244362
2018,July,Tuolumne (MC),LDA,Elec,PMBW,CAT,PM10,0.0001755541808281948
2018,July,Tuolumne (MC),LDA,Elec,PMBW,CAT,PM2_5,7.523750606922639e-05
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,CAT,CO,0.7616091254055484
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,CAT,NOx,0.058272463610242034
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,CAT,SOx,0.0006466345761464993
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,CAT,PM,0.0009110026562688096
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,CAT,TOG,0.02957381349745437
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,CAT,PM10,0.0008150997791692592
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,CAT,PM2_5,0.0007497848315748954
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,NCAT,CO,0.028085924368581865
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,NCAT,NOx,0.0020850732236716595
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,NCAT,SOx,2.9299961567982997e-06
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,NCAT,PM,3.0230690163574487e-05
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,NCAT,TOG,0.0026740056156211093
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,NCAT,PM10,2.838828878225113e-05
2018,July,Tuolumne (MC),LDT1,Gas,RUNEX,NCAT,PM2_5,2.6780894758062317e-05
2018,July,Tuolumne (MC),LDT1,Gas,STREX,CAT,CO,0.07118114701807442
2018,July,Tuolumne (MC),LDT1,Gas,STREX,CAT,NOx,0.012030528479988352
2018,July,Tuolumne (MC),LDT1,Gas,STREX,CAT,SOx,1.6998490763832075e-05
2018,July,Tuolumne (MC),LDT1,Gas,STREX,CAT,PM,0.00014981317161595566
2018,July,Tuolumne (MC),LDT1,Gas,STREX,CAT,TOG,0.021049228986367595
2018,July,Tuolumne (MC),LDT1,Gas,STREX,CAT,PM10,0.00013416659209688377
2018,July,Tuolumne (MC),LDT1,Gas,STREX,CAT,PM2_5,0.00012347767458862656
2018,July,Tuolumne (MC),LDT1,Gas,STREX,NCAT,CO,0.005439215439101809
2018,July,Tuolumne (MC),LDT1,Gas,STREX,NCAT,NOx,0.00021326155964978844
2018,July,Tuolumne (MC),LDT1,Gas,STREX,NCAT,SOx,3.8882435594266046e-07
2018,July,Tuolumne (MC),LDT1,Gas,STREX,NCAT,PM,1.1079872838876864e-05
2018,July,Tuolumne (MC),LDT1,Gas,STREX,NCAT,TOG,0.0006919564285414604
2018,July,Tuolumne (MC),LDT1,Gas,STREX,NCAT,PM10,1.0414141125941466e-05
2018,July,Tuolumne (MC),LDT1,Gas,STREX,NCAT,PM2_5,9.828995872939272e-06
2018,July,Tuolumne (MC),LDT1,Gas,HOTSOAK,CAT,TOG,0.018389734045682483
2018,July,Tuolumne (MC),LDT1,Gas,HOTSOAK,NCAT,TOG,0.0006942765682866283
2018,July,Tuolumne (MC),LDT1,Gas,RUNLOSS,CAT,TOG,0.058946675548460656
2018,July,Tuolumne (MC),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0013271563752610177
2018,July,Tuolumne (MC),LDT1,Gas,RESTLOSS,CAT,TOG,0.015445338273268449
2018,July,Tuolumne (MC),LDT1,Gas,RESTLOSS,NCAT,TOG,0.0008143524312660371
2018,July,Tuolumne (MC),LDT1,Gas,DIURN,CAT,TOG,0.01741505047933415
2018,July,Tuolumne (MC),LDT1,Gas,DIURN,NCAT,TOG,0.0007878067981137624
2018,July,Tuolumne (MC),LDT1,Gas,PMTW,CAT,PM,0.0013195834082758216
2018,July,Tuolumne (MC),LDT1,Gas,PMTW,CAT,PM10,0.0013195834082758216
2018,July,Tuolumne (MC),LDT1,Gas,PMTW,CAT,PM2_5,0.0003298958520689554
2018,July,Tuolumne (MC),LDT1,Gas,PMTW,NCAT,PM,3.805237474981764e-06
2018,July,Tuolumne (MC),LDT1,Gas,PMTW,NCAT,PM10,3.805237474981764e-06
2018,July,Tuolumne (MC),LDT1,Gas,PMTW,NCAT,PM2_5,9.51309368745441e-07
2018,July,Tuolumne (MC),LDT1,Gas,PMBW,CAT,PM,0.006185547226292913
2018,July,Tuolumne (MC),LDT1,Gas,PMBW,CAT,PM10,0.006061836281767058
2018,July,Tuolumne (MC),LDT1,Gas,PMBW,CAT,PM2_5,0.002597929835043024
2018,July,Tuolumne (MC),LDT1,Gas,PMBW,NCAT,PM,1.783705066397702e-05
2018,July,Tuolumne (MC),LDT1,Gas,PMBW,NCAT,PM10,1.7480309650697487e-05
2018,July,Tuolumne (MC),LDT1,Gas,PMBW,NCAT,PM2_5,7.491561278870344e-06
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,CAT,CO,1.2159360753287591
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,CAT,NOx,0.11075946997551316
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,CAT,SOx,0.0020338792960319816
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,CAT,PM,0.0012762081107817315
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,CAT,TOG,0.043778906739255524
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,CAT,PM10,0.0011413429706871613
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,CAT,PM2_5,0.0010496285501459877
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,NCAT,CO,0.016795871324656805
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,NCAT,NOx,0.0012226758980529346
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,NCAT,SOx,1.7502958846055253e-06
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,NCAT,PM,1.7862374948718516e-05
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,NCAT,TOG,0.001514844423107958
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,NCAT,PM10,1.675282267742427e-05
2018,July,Tuolumne (MC),LDT2,Gas,RUNEX,NCAT,PM2_5,1.5794314744572624e-05
2018,July,Tuolumne (MC),LDT2,Gas,STREX,CAT,CO,0.1683179375157078
2018,July,Tuolumne (MC),LDT2,Gas,STREX,CAT,NOx,0.030812059274500193
2018,July,Tuolumne (MC),LDT2,Gas,STREX,CAT,SOx,4.6982337966046626e-05
2018,July,Tuolumne (MC),LDT2,Gas,STREX,CAT,PM,0.0001848673156216949
2018,July,Tuolumne (MC),LDT2,Gas,STREX,CAT,TOG,0.03762031902871755
2018,July,Tuolumne (MC),LDT2,Gas,STREX,CAT,PM10,0.00016541616548580886
2018,July,Tuolumne (MC),LDT2,Gas,STREX,CAT,PM2_5,0.00015216622605896315
2018,July,Tuolumne (MC),LDT2,Gas,STREX,NCAT,CO,0.0032312532672976414
2018,July,Tuolumne (MC),LDT2,Gas,STREX,NCAT,NOx,0.00012105819549109935
2018,July,Tuolumne (MC),LDT2,Gas,STREX,NCAT,SOx,2.2562403922805594e-07
2018,July,Tuolumne (MC),LDT2,Gas,STREX,NCAT,PM,6.422514918266206e-06
2018,July,Tuolumne (MC),LDT2,Gas,STREX,NCAT,TOG,0.00038959797703319403
2018,July,Tuolumne (MC),LDT2,Gas,STREX,NCAT,PM10,6.027251516440055e-06
2018,July,Tuolumne (MC),LDT2,Gas,STREX,NCAT,PM2_5,5.684153562120124e-06
2018,July,Tuolumne (MC),LDT2,Gas,HOTSOAK,CAT,TOG,0.021799575529570535
2018,July,Tuolumne (MC),LDT2,Gas,HOTSOAK,NCAT,TOG,0.0004025281443333245
2018,July,Tuolumne (MC),LDT2,Gas,RUNLOSS,CAT,TOG,0.06925110107487903
2018,July,Tuolumne (MC),LDT2,Gas,RUNLOSS,NCAT,TOG,0.0007489316388455178
2018,July,Tuolumne (MC),LDT2,Gas,RESTLOSS,CAT,TOG,0.018319568886601165
2018,July,Tuolumne (MC),LDT2,Gas,RESTLOSS,NCAT,TOG,0.0004743585751670335
2018,July,Tuolumne (MC),LDT2,Gas,DIURN,CAT,TOG,0.018845901222087083
2018,July,Tuolumne (MC),LDT2,Gas,DIURN,NCAT,TOG,0.0004582294143415481
2018,July,Tuolumne (MC),LDT2,Gas,PMTW,CAT,PM,0.003774933281440404
2018,July,Tuolumne (MC),LDT2,Gas,PMTW,CAT,PM10,0.003774933281440404
2018,July,Tuolumne (MC),LDT2,Gas,PMTW,CAT,PM2_5,0.000943733320360101
2018,July,Tuolumne (MC),LDT2,Gas,PMTW,NCAT,PM,2.2483769984215998e-06
2018,July,Tuolumne (MC),LDT2,Gas,PMTW,NCAT,PM10,2.2483769984215998e-06
2018,July,Tuolumne (MC),LDT2,Gas,PMTW,NCAT,PM2_5,5.620942496053999e-07
2018,July,Tuolumne (MC),LDT2,Gas,PMBW,CAT,PM,0.017694999756751893
2018,July,Tuolumne (MC),LDT2,Gas,PMBW,CAT,PM10,0.017341099761616848
2018,July,Tuolumne (MC),LDT2,Gas,PMBW,CAT,PM2_5,0.007431899897835789
2018,July,Tuolumne (MC),LDT2,Gas,PMBW,NCAT,PM,1.0539267180101247e-05
2018,July,Tuolumne (MC),LDT2,Gas,PMBW,NCAT,PM10,1.0328481836499224e-05
2018,July,Tuolumne (MC),LDT2,Gas,PMBW,NCAT,PM2_5,4.42649221564252e-06
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,CAT,CO,1.1422094301782761
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,CAT,NOx,0.10684506941690032
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,CAT,SOx,0.001997401608300657
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,CAT,PM,0.0011399770684486616
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,CAT,TOG,0.04571342028310411
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,CAT,PM10,0.0010199327566040972
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,CAT,PM2_5,0.0009381859182356112
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,NCAT,CO,0.25981725820301244
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,NCAT,NOx,0.014461805547102531
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,NCAT,SOx,1.5536578369830193e-05
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,NCAT,PM,0.00011337213971158126
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,NCAT,TOG,0.013552316173491997
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,NCAT,PM10,0.00010815736885183592
2018,July,Tuolumne (MC),MDV,Gas,RUNEX,NCAT,PM2_5,0.00010283748414470815
2018,July,Tuolumne (MC),MDV,Gas,STREX,CAT,CO,0.19448785749523886
2018,July,Tuolumne (MC),MDV,Gas,STREX,CAT,NOx,0.031211524295361528
2018,July,Tuolumne (MC),MDV,Gas,STREX,CAT,SOx,4.906908519963375e-05
2018,July,Tuolumne (MC),MDV,Gas,STREX,CAT,PM,0.00019505523130440921
2018,July,Tuolumne (MC),MDV,Gas,STREX,CAT,TOG,0.041148474680555255
2018,July,Tuolumne (MC),MDV,Gas,STREX,CAT,PM10,0.00017459474489747736
2018,July,Tuolumne (MC),MDV,Gas,STREX,CAT,PM2_5,0.00016064077282740147
2018,July,Tuolumne (MC),MDV,Gas,STREX,NCAT,CO,0.02941843132556529
2018,July,Tuolumne (MC),MDV,Gas,STREX,NCAT,NOx,0.0011249654871273618
2018,July,Tuolumne (MC),MDV,Gas,STREX,NCAT,SOx,1.5811853570604948e-06
2018,July,Tuolumne (MC),MDV,Gas,STREX,NCAT,PM,2.963934531106139e-05
2018,July,Tuolumne (MC),MDV,Gas,STREX,NCAT,TOG,0.0026293302342538815
