calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Alameda (SF),All Other Buses,Dsl,IDLEX,DSL,CO,0.0007676256071086579
2017,July,Alameda (SF),All Other Buses,Dsl,IDLEX,DSL,NOx,0.002857832574962418
2017,July,Alameda (SF),All Other Buses,Dsl,IDLEX,DSL,PM,3.981592415780158e-05
2017,July,Alameda (SF),All Other Buses,Dsl,IDLEX,DSL,PM10,3.957702861285478e-05
2017,July,Alameda (SF),All Other Buses,Dsl,IDLEX,DSL,PM2_5,3.78649438740693e-05
2017,July,Alameda (SF),All Other Buses,Dsl,IDLEX,DSL,SOx,2.0012957855002556e-06
2017,July,Alameda (SF),All Other Buses,Dsl,IDLEX,DSL,TOG,0.00015873624546270068
2017,July,Alameda (SF),All Other Buses,Dsl,PMBW,DSL,PM,0.0008001537562235677
2017,July,Alameda (SF),All Other Buses,Dsl,PMBW,DSL,PM10,0.0008001537562235677
2017,July,Alameda (SF),All Other Buses,Dsl,PMBW,DSL,PM2_5,0.0002800538146782487
2017,July,Alameda (SF),All Other Buses,Dsl,PMTW,DSL,PM,0.00020811462724056336
2017,July,Alameda (SF),All Other Buses,Dsl,PMTW,DSL,PM10,0.00020811462724056336
2017,July,Alameda (SF),All Other Buses,Dsl,PMTW,DSL,PM2_5,5.202865681014084e-05
2017,July,Alameda (SF),All Other Buses,Dsl,RUNEX,DSL,CO,0.0417548230968898
2017,July,Alameda (SF),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0015550567403544205
2017,July,Alameda (SF),All Other Buses,Dsl,RUNEX,DSL,NOx,0.14453246650903973
2017,July,Alameda (SF),All Other Buses,Dsl,RUNEX,DSL,PM,0.00731174182112889
2017,July,Alameda (SF),All Other Buses,Dsl,RUNEX,DSL,PM10,0.007267871370202115
2017,July,Alameda (SF),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.006953466471893573
2017,July,Alameda (SF),All Other Buses,Dsl,RUNEX,DSL,SOx,0.0002046143370238075
2017,July,Alameda (SF),All Other Buses,Dsl,RUNEX,DSL,TOG,0.01973083751219888
2017,July,Alameda (SF),All Other Buses,Dsl,STREX,DSL,NOx,0.0009499094581513645
2017,July,Alameda (SF),All Other Buses,NG,IDLEX,CAT,CO,1.1381718313635254e-05
2017,July,Alameda (SF),All Other Buses,NG,IDLEX,CAT,NOx,3.686472838560014e-06
2017,July,Alameda (SF),All Other Buses,NG,IDLEX,CAT,PM,7.948254629686067e-09
2017,July,Alameda (SF),All Other Buses,NG,IDLEX,CAT,PM10,7.105739638939344e-09
2017,July,Alameda (SF),All Other Buses,NG,IDLEX,CAT,PM2_5,6.533465305601947e-09
2017,July,Alameda (SF),All Other Buses,NG,IDLEX,CAT,TOG,1.1412986046901758e-05
2017,July,Alameda (SF),All Other Buses,NG,PMBW,CAT,PM,8.304839176410334e-06
2017,July,Alameda (SF),All Other Buses,NG,PMBW,CAT,PM10,8.304839176410334e-06
2017,July,Alameda (SF),All Other Buses,NG,PMBW,CAT,PM2_5,2.906693711743617e-06
2017,July,Alameda (SF),All Other Buses,NG,PMTW,CAT,PM,2.1600329887204217e-06
2017,July,Alameda (SF),All Other Buses,NG,PMTW,CAT,PM10,2.1600329887204217e-06
2017,July,Alameda (SF),All Other Buses,NG,PMTW,CAT,PM2_5,5.400082471801054e-07
2017,July,Alameda (SF),All Other Buses,NG,RUNEX,CAT,CO,0.0005565442853408579
2017,July,Alameda (SF),All Other Buses,NG,RUNEX,CAT,NH3,0.00019080285931935822
2017,July,Alameda (SF),All Other Buses,NG,RUNEX,CAT,NOx,5.195242536069486e-05
2017,July,Alameda (SF),All Other Buses,NG,RUNEX,CAT,PM,1.1715361546478541e-07
2017,July,Alameda (SF),All Other Buses,NG,RUNEX,CAT,PM10,1.0473533222551815e-07
2017,July,Alameda (SF),All Other Buses,NG,RUNEX,CAT,PM2_5,9.630027191205359e-08
2017,July,Alameda (SF),All Other Buses,NG,RUNEX,CAT,TOG,0.00013401267970079215
2017,July,Alameda (SF),Motor Coach,Dsl,IDLEX,DSL,CO,0.004898906545607909
2017,July,Alameda (SF),Motor Coach,Dsl,IDLEX,DSL,NOx,0.011043417742201043
2017,July,Alameda (SF),Motor Coach,Dsl,IDLEX,DSL,PM,7.314009513774929e-05
2017,July,Alameda (SF),Motor Coach,Dsl,IDLEX,DSL,PM10,7.270125456692282e-05
2017,July,Alameda (SF),Motor Coach,Dsl,IDLEX,DSL,PM2_5,6.955623047599957e-05
2017,July,Alameda (SF),Motor Coach,Dsl,IDLEX,DSL,SOx,1.0860027283524035e-05
2017,July,Alameda (SF),Motor Coach,Dsl,IDLEX,DSL,TOG,0.0009031223060845055
2017,July,Alameda (SF),Motor Coach,Dsl,PMBW,DSL,PM,0.0009557969262143782
2017,July,Alameda (SF),Motor Coach,Dsl,PMBW,DSL,PM10,0.0009557969262143782
2017,July,Alameda (SF),Motor Coach,Dsl,PMBW,DSL,PM2_5,0.0003345289241750323
2017,July,Alameda (SF),Motor Coach,Dsl,PMTW,DSL,PM,0.00013820757631775505
2017,July,Alameda (SF),Motor Coach,Dsl,PMTW,DSL,PM10,0.00013820757631775505
2017,July,Alameda (SF),Motor Coach,Dsl,PMTW,DSL,PM2_5,3.455189407943876e-05
2017,July,Alameda (SF),Motor Coach,Dsl,RUNEX,DSL,CO,0.012613759790365883
2017,July,Alameda (SF),Motor Coach,Dsl,RUNEX,DSL,NH3,0.0017026216815598703
2017,July,Alameda (SF),Motor Coach,Dsl,RUNEX,DSL,NOx,0.07147460318744826
2017,July,Alameda (SF),Motor Coach,Dsl,RUNEX,DSL,PM,0.0021722592134763613
2017,July,Alameda (SF),Motor Coach,Dsl,RUNEX,DSL,PM10,0.0021592256581955027
2017,July,Alameda (SF),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.0020658185120160186
2017,July,Alameda (SF),Motor Coach,Dsl,RUNEX,DSL,SOx,0.0001862325545933583
2017,July,Alameda (SF),Motor Coach,Dsl,RUNEX,DSL,TOG,0.004081277923722751
2017,July,Alameda (SF),Motor Coach,Dsl,STREX,DSL,NOx,0.00226308638882648
