calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Alpine (GBV),All Other Buses,Dsl,IDLEX,DSL,CO,2.4227563613803647e-06
2017,July,Alpine (GBV),All Other Buses,Dsl,IDLEX,DSL,NOx,3.1849370063943552e-06
2017,July,Alpine (GBV),All Other Buses,Dsl,IDLEX,DSL,PM,7.491622379388029e-10
2017,July,Alpine (GBV),All Other Buses,Dsl,IDLEX,DSL,PM10,7.446672645111702e-10
2017,July,Alpine (GBV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,7.124532882798015e-10
2017,July,Alpine (GBV),All Other Buses,Dsl,IDLEX,DSL,SOx,6.7737417219633306e-09
2017,July,Alpine (GBV),All Other Buses,Dsl,IDLEX,DSL,TOG,7.027225332140869e-08
2017,July,Alpine (GBV),All Other Buses,Dsl,PMBW,DSL,PM,4.098662825187297e-06
2017,July,Alpine (GBV),All Other Buses,Dsl,PMBW,DSL,PM10,4.098662825187297e-06
2017,July,Alpine (GBV),All Other Buses,Dsl,PMBW,DSL,PM2_5,1.4345319888155536e-06
2017,July,Alpine (GBV),All Other Buses,Dsl,PMTW,DSL,PM,1.0660347207196983e-06
2017,July,Alpine (GBV),All Other Buses,Dsl,PMTW,DSL,PM10,1.0660347207196983e-06
2017,July,Alpine (GBV),All Other Buses,Dsl,PMTW,DSL,PM2_5,2.6650868017992457e-07
2017,July,Alpine (GBV),All Other Buses,Dsl,RUNEX,DSL,CO,4.271816899076065e-06
2017,July,Alpine (GBV),All Other Buses,Dsl,RUNEX,DSL,NH3,1.954396427854259e-05
2017,July,Alpine (GBV),All Other Buses,Dsl,RUNEX,DSL,NOx,3.238907925435986e-05
2017,July,Alpine (GBV),All Other Buses,Dsl,RUNEX,DSL,PM,1.8625429941340803e-07
2017,July,Alpine (GBV),All Other Buses,Dsl,RUNEX,DSL,PM10,1.8513677361692755e-07
2017,July,Alpine (GBV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,1.7712783874215096e-07
2017,July,Alpine (GBV),All Other Buses,Dsl,RUNEX,DSL,SOx,1.0366122487672667e-06
2017,July,Alpine (GBV),All Other Buses,Dsl,RUNEX,DSL,TOG,6.233011835793676e-07
