calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Amador (MC),All Other Buses,Dsl,IDLEX,DSL,CO,4.420092362410461e-05
2017,July,Amador (MC),All Other Buses,Dsl,IDLEX,DSL,NOx,0.00013437164230126365
2017,July,Amador (MC),All Other Buses,Dsl,IDLEX,DSL,PM,2.9011462520241465e-06
2017,July,Amador (MC),All Other Buses,Dsl,IDLEX,DSL,PM10,2.8837393745120025e-06
2017,July,Amador (MC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,2.7589900856749634e-06
2017,July,Amador (MC),All Other Buses,Dsl,IDLEX,DSL,SOx,9.267771277401994e-08
2017,July,Amador (MC),All Other Buses,Dsl,IDLEX,DSL,TOG,1.1753521891473963e-05
2017,July,Amador (MC),All Other Buses,Dsl,PMBW,DSL,PM,2.848906631336308e-05
2017,July,Amador (MC),All Other Buses,Dsl,PMBW,DSL,PM10,2.848906631336308e-05
2017,July,Amador (MC),All Other Buses,Dsl,PMBW,DSL,PM2_5,9.971173209677078e-06
2017,July,Amador (MC),All Other Buses,Dsl,PMTW,DSL,PM,7.409815138805214e-06
2017,July,Amador (MC),All Other Buses,Dsl,PMTW,DSL,PM10,7.409815138805214e-06
2017,July,Amador (MC),All Other Buses,Dsl,PMTW,DSL,PM2_5,1.8524537847013036e-06
2017,July,Amador (MC),All Other Buses,Dsl,RUNEX,DSL,CO,0.0017428769987730497
2017,July,Amador (MC),All Other Buses,Dsl,RUNEX,DSL,NH3,4.6107115888799666e-05
2017,July,Amador (MC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.005331986908580939
2017,July,Amador (MC),All Other Buses,Dsl,RUNEX,DSL,PM,0.0003351859132172279
2017,July,Amador (MC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.00033317479773792454
2017,July,Amador (MC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.00031876180346958376
2017,July,Amador (MC),All Other Buses,Dsl,RUNEX,DSL,SOx,7.560346483405132e-06
2017,July,Amador (MC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0008420416314758608
2017,July,Amador (MC),All Other Buses,Dsl,STREX,DSL,NOx,2.680841601441172e-05
2017,July,Amador (MC),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Amador (MC),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Amador (MC),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Amador (MC),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Amador (MC),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Amador (MC),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Amador (MC),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Amador (MC),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Amador (MC),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Amador (MC),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Amador (MC),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Amador (MC),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Amador (MC),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Amador (MC),All Other Buses,NG,RUNEX,CAT,NOx,0.0
