calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Butte (SV),All Other Buses,Dsl,IDLEX,DSL,CO,0.00013836216146299895
2017,July,Butte (SV),All Other Buses,Dsl,IDLEX,DSL,NOx,0.000502217372520385
2017,July,Butte (SV),All Other Buses,Dsl,IDLEX,DSL,PM,9.118329126844967e-06
2017,July,Butte (SV),All Other Buses,Dsl,IDLEX,DSL,PM10,9.063619152083898e-06
2017,July,Butte (SV),All Other Buses,Dsl,IDLEX,DSL,PM2_5,8.671530999629565e-06
2017,July,Butte (SV),All Other Buses,Dsl,IDLEX,DSL,SOx,3.0755415268278325e-07
2017,July,Butte (SV),All Other Buses,Dsl,IDLEX,DSL,TOG,3.6195699199843194e-05
2017,July,Butte (SV),All Other Buses,Dsl,PMBW,DSL,PM,0.00012088548172311906
2017,July,Butte (SV),All Other Buses,Dsl,PMBW,DSL,PM10,0.00012088548172311906
2017,July,Butte (SV),All Other Buses,Dsl,PMBW,DSL,PM2_5,4.2309918603091675e-05
2017,July,Butte (SV),All Other Buses,Dsl,PMTW,DSL,PM,3.1441503300990016e-05
2017,July,Butte (SV),All Other Buses,Dsl,PMTW,DSL,PM10,3.1441503300990016e-05
2017,July,Butte (SV),All Other Buses,Dsl,PMTW,DSL,PM2_5,7.860375825247504e-06
2017,July,Butte (SV),All Other Buses,Dsl,RUNEX,DSL,CO,0.008523212882616163
2017,July,Butte (SV),All Other Buses,Dsl,RUNEX,DSL,NH3,0.0001382541500054174
2017,July,Butte (SV),All Other Buses,Dsl,RUNEX,DSL,NOx,0.025905413195384225
2017,July,Butte (SV),All Other Buses,Dsl,RUNEX,DSL,PM,0.0016058848269621226
2017,July,Butte (SV),All Other Buses,Dsl,RUNEX,DSL,PM10,0.0015962495180003495
2017,July,Butte (SV),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0015271964704409785
2017,July,Butte (SV),All Other Buses,Dsl,RUNEX,DSL,SOx,3.1584000964066196e-05
2017,July,Butte (SV),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0040352089671748395
2017,July,Butte (SV),All Other Buses,Dsl,STREX,DSL,NOx,6.28828866778969e-05
2017,July,Butte (SV),All Other Buses,NG,IDLEX,CAT,CO,0.0
2017,July,Butte (SV),All Other Buses,NG,IDLEX,CAT,NOx,0.0
2017,July,Butte (SV),All Other Buses,NG,IDLEX,CAT,PM,0.0
2017,July,Butte (SV),All Other Buses,NG,IDLEX,CAT,PM10,0.0
2017,July,Butte (SV),All Other Buses,NG,IDLEX,CAT,PM2_5,0.0
2017,July,Butte (SV),All Other Buses,NG,IDLEX,CAT,TOG,0.0
2017,July,Butte (SV),All Other Buses,NG,PMBW,CAT,PM,0.0
2017,July,Butte (SV),All Other Buses,NG,PMBW,CAT,PM10,0.0
2017,July,Butte (SV),All Other Buses,NG,PMBW,CAT,PM2_5,0.0
2017,July,Butte (SV),All Other Buses,NG,PMTW,CAT,PM,0.0
2017,July,Butte (SV),All Other Buses,NG,PMTW,CAT,PM10,0.0
2017,July,Butte (SV),All Other Buses,NG,PMTW,CAT,PM2_5,0.0
2017,July,Butte (SV),All Other Buses,NG,RUNEX,CAT,CO,0.0
2017,July,Butte (SV),All Other Buses,NG,RUNEX,CAT,NOx,0.0
2017,July,Butte (SV),All Other Buses,NG,RUNEX,CAT,PM,0.0
2017,July,Butte (SV),All Other Buses,NG,RUNEX,CAT,PM10,0.0
2017,July,Butte (SV),All Other Buses,NG,RUNEX,CAT,PM2_5,0.0
2017,July,Butte (SV),All Other Buses,NG,RUNEX,CAT,TOG,0.0
2017,July,Butte (SV),Motor Coach,Dsl,IDLEX,DSL,CO,0.00041499610517360203
2017,July,Butte (SV),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0009355098547302013
2017,July,Butte (SV),Motor Coach,Dsl,IDLEX,DSL,PM,6.1958427521760695e-06
2017,July,Butte (SV),Motor Coach,Dsl,IDLEX,DSL,PM10,6.158667695663012e-06
2017,July,Butte (SV),Motor Coach,Dsl,IDLEX,DSL,PM2_5,5.89224645731944e-06
2017,July,Butte (SV),Motor Coach,Dsl,IDLEX,DSL,SOx,9.199744846698777e-07
2017,July,Butte (SV),Motor Coach,Dsl,IDLEX,DSL,TOG,7.650528460406934e-05
2017,July,Butte (SV),Motor Coach,Dsl,PMBW,DSL,PM,8.09674563109495e-05
2017,July,Butte (SV),Motor Coach,Dsl,PMBW,DSL,PM10,8.09674563109495e-05
2017,July,Butte (SV),Motor Coach,Dsl,PMBW,DSL,PM2_5,2.8338609708832334e-05
2017,July,Butte (SV),Motor Coach,Dsl,PMTW,DSL,PM,1.1707838339333759e-05
2017,July,Butte (SV),Motor Coach,Dsl,PMTW,DSL,PM10,1.1707838339333759e-05
2017,July,Butte (SV),Motor Coach,Dsl,PMTW,DSL,PM2_5,2.9269595848334398e-06
2017,July,Butte (SV),Motor Coach,Dsl,RUNEX,DSL,CO,0.0010685366490854262
2017,July,Butte (SV),Motor Coach,Dsl,RUNEX,DSL,NH3,0.00014423246490421742
2017,July,Butte (SV),Motor Coach,Dsl,RUNEX,DSL,NOx,0.0061524420265590025
2017,July,Butte (SV),Motor Coach,Dsl,RUNEX,DSL,PM,0.00018401639316818202
2017,July,Butte (SV),Motor Coach,Dsl,RUNEX,DSL,PM10,0.00018291229480917284
2017,July,Butte (SV),Motor Coach,Dsl,RUNEX,DSL,PM2_5,0.000174999589902941
2017,July,Butte (SV),Motor Coach,Dsl,RUNEX,DSL,SOx,1.5776129650716418e-05
2017,July,Butte (SV),Motor Coach,Dsl,RUNEX,DSL,TOG,0.00034573316038029084
2017,July,Butte (SV),Motor Coach,Dsl,STREX,DSL,NOx,0.00019171054362659572
2017,July,Butte (SV),PTO,Dsl,PMTW,DSL,PM,0.0
2017,July,Butte (SV),PTO,Dsl,PMTW,DSL,PM10,0.0
2017,July,Butte (SV),PTO,Dsl,PMTW,DSL,PM2_5,0.0
2017,July,Butte (SV),PTO,Dsl,RUNEX,DSL,CO,0.015398161965787392
2017,July,Butte (SV),PTO,Dsl,RUNEX,DSL,NH3,0.0003760660237563035
2017,July,Butte (SV),PTO,Dsl,RUNEX,DSL,NOx,0.043484273279313077
2017,July,Butte (SV),PTO,Dsl,RUNEX,DSL,PM,0.0018878789309685437
2017,July,Butte (SV),PTO,Dsl,RUNEX,DSL,PM10,0.001876551657382732
2017,July,Butte (SV),PTO,Dsl,RUNEX,DSL,PM2_5,0.0017953728633510846
2017,July,Butte (SV),PTO,Dsl,RUNEX,DSL,SOx,7.750248346357238e-05
2017,July,Butte (SV),PTO,Dsl,RUNEX,DSL,TOG,0.00448992703852328
2017,July,Butte (SV),SBUS,Dsl,IDLEX,DSL,CO,0.0003587739372267305
2017,July,Butte (SV),SBUS,Dsl,IDLEX,DSL,NOx,0.005680641223964994
2017,July,Butte (SV),SBUS,Dsl,IDLEX,DSL,PM,1.247742466492473e-05
2017,July,Butte (SV),SBUS,Dsl,IDLEX,DSL,PM10,1.2402560116935181e-05
2017,July,Butte (SV),SBUS,Dsl,IDLEX,DSL,PM2_5,1.1866030856343418e-05
2017,July,Butte (SV),SBUS,Dsl,IDLEX,DSL,SOx,3.8252279857520446e-06
2017,July,Butte (SV),SBUS,Dsl,IDLEX,DSL,TOG,5.3168423864452194e-05
2017,July,Butte (SV),SBUS,Dsl,PMBW,DSL,PM,0.00015603531153864862
2017,July,Butte (SV),SBUS,Dsl,PMBW,DSL,PM10,0.00015603531153864862
2017,July,Butte (SV),SBUS,Dsl,PMBW,DSL,PM2_5,5.4612359038527016e-05
2017,July,Butte (SV),SBUS,Dsl,PMTW,DSL,PM,4.168618993786016e-05
2017,July,Butte (SV),SBUS,Dsl,PMTW,DSL,PM10,4.168618993786016e-05
2017,July,Butte (SV),SBUS,Dsl,PMTW,DSL,PM2_5,1.042154748446504e-05
2017,July,Butte (SV),SBUS,Dsl,RUNEX,DSL,CO,0.0013677506214360158
2017,July,Butte (SV),SBUS,Dsl,RUNEX,DSL,NH3,0.00018441240087459476
2017,July,Butte (SV),SBUS,Dsl,RUNEX,DSL,NOx,0.03586165440359574
2017,July,Butte (SV),SBUS,Dsl,RUNEX,DSL,PM,0.00025057511762010013
2017,July,Butte (SV),SBUS,Dsl,RUNEX,DSL,PM10,0.0002490716669143796
2017,July,Butte (SV),SBUS,Dsl,RUNEX,DSL,PM2_5,0.0002382969368567152
2017,July,Butte (SV),SBUS,Dsl,RUNEX,DSL,SOx,3.949541563185524e-05
2017,July,Butte (SV),SBUS,Dsl,RUNEX,DSL,TOG,0.0005671083690396119
2017,July,Butte (SV),SBUS,Dsl,STREX,DSL,NOx,0.00028613152445384105
2017,July,Butte (SV),SBUS,Gas,DIURN,CAT,TOG,0.00041666290215829576
2017,July,Butte (SV),SBUS,Gas,DIURN,NCAT,TOG,0.00014109433068788563
2017,July,Butte (SV),SBUS,Gas,HOTSOAK,CAT,TOG,8.009566756918351e-05
2017,July,Butte (SV),SBUS,Gas,HOTSOAK,NCAT,TOG,6.568520208942625e-05
2017,July,Butte (SV),SBUS,Gas,IDLEX,CAT,CO,0.002901068802207684
2017,July,Butte (SV),SBUS,Gas,IDLEX,CAT,NOx,3.270381338010965e-05
2017,July,Butte (SV),SBUS,Gas,IDLEX,CAT,SOx,9.976966340719341e-07
2017,July,Butte (SV),SBUS,Gas,IDLEX,CAT,TOG,0.000539127392421581
2017,July,Butte (SV),SBUS,Gas,IDLEX,NCAT,CO,0.0003598327524899991
2017,July,Butte (SV),SBUS,Gas,IDLEX,NCAT,NOx,4.0690666390312415e-06
2017,July,Butte (SV),SBUS,Gas,IDLEX,NCAT,SOx,1.3258810603824964e-07
2017,July,Butte (SV),SBUS,Gas,IDLEX,NCAT,TOG,6.46769468018197e-05
2017,July,Butte (SV),SBUS,Gas,PMBW,CAT,PM,4.704907032434734e-05
2017,July,Butte (SV),SBUS,Gas,PMBW,CAT,PM10,4.704907032434734e-05
2017,July,Butte (SV),SBUS,Gas,PMBW,CAT,PM2_5,1.6467174613521562e-05
2017,July,Butte (SV),SBUS,Gas,PMBW,NCAT,PM,6.2482507818353244e-06
2017,July,Butte (SV),SBUS,Gas,PMBW,NCAT,PM10,6.2482507818353244e-06
2017,July,Butte (SV),SBUS,Gas,PMBW,NCAT,PM2_5,2.1868877736423633e-06
2017,July,Butte (SV),SBUS,Gas,PMTW,CAT,PM,1.4390882069773972e-05
2017,July,Butte (SV),SBUS,Gas,PMTW,CAT,PM10,1.4390882069773972e-05
2017,July,Butte (SV),SBUS,Gas,PMTW,CAT,PM2_5,3.597720517443493e-06
2017,July,Butte (SV),SBUS,Gas,PMTW,NCAT,PM,1.9111501996508905e-06
2017,July,Butte (SV),SBUS,Gas,PMTW,NCAT,PM10,1.9111501996508905e-06
2017,July,Butte (SV),SBUS,Gas,PMTW,NCAT,PM2_5,4.777875499127226e-07
2017,July,Butte (SV),SBUS,Gas,RUNEX,CAT,CO,0.012562773876736811
2017,July,Butte (SV),SBUS,Gas,RUNEX,CAT,NH3,7.798578478722783e-05
