calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Calaveras (MC),All Other Buses,Dsl,IDLEX,DSL,CO,2.6334583889323863e-05
2017,July,Calaveras (MC),All Other Buses,Dsl,IDLEX,DSL,NOx,5.093040828293833e-05
2017,July,Calaveras (MC),All Other Buses,Dsl,IDLEX,DSL,PM,2.06698887098545e-06
2017,July,Calaveras (MC),All Other Buses,Dsl,IDLEX,DSL,PM10,2.054586937759537e-06
2017,July,Calaveras (MC),All Other Buses,Dsl,IDLEX,DSL,PM2_5,1.9657064163071634e-06
2017,July,Calaveras (MC),All Other Buses,Dsl,IDLEX,DSL,SOx,3.2344659350908846e-08
2017,July,Calaveras (MC),All Other Buses,Dsl,IDLEX,DSL,TOG,8.221418352107852e-06
2017,July,Calaveras (MC),All Other Buses,Dsl,PMBW,DSL,PM,1.366436932768042e-05
2017,July,Calaveras (MC),All Other Buses,Dsl,PMBW,DSL,PM10,1.366436932768042e-05
2017,July,Calaveras (MC),All Other Buses,Dsl,PMBW,DSL,PM2_5,4.782529264688146e-06
2017,July,Calaveras (MC),All Other Buses,Dsl,PMTW,DSL,PM,3.5540108472765027e-06
2017,July,Calaveras (MC),All Other Buses,Dsl,PMTW,DSL,PM10,3.5540108472765027e-06
2017,July,Calaveras (MC),All Other Buses,Dsl,PMTW,DSL,PM2_5,8.885027118191257e-07
2017,July,Calaveras (MC),All Other Buses,Dsl,RUNEX,DSL,CO,0.0018286690395484533
2017,July,Calaveras (MC),All Other Buses,Dsl,RUNEX,DSL,NH3,7.99652211456137e-06
2017,July,Calaveras (MC),All Other Buses,Dsl,RUNEX,DSL,NOx,0.004067251651181503
2017,July,Calaveras (MC),All Other Buses,Dsl,RUNEX,DSL,PM,0.000391617364113035
2017,July,Calaveras (MC),All Other Buses,Dsl,RUNEX,DSL,PM10,0.00038926765992835675
2017,July,Calaveras (MC),All Other Buses,Dsl,RUNEX,DSL,PM2_5,0.0003724281132714963
2017,July,Calaveras (MC),All Other Buses,Dsl,RUNEX,DSL,SOx,3.7800472700303873e-06
2017,July,Calaveras (MC),All Other Buses,Dsl,RUNEX,DSL,TOG,0.0008976478449415612
2017,July,Calaveras (MC),Motor Coach,Dsl,IDLEX,DSL,CO,0.00019232038088024252
2017,July,Calaveras (MC),Motor Coach,Dsl,IDLEX,DSL,NOx,0.0004335404822743316
2017,July,Calaveras (MC),Motor Coach,Dsl,IDLEX,DSL,PM,2.871320533174942e-06
2017,July,Calaveras (MC),Motor Coach,Dsl,IDLEX,DSL,PM10,2.8540926099758917e-06
2017,July,Calaveras (MC),Motor Coach,Dsl,IDLEX,DSL,PM2_5,2.73062582704937e-06
2017,July,Calaveras (MC),Motor Coach,Dsl,IDLEX,DSL,SOx,4.263409730503423e-07
2017,July,Calaveras (MC),Motor Coach,Dsl,IDLEX,DSL,TOG,3.545461099749592e-05
2017,July,Calaveras (MC),Motor Coach,Dsl,PMBW,DSL,PM,3.752250163931079e-05
